query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.79096776
000001.txt;True;000001.txt;0.8786706
000002.txt;True;000002.txt;0.8817318
000003.txt;True;000003.txt;0.85499734
000004.txt;True;000004.txt;0.85871285
000005.txt;True;000005.txt;0.848421
000006.txt;False;026102.txt;0.83450973
000007.txt;False;048133.txt;0.79864
000008.txt;True;000008.txt;0.81653804
000009.txt;False;017463.txt;0.78016794
000010.txt;True;000010.txt;0.8730391
000011.txt;False;001399.txt;0.844193
000012.txt;True;000012.txt;0.8586301
000013.txt;True;000013.txt;0.89049757
000014.txt;True;000014.txt;0.8433558
000015.txt;True;000015.txt;0.9106491
000016.txt;False;000015.txt;0.8566335
000017.txt;True;000017.txt;0.8326275
000018.txt;True;000018.txt;0.84518903
000019.txt;True;000019.txt;0.8552504
000020.txt;True;000020.txt;0.8236002
000021.txt;True;000021.txt;0.8756246
000022.txt;True;000022.txt;0.90776
000023.txt;True;000023.txt;0.8702425
000024.txt;False;000042.txt;0.8612733
000025.txt;True;000025.txt;0.9194615
000026.txt;True;000026.txt;0.85205877
000027.txt;True;000027.txt;0.9273862
000028.txt;True;000028.txt;0.91792357
000029.txt;True;000029.txt;0.9084381
000030.txt;True;000030.txt;0.8491979
000031.txt;False;016165.txt;0.87672937
000032.txt;False;007529.txt;0.8165658
000034.txt;True;000034.txt;0.8232422
000035.txt;False;043662.txt;0.77958834
000036.txt;True;000036.txt;0.8417911
000037.txt;True;000037.txt;0.91940105
000038.txt;True;000038.txt;0.9250371
000039.txt;True;000039.txt;0.91942596
000040.txt;True;000040.txt;0.9181497
000041.txt;True;000041.txt;0.92286545
000042.txt;True;000042.txt;0.92292815
000043.txt;True;000043.txt;0.9106759
000044.txt;False;000205.txt;0.81274295
000045.txt;True;000045.txt;0.8229471
000046.txt;False;000126.txt;0.82650805
000047.txt;False;075527.txt;0.82114786
000048.txt;True;000048.txt;0.87313277
000049.txt;True;000049.txt;0.88874114
000050.txt;False;019552.txt;0.83371997
000051.txt;False;001399.txt;0.8300359
000052.txt;True;000052.txt;0.82697535
000053.txt;True;000053.txt;0.85960436
000054.txt;True;000054.txt;0.8279235
000055.txt;True;000055.txt;0.79609597
000056.txt;True;000056.txt;0.8420688
000057.txt;True;000057.txt;0.8395473
000058.txt;False;064545.txt;0.8335196
000059.txt;True;000059.txt;0.8429334
000060.txt;True;000060.txt;0.88415796
000061.txt;False;030658.txt;0.8340021
000062.txt;True;000062.txt;0.8578215
000063.txt;True;000063.txt;0.84055245
000064.txt;True;000064.txt;0.8604902
000065.txt;True;000065.txt;0.8894939
000066.txt;True;000066.txt;0.8628514
000067.txt;True;000067.txt;0.8415946
000068.txt;True;000068.txt;0.85091
000069.txt;True;000069.txt;0.8267636
000070.txt;False;075548.txt;0.83121717
000071.txt;False;003584.txt;0.83445776
000072.txt;True;000072.txt;0.8641654
000073.txt;True;000073.txt;0.845731
000074.txt;False;053465.txt;0.77178293
000075.txt;True;000075.txt;0.8348529
000076.txt;True;000076.txt;0.82045925
000077.txt;True;000077.txt;0.8416033
000078.txt;False;026475.txt;0.79411364
000079.txt;True;000079.txt;0.83864224
000080.txt;True;000080.txt;0.8672099
000081.txt;True;000081.txt;0.8521034
000082.txt;True;000082.txt;0.85403603
000083.txt;True;000083.txt;0.8043603
000084.txt;True;000084.txt;0.8311431
000085.txt;True;000085.txt;0.8546417
000086.txt;True;000086.txt;0.86331904
000087.txt;True;000087.txt;0.8680674
000088.txt;False;055768.txt;0.7996249
000089.txt;True;000089.txt;0.8049886
000090.txt;False;001100.txt;0.80236924
000091.txt;True;000091.txt;0.8519243
000092.txt;True;000092.txt;0.8494992
000093.txt;True;000093.txt;0.82489955
000094.txt;True;000094.txt;0.8016995
000095.txt;True;000095.txt;0.8193891
000096.txt;True;000096.txt;0.8190684
000097.txt;True;000097.txt;0.79511005
000098.txt;True;000098.txt;0.8405199
000099.txt;True;000099.txt;0.85144836
000100.txt;True;000100.txt;0.86098737
000101.txt;True;000101.txt;0.81254506
000102.txt;True;000102.txt;0.8641429
000103.txt;False;025675.txt;0.80447525
000104.txt;True;000104.txt;0.8029921
000105.txt;True;000105.txt;0.86268187
000106.txt;True;000106.txt;0.8528458
000107.txt;True;000107.txt;0.83086884
000108.txt;True;000108.txt;0.91840863
000109.txt;True;000109.txt;0.9238003
000110.txt;True;000110.txt;0.82770276
000111.txt;True;000111.txt;0.84760034
000112.txt;True;000112.txt;0.78451157
000113.txt;True;000113.txt;0.82106936
000114.txt;True;000114.txt;0.83643544
000115.txt;True;000115.txt;0.8269457
000116.txt;False;016270.txt;0.8494891
000117.txt;True;000117.txt;0.79943764
000118.txt;True;000118.txt;0.8681396
000119.txt;True;000119.txt;0.7862127
000120.txt;True;000120.txt;0.8935398
000121.txt;True;000121.txt;0.88935137
000122.txt;False;063396.txt;0.77892584
