query_file;found;search_result;search_distances
000000.txt;False;009456.txt;0.06417656
000001.txt;False;036496.txt;0.114632025
000002.txt;True;000002.txt;0.108807854
000003.txt;False;056879.txt;0.06515551
000004.txt;True;000004.txt;0.10661365
000005.txt;False;015385.txt;0.067620195
000006.txt;False;026104.txt;0.08192667
000007.txt;False;015775.txt;0.0636385
000008.txt;False;036073.txt;0.07995061
000009.txt;False;005697.txt;0.101638004
000010.txt;True;000010.txt;0.07159461
000011.txt;False;001399.txt;0.08880818
000012.txt;True;000012.txt;0.06943112
000013.txt;False;018046.txt;0.09110411
000014.txt;False;001406.txt;0.081524245
000015.txt;False;078643.txt;0.102660105
000016.txt;True;000016.txt;0.08933675
000017.txt;False;001452.txt;0.10454659
000018.txt;False;031575.txt;0.10375827
000019.txt;False;001452.txt;0.05885508
000020.txt;True;000020.txt;0.07136772
000021.txt;False;000024.txt;0.078333154
000022.txt;False;000024.txt;0.079525016
000023.txt;False;000024.txt;0.07831277
000024.txt;True;000024.txt;0.059586097
000025.txt;True;000025.txt;0.067740634
000026.txt;False;035786.txt;0.048694767
000027.txt;True;000027.txt;0.0680334
000028.txt;True;000028.txt;0.06958558
000029.txt;True;000029.txt;0.06973708
000030.txt;False;049638.txt;0.05606129
000031.txt;False;016297.txt;0.0674
000032.txt;False;015383.txt;0.074702695
000034.txt;True;000034.txt;0.057215273
000035.txt;False;027162.txt;0.090449505
000036.txt;True;000036.txt;0.08484522
000037.txt;True;000037.txt;0.071878806
000038.txt;True;000038.txt;0.07101837
000039.txt;True;000039.txt;0.067384645
000040.txt;True;000040.txt;0.06928689
000041.txt;True;000041.txt;0.0692268
000042.txt;True;000042.txt;0.06846462
000043.txt;True;000043.txt;0.069089
000044.txt;False;001368.txt;0.08387978
000045.txt;True;000045.txt;0.0899335
000046.txt;False;016601.txt;0.09676621
000047.txt;False;009009.txt;0.080858864
000048.txt;False;005037.txt;0.052294265
000049.txt;False;010880.txt;0.07775966
000050.txt;False;002950.txt;0.07032393
000051.txt;False;067422.txt;0.07724779
000052.txt;False;009009.txt;0.09029761
000053.txt;False;005658.txt;0.07940498
000054.txt;True;000054.txt;0.06972352
000055.txt;False;007960.txt;0.09634365
000056.txt;False;011754.txt;0.078338966
