query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.9083894
000001.txt;True;000001.txt;1.0
000002.txt;True;000002.txt;0.9380135
000003.txt;False;078164.txt;0.9259286
000004.txt;False;065428.txt;0.9061329
000005.txt;True;000005.txt;0.8927313
000006.txt;True;000006.txt;0.88731354
000007.txt;False;073609.txt;0.88582444
000008.txt;False;077816.txt;0.90781724
000009.txt;True;000009.txt;0.93077826
000010.txt;True;000010.txt;0.92284477
000011.txt;True;000011.txt;0.9133533
000012.txt;True;000012.txt;0.9779463
000013.txt;True;000013.txt;0.98277915
000014.txt;False;076637.txt;0.8819307
000015.txt;True;000015.txt;0.9729626
000016.txt;False;078605.txt;0.88239586
000017.txt;True;000017.txt;0.8897193
000018.txt;False;077386.txt;0.88472843
000019.txt;False;009754.txt;0.9152576
000020.txt;True;000020.txt;0.93509805
000021.txt;True;000021.txt;0.90970564
000022.txt;True;000022.txt;0.9023839
000023.txt;True;000023.txt;0.9151919
000024.txt;True;000024.txt;0.90854406
000025.txt;True;000025.txt;0.91448903
000026.txt;False;028285.txt;0.9172288
000027.txt;True;000027.txt;0.9098519
000028.txt;True;000028.txt;0.9030199
000029.txt;True;000029.txt;0.90724444
000030.txt;True;000030.txt;0.9024235
000031.txt;True;000031.txt;0.9000638
000032.txt;True;000032.txt;0.9361856
000034.txt;False;020156.txt;0.8765528
000035.txt;False;042805.txt;0.8852663
000036.txt;False;000581.txt;0.8995249
000037.txt;True;000037.txt;0.9054972
000038.txt;True;000038.txt;0.90964437
000039.txt;True;000039.txt;0.90726674
000040.txt;True;000040.txt;0.8998003
000041.txt;True;000041.txt;0.89753425
000042.txt;True;000042.txt;0.90350175
000043.txt;True;000043.txt;0.9003993
000044.txt;True;000044.txt;0.89244306
000045.txt;False;000286.txt;0.9093797
000046.txt;True;000046.txt;0.90374506
000047.txt;False;009754.txt;0.90402186
000048.txt;True;000048.txt;0.9999999
000049.txt;True;000049.txt;0.95712
000050.txt;True;000050.txt;0.9412834
000051.txt;True;000051.txt;0.8990648
000052.txt;False;009754.txt;0.916147
000053.txt;True;000053.txt;0.9551713
000054.txt;False;072419.txt;0.90643954
000055.txt;False;000575.txt;0.91622746
000056.txt;True;000056.txt;0.9517331
000057.txt;True;000057.txt;0.95597726
000058.txt;True;000058.txt;0.9629919
000059.txt;False;039905.txt;0.9086052
000060.txt;True;000060.txt;0.95329916
000061.txt;True;000061.txt;0.8843579
000062.txt;False;000647.txt;0.89239776
000063.txt;False;019991.txt;0.90763575
000064.txt;True;000064.txt;0.96191925
000065.txt;True;000065.txt;0.9436157
000066.txt;True;000066.txt;0.9999999
000067.txt;True;000067.txt;0.9480386
000068.txt;True;000068.txt;0.8985621
000069.txt;True;000069.txt;0.8785075
000070.txt;False;001597.txt;0.9068581
000071.txt;False;003289.txt;0.90200937
000072.txt;True;000072.txt;1.0
000073.txt;False;008313.txt;0.8915779
