query_file;found;search_result;search_distances
000000.txt;False;003653.txt;5.139876
000001.txt;True;000001.txt;3.8430395
000002.txt;False;007581.txt;5.4838285
000003.txt;True;000003.txt;2.8609152
000004.txt;True;000004.txt;3.322804
000005.txt;False;078876.txt;4.812869
000006.txt;False;004906.txt;6.486273
000007.txt;True;000007.txt;5.695698
000008.txt;False;025181.txt;4.9089146
000009.txt;True;000009.txt;5.5510087
000010.txt;True;000010.txt;5.764706
000011.txt;True;000011.txt;1.3305814
000012.txt;True;000012.txt;3.611801
000013.txt;True;000013.txt;6.5645227
000014.txt;True;000014.txt;5.6574306
000015.txt;True;000015.txt;4.8120317
000016.txt;False;001371.txt;5.178286
000017.txt;True;000017.txt;5.993919
000018.txt;False;073774.txt;12.911518
000019.txt;True;000019.txt;2.3492465
000020.txt;False;028500.txt;5.7612324
000021.txt;True;000021.txt;2.8399029
000022.txt;True;000022.txt;1.4962814
000023.txt;True;000023.txt;4.7456436
000024.txt;True;000024.txt;2.940033
000025.txt;True;000025.txt;1.4402516
000026.txt;True;000026.txt;3.396815
000027.txt;True;000027.txt;1.4449584
000028.txt;True;000028.txt;1.4941952
000029.txt;True;000029.txt;1.5827056
000030.txt;False;000031.txt;3.6103983
000031.txt;True;000031.txt;3.227769
000032.txt;True;000032.txt;4.3048964
000034.txt;True;000034.txt;4.3881407
000035.txt;False;029584.txt;7.594125
000036.txt;False;042223.txt;5.2248483
000037.txt;True;000037.txt;1.7965891
000038.txt;True;000038.txt;1.7437732
000039.txt;True;000039.txt;1.9691653
000040.txt;True;000040.txt;1.6689526
000041.txt;True;000041.txt;1.7099543
000042.txt;True;000042.txt;1.7681068
000043.txt;True;000043.txt;1.9841452
000044.txt;True;000044.txt;3.519031
000045.txt;True;000045.txt;4.3839073
000046.txt;True;000046.txt;8.123927
000047.txt;True;000047.txt;5.105303
000048.txt;True;000048.txt;3.826961
000049.txt;False;004077.txt;7.9311028
000050.txt;False;024613.txt;4.5121994
000051.txt;False;001403.txt;6.2001896
000052.txt;True;000052.txt;5.7475567
000053.txt;False;002787.txt;6.097743
000054.txt;True;000054.txt;2.8914096
000055.txt;True;000055.txt;4.952175
000056.txt;False;008515.txt;5.8980665
000057.txt;False;040010.txt;5.433811
000058.txt;True;000058.txt;4.148505
000059.txt;False;001026.txt;4.8521247
000060.txt;False;002787.txt;7.14773
000061.txt;False;007900.txt;7.0694213
000062.txt;True;000062.txt;5.256956
000063.txt;True;000063.txt;2.1053925
000064.txt;False;024613.txt;5.925002
000065.txt;True;000065.txt;5.1489983
000066.txt;True;000066.txt;5.57918
000067.txt;True;000067.txt;4.152855
000068.txt;True;000068.txt;2.789734
000069.txt;False;078461.txt;5.1557174
000070.txt;False;014076.txt;7.4201956
000071.txt;True;000071.txt;5.1299953
000072.txt;True;000072.txt;5.665893
000073.txt;True;000073.txt;4.217142
000074.txt;True;000074.txt;4.434512
000075.txt;True;000075.txt;4.819466
000076.txt;False;028863.txt;3.2108638
000077.txt;True;000077.txt;6.752161
000078.txt;True;000078.txt;7.294691
000079.txt;False;039853.txt;8.482054
000080.txt;False;002787.txt;5.233324
000081.txt;False;008515.txt;6.290502
000082.txt;False;024613.txt;6.98518
000083.txt;False;073179.txt;8.089464
000084.txt;True;000084.txt;6.731912
000085.txt;True;000085.txt;3.7822762
000086.txt;True;000086.txt;3.2793908
000087.txt;False;027241.txt;6.3885317
000088.txt;False;066737.txt;6.129096
000089.txt;True;000089.txt;6.483984
000090.txt;False;037444.txt;7.503381
000091.txt;True;000091.txt;3.1924431
000092.txt;False;030915.txt;4.80742
000093.txt;False;057419.txt;5.9535937
000094.txt;False;019647.txt;3.607909
000095.txt;True;000095.txt;5.7558494
000096.txt;True;000096.txt;4.1866665
000097.txt;False;018950.txt;6.733036
000098.txt;True;000098.txt;4.5406227
000099.txt;True;000099.txt;2.0523968
000100.txt;True;000100.txt;2.4590757
000101.txt;True;000101.txt;4.7279863
000102.txt;False;051419.txt;7.9341817
000103.txt;True;000103.txt;4.145576
000104.txt;False;003653.txt;6.306732
000105.txt;True;000105.txt;4.9634724
000106.txt;True;000106.txt;3.9091053
000107.txt;False;017284.txt;6.1994867
000108.txt;True;000108.txt;1.836549
000109.txt;True;000109.txt;2.0191643
000110.txt;False;032596.txt;11.143165
000111.txt;True;000111.txt;2.7683845
000112.txt;False;000117.txt;8.699531
000113.txt;True;000113.txt;4.949928
000114.txt;False;062122.txt;9.589607
000115.txt;True;000115.txt;3.6976414
000116.txt;False;072416.txt;6.488949
000117.txt;True;000117.txt;3.7280607
000118.txt;False;000120.txt;3.320675
000119.txt;True;000119.txt;5.175917
000120.txt;True;000120.txt;2.6176958
000121.txt;True;000121.txt;3.443654
000122.txt;False;063123.txt;6.19963
000123.txt;True;000123.txt;4.0595665
000124.txt;True;000124.txt;1.8314599
000126.txt;True;000126.txt;8.4190445
000127.txt;True;000127.txt;6.3350644
000128.txt;True;000128.txt;2.7878242
000129.txt;False;061932.txt;5.06808
000130.txt;True;000130.txt;7.175889
000131.txt;True;000131.txt;6.070141
000132.txt;True;000132.txt;2.9157562
000133.txt;True;000133.txt;3.3045282
000134.txt;True;000134.txt;2.8013253
000135.txt;True;000135.txt;3.9389105
000136.txt;True;000136.txt;1.8120283
000137.txt;False;002956.txt;7.8930254
000138.txt;True;000138.txt;6.5475836
000139.txt;False;049934.txt;9.067495
000140.txt;True;000140.txt;5.672292
000141.txt;True;000141.txt;5.2718782
