query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.8053405
000001.txt;True;000001.txt;0.6883079
000002.txt;False;007581.txt;0.7692826
000003.txt;True;000003.txt;0.7531482
000004.txt;True;000004.txt;0.87948704
000005.txt;False;030470.txt;0.72890675
000006.txt;False;026956.txt;0.6962067
000007.txt;False;009601.txt;0.67909545
000008.txt;False;078925.txt;0.77434266
000009.txt;True;000009.txt;0.7392019
000010.txt;True;000010.txt;0.813763
000011.txt;False;008720.txt;0.8456904
000012.txt;True;000012.txt;0.81719434
000013.txt;True;000013.txt;0.81724143
000014.txt;True;000014.txt;0.75667125
000015.txt;True;000015.txt;0.8531653
000016.txt;False;000015.txt;0.81798947
000017.txt;True;000017.txt;0.6421338
000018.txt;True;000018.txt;0.8548536
000019.txt;True;000019.txt;0.7685381
000020.txt;False;011704.txt;0.77681136
000021.txt;True;000021.txt;0.83908564
000022.txt;True;000022.txt;0.9013703
000023.txt;True;000023.txt;0.8197143
000024.txt;True;000024.txt;0.8053392
000025.txt;True;000025.txt;0.9076643
000026.txt;True;000026.txt;0.8620665
000027.txt;True;000027.txt;0.92119944
000028.txt;True;000028.txt;0.91366976
000029.txt;True;000029.txt;0.9176482
000030.txt;True;000030.txt;0.8084452
000031.txt;True;000031.txt;0.79486763
000032.txt;True;000032.txt;0.66870856
000034.txt;True;000034.txt;0.8149829
000035.txt;True;000035.txt;0.7305708
000036.txt;True;000036.txt;0.72188115
000037.txt;True;000037.txt;0.8753455
000038.txt;True;000038.txt;0.91995776
000039.txt;True;000039.txt;0.91108584
000040.txt;True;000040.txt;0.91724813
000041.txt;True;000041.txt;0.9151632
000042.txt;True;000042.txt;0.9167197
000043.txt;True;000043.txt;0.90816426
000044.txt;False;000132.txt;0.76636547
000045.txt;True;000045.txt;0.7619941
000046.txt;False;000132.txt;0.78003603
000047.txt;False;000187.txt;0.79621255
000048.txt;True;000048.txt;0.89142114
000049.txt;True;000049.txt;0.82988536
000050.txt;True;000050.txt;0.84293675
000051.txt;False;001399.txt;0.7450224
000052.txt;False;000132.txt;0.77613103
000053.txt;True;000053.txt;0.7291878
000054.txt;True;000054.txt;0.7871484
000055.txt;False;020197.txt;0.7135945
000056.txt;True;000056.txt;0.8247181
000057.txt;True;000057.txt;0.8325132
000058.txt;True;000058.txt;0.8931008
000059.txt;False;001017.txt;0.6894109
000060.txt;False;004112.txt;0.74752843
000061.txt;True;000061.txt;0.7146461
000062.txt;True;000062.txt;0.87781346
000063.txt;True;000063.txt;0.6893215
000064.txt;False;002942.txt;0.73223776
000065.txt;True;000065.txt;0.8286052
000066.txt;True;000066.txt;0.6936512
000067.txt;True;000067.txt;0.88026595
000068.txt;True;000068.txt;0.8704548
000069.txt;True;000069.txt;0.7562029
000070.txt;True;000070.txt;0.649728
000071.txt;False;007346.txt;0.640606
000072.txt;True;000072.txt;0.83434767
000073.txt;True;000073.txt;0.77917325
000074.txt;False;053465.txt;0.6365686
000075.txt;True;000075.txt;0.7788633
000076.txt;True;000076.txt;0.7040541
000077.txt;True;000077.txt;0.72258484
000078.txt;True;000078.txt;0.64414096
000079.txt;True;000079.txt;0.71318823
000080.txt;False;004077.txt;0.7462143
000081.txt;False;004077.txt;0.72566974
000082.txt;True;000082.txt;0.8032363
000083.txt;False;048281.txt;0.6612537
000084.txt;True;000084.txt;0.6693007
000085.txt;False;077117.txt;0.6160028
000086.txt;True;000086.txt;0.7808063
000087.txt;False;016180.txt;0.7902545
000088.txt;False;069591.txt;0.7545227
000089.txt;False;020989.txt;0.72779834
000090.txt;True;000090.txt;0.65008175
000091.txt;True;000091.txt;0.8348414
000092.txt;True;000092.txt;0.76453847
000093.txt;True;000093.txt;0.79094094
000094.txt;False;019647.txt;0.76422226
000095.txt;True;000095.txt;0.7992969
000096.txt;True;000096.txt;0.7768997
000097.txt;True;000097.txt;0.7278433
000098.txt;True;000098.txt;0.87949234
000099.txt;True;000099.txt;0.72082585
000100.txt;True;000100.txt;0.82563645
000101.txt;True;000101.txt;0.59712726
000102.txt;False;016180.txt;0.78365684
000103.txt;True;000103.txt;0.76445574
000104.txt;False;028255.txt;0.6864673
000105.txt;True;000105.txt;0.73689777
000106.txt;True;000106.txt;0.86327267
000107.txt;True;000107.txt;0.6626663
000108.txt;True;000108.txt;0.90979534
000109.txt;True;000109.txt;0.92190945
000110.txt;False;000106.txt;0.7442854
000111.txt;True;000111.txt;0.71057284
000112.txt;True;000112.txt;0.660481
000113.txt;True;000113.txt;0.8126893
000114.txt;True;000114.txt;0.7295181
000115.txt;True;000115.txt;0.7234343
000116.txt;False;017301.txt;0.73538995
000117.txt;True;000117.txt;0.651443
000118.txt;False;000121.txt;0.7920286
000119.txt;False;039698.txt;0.6304158
000120.txt;True;000120.txt;0.89519095
000121.txt;True;000121.txt;0.89824593
000122.txt;True;000122.txt;0.69669914
000123.txt;True;000123.txt;0.62747777
000124.txt;True;000124.txt;0.7364881
000126.txt;False;000187.txt;0.76780367
000127.txt;True;000127.txt;0.80998826
000128.txt;True;000128.txt;0.8130704
000129.txt;True;000129.txt;0.6750395
000130.txt;True;000130.txt;0.76252747
000131.txt;True;000131.txt;0.7349705
000132.txt;True;000132.txt;0.83934915
000133.txt;False;001402.txt;0.7472027
000134.txt;False;066147.txt;0.63684165
000135.txt;True;000135.txt;0.64539015
000136.txt;True;000136.txt;0.7948574
000137.txt;True;000137.txt;0.7053124
000138.txt;True;000138.txt;0.7256471
000139.txt;False;009373.txt;0.60756665
000140.txt;True;000140.txt;0.7935199
000141.txt;False;065995.txt;0.6030743
000142.txt;False;078508.txt;0.69247556
000143.txt;True;000143.txt;0.7062025
000144.txt;False;014751.txt;0.64262724
000145.txt;False;017301.txt;0.73852265
000146.txt;False;042891.txt;0.6854336
000147.txt;False;028227.txt;0.67956364
000148.txt;False;049976.txt;0.70800316
000149.txt;True;000149.txt;0.8540299
000150.txt;False;051369.txt;0.645821
000151.txt;False;002534.txt;0.6803602
000152.txt;False;071949.txt;0.6547836
000153.txt;True;000153.txt;0.85880625
000154.txt;False;019327.txt;0.7026635
000155.txt;False;078526.txt;0.68763185
000156.txt;True;000156.txt;0.7619685
000157.txt;False;078565.txt;0.7106464
000158.txt;True;000158.txt;0.8039668
000159.txt;False;078565.txt;0.7539719
000160.txt;True;000160.txt;0.8262235
000161.txt;True;000161.txt;0.7678822
000162.txt;True;000162.txt;0.6772834
000163.txt;True;000163.txt;0.7664528
000164.txt;True;000164.txt;0.8020092
000165.txt;True;000165.txt;0.7412677
000166.txt;True;000166.txt;0.86176
000167.txt;True;000167.txt;0.71601355
000168.txt;True;000168.txt;0.70166725
000169.txt;True;000169.txt;0.85817873
000170.txt;True;000170.txt;0.7112216
000171.txt;True;000171.txt;0.8183865
000172.txt;True;000172.txt;0.770897
000173.txt;False;076645.txt;0.6652243
000174.txt;True;000174.txt;0.7624248
000175.txt;True;000175.txt;0.7976459
000176.txt;True;000176.txt;0.79185236
000177.txt;True;000177.txt;0.74508977
000178.txt;False;003735.txt;0.71559036
000179.txt;True;000179.txt;0.5769038
000180.txt;True;000180.txt;0.59107786
000181.txt;True;000181.txt;0.80532277
000182.txt;True;000182.txt;0.80199605
