query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.82723784
000001.txt;True;000001.txt;0.8870913
000002.txt;True;000002.txt;0.8861698
000003.txt;False;078573.txt;0.83978516
000004.txt;True;000004.txt;0.8562513
000005.txt;False;036941.txt;0.85216266
000006.txt;False;078880.txt;0.8204489
000007.txt;False;001198.txt;0.8166069
000008.txt;True;000008.txt;0.837028
000009.txt;False;078559.txt;0.8027113
000010.txt;False;005307.txt;0.8593484
000011.txt;True;000011.txt;0.8835512
000012.txt;True;000012.txt;0.86516225
000013.txt;True;000013.txt;0.90090376
000014.txt;True;000014.txt;0.8584569
000015.txt;True;000015.txt;0.91085774
000016.txt;False;000015.txt;0.8799331
000017.txt;True;000017.txt;0.8474493
000018.txt;True;000018.txt;0.84714115
000019.txt;True;000019.txt;0.85409
000020.txt;True;000020.txt;0.8290217
000021.txt;True;000021.txt;0.9136803
000022.txt;True;000022.txt;0.9140743
000023.txt;True;000023.txt;0.8896043
000024.txt;True;000024.txt;0.88592756
000025.txt;True;000025.txt;0.92529094
000026.txt;True;000026.txt;0.85844946
000027.txt;True;000027.txt;0.9220805
000028.txt;True;000028.txt;0.93009675
000029.txt;True;000029.txt;0.90506387
000030.txt;False;007571.txt;0.8589264
000031.txt;False;016165.txt;0.88452375
000032.txt;False;063963.txt;0.8219249
000034.txt;False;008872.txt;0.80706155
000035.txt;False;027736.txt;0.80613816
000036.txt;False;027263.txt;0.83584917
000037.txt;True;000037.txt;0.91538525
000038.txt;True;000038.txt;0.92487967
000039.txt;True;000039.txt;0.9156218
000040.txt;True;000040.txt;0.9221335
000041.txt;True;000041.txt;0.91957545
000042.txt;True;000042.txt;0.9300532
000043.txt;True;000043.txt;0.9207822
000044.txt;True;000044.txt;0.86501485
000045.txt;True;000045.txt;0.87540185
000046.txt;False;000126.txt;0.8482852
000047.txt;False;075527.txt;0.86223567
000048.txt;True;000048.txt;0.8801037
000049.txt;True;000049.txt;0.89073837
000050.txt;False;076413.txt;0.8363246
000051.txt;False;000272.txt;0.84553266
000052.txt;True;000052.txt;0.8767923
000053.txt;True;000053.txt;0.8748847
000054.txt;True;000054.txt;0.82791156
000055.txt;True;000055.txt;0.8054196
000056.txt;True;000056.txt;0.8677244
000057.txt;False;004089.txt;0.8463814
000058.txt;True;000058.txt;0.8525147
000059.txt;True;000059.txt;0.8211081
000060.txt;True;000060.txt;0.8765109
000061.txt;True;000061.txt;0.8376962
000062.txt;True;000062.txt;0.85898787
000063.txt;True;000063.txt;0.8426518
000064.txt;True;000064.txt;0.8552925
000065.txt;True;000065.txt;0.8792541
000066.txt;True;000066.txt;0.8555187
000067.txt;True;000067.txt;0.8597809
000068.txt;True;000068.txt;0.82913923
000069.txt;True;000069.txt;0.8440838
000070.txt;False;075548.txt;0.8260416
000071.txt;True;000071.txt;0.8229536
000072.txt;True;000072.txt;0.8858608
000073.txt;False;076966.txt;0.83244306
000074.txt;False;001581.txt;0.8115519
000075.txt;True;000075.txt;0.8268461
000076.txt;False;028440.txt;0.8185555
000077.txt;False;041097.txt;0.8457272
000078.txt;False;076146.txt;0.81285226
000079.txt;True;000079.txt;0.8409969
000080.txt;True;000080.txt;0.88490367
000081.txt;True;000081.txt;0.8667178
000082.txt;True;000082.txt;0.87945074
000083.txt;False;044213.txt;0.8237734
000084.txt;False;046613.txt;0.8155291
000085.txt;False;063802.txt;0.8262066
000086.txt;True;000086.txt;0.8537283
000087.txt;True;000087.txt;0.8800982
000088.txt;False;000089.txt;0.81515324
000089.txt;True;000089.txt;0.8151698
000090.txt;False;062219.txt;0.81609225
000091.txt;False;076436.txt;0.8561803
000092.txt;False;009054.txt;0.8647356
000093.txt;False;053129.txt;0.8205092
000094.txt;False;028990.txt;0.8111765
