query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.036053292
000001.txt;True;000001.txt;0.041948322
000002.txt;True;000002.txt;0.029659718
000003.txt;True;000003.txt;0.028625377
000004.txt;False;077363.txt;0.03742283
000005.txt;True;000005.txt;0.03394998
000006.txt;True;000006.txt;0.03130699
000007.txt;False;025584.txt;0.03810353
000008.txt;False;042529.txt;0.034048527
000009.txt;True;000009.txt;0.03782455
000010.txt;True;000010.txt;0.028185703
000011.txt;True;000011.txt;0.03623929
000012.txt;True;000012.txt;0.034274593
000013.txt;True;000013.txt;0.036312915
000014.txt;False;062101.txt;0.031603537
000015.txt;False;006981.txt;0.032267928
000016.txt;False;078605.txt;0.024116253
000017.txt;True;000017.txt;0.03730454
000018.txt;True;000018.txt;0.042146266
000019.txt;True;000019.txt;0.031570792
000020.txt;False;073765.txt;0.038706273
000021.txt;True;000021.txt;0.030993305
000022.txt;True;000022.txt;0.03211379
000023.txt;True;000023.txt;0.032018635
000024.txt;False;008351.txt;0.028563255
000025.txt;True;000025.txt;0.03367474
000026.txt;False;003756.txt;0.040516216
000027.txt;True;000027.txt;0.034701727
000028.txt;True;000028.txt;0.03457319
000029.txt;True;000029.txt;0.03466337
000030.txt;False;005413.txt;0.028154653
000031.txt;False;005413.txt;0.027090121
000032.txt;True;000032.txt;0.037023645
000034.txt;True;000034.txt;0.04496546
000035.txt;False;000787.txt;0.034074783
000036.txt;True;000036.txt;0.043925546
000037.txt;True;000037.txt;0.035284556
000038.txt;True;000038.txt;0.03514885
000039.txt;True;000039.txt;0.035371378
000040.txt;True;000040.txt;0.034290224
000041.txt;True;000041.txt;0.03384172
000042.txt;True;000042.txt;0.034691263
000043.txt;True;000043.txt;0.034800272
000044.txt;True;000044.txt;0.03334496
000045.txt;True;000045.txt;0.038237542
000046.txt;True;000046.txt;0.036051396
000047.txt;True;000047.txt;0.037941273
000048.txt;False;030561.txt;0.027351387
000049.txt;False;077687.txt;0.027110524
000050.txt;False;006097.txt;0.030925803
000051.txt;True;000051.txt;0.032096192
000052.txt;True;000052.txt;0.036844112
000053.txt;True;000053.txt;0.031956498
000054.txt;False;017458.txt;0.030759448
000055.txt;False;062808.txt;0.037787437
000056.txt;True;000056.txt;0.035264052
000057.txt;False;006869.txt;0.028665012
000058.txt;False;064545.txt;0.030292932
000059.txt;True;000059.txt;0.040502265
000060.txt;False;075279.txt;0.029996501
000061.txt;True;000061.txt;0.04665393
000062.txt;True;000062.txt;0.02635834
000063.txt;False;030718.txt;0.035967268
000064.txt;False;054342.txt;0.028527798
000065.txt;True;000065.txt;0.032684397
000066.txt;True;000066.txt;0.047887616
000067.txt;True;000067.txt;0.04121475
000068.txt;False;048251.txt;0.03313466
000069.txt;True;000069.txt;0.035852525
000070.txt;False;076538.txt;0.030544218
000071.txt;False;071912.txt;0.043477416
000072.txt;True;000072.txt;0.03585384
000073.txt;True;000073.txt;0.030778276
000074.txt;True;000074.txt;0.035335984
000075.txt;True;000075.txt;0.030448947
000076.txt;True;000076.txt;0.029148553
000077.txt;True;000077.txt;0.039151177
000078.txt;True;000078.txt;0.038140256
000079.txt;True;000079.txt;0.035137806
000080.txt;False;062037.txt;0.045876473
000081.txt;True;000081.txt;0.030053314
000082.txt;True;000082.txt;0.033016607
000083.txt;False;005097.txt;0.039144583
000084.txt;True;000084.txt;0.028626576
000085.txt;True;000085.txt;0.03285811
000086.txt;True;000086.txt;0.0306306
000087.txt;False;065831.txt;0.028154477
000088.txt;False;028866.txt;0.0310931
000089.txt;True;000089.txt;0.036088444
000090.txt;False;076746.txt;0.03589668
000091.txt;True;000091.txt;0.04156065
000092.txt;True;000092.txt;0.03860715
000093.txt;True;000093.txt;0.033842564
000094.txt;True;000094.txt;0.040268533
000095.txt;False;006981.txt;0.039332643
000096.txt;True;000096.txt;0.048556678
000097.txt;True;000097.txt;0.034352526
000098.txt;True;000098.txt;0.036785625
000099.txt;True;000099.txt;0.038867913
000100.txt;True;000100.txt;0.034592956
000101.txt;True;000101.txt;0.027880829
000102.txt;False;011570.txt;0.029429182
000103.txt;True;000103.txt;0.03534449
000104.txt;True;000104.txt;0.033963233
000105.txt;True;000105.txt;0.027843669
000106.txt;True;000106.txt;0.03607774
000107.txt;True;000107.txt;0.031918816
000108.txt;True;000108.txt;0.03624139
000109.txt;True;000109.txt;0.035240423
000110.txt;True;000110.txt;0.035746515
000111.txt;False;059280.txt;0.04114396
000112.txt;True;000112.txt;0.030488381
000113.txt;False;077003.txt;0.025261914
000114.txt;True;000114.txt;0.033672918
000115.txt;True;000115.txt;0.041960638
000116.txt;False;010948.txt;0.029412705
000117.txt;True;000117.txt;0.03448945
000118.txt;True;000118.txt;0.04289821
000119.txt;False;000749.txt;0.033438377
000120.txt;True;000120.txt;0.034027264
000121.txt;True;000121.txt;0.04683397
000122.txt;False;034119.txt;0.031688564
000123.txt;True;000123.txt;0.039988175
000124.txt;False;026906.txt;0.038934268
000126.txt;True;000126.txt;0.03890516
000127.txt;True;000127.txt;0.033816386
000128.txt;True;000128.txt;0.042044804
000129.txt;False;007040.txt;0.031787932
000130.txt;True;000130.txt;0.032237135
000131.txt;True;000131.txt;0.030614067
000132.txt;True;000132.txt;0.03194364
000133.txt;False;078744.txt;0.0300308
000134.txt;True;000134.txt;0.034884457
000135.txt;False;028029.txt;0.036546975
000136.txt;False;077476.txt;0.018781608
000137.txt;True;000137.txt;0.034652855
000138.txt;True;000138.txt;0.038475327
000139.txt;False;019340.txt;0.034188014
000140.txt;True;000140.txt;0.031721193
000141.txt;True;000141.txt;0.04378826
000142.txt;False;011570.txt;0.032287285
000143.txt;False;074071.txt;0.03248335
000144.txt;True;000144.txt;0.033915944
000145.txt;False;020452.txt;0.031268768
000146.txt;True;000146.txt;0.032241765
000147.txt;False;011570.txt;0.032995712
000148.txt;False;065620.txt;0.03748969
000149.txt;True;000149.txt;0.03679186
000150.txt;True;000150.txt;0.044550225
000151.txt;False;011570.txt;0.0318757
000152.txt;False;011570.txt;0.042215966
000153.txt;True;000153.txt;0.03530335
000154.txt;False;010948.txt;0.03239666
000155.txt;True;000155.txt;0.035222642
000156.txt;True;000156.txt;0.038711093
000157.txt;False;038932.txt;0.025353875
000158.txt;False;000163.txt;0.031257197
000159.txt;False;016770.txt;0.03492182
000160.txt;False;008249.txt;0.03468111
000161.txt;False;051099.txt;0.035548054
000162.txt;False;078750.txt;0.047343098
000163.txt;True;000163.txt;0.03335063
000164.txt;True;000164.txt;0.04090537
000165.txt;True;000165.txt;0.030701693
000166.txt;True;000166.txt;0.045358688
000167.txt;False;019923.txt;0.033679757
000168.txt;False;073889.txt;0.031655174
000169.txt;False;000353.txt;0.029745417
000170.txt;True;000170.txt;0.03745889
000171.txt;False;000462.txt;0.030495279
000172.txt;False;012993.txt;0.035136476
000173.txt;True;000173.txt;0.037500255
000174.txt;False;011570.txt;0.036008768
000175.txt;False;027248.txt;0.046168875
000176.txt;False;044777.txt;0.0198021
000177.txt;True;000177.txt;0.03784772
000178.txt;True;000178.txt;0.029732399
000179.txt;True;000179.txt;0.034392163
000180.txt;False;008249.txt;0.03699126
000181.txt;True;000181.txt;0.037194647
000182.txt;True;000182.txt;0.039450575
000183.txt;True;000183.txt;0.037276268
000184.txt;True;000184.txt;0.031493917
000185.txt;True;000185.txt;0.039947845
000186.txt;False;074311.txt;0.034136556
000187.txt;True;000187.txt;0.03516054
000188.txt;True;000188.txt;0.036247425
000189.txt;True;000189.txt;0.03434966
000190.txt;True;000190.txt;0.034846947
000191.txt;True;000191.txt;0.03233489
000192.txt;True;000192.txt;0.047945153
000193.txt;True;000193.txt;0.03575754
000194.txt;True;000194.txt;0.041469328
000195.txt;False;039584.txt;0.032008238
000196.txt;False;056689.txt;0.034387566
000197.txt;False;073170.txt;0.03988863
000198.txt;True;000198.txt;0.031775355
000199.txt;True;000199.txt;0.03384564
000200.txt;True;000200.txt;0.030728584
000201.txt;False;074943.txt;0.034994572
000202.txt;True;000202.txt;0.039978523
000203.txt;False;052682.txt;0.026202489
000204.txt;False;007638.txt;0.031425342
000205.txt;False;078784.txt;0.031029804
000206.txt;True;000206.txt;0.033298258
000207.txt;False;045043.txt;0.026114738
000208.txt;False;011570.txt;0.03871412
000209.txt;False;011570.txt;0.036753263
000210.txt;True;000210.txt;0.034450203
000211.txt;False;008249.txt;0.043745123
000212.txt;True;000212.txt;0.04000379
000213.txt;False;044113.txt;0.029074796
000214.txt;True;000214.txt;0.027848024
000215.txt;True;000215.txt;0.040347513
000216.txt;True;000216.txt;0.030867055
000217.txt;False;071912.txt;0.027377898
000219.txt;True;000219.txt;0.03389676
000220.txt;False;038701.txt;0.029338295
000221.txt;False;000475.txt;0.020955417
000222.txt;True;000222.txt;0.032671954
000223.txt;False;077777.txt;0.028979896
000224.txt;True;000224.txt;0.047019724
000225.txt;False;008230.txt;0.025841255
000226.txt;False;000216.txt;0.030541796
000227.txt;True;000227.txt;0.034679543
000228.txt;True;000228.txt;0.027557127
000229.txt;False;030718.txt;0.035665534
000230.txt;True;000230.txt;0.03214116
000231.txt;False;000216.txt;0.027559234
000232.txt;False;072121.txt;0.037150506
000233.txt;True;000233.txt;0.038455956
000234.txt;True;000234.txt;0.03340386
000235.txt;False;073170.txt;0.03934765
000236.txt;True;000236.txt;0.034329325
000237.txt;False;011570.txt;0.037976786
000238.txt;True;000238.txt;0.0336042
000239.txt;False;005425.txt;0.026569664
000240.txt;False;075104.txt;0.026827471
000241.txt;True;000241.txt;0.033742778
000242.txt;True;000242.txt;0.04049711
000243.txt;True;000243.txt;0.029309379
000244.txt;True;000244.txt;0.035374396
000245.txt;True;000245.txt;0.029975835
000246.txt;True;000246.txt;0.03474672
000247.txt;False;074274.txt;0.025776908
000248.txt;False;071912.txt;0.028529234
000249.txt;True;000249.txt;0.038858302
000250.txt;True;000250.txt;0.048758574
000251.txt;False;065162.txt;0.02929309
000252.txt;False;000447.txt;0.022547476
000253.txt;True;000253.txt;0.050172854
000254.txt;False;011570.txt;0.026932359
000255.txt;True;000255.txt;0.044889472
000256.txt;True;000256.txt;0.03789479
000257.txt;True;000257.txt;0.041372433
000258.txt;False;069289.txt;0.029326033
000259.txt;True;000259.txt;0.036045477
000260.txt;True;000260.txt;0.038105838
000261.txt;False;063410.txt;0.019609146
000262.txt;True;000262.txt;0.022628948
000263.txt;True;000263.txt;0.03884896
000264.txt;False;042499.txt;0.018841073
000265.txt;True;000265.txt;0.04327215
000266.txt;False;006311.txt;0.038559526
000267.txt;True;000267.txt;0.0419226
000268.txt;True;000268.txt;0.026700355
000269.txt;False;005474.txt;0.036949
000270.txt;True;000270.txt;0.037869804
000271.txt;True;000271.txt;0.03472454
000272.txt;True;000272.txt;0.033240963
000273.txt;True;000273.txt;0.03458328
000274.txt;True;000274.txt;0.032875896
000275.txt;False;057915.txt;0.038786877
000276.txt;False;000211.txt;0.032808013
000277.txt;True;000277.txt;0.035437804
000278.txt;True;000278.txt;0.03714203
000279.txt;True;000279.txt;0.037824422
000280.txt;True;000280.txt;0.0393914
000281.txt;True;000281.txt;0.033937056
000282.txt;True;000282.txt;0.036625013
000283.txt;True;000283.txt;0.032071114
000284.txt;True;000284.txt;0.03924896
000285.txt;True;000285.txt;0.027346626
000286.txt;True;000286.txt;0.039784007
000287.txt;True;000287.txt;0.03832625
000288.txt;True;000288.txt;0.04032673
000289.txt;False;000290.txt;0.029684298
000290.txt;True;000290.txt;0.034357496
000291.txt;True;000291.txt;0.029668383
000292.txt;False;005539.txt;0.031895895
000293.txt;False;008249.txt;0.035810523
000294.txt;True;000294.txt;0.043963224
000295.txt;True;000295.txt;0.0226286
000296.txt;True;000296.txt;0.03676906
000297.txt;True;000297.txt;0.034771807
000298.txt;False;058584.txt;0.026256623
000299.txt;False;015249.txt;0.035717957
000300.txt;False;000044.txt;0.03525292
000301.txt;False;063664.txt;0.03466539
000302.txt;True;000302.txt;0.039522782
000303.txt;True;000303.txt;0.040802956
000304.txt;False;074551.txt;0.03566799
000305.txt;True;000305.txt;0.035796694
000306.txt;True;000306.txt;0.042331185
000308.txt;True;000308.txt;0.028880943
000309.txt;False;006915.txt;0.030056484
000310.txt;False;063995.txt;0.043173905
000311.txt;True;000311.txt;0.036935795
000312.txt;True;000312.txt;0.03083926
000313.txt;True;000313.txt;0.036679536
000314.txt;True;000314.txt;0.0354827
000315.txt;True;000315.txt;0.030978845
000316.txt;True;000316.txt;0.032314956
000317.txt;False;003244.txt;0.026483621
000318.txt;True;000318.txt;0.028543523
000319.txt;False;073829.txt;0.03152457
000320.txt;True;000320.txt;0.047936484
000321.txt;False;073549.txt;0.03659884
000322.txt;True;000322.txt;0.03280399
000323.txt;False;003244.txt;0.029832765
000324.txt;False;002307.txt;0.04427396
000325.txt;True;000325.txt;0.045273207
000326.txt;True;000326.txt;0.035756283
000327.txt;True;000327.txt;0.045333166
000328.txt;False;011570.txt;0.03551778
000329.txt;False;021823.txt;0.028267523
000330.txt;False;055926.txt;0.02715658
000331.txt;False;011570.txt;0.039111644
000332.txt;False;008249.txt;0.033197284
000333.txt;True;000333.txt;0.038370974
000334.txt;False;074025.txt;0.045977563
000335.txt;False;011076.txt;0.0334389
000336.txt;True;000336.txt;0.034400925
000337.txt;True;000337.txt;0.025537271
000338.txt;True;000338.txt;0.031800732
000339.txt;False;014819.txt;0.030543115
000341.txt;False;007627.txt;0.032640055
000342.txt;True;000342.txt;0.044342726
000343.txt;False;004827.txt;0.03609047
000344.txt;True;000344.txt;0.033966865
000345.txt;False;011570.txt;0.041999944
000346.txt;True;000346.txt;0.028487923
000347.txt;False;008069.txt;0.027130727
000348.txt;False;077283.txt;0.034693394
000349.txt;True;000349.txt;0.042995885
000350.txt;False;002149.txt;0.032211553
000351.txt;True;000351.txt;0.032381758
000352.txt;False;037901.txt;0.023840433
000353.txt;False;011570.txt;0.039108522
000354.txt;False;012622.txt;0.028582208
000355.txt;True;000355.txt;0.030271197
000356.txt;False;011076.txt;0.029839113
000357.txt;False;063664.txt;0.029546622
000358.txt;True;000358.txt;0.044360206
000359.txt;False;011570.txt;0.029821651
000360.txt;True;000360.txt;0.027692609
000361.txt;False;026906.txt;0.030969191
000362.txt;False;027506.txt;0.037602693
000363.txt;False;011577.txt;0.032267287
000364.txt;True;000364.txt;0.02406859
000366.txt;False;011570.txt;0.0356389
000367.txt;False;008249.txt;0.03502447
000368.txt;True;000368.txt;0.03276838
000369.txt;False;037590.txt;0.04237402
000370.txt;True;000370.txt;0.041563097
000371.txt;True;000371.txt;0.0327465
000372.txt;True;000372.txt;0.028797876
000373.txt;True;000373.txt;0.025864739
000374.txt;False;000702.txt;0.025146488
000375.txt;False;048393.txt;0.023702506
000376.txt;False;011570.txt;0.04459492
000377.txt;False;008249.txt;0.036492653
000378.txt;False;008249.txt;0.043835305
000379.txt;True;000379.txt;0.04216659
