query_file;found;search_result;search_distances
000000.txt;True;000000.txt;37.322266
000001.txt;False;006221.txt;11.745548
000002.txt;False;006109.txt;15.305935
000003.txt;True;000003.txt;26.122623
000004.txt;False;018880.txt;17.028492
000005.txt;False;030653.txt;13.881622
000006.txt;False;030653.txt;14.430672
000007.txt;False;025584.txt;16.569046
000008.txt;False;065034.txt;10.565512
000009.txt;False;075075.txt;24.07214
000010.txt;False;007430.txt;14.136016
000011.txt;True;000011.txt;27.176693
000012.txt;False;061883.txt;15.01037
000013.txt;True;000013.txt;17.391861
000014.txt;False;074585.txt;13.222812
000015.txt;False;075578.txt;17.203321
000016.txt;False;014164.txt;19.377018
000017.txt;False;054729.txt;26.295616
000018.txt;False;076282.txt;13.948122
000019.txt;True;000019.txt;26.386465
000020.txt;False;021704.txt;11.311649
000021.txt;False;078565.txt;23.12992
000022.txt;False;078565.txt;23.9421
000023.txt;False;078565.txt;23.713354
000024.txt;False;078565.txt;24.546036
000025.txt;False;078565.txt;24.072098
000026.txt;False;065972.txt;18.579607
000027.txt;False;078565.txt;23.180199
000028.txt;False;078565.txt;23.805233
000029.txt;False;078565.txt;24.147985
000030.txt;False;015370.txt;23.879513
000031.txt;False;015370.txt;23.417692
000032.txt;True;000032.txt;28.793404
000034.txt;False;026807.txt;14.452026
000035.txt;False;050720.txt;15.521843
000036.txt;False;004382.txt;22.102089
000037.txt;False;078565.txt;25.0448
000038.txt;False;078565.txt;25.44543
000039.txt;False;078565.txt;25.193323
000040.txt;False;078565.txt;24.811169
000041.txt;False;078565.txt;24.977213
000042.txt;False;078565.txt;25.278599
000043.txt;False;078565.txt;25.337784
000044.txt;True;000044.txt;25.029488
000045.txt;True;000045.txt;25.740305
000046.txt;True;000046.txt;25.965027
000047.txt;True;000047.txt;26.544315
000048.txt;False;021954.txt;18.299927
000049.txt;False;077687.txt;21.063833
000050.txt;False;001020.txt;14.218775
000051.txt;True;000051.txt;26.803745
000052.txt;True;000052.txt;24.761463
000053.txt;False;071087.txt;9.204771
000054.txt;False;015715.txt;10.741309
000055.txt;False;064453.txt;18.005026
000056.txt;False;066636.txt;15.320934
000057.txt;True;000057.txt;11.720137
000058.txt;False;031821.txt;9.163031
000059.txt;False;005422.txt;15.100261
000060.txt;False;047784.txt;12.540173
000061.txt;False;033701.txt;15.464896
000062.txt;False;074193.txt;15.879609
000063.txt;False;042817.txt;9.410893
000064.txt;False;043279.txt;10.147071
000065.txt;False;023330.txt;14.7743
000066.txt;True;000066.txt;21.976774
000067.txt;False;005422.txt;17.11026
000068.txt;False;023607.txt;21.003977
000069.txt;True;000069.txt;27.399035
000070.txt;True;000070.txt;13.778234
000071.txt;True;000071.txt;29.697447
000072.txt;False;009554.txt;17.461996
000073.txt;False;068323.txt;15.584036
000074.txt;True;000074.txt;15.464748
000075.txt;False;009347.txt;18.064646
000076.txt;False;010601.txt;17.40782
000077.txt;False;009863.txt;25.149303
000078.txt;False;073745.txt;11.612234
000079.txt;False;074477.txt;20.54368
000080.txt;False;009704.txt;18.92588
000081.txt;True;000081.txt;8.738974
000082.txt;False;003886.txt;9.179183
000083.txt;False;073745.txt;14.052736
000084.txt;False;005323.txt;15.81975
000085.txt;True;000085.txt;24.57607
000086.txt;False;032473.txt;16.237968
000087.txt;False;044394.txt;12.384228
000088.txt;False;066737.txt;25.50868
000089.txt;True;000089.txt;27.237698
000090.txt;False;076746.txt;26.20047
000091.txt;False;045890.txt;17.3339
000092.txt;False;009347.txt;12.489088
000093.txt;False;009347.txt;17.061502
000094.txt;True;000094.txt;26.250324
000095.txt;False;010836.txt;17.175371
000096.txt;True;000096.txt;38.490967
000097.txt;False;003319.txt;22.157894
000098.txt;True;000098.txt;17.264317
000099.txt;True;000099.txt;31.259012
000100.txt;False;074571.txt;11.530012
000101.txt;True;000101.txt;20.695553
000102.txt;False;069031.txt;10.969125
000103.txt;True;000103.txt;25.75023
000104.txt;False;000000.txt;18.563484
000105.txt;False;039108.txt;12.448012
000106.txt;False;000110.txt;16.461475
000107.txt;False;001114.txt;15.120762
000108.txt;False;078565.txt;24.80197
000109.txt;False;078565.txt;24.576092
000110.txt;True;000110.txt;20.609333
000111.txt;True;000111.txt;23.50154
000112.txt;True;000112.txt;16.56221
000113.txt;False;053553.txt;11.491165
000114.txt;True;000114.txt;26.65269
000115.txt;True;000115.txt;44.859184
000116.txt;False;070862.txt;14.23922
000117.txt;False;073745.txt;11.533143
000118.txt;False;076714.txt;32.699757
000119.txt;False;000749.txt;30.286922
000120.txt;True;000120.txt;22.194164
000121.txt;False;071107.txt;14.981941
000122.txt;False;002102.txt;23.256638
000123.txt;False;006109.txt;13.612693
000124.txt;True;000124.txt;28.070286
000126.txt;True;000126.txt;27.710546
000127.txt;True;000127.txt;26.041218
000128.txt;True;000128.txt;26.151232
000129.txt;False;007040.txt;19.734535
000130.txt;True;000130.txt;27.428934
000131.txt;True;000131.txt;27.873802
000132.txt;True;000132.txt;25.366714
000133.txt;True;000133.txt;27.244106
000134.txt;True;000134.txt;26.97649
000135.txt;False;013310.txt;25.976536
000136.txt;False;071537.txt;19.892735
000137.txt;False;042817.txt;13.113576
000138.txt;True;000138.txt;16.05952
000139.txt;False;073745.txt;15.154852
