query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.366086
000001.txt;True;000001.txt;0.42916173
000002.txt;False;014880.txt;0.4173143
000003.txt;True;000003.txt;0.3619213
000004.txt;False;022862.txt;0.4011606
000005.txt;False;038878.txt;0.36489272
000006.txt;False;030655.txt;0.33168203
000007.txt;False;078259.txt;0.49084157
000008.txt;False;031860.txt;0.49904817
000009.txt;True;000009.txt;0.45474696
000010.txt;False;052586.txt;0.3440345
000011.txt;True;000011.txt;0.33658808
000012.txt;True;000012.txt;0.23739818
000013.txt;True;000013.txt;0.31463766
000014.txt;False;075313.txt;0.38084793
000015.txt;False;049272.txt;0.36237347
000016.txt;False;078605.txt;0.35793233
000017.txt;True;000017.txt;0.3717946
000018.txt;True;000018.txt;0.35435027
000019.txt;True;000019.txt;0.2659452
000020.txt;False;044057.txt;0.4958515
000021.txt;True;000021.txt;0.37698212
000022.txt;False;030465.txt;0.38160646
000023.txt;False;038290.txt;0.3539928
000024.txt;False;008351.txt;0.37480128
000025.txt;False;038290.txt;0.36166316
000026.txt;False;019799.txt;0.42657986
000027.txt;False;038290.txt;0.38546214
000028.txt;False;024473.txt;0.40312797
000029.txt;False;045185.txt;0.37473395
000030.txt;False;057536.txt;0.40130514
000031.txt;False;054204.txt;0.401657
000032.txt;True;000032.txt;0.41255578
000034.txt;True;000034.txt;0.4189641
000035.txt;False;061921.txt;0.39758304
000036.txt;False;028187.txt;0.39495757
000037.txt;False;024472.txt;0.39455655
000038.txt;True;000038.txt;0.39890653
000039.txt;True;000039.txt;0.37789893
000040.txt;False;038290.txt;0.3656928
000041.txt;True;000041.txt;0.38172585
000042.txt;True;000042.txt;0.37807423
000043.txt;True;000043.txt;0.39404288
000044.txt;True;000044.txt;0.38316217
000045.txt;False;000286.txt;0.38887143
000046.txt;True;000046.txt;0.4055784
000047.txt;False;078617.txt;0.4008847
000048.txt;True;000048.txt;0.44041365
000049.txt;True;000049.txt;0.43470138
000050.txt;True;000050.txt;0.37168026
000051.txt;True;000051.txt;0.40597612
000052.txt;True;000052.txt;0.3916403
000053.txt;False;068219.txt;0.40327728
000054.txt;False;078870.txt;0.50514483
000055.txt;False;036485.txt;0.46526533
000056.txt;False;064926.txt;0.3741278
000057.txt;False;004246.txt;0.38729203
000058.txt;False;003370.txt;0.4351344
000059.txt;False;048589.txt;0.41022176
000060.txt;False;004246.txt;0.40533644
000061.txt;False;012119.txt;0.33845595
000062.txt;True;000062.txt;0.3954937
000063.txt;False;064847.txt;0.520797
000064.txt;False;003370.txt;0.4383758
000065.txt;True;000065.txt;0.37380898
000066.txt;True;000066.txt;0.33289528
000067.txt;True;000067.txt;0.18049824
000068.txt;False;013466.txt;0.36781317
000069.txt;False;058215.txt;0.40068078
000070.txt;False;072135.txt;0.5161314
000071.txt;True;000071.txt;0.45274767
000072.txt;True;000072.txt;0.24911794
000073.txt;False;031246.txt;0.38749278
000074.txt;False;059714.txt;0.5188599
000075.txt;False;066759.txt;0.3204065
000076.txt;False;072836.txt;0.37440413
000077.txt;False;024413.txt;0.48741654
000078.txt;False;013684.txt;0.3572996
000079.txt;False;075599.txt;0.4525507
000080.txt;False;038558.txt;0.44727245
000081.txt;False;004246.txt;0.39235592
000082.txt;False;034381.txt;0.3901022
000083.txt;False;011149.txt;0.48032975
000084.txt;False;068632.txt;0.3917749
000085.txt;True;000085.txt;0.32983917
000086.txt;True;000086.txt;0.3093223
000087.txt;False;017409.txt;0.45875677
000088.txt;False;065169.txt;0.4708238
000089.txt;False;064912.txt;0.46722645
000090.txt;False;014799.txt;0.3761737
000091.txt;True;000091.txt;0.24256241
000092.txt;False;041765.txt;0.45500368
000093.txt;True;000093.txt;0.22152162
000094.txt;False;066785.txt;0.39323598
000095.txt;False;070010.txt;0.3825624
000096.txt;False;039022.txt;0.5337146
000097.txt;False;022304.txt;0.45491934
000098.txt;False;000692.txt;0.45220733
000099.txt;True;000099.txt;0.4811947
000100.txt;False;033216.txt;0.52205825
000101.txt;False;029925.txt;0.4121586
000102.txt;False;048181.txt;0.5114952
000103.txt;True;000103.txt;0.4082641
