query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.37908098
000001.txt;True;000001.txt;0.5187043
000002.txt;True;000002.txt;0.5803218
000003.txt;True;000003.txt;0.40990365
000004.txt;True;000004.txt;0.45616868
000005.txt;False;078876.txt;0.5139811
000006.txt;False;078876.txt;0.5660387
000007.txt;False;017716.txt;0.54640937
000008.txt;False;078933.txt;0.52454275
000009.txt;True;000009.txt;0.65481865
000010.txt;True;000010.txt;0.5263797
000011.txt;True;000011.txt;0.25095516
000012.txt;True;000012.txt;0.6291811
000013.txt;True;000013.txt;0.6581718
000014.txt;True;000014.txt;0.36951667
000015.txt;True;000015.txt;0.4188336
000016.txt;False;078617.txt;0.5217335
000017.txt;True;000017.txt;0.5253653
000018.txt;True;000018.txt;0.52039635
000019.txt;True;000019.txt;0.29000786
000020.txt;False;011704.txt;0.39273143
000021.txt;True;000021.txt;0.38436174
000022.txt;True;000022.txt;0.2976554
000023.txt;True;000023.txt;0.3438789
000024.txt;False;016910.txt;0.6616775
000025.txt;True;000025.txt;0.2568887
000026.txt;False;044829.txt;0.3242702
000027.txt;True;000027.txt;0.2675137
000028.txt;True;000028.txt;0.23974323
000029.txt;True;000029.txt;0.23476022
000030.txt;True;000030.txt;0.5579881
000031.txt;True;000031.txt;0.4531632
000032.txt;True;000032.txt;0.6066886
000034.txt;True;000034.txt;0.5572609
000035.txt;True;000035.txt;0.6002029
000036.txt;True;000036.txt;0.48511088
000037.txt;True;000037.txt;0.28013253
000038.txt;True;000038.txt;0.22017449
000039.txt;True;000039.txt;0.26062074
000040.txt;True;000040.txt;0.23479329
000041.txt;True;000041.txt;0.23168558
000042.txt;True;000042.txt;0.22509903
000043.txt;True;000043.txt;0.28271872
000044.txt;False;010500.txt;0.37815157
000045.txt;True;000045.txt;0.36175156
000046.txt;True;000046.txt;0.34393823
000047.txt;False;078360.txt;0.38480526
000048.txt;True;000048.txt;0.32408854
000049.txt;True;000049.txt;0.48217958
000050.txt;True;000050.txt;0.40608814
000051.txt;False;001403.txt;0.37079757
000052.txt;False;078360.txt;0.35017443
000053.txt;True;000053.txt;0.5524289
000054.txt;True;000054.txt;0.37020853
000055.txt;True;000055.txt;0.45472503
000056.txt;False;076419.txt;0.5262536
000057.txt;True;000057.txt;0.3931779
000058.txt;True;000058.txt;0.25934702
000059.txt;True;000059.txt;0.39195472
