query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.7909676
000001.txt;True;000001.txt;0.87867045
000002.txt;True;000002.txt;0.8817317
000003.txt;True;000003.txt;0.8549974
000004.txt;True;000004.txt;0.85871273
000005.txt;True;000005.txt;0.848421
000006.txt;False;026102.txt;0.83450973
000007.txt;False;048133.txt;0.79864
000008.txt;True;000008.txt;0.816538
000009.txt;False;017463.txt;0.780168
000010.txt;True;000010.txt;0.8730391
000011.txt;False;001399.txt;0.844193
000012.txt;True;000012.txt;0.8586301
000013.txt;True;000013.txt;0.89049745
000014.txt;True;000014.txt;0.84335566
000015.txt;True;000015.txt;0.9106491
000016.txt;False;000015.txt;0.8566335
000017.txt;True;000017.txt;0.83262724
000018.txt;True;000018.txt;0.84518886
000019.txt;True;000019.txt;0.8552504
000020.txt;True;000020.txt;0.8236002
000021.txt;True;000021.txt;0.8756244
000022.txt;True;000022.txt;0.9077601
000023.txt;True;000023.txt;0.8702425
000024.txt;False;000042.txt;0.86127317
000025.txt;True;000025.txt;0.9194615
000026.txt;True;000026.txt;0.85205877
000027.txt;True;000027.txt;0.92738605
000028.txt;True;000028.txt;0.91792345
000029.txt;True;000029.txt;0.9084381
000030.txt;True;000030.txt;0.8491978
000031.txt;False;016165.txt;0.87672925
000032.txt;False;007529.txt;0.8165658
000034.txt;True;000034.txt;0.823242
000035.txt;False;043662.txt;0.77958834
000036.txt;True;000036.txt;0.8417909
000037.txt;True;000037.txt;0.91940105
000038.txt;True;000038.txt;0.9250371
000039.txt;True;000039.txt;0.91942596
000040.txt;True;000040.txt;0.9181495
000041.txt;True;000041.txt;0.9228654
000042.txt;True;000042.txt;0.922928
000043.txt;True;000043.txt;0.9106757
000044.txt;False;000205.txt;0.81274295
000045.txt;True;000045.txt;0.8229471
000046.txt;False;000126.txt;0.826508
000047.txt;False;075527.txt;0.8211478
000048.txt;True;000048.txt;0.8731327
000049.txt;True;000049.txt;0.88874114
000050.txt;False;019552.txt;0.83371985
000051.txt;False;001399.txt;0.8300359
000052.txt;True;000052.txt;0.82697535
000053.txt;True;000053.txt;0.8596041
000054.txt;True;000054.txt;0.8279234
000055.txt;True;000055.txt;0.79609597
000056.txt;True;000056.txt;0.8420688
000057.txt;True;000057.txt;0.8395473
000058.txt;False;064545.txt;0.8335197
000059.txt;True;000059.txt;0.8429333
000060.txt;True;000060.txt;0.88415796
000061.txt;False;030658.txt;0.834002
000062.txt;True;000062.txt;0.85782164
000063.txt;True;000063.txt;0.84055257
000064.txt;True;000064.txt;0.8604902
000065.txt;True;000065.txt;0.8894939
000066.txt;True;000066.txt;0.8628513
000067.txt;True;000067.txt;0.8415945
000068.txt;True;000068.txt;0.8509099
000069.txt;True;000069.txt;0.82676345
000070.txt;False;075548.txt;0.83121717
000071.txt;False;003584.txt;0.83445776
000072.txt;True;000072.txt;0.86416525
000073.txt;True;000073.txt;0.8457309
000074.txt;False;053465.txt;0.7717829
000075.txt;True;000075.txt;0.8348529
000076.txt;True;000076.txt;0.8204592
000077.txt;True;000077.txt;0.8416033
000078.txt;False;026475.txt;0.79411364
000079.txt;True;000079.txt;0.8386421
000080.txt;True;000080.txt;0.8672099
000081.txt;True;000081.txt;0.85210335
000082.txt;True;000082.txt;0.85403585
000083.txt;True;000083.txt;0.80436015
000084.txt;True;000084.txt;0.83114314
000085.txt;True;000085.txt;0.8546417
000086.txt;True;000086.txt;0.8633189
000087.txt;True;000087.txt;0.8680674
000088.txt;False;055768.txt;0.79962486
000089.txt;True;000089.txt;0.8049886
000090.txt;False;001100.txt;0.80236924
000091.txt;True;000091.txt;0.85192406
000092.txt;True;000092.txt;0.8494993
000093.txt;True;000093.txt;0.82489944
000094.txt;True;000094.txt;0.8016994
000095.txt;True;000095.txt;0.8193891
000096.txt;True;000096.txt;0.81906825
000097.txt;True;000097.txt;0.79511
000098.txt;True;000098.txt;0.8405199
000099.txt;True;000099.txt;0.8514481
000100.txt;True;000100.txt;0.8609871
000101.txt;True;000101.txt;0.81254494
000102.txt;True;000102.txt;0.8641429
000103.txt;False;025675.txt;0.8044751
000104.txt;True;000104.txt;0.802992
000105.txt;True;000105.txt;0.86268187
000106.txt;True;000106.txt;0.85284567
000107.txt;True;000107.txt;0.83086896
000108.txt;True;000108.txt;0.91840845
000109.txt;True;000109.txt;0.9238003
000110.txt;True;000110.txt;0.8277028
000111.txt;True;000111.txt;0.8476002
000112.txt;True;000112.txt;0.78451157
000113.txt;True;000113.txt;0.82106924
000114.txt;True;000114.txt;0.8364353
000115.txt;True;000115.txt;0.82694566
000116.txt;False;016270.txt;0.84948874
000117.txt;True;000117.txt;0.7994374
000118.txt;True;000118.txt;0.86813974
000119.txt;True;000119.txt;0.7862127
000120.txt;True;000120.txt;0.8935398
000121.txt;True;000121.txt;0.88935137
000122.txt;False;063396.txt;0.77892584
000123.txt;True;000123.txt;0.8425847
000124.txt;True;000124.txt;0.842435
000126.txt;True;000126.txt;0.87423414
000127.txt;True;000127.txt;0.8448413
000128.txt;True;000128.txt;0.83747405
000129.txt;False;057578.txt;0.78821874
000130.txt;True;000130.txt;0.8479396
000131.txt;False;000126.txt;0.80533373
000132.txt;True;000132.txt;0.8183168
000133.txt;False;000126.txt;0.8109974
000134.txt;False;017801.txt;0.7744235
000135.txt;True;000135.txt;0.86319554
000136.txt;True;000136.txt;0.86261964
000137.txt;True;000137.txt;0.7864058
000138.txt;True;000138.txt;0.87351596
000139.txt;False;029362.txt;0.7858932
000140.txt;True;000140.txt;0.86295503
000141.txt;False;003781.txt;0.8367334
000142.txt;True;000142.txt;0.86817914
000143.txt;False;054271.txt;0.80105674
000144.txt;True;000144.txt;0.81776583
000145.txt;True;000145.txt;0.86659247
000146.txt;False;003764.txt;0.8001759
000147.txt;False;019634.txt;0.79714763
000148.txt;True;000148.txt;0.80512804
000149.txt;True;000149.txt;0.90669733
000150.txt;True;000150.txt;0.82302964
000151.txt;False;015077.txt;0.78974545
000152.txt;True;000152.txt;0.83232576
000153.txt;True;000153.txt;0.8797108
000154.txt;True;000154.txt;0.8671211
000155.txt;True;000155.txt;0.79781926
000156.txt;True;000156.txt;0.83404386
000157.txt;True;000157.txt;0.83887696
000158.txt;False;000163.txt;0.8456227
000159.txt;False;000163.txt;0.83037686
000160.txt;True;000160.txt;0.83857405
000161.txt;True;000161.txt;0.84936774
000162.txt;True;000162.txt;0.8111973
000163.txt;True;000163.txt;0.8369092
000164.txt;True;000164.txt;0.81759274
000165.txt;True;000165.txt;0.8839199
000166.txt;True;000166.txt;0.87817997
000167.txt;True;000167.txt;0.8402093
000168.txt;True;000168.txt;0.79727924
000169.txt;False;062016.txt;0.8574041
