query_file;found;search_result;search_distances
000000.txt;False;077749.txt;0.66342306
000001.txt;True;000001.txt;0.76962405
000002.txt;False;026469.txt;0.89337444
000003.txt;True;000003.txt;0.7734488
000004.txt;True;000004.txt;0.835569
000005.txt;False;078876.txt;0.78294814
000006.txt;False;031736.txt;0.79945546
000007.txt;True;000007.txt;0.8174019
000008.txt;False;075238.txt;0.7364793
000009.txt;True;000009.txt;0.8464843
000010.txt;False;000453.txt;0.8209929
000011.txt;True;000011.txt;0.7330056
000012.txt;True;000012.txt;0.69987875
000013.txt;True;000013.txt;0.8259078
000014.txt;False;040097.txt;0.78647685
000015.txt;True;000015.txt;0.8074999
000016.txt;False;000015.txt;0.8197682
000017.txt;True;000017.txt;0.85920525
000018.txt;True;000018.txt;0.7131894
000019.txt;True;000019.txt;0.656368
000020.txt;True;000020.txt;0.80452085
000021.txt;True;000021.txt;0.71226245
000022.txt;True;000022.txt;0.7367639
000023.txt;False;058403.txt;0.7328584
000024.txt;True;000024.txt;0.7375194
000025.txt;True;000025.txt;0.7164662
000026.txt;True;000026.txt;0.66660184
000027.txt;True;000027.txt;0.71188796
000028.txt;True;000028.txt;0.7179169
000029.txt;True;000029.txt;0.698857
000030.txt;False;048949.txt;0.6991757
000031.txt;True;000031.txt;0.74666965
000032.txt;True;000032.txt;0.8416822
000034.txt;True;000034.txt;0.6452069
000035.txt;False;069783.txt;0.782869
000036.txt;False;028492.txt;0.73045814
000037.txt;True;000037.txt;0.7229175
000038.txt;True;000038.txt;0.71196747
000039.txt;True;000039.txt;0.7071176
000040.txt;True;000040.txt;0.72229195
000041.txt;True;000041.txt;0.7126099
000042.txt;True;000042.txt;0.7091074
000043.txt;True;000043.txt;0.71938485
000044.txt;False;003340.txt;0.7613652
000045.txt;False;078675.txt;0.7669234
000046.txt;False;000127.txt;0.76157033
000047.txt;True;000047.txt;0.7629292
000048.txt;False;005037.txt;0.80147237
000049.txt;False;030729.txt;0.81268054
000050.txt;False;030729.txt;0.7360289
000051.txt;False;003352.txt;0.7642388
000052.txt;True;000052.txt;0.7767231
000053.txt;False;030729.txt;0.7916392
000054.txt;True;000054.txt;0.80817676
000055.txt;False;020197.txt;0.80267006
000056.txt;False;030729.txt;0.7305033
000057.txt;False;004089.txt;0.7763222
000058.txt;True;000058.txt;0.63941973
000059.txt;False;002165.txt;0.7439211
000060.txt;False;030729.txt;0.777714
000061.txt;True;000061.txt;0.7847456
000062.txt;True;000062.txt;0.6446848
000063.txt;True;000063.txt;0.79257846
000064.txt;False;002787.txt;0.8201055
000065.txt;False;024846.txt;0.81153303
000066.txt;False;070969.txt;0.7958009
000067.txt;False;000098.txt;0.8073913
000068.txt;True;000068.txt;0.65018666
000069.txt;False;073283.txt;0.7128506
000070.txt;False;035059.txt;0.8235179
000071.txt;False;000602.txt;0.83901757
000072.txt;True;000072.txt;0.70010954
000073.txt;False;058853.txt;0.70479304
000074.txt;False;068828.txt;0.85104203
000075.txt;True;000075.txt;0.75703675
000076.txt;True;000076.txt;0.7876396
000077.txt;False;076857.txt;0.84439164
000078.txt;False;016168.txt;0.89807457
000079.txt;False;000155.txt;0.7699518
000080.txt;False;015401.txt;0.8385985
000081.txt;True;000081.txt;0.8653454
000082.txt;True;000082.txt;0.8614036
000083.txt;True;000083.txt;0.80333865
000084.txt;False;027403.txt;0.83494854
000085.txt;False;006057.txt;0.8227479
000086.txt;True;000086.txt;0.71159357
000087.txt;False;002447.txt;0.8003106
000088.txt;False;069591.txt;0.7078786
000089.txt;False;069591.txt;0.7613478
000090.txt;True;000090.txt;0.7759305
000091.txt;False;041618.txt;0.6845875
000092.txt;False;035228.txt;0.8300829
000093.txt;False;052582.txt;0.79944295
000094.txt;True;000094.txt;0.7166684
000095.txt;True;000095.txt;0.7150432
000096.txt;True;000096.txt;0.716039
000097.txt;False;047589.txt;0.75576353
000098.txt;True;000098.txt;0.6354656
000099.txt;True;000099.txt;0.7685212
000100.txt;True;000100.txt;0.7192342
000101.txt;False;015657.txt;0.8639089
000102.txt;False;018029.txt;0.7945155
000103.txt;True;000103.txt;0.66353637
000104.txt;False;004931.txt;0.829278
000105.txt;True;000105.txt;0.78212774
000106.txt;True;000106.txt;0.7635858
000107.txt;True;000107.txt;0.8284168
000108.txt;True;000108.txt;0.70211744
000109.txt;True;000109.txt;0.7164465
000110.txt;False;041440.txt;0.7703986
000111.txt;True;000111.txt;0.8015951
000112.txt;False;030292.txt;0.8837038
000113.txt;False;076926.txt;0.73588914
000114.txt;True;000114.txt;0.77960944
000115.txt;False;014503.txt;0.8556895
000116.txt;False;078095.txt;0.8017516
000117.txt;True;000117.txt;0.8320477
000118.txt;False;000121.txt;0.76609457
000119.txt;True;000119.txt;0.8121481
000120.txt;True;000120.txt;0.6814079
000121.txt;True;000121.txt;0.6475458
000122.txt;True;000122.txt;0.77276605
000123.txt;True;000123.txt;0.78060937
000124.txt;True;000124.txt;0.72757256
000126.txt;False;000128.txt;0.79567116
000127.txt;True;000127.txt;0.7950042
000128.txt;True;000128.txt;0.7226877
000129.txt;False;007040.txt;0.7205105
000130.txt;False;067423.txt;0.7894191
000131.txt;False;000133.txt;0.79054916
000132.txt;False;000128.txt;0.7759775
000133.txt;True;000133.txt;0.7743442
000134.txt;True;000134.txt;0.7573569
000135.txt;True;000135.txt;0.7672068
000136.txt;False;077432.txt;0.82462496
000137.txt;False;002135.txt;0.84102476
000138.txt;False;046851.txt;0.7465236
000139.txt;False;011640.txt;0.7851664
000140.txt;True;000140.txt;0.7768351
000141.txt;False;026475.txt;0.934157
000142.txt;False;078095.txt;0.81804925
000143.txt;False;014674.txt;0.7524978
000144.txt;False;014751.txt;0.8280704
000145.txt;False;002447.txt;0.80478793
000146.txt;True;000146.txt;0.73108596
000147.txt;True;000147.txt;0.7837851
000148.txt;False;026092.txt;0.8706645
000149.txt;False;014895.txt;0.7029197
000150.txt;False;051369.txt;0.8726932
000151.txt;False;000147.txt;0.7405342
000152.txt;False;053640.txt;0.84257114
000153.txt;True;000153.txt;0.59599096
000154.txt;False;069306.txt;0.8016213
000155.txt;False;078945.txt;0.72390914
000156.txt;False;026473.txt;0.80997145
000157.txt;False;078565.txt;0.800593
000158.txt;False;004272.txt;0.765123
000159.txt;False;000163.txt;0.8070431
000160.txt;True;000160.txt;0.7406813
000161.txt;True;000161.txt;0.7491602
000162.txt;False;017387.txt;0.82010394
000163.txt;True;000163.txt;0.77303374
000164.txt;True;000164.txt;0.76189977
000165.txt;False;065248.txt;0.7245638
000166.txt;True;000166.txt;0.81097865
000167.txt;True;000167.txt;0.7170998
000168.txt;True;000168.txt;0.7864656
000169.txt;False;018029.txt;0.80369604
000170.txt;False;078410.txt;0.88550705
000171.txt;True;000171.txt;0.7224132
000172.txt;True;000172.txt;0.7569299
000173.txt;False;076645.txt;0.86616087
000174.txt;False;035053.txt;0.7525811
000175.txt;False;044445.txt;0.67890275
000176.txt;True;000176.txt;0.76301235
000177.txt;False;075341.txt;0.80827177
000178.txt;False;029253.txt;0.8484845
000179.txt;False;072877.txt;0.88663256
000180.txt;True;000180.txt;0.83826286
000181.txt;False;000182.txt;0.8171241
000182.txt;True;000182.txt;0.76704097
000183.txt;True;000183.txt;0.72963643
000184.txt;False;000133.txt;0.8396396
000185.txt;False;001403.txt;0.79577637
000186.txt;True;000186.txt;0.8345512
000187.txt;True;000187.txt;0.75845337
000188.txt;True;000188.txt;0.7485975
000189.txt;False;010529.txt;0.7705986
000190.txt;False;003353.txt;0.7510695
000191.txt;False;004396.txt;0.78950155
000192.txt;False;019221.txt;0.7722903
000193.txt;False;040356.txt;0.8078344
000194.txt;True;000194.txt;0.80126053
000195.txt;False;026311.txt;0.71819633
000196.txt;True;000196.txt;0.74370676
000197.txt;False;078659.txt;0.8848458
000198.txt;False;035579.txt;0.8687231
000199.txt;False;078200.txt;0.671026
000200.txt;False;033062.txt;0.8934455
000201.txt;False;001019.txt;0.6854302
000202.txt;True;000202.txt;0.8429914
000203.txt;False;040541.txt;0.7915384
000204.txt;False;008720.txt;0.71373165
000205.txt;False;078784.txt;0.7244226
000206.txt;False;034877.txt;0.794009
000207.txt;False;005278.txt;0.65760463
000208.txt;True;000208.txt;0.7592516
000209.txt;False;048071.txt;0.8418343
000210.txt;False;007585.txt;0.8212865
000211.txt;False;014460.txt;0.85794115
000212.txt;True;000212.txt;0.7553185
000213.txt;True;000213.txt;0.8014955
000214.txt;True;000214.txt;0.62626183
000215.txt;True;000215.txt;0.6682192
000216.txt;False;015345.txt;0.7905344
000217.txt;False;000214.txt;0.77376413
000219.txt;False;018621.txt;0.7519752
000220.txt;False;078947.txt;0.74614835
000221.txt;True;000221.txt;0.66573703
000222.txt;True;000222.txt;0.69004655
000223.txt;False;068244.txt;0.8734118
000224.txt;False;014730.txt;0.80832624
000225.txt;True;000225.txt;0.75468636
000226.txt;False;004739.txt;0.6501701
000227.txt;True;000227.txt;0.7389126
000228.txt;False;012047.txt;0.8417496
000229.txt;True;000229.txt;0.78949
000230.txt;False;074266.txt;0.69455945
000231.txt;False;036596.txt;0.90861905
000232.txt;False;052227.txt;0.9067391
000233.txt;False;011491.txt;0.6797966
000234.txt;False;036738.txt;0.725345
000235.txt;False;020480.txt;0.91438884
000236.txt;True;000236.txt;0.7486596
000237.txt;False;058907.txt;0.9446703
000238.txt;True;000238.txt;0.7619525
000239.txt;True;000239.txt;0.8323005
000240.txt;False;032673.txt;0.78338695
000241.txt;False;053568.txt;0.85044706
000242.txt;True;000242.txt;0.84589666
000243.txt;True;000243.txt;0.7609205
000244.txt;False;001622.txt;0.7360176
000245.txt;True;000245.txt;0.76507986
000246.txt;True;000246.txt;0.5849385
000247.txt;False;035278.txt;0.8030365
000248.txt;True;000248.txt;0.79386735
000249.txt;False;003246.txt;0.6570717
000250.txt;True;000250.txt;0.772902
000251.txt;True;000251.txt;0.73954296
000252.txt;True;000252.txt;0.7546792
000253.txt;False;078507.txt;0.66867036
000254.txt;False;009748.txt;0.67064697
000255.txt;True;000255.txt;0.61468613
000256.txt;False;004987.txt;0.8143536
000257.txt;True;000257.txt;0.7979109
000258.txt;True;000258.txt;0.85542923
000259.txt;False;078811.txt;0.7580103
000260.txt;False;078811.txt;0.791579
000261.txt;True;000261.txt;0.7976067
000262.txt;True;000262.txt;0.61049396
000263.txt;False;078897.txt;0.9391278
000264.txt;False;062551.txt;0.7541934
000265.txt;True;000265.txt;0.7300764
000266.txt;False;067742.txt;0.9618748
000267.txt;False;066856.txt;0.77327645
000268.txt;True;000268.txt;0.721594
000269.txt;True;000269.txt;0.86205107
000270.txt;False;006473.txt;0.825237
000271.txt;False;067422.txt;0.7850188
000272.txt;False;000187.txt;0.8014846
000273.txt;False;000187.txt;0.7935294
000274.txt;False;009012.txt;0.7782757
000275.txt;True;000275.txt;0.63261294
000276.txt;False;033154.txt;0.7275961
000277.txt;True;000277.txt;0.744744
000278.txt;False;009014.txt;0.7748685
000279.txt;False;010499.txt;0.78103745
000280.txt;False;067422.txt;0.75398624
000281.txt;False;009017.txt;0.7791358
000282.txt;False;009014.txt;0.7716046
000283.txt;False;027444.txt;0.9019778
000284.txt;False;078811.txt;0.82024425
000285.txt;True;000285.txt;0.7692082
000286.txt;True;000286.txt;0.75728905
000287.txt;False;000279.txt;0.8163991
000288.txt;True;000288.txt;0.77545404
000289.txt;True;000289.txt;0.7490441
000290.txt;True;000290.txt;0.8089142
000291.txt;False;076226.txt;0.7789929
000292.txt;True;000292.txt;0.78762233
000293.txt;False;006869.txt;0.736416
000294.txt;False;063748.txt;0.86882234
000295.txt;True;000295.txt;0.63480973
000296.txt;True;000296.txt;0.79498744
000297.txt;False;060446.txt;0.8026994
000298.txt;True;000298.txt;0.8664375
000299.txt;False;030529.txt;0.7919791
000300.txt;True;000300.txt;0.8235172
000301.txt;True;000301.txt;0.77203995
000302.txt;False;071352.txt;0.77164197
000303.txt;False;013668.txt;0.77076006
000304.txt;False;010569.txt;0.90559995
000305.txt;True;000305.txt;0.84799385
000306.txt;True;000306.txt;0.60647
000308.txt;True;000308.txt;0.79472375
000309.txt;False;076719.txt;0.6908678
000310.txt;True;000310.txt;0.79159975
000311.txt;True;000311.txt;0.7009367
000312.txt;True;000312.txt;0.7248155
000313.txt;True;000313.txt;0.79311025
000314.txt;True;000314.txt;0.781971
000315.txt;True;000315.txt;0.7415839
000316.txt;True;000316.txt;0.7402608
000317.txt;True;000317.txt;0.72763205
000318.txt;False;035021.txt;0.8297915
000319.txt;False;005905.txt;0.6617323
000320.txt;True;000320.txt;0.82114524
000321.txt;True;000321.txt;0.85381204
000322.txt;True;000322.txt;0.69605494
000323.txt;False;011950.txt;0.79273415
000324.txt;True;000324.txt;0.84960276
000325.txt;False;052340.txt;0.85980606
000326.txt;False;042991.txt;0.8549144
000327.txt;False;010750.txt;0.83875334
000328.txt;True;000328.txt;0.7908244
000329.txt;True;000329.txt;0.7317134
000330.txt;False;027540.txt;0.8259983
000331.txt;False;013291.txt;0.90311754
000332.txt;False;037409.txt;0.8950548
000333.txt;True;000333.txt;0.77948123
000334.txt;True;000334.txt;0.77507645
000335.txt;True;000335.txt;0.7675991
000336.txt;False;001428.txt;0.80668116
000337.txt;True;000337.txt;0.7403134
000338.txt;False;002722.txt;0.83162785
000339.txt;False;049634.txt;0.88427347
000341.txt;False;062615.txt;0.8468252
000342.txt;True;000342.txt;0.78126895
000343.txt;False;041127.txt;0.8749734
000344.txt;True;000344.txt;0.7173505
000345.txt;False;023848.txt;0.76704866
000346.txt;False;000357.txt;0.72974384
000347.txt;False;031945.txt;0.80542207
000348.txt;True;000348.txt;0.69960135
000349.txt;False;073860.txt;0.8746289
000350.txt;False;078605.txt;0.7984697
000351.txt;True;000351.txt;0.7610183
000352.txt;False;056584.txt;0.8407469
000353.txt;True;000353.txt;0.8451328
000354.txt;False;012380.txt;0.67736006
000355.txt;True;000355.txt;0.76839834
000356.txt;True;000356.txt;0.7652867
000357.txt;True;000357.txt;0.78949803
000358.txt;False;045861.txt;0.7875382
000359.txt;False;010929.txt;0.84667134
000360.txt;False;002355.txt;0.8877014
000361.txt;False;031701.txt;0.82735384
000362.txt;True;000362.txt;0.7525474
000363.txt;True;000363.txt;0.76327515
000364.txt;True;000364.txt;0.7510871
000366.txt;True;000366.txt;0.762053
000367.txt;False;023669.txt;0.7691576
000368.txt;True;000368.txt;0.72199136
000369.txt;False;065435.txt;0.78719676
000370.txt;True;000370.txt;0.81627333
000371.txt;True;000371.txt;0.73466945
000372.txt;False;000357.txt;0.76927906
000373.txt;True;000373.txt;0.6837922
000374.txt;True;000374.txt;0.71588814
000375.txt;False;003489.txt;0.7812077
000376.txt;False;015253.txt;0.71724284
000377.txt;False;004216.txt;0.7300395
000378.txt;True;000378.txt;0.8023493
000379.txt;False;019939.txt;0.803118
000380.txt;False;023669.txt;0.7271589
000381.txt;False;006869.txt;0.77558327
000382.txt;False;006869.txt;0.81946564
000383.txt;False;024909.txt;0.7032191
000384.txt;False;015253.txt;0.68642807
000385.txt;True;000385.txt;0.7399268
000386.txt;True;000386.txt;0.73822606
000387.txt;False;011849.txt;0.89963365
000388.txt;False;024986.txt;0.9204813
000389.txt;True;000389.txt;0.8017646
000390.txt;True;000390.txt;0.6772076
000391.txt;False;016240.txt;0.7601415
000392.txt;True;000392.txt;0.8393378
000393.txt;False;020876.txt;0.8745231
000394.txt;False;070384.txt;0.7390561
000395.txt;False;030441.txt;0.8631735
000396.txt;False;033519.txt;0.8016416
000397.txt;True;000397.txt;0.77776706
000398.txt;True;000398.txt;0.72098196
000399.txt;False;001364.txt;0.7582667
000400.txt;True;000400.txt;0.6299361
000401.txt;True;000401.txt;0.78193367
000402.txt;True;000402.txt;0.7494822
000403.txt;False;055802.txt;0.77419937
000404.txt;True;000404.txt;0.80798256
