query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.38931903
000001.txt;True;000001.txt;0.6233845
000002.txt;False;007581.txt;0.46143475
000003.txt;True;000003.txt;0.49370348
000004.txt;True;000004.txt;0.24102594
000005.txt;False;030470.txt;0.5421864
000006.txt;False;026956.txt;0.6075866
000007.txt;False;009601.txt;0.64180917
000008.txt;False;078925.txt;0.45131463
000009.txt;True;000009.txt;0.5215964
000010.txt;True;000010.txt;0.37247393
000011.txt;False;008720.txt;0.30861926
000012.txt;True;000012.txt;0.3656113
000013.txt;True;000013.txt;0.36551705
000014.txt;True;000014.txt;0.4866575
000015.txt;True;000015.txt;0.29366943
000016.txt;False;000015.txt;0.36402106
000017.txt;True;000017.txt;0.71573234
000018.txt;True;000018.txt;0.29029286
000019.txt;True;000019.txt;0.46292374
000020.txt;False;011704.txt;0.44637743
000021.txt;True;000021.txt;0.32182884
000022.txt;True;000022.txt;0.19725953
000023.txt;True;000023.txt;0.36057144
000024.txt;True;000024.txt;0.3893216
000025.txt;True;000025.txt;0.18467107
000026.txt;True;000026.txt;0.27586728
000027.txt;True;000027.txt;0.1576013
000028.txt;True;000028.txt;0.17266041
000029.txt;True;000029.txt;0.16470328
000030.txt;True;000030.txt;0.38310975
000031.txt;True;000031.txt;0.41026455
000032.txt;False;070483.txt;0.8918483
000034.txt;True;000034.txt;0.37003425
000035.txt;True;000035.txt;0.5388586
000036.txt;True;000036.txt;0.55623776
000037.txt;True;000037.txt;0.24930908
000038.txt;True;000038.txt;0.1600846
000039.txt;True;000039.txt;0.17782849
000040.txt;True;000040.txt;0.16550367
000041.txt;True;000041.txt;0.16967355
000042.txt;True;000042.txt;0.16656065
000043.txt;True;000043.txt;0.1836714
000044.txt;False;000132.txt;0.4672689
000045.txt;True;000045.txt;0.47601205
000046.txt;False;000132.txt;0.43992788
000047.txt;False;000187.txt;0.4075746
000048.txt;True;000048.txt;0.21715753
000049.txt;True;000049.txt;0.34022912
000050.txt;True;000050.txt;0.31412655
000051.txt;False;001399.txt;0.5099549
000052.txt;False;000132.txt;0.44773808
000053.txt;True;000053.txt;0.5416244
000054.txt;True;000054.txt;0.42570347
000055.txt;False;020197.txt;0.5728112
000056.txt;True;000056.txt;0.3505639
000057.txt;True;000057.txt;0.33497366
000058.txt;True;000058.txt;0.21379852
000059.txt;False;001017.txt;0.62117815
000060.txt;False;004112.txt;0.50494313
000061.txt;True;000061.txt;0.57070786
000062.txt;True;000062.txt;0.2443729
000063.txt;True;000063.txt;0.62135696
000064.txt;False;002942.txt;0.53552437
000065.txt;True;000065.txt;0.34278977
000066.txt;True;000066.txt;0.6126976
000067.txt;True;000067.txt;0.23946801
000068.txt;True;000068.txt;0.25909036
000069.txt;True;000069.txt;0.48759437
000070.txt;True;000070.txt;0.700544
000071.txt;False;007346.txt;0.7187881
000072.txt;True;000072.txt;0.33130485
000073.txt;True;000073.txt;0.44165367
000074.txt;False;053465.txt;0.7268626
000075.txt;True;000075.txt;0.44227338
000076.txt;True;000076.txt;0.59189177
000077.txt;True;000077.txt;0.55483043
000078.txt;False;008508.txt;0.7655074
000079.txt;True;000079.txt;0.5736238
000080.txt;False;004077.txt;0.50757146
000081.txt;False;004077.txt;0.54866064
000082.txt;True;000082.txt;0.39352775
000083.txt;False;048281.txt;0.6774926
000084.txt;True;000084.txt;0.6613988
000085.txt;False;077117.txt;0.7679945
000086.txt;True;000086.txt;0.43838695
000087.txt;False;016180.txt;0.41949117
000088.txt;False;069591.txt;0.49095488
000089.txt;False;019282.txt;0.56074834
000090.txt;True;000090.txt;0.6998368
000091.txt;True;000091.txt;0.3303171
000092.txt;True;000092.txt;0.47092336
000093.txt;True;000093.txt;0.4181183
000094.txt;False;019647.txt;0.4715556
000095.txt;True;000095.txt;0.40140596
000096.txt;True;000096.txt;0.4462008
000097.txt;True;000097.txt;0.54431343
000098.txt;True;000098.txt;0.2410154
000099.txt;True;000099.txt;0.55834836
000100.txt;True;000100.txt;0.3487271
000101.txt;True;000101.txt;0.8057453
000102.txt;False;016180.txt;0.4326865
000103.txt;True;000103.txt;0.4710886
000104.txt;False;028255.txt;0.62706566
000105.txt;True;000105.txt;0.52620447
000106.txt;True;000106.txt;0.27345482
000107.txt;True;000107.txt;0.67466724
000108.txt;True;000108.txt;0.18040916
000109.txt;True;000109.txt;0.15618114
000110.txt;False;000106.txt;0.5114292
000111.txt;True;000111.txt;0.5788542
000112.txt;True;000112.txt;0.6790383
000113.txt;True;000113.txt;0.37462163
000114.txt;True;000114.txt;0.5409637
000115.txt;True;000115.txt;0.5531312
000116.txt;False;017301.txt;0.5292201
000117.txt;True;000117.txt;0.697114
000118.txt;False;000121.txt;0.41594267
000119.txt;False;039698.txt;0.7391685
000120.txt;True;000120.txt;0.20961797
000121.txt;True;000121.txt;0.20350821
000122.txt;True;000122.txt;0.6066016
000123.txt;True;000123.txt;0.74504435
000124.txt;True;000124.txt;0.5270237
000126.txt;False;000187.txt;0.46439254
000127.txt;True;000127.txt;0.38002357
000128.txt;True;000128.txt;0.37385917
000129.txt;True;000129.txt;0.64992106
000130.txt;True;000130.txt;0.47494492
000131.txt;True;000131.txt;0.53005916
000132.txt;True;000132.txt;0.32130167
000133.txt;False;001402.txt;0.5055946
000134.txt;False;066147.txt;0.7263167
000135.txt;True;000135.txt;0.7092197
000136.txt;True;000136.txt;0.4102851
000137.txt;True;000137.txt;0.5893754
000138.txt;True;000138.txt;0.54870576
000139.txt;False;035877.txt;0.823529
000140.txt;True;000140.txt;0.41296023
000141.txt;False;067794.txt;0.8448465
000142.txt;False;078508.txt;0.6150491
000143.txt;False;042625.txt;0.66528374
000144.txt;False;014751.txt;0.7147455
000145.txt;False;017301.txt;0.5229547
000146.txt;False;042891.txt;0.62913275
000147.txt;False;028227.txt;0.6408729
000148.txt;False;049976.txt;0.5839937
000149.txt;True;000149.txt;0.2919402
000150.txt;False;051369.txt;0.70835805
000151.txt;False;002534.txt;0.6392796
000152.txt;False;071949.txt;0.69043285
000153.txt;True;000153.txt;0.28238767
000154.txt;False;019327.txt;0.59467316
000155.txt;False;078526.txt;0.6247365
000156.txt;True;000156.txt;0.47606283
000157.txt;False;078565.txt;0.5787072
000158.txt;True;000158.txt;0.3920666
000159.txt;False;078565.txt;0.49205598
000160.txt;True;000160.txt;0.34755296
000161.txt;True;000161.txt;0.4642356
000162.txt;True;000162.txt;0.64543325
000163.txt;True;000163.txt;0.46709427
000164.txt;True;000164.txt;0.3959815
000165.txt;True;000165.txt;0.5174645
000166.txt;True;000166.txt;0.2764799
000167.txt;True;000167.txt;0.567973
000168.txt;True;000168.txt;0.59666574
000169.txt;True;000169.txt;0.28364262
000170.txt;True;000170.txt;0.57755685
000171.txt;True;000171.txt;0.36322707
000172.txt;True;000172.txt;0.4582059
000173.txt;False;018866.txt;0.9292059
000174.txt;True;000174.txt;0.47515035
000175.txt;True;000175.txt;0.40470785
000176.txt;True;000176.txt;0.41629523
000177.txt;True;000177.txt;0.5098206
000178.txt;False;003735.txt;0.5688195
000179.txt;True;000179.txt;0.8461925
000180.txt;True;000180.txt;0.8178443
000181.txt;True;000181.txt;0.38935453
000182.txt;True;000182.txt;0.39600787
000183.txt;True;000183.txt;0.2749821
000184.txt;False;000109.txt;0.621117
000185.txt;False;000181.txt;0.45735025
000186.txt;False;014451.txt;0.8236499
000187.txt;True;000187.txt;0.29918432
000188.txt;True;000188.txt;0.38984382
000189.txt;True;000189.txt;0.3781947
000190.txt;True;000190.txt;0.29955804
000191.txt;True;000191.txt;0.4092034
000192.txt;False;074614.txt;0.61895233
000193.txt;False;007519.txt;0.6173303
000194.txt;True;000194.txt;0.76472545
000195.txt;True;000195.txt;0.43494338
000196.txt;True;000196.txt;0.45917752
000197.txt;False;078659.txt;0.76753414
000198.txt;False;050555.txt;0.88516414
000199.txt;True;000199.txt;0.50319564
000200.txt;False;057155.txt;0.94551516
000201.txt;False;078312.txt;0.5274106
000202.txt;True;000202.txt;0.4559089
000203.txt;False;074678.txt;0.58948576
000204.txt;False;008720.txt;0.41340297
000205.txt;False;078784.txt;0.40409252
000206.txt;True;000206.txt;0.34929582
000207.txt;True;000207.txt;0.64576775
000208.txt;False;010784.txt;0.66543174
000209.txt;True;000209.txt;0.54983026
000210.txt;False;004875.txt;0.8397406
000211.txt;True;000211.txt;0.66693383
000212.txt;True;000212.txt;0.32193518
000213.txt;True;000213.txt;0.41618645
000214.txt;True;000214.txt;0.20727739
000215.txt;True;000215.txt;0.52308196
000216.txt;False;074327.txt;0.6559269
000217.txt;False;000214.txt;0.60191655
000219.txt;False;018621.txt;0.635008
000220.txt;False;078945.txt;0.4213185
000221.txt;True;000221.txt;0.26831624
000222.txt;True;000222.txt;0.5579307
000223.txt;False;021475.txt;0.74425066
000224.txt;True;000224.txt;0.7455916
000225.txt;True;000225.txt;0.4519892
000226.txt;True;000226.txt;0.44764853
000227.txt;True;000227.txt;0.2816541
000228.txt;True;000228.txt;0.6198106
000229.txt;True;000229.txt;0.52315664
000230.txt;True;000230.txt;0.46061602
000231.txt;False;000216.txt;0.9164612
000232.txt;False;052227.txt;0.69904053
000233.txt;True;000233.txt;0.3921799
000234.txt;False;034574.txt;0.63802683
000235.txt;True;000235.txt;0.75589955
000236.txt;True;000236.txt;0.37342438
000237.txt;False;026475.txt;0.91977483
000238.txt;True;000238.txt;0.21339327
000239.txt;False;049882.txt;0.6130962
000240.txt;False;008999.txt;0.85955065
000241.txt;False;021969.txt;0.5607352
000242.txt;True;000242.txt;0.7336871
000243.txt;False;000221.txt;0.59029067
000244.txt;False;002941.txt;0.573815
000245.txt;True;000245.txt;0.35353428
000246.txt;True;000246.txt;0.43753803
000247.txt;True;000247.txt;0.5285782
000248.txt;False;010496.txt;0.67954904
000249.txt;True;000249.txt;0.33076757
000250.txt;True;000250.txt;0.5098361
000251.txt;True;000251.txt;0.4501146
000252.txt;False;000346.txt;0.6465944
000253.txt;True;000253.txt;0.47962558
000254.txt;True;000254.txt;0.62074465
000255.txt;True;000255.txt;0.346483
000256.txt;False;062881.txt;0.61518836
000257.txt;True;000257.txt;0.48743844
000258.txt;False;012180.txt;0.82473516
000259.txt;True;000259.txt;0.35050145
000260.txt;False;000259.txt;0.5279138
000261.txt;False;008273.txt;0.7357383
000262.txt;True;000262.txt;0.29371625
000263.txt;False;008099.txt;0.9236934
000264.txt;False;000447.txt;0.57221985
000265.txt;True;000265.txt;0.40393776
000266.txt;False;062361.txt;0.9555929
000267.txt;False;022392.txt;0.555096
000268.txt;True;000268.txt;0.5269451
000269.txt;True;000269.txt;0.47911412
000270.txt;True;000270.txt;0.5397068
000271.txt;True;000271.txt;0.38166296
000272.txt;True;000272.txt;0.39823046
000273.txt;True;000273.txt;0.3625169
000274.txt;True;000274.txt;0.373451
000275.txt;True;000275.txt;0.2986643
000276.txt;True;000276.txt;0.28144473
000277.txt;True;000277.txt;0.2628842
000278.txt;False;000187.txt;0.43805152
000279.txt;False;067422.txt;0.45047688
000280.txt;False;003352.txt;0.4103098
000281.txt;False;000187.txt;0.40922663
000282.txt;False;000187.txt;0.44251895
000283.txt;False;010629.txt;0.90465903
000284.txt;False;078799.txt;0.39140704
000285.txt;True;000285.txt;0.54450047
000286.txt;True;000286.txt;0.43885636
000287.txt;False;075527.txt;0.5055673
000288.txt;True;000288.txt;0.6936528
000289.txt;True;000289.txt;0.51069295
000290.txt;False;000280.txt;0.7321448
000291.txt;True;000291.txt;0.46978274
000292.txt;False;008717.txt;0.5261757
000293.txt;False;016645.txt;0.438485
000294.txt;False;063748.txt;0.82243943
000295.txt;True;000295.txt;0.49817142
000296.txt;False;015953.txt;0.5340356
000297.txt;True;000297.txt;0.63787043
000298.txt;True;000298.txt;0.728455
000299.txt;False;029276.txt;0.5713383
000300.txt;True;000300.txt;0.30172026
000301.txt;True;000301.txt;0.5316079
000302.txt;False;000367.txt;0.49284834
000303.txt;True;000303.txt;0.70240384
000304.txt;False;063688.txt;0.8457831
000305.txt;True;000305.txt;0.5586796
000306.txt;True;000306.txt;0.42960265
000308.txt;True;000308.txt;0.47132644
000309.txt;True;000309.txt;0.35319895
000310.txt;True;000310.txt;0.3988164
000311.txt;True;000311.txt;0.5254358
000312.txt;True;000312.txt;0.2156252
000313.txt;True;000313.txt;0.42895648
000314.txt;True;000314.txt;0.55175483
000315.txt;True;000315.txt;0.4751644
000316.txt;False;008112.txt;0.63244367
000317.txt;True;000317.txt;0.26135582
000318.txt;False;036821.txt;0.54463035
000319.txt;True;000319.txt;0.43864596
000320.txt;False;043961.txt;0.80323195
000321.txt;True;000321.txt;0.51508856
000322.txt;True;000322.txt;0.27798134
000323.txt;True;000323.txt;0.6274267
000324.txt;True;000324.txt;0.69990414
000325.txt;False;045108.txt;0.7569784
