query_file;found;search_result;search_distances
000000.txt;False;042895.txt;0.2680666
000001.txt;True;000001.txt;3.4229477e-13
000002.txt;True;000002.txt;0.13816938
000003.txt;False;078164.txt;0.25383252
000004.txt;True;000004.txt;0.2558055
000005.txt;True;000005.txt;0.26652774
000006.txt;True;000006.txt;0.28370953
000007.txt;False;041915.txt;0.3003897
000008.txt;False;077816.txt;0.28564522
000009.txt;True;000009.txt;0.17991894
000010.txt;True;000010.txt;0.256852
000011.txt;True;000011.txt;0.23360881
000012.txt;True;000012.txt;0.08121276
000013.txt;True;000013.txt;0.0421504
000014.txt;True;000014.txt;0.23341218
000015.txt;True;000015.txt;0.06601157
000016.txt;True;000016.txt;0.29618865
000017.txt;False;051374.txt;0.28555354
000018.txt;True;000018.txt;0.2327342
000019.txt;True;000019.txt;0.2218335
000020.txt;True;000020.txt;0.19927333
000021.txt;True;000021.txt;0.21944506
000022.txt;True;000022.txt;0.20505774
000023.txt;True;000023.txt;0.19773482
000024.txt;True;000024.txt;0.22891182
000025.txt;True;000025.txt;0.20213711
000026.txt;False;008825.txt;0.2287911
000027.txt;True;000027.txt;0.1940685
000028.txt;True;000028.txt;0.2116177
000029.txt;True;000029.txt;0.19302756
000030.txt;True;000030.txt;0.22999856
000031.txt;True;000031.txt;0.22170079
000032.txt;True;000032.txt;0.21358138
000034.txt;True;000034.txt;0.27574176
000035.txt;False;029568.txt;0.3091511
000036.txt;True;000036.txt;0.26583335
000037.txt;True;000037.txt;0.19891274
000038.txt;True;000038.txt;0.1981121
000039.txt;True;000039.txt;0.19296615
000040.txt;True;000040.txt;0.20096579
000041.txt;True;000041.txt;0.19302753
000042.txt;True;000042.txt;0.19622774
000043.txt;True;000043.txt;0.1939944
000044.txt;True;000044.txt;0.25565255
000045.txt;True;000045.txt;0.2489936
000046.txt;True;000046.txt;0.23496228
000047.txt;False;078448.txt;0.2638541
000048.txt;True;000048.txt;0.0
000049.txt;True;000049.txt;0.111366965
000050.txt;True;000050.txt;0.145866
000051.txt;True;000051.txt;0.2613697
000052.txt;True;000052.txt;0.26515406
000053.txt;True;000053.txt;0.13436288
000054.txt;False;072419.txt;0.28908232
000055.txt;False;000803.txt;0.2311676
000056.txt;True;000056.txt;0.13092782
000057.txt;True;000057.txt;0.12585793
000058.txt;True;000058.txt;0.116844594
000059.txt;True;000059.txt;0.1913673
000060.txt;True;000060.txt;0.14807975
000061.txt;True;000061.txt;0.22412302
000062.txt;False;000647.txt;0.27326375
000063.txt;True;000063.txt;0.30366248
000064.txt;True;000064.txt;0.12622765
000065.txt;True;000065.txt;0.14486071
000066.txt;True;000066.txt;0.0
000067.txt;True;000067.txt;0.1446104
000068.txt;False;015479.txt;0.2729434
000069.txt;True;000069.txt;0.28106472
000070.txt;False;001597.txt;0.21530916
000071.txt;True;000071.txt;0.2326699
000072.txt;True;000072.txt;0.0
000073.txt;False;008313.txt;0.23695236
000074.txt;False;077690.txt;0.32491457
000075.txt;False;025915.txt;0.25829715
000076.txt;False;023123.txt;0.22304675
000077.txt;True;000077.txt;0.20056018
000078.txt;True;000078.txt;0.28258044
000079.txt;False;028270.txt;0.2815007
000080.txt;True;000080.txt;0.17752041
000081.txt;True;000081.txt;0.130449
000082.txt;True;000082.txt;0.14300466
000083.txt;False;065534.txt;0.20632088
000084.txt;False;023123.txt;0.20525092
000085.txt;False;030681.txt;0.21542382
000086.txt;True;000086.txt;0.18782347
000087.txt;True;000087.txt;0.18800804
000088.txt;False;070328.txt;0.35429817
000089.txt;False;011785.txt;0.2288399
000090.txt;False;076746.txt;0.2736518
000091.txt;True;000091.txt;0.096780114
000092.txt;True;000092.txt;0.18502402
000093.txt;True;000093.txt;0.17397419
000094.txt;False;066785.txt;0.25609797
000095.txt;False;068227.txt;0.27629942
000096.txt;True;000096.txt;0.206866
000097.txt;False;051143.txt;0.3164521
000098.txt;False;018291.txt;0.17904875
000099.txt;True;000099.txt;0.2799279
000100.txt;False;028749.txt;0.26597273
000101.txt;True;000101.txt;0.21135238
000102.txt;True;000102.txt;0.2769404
000103.txt;False;011785.txt;0.3126176
000104.txt;True;000104.txt;0.23059292
000105.txt;False;054126.txt;0.21456203
000106.txt;True;000106.txt;0.22096309
000107.txt;False;018081.txt;0.23348397
000108.txt;True;000108.txt;0.20611873
000109.txt;True;000109.txt;0.19915718
000110.txt;True;000110.txt;0.13537975
000111.txt;True;000111.txt;0.1577081
000112.txt;False;044912.txt;0.31153375
000113.txt;False;017234.txt;0.21193002
000114.txt;True;000114.txt;0.20766614
000115.txt;True;000115.txt;3.56901e-13
000116.txt;False;028750.txt;0.17443027
000117.txt;False;025829.txt;0.3105519
000118.txt;True;000118.txt;0.0
000119.txt;False;031972.txt;0.27447975
000120.txt;True;000120.txt;0.03834124
000121.txt;True;000121.txt;4.8367663e-13
000122.txt;False;011114.txt;0.21746555
000123.txt;True;000123.txt;0.0
000124.txt;True;000124.txt;0.0
000126.txt;True;000126.txt;0.23003833
000127.txt;True;000127.txt;0.27317318
000128.txt;True;000128.txt;0.1862388
000129.txt;False;003688.txt;0.34414232
000130.txt;True;000130.txt;0.2507565
000131.txt;True;000131.txt;0.22280297
000132.txt;True;000132.txt;0.24169797
000133.txt;True;000133.txt;0.27227473
000134.txt;False;027701.txt;0.2380521
000135.txt;False;069588.txt;0.06983973
000136.txt;False;076582.txt;0.27534434
000137.txt;True;000137.txt;0.25521696
000138.txt;True;000138.txt;0.093923405
000139.txt;False;004565.txt;0.29964888
000140.txt;True;000140.txt;0.0
000141.txt;True;000141.txt;0.051365852
000142.txt;True;000142.txt;0.17919761
000143.txt;False;020464.txt;0.291938
000144.txt;True;000144.txt;0.23494756
