query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.06875092
000001.txt;True;000001.txt;0.08375713
000002.txt;False;068017.txt;0.10098991
000003.txt;True;000003.txt;0.07829052
000004.txt;False;001579.txt;0.10575152
000005.txt;False;078876.txt;0.10448538
000006.txt;False;024317.txt;0.0841835
000007.txt;True;000007.txt;0.10309039
000008.txt;False;036231.txt;0.08120766
000009.txt;False;076785.txt;0.09419806
000010.txt;False;024317.txt;0.07776739
000011.txt;True;000011.txt;0.07963211
000012.txt;False;043361.txt;0.07642563
000013.txt;False;002355.txt;0.09648144
000014.txt;False;040097.txt;0.075410336
000015.txt;False;076704.txt;0.09188635
000016.txt;False;076704.txt;0.09880413
000017.txt;False;044528.txt;0.09729418
000018.txt;False;021807.txt;0.090032026
000019.txt;True;000019.txt;0.06615761
000020.txt;False;018745.txt;0.10083348
000021.txt;True;000021.txt;0.07803915
000022.txt;False;058403.txt;0.081744954
000023.txt;True;000023.txt;0.06548573
000024.txt;False;006730.txt;0.08018844
000025.txt;True;000025.txt;0.073084
000026.txt;False;035786.txt;0.06013403
000027.txt;True;000027.txt;0.07121133
000028.txt;True;000028.txt;0.074964136
000029.txt;True;000029.txt;0.07064977
000030.txt;False;078473.txt;0.06532176
000031.txt;True;000031.txt;0.072744004
000032.txt;False;017100.txt;0.0921956
000034.txt;True;000034.txt;0.05593627
000035.txt;True;000035.txt;0.099025026
000036.txt;False;031923.txt;0.09231051
000037.txt;True;000037.txt;0.075775996
000038.txt;True;000038.txt;0.07299571
000039.txt;True;000039.txt;0.069541104
000040.txt;True;000040.txt;0.07391663
000041.txt;True;000041.txt;0.07284648
000042.txt;True;000042.txt;0.07022925
000043.txt;True;000043.txt;0.074739754
000044.txt;False;001368.txt;0.08793809
000045.txt;False;003352.txt;0.08796728
000046.txt;False;000278.txt;0.05313786
000047.txt;False;000278.txt;0.080377415
000048.txt;False;073533.txt;0.095735
000049.txt;False;013600.txt;0.118243515
000050.txt;False;056021.txt;0.10267847
000051.txt;False;038509.txt;0.08134113
000052.txt;False;000278.txt;0.071780466
000053.txt;False;056021.txt;0.116484426
000054.txt;False;005501.txt;0.094759434
000055.txt;False;020197.txt;0.09062907
000056.txt;False;013600.txt;0.10262503
000057.txt;False;045711.txt;0.08295011
000058.txt;True;000058.txt;0.044761278
000059.txt;False;005854.txt;0.07647796
000060.txt;False;041654.txt;0.1079701
000061.txt;False;024317.txt;0.08218601
000062.txt;True;000062.txt;0.061318655
000063.txt;False;006720.txt;0.09874746
000064.txt;False;072688.txt;0.12245322
000065.txt;False;076681.txt;0.11629856
000066.txt;False;010357.txt;0.10114542
000067.txt;False;071209.txt;0.10838002
000068.txt;True;000068.txt;0.057305586
000069.txt;False;018691.txt;0.0779121
000070.txt;False;034854.txt;0.11947969
000071.txt;False;000083.txt;0.107763566
000072.txt;False;018068.txt;0.086332105
000073.txt;True;000073.txt;0.058976322
000074.txt;False;068828.txt;0.093161955
000075.txt;True;000075.txt;0.09109653
000076.txt;True;000076.txt;0.09459415
000077.txt;False;013323.txt;0.11573513
000078.txt;False;003544.txt;0.10246357
000079.txt;False;000196.txt;0.08541058
000080.txt;False;052124.txt;0.11717586
000081.txt;False;055282.txt;0.0982368
000082.txt;True;000082.txt;0.10762362
000083.txt;True;000083.txt;0.0933609
000084.txt;False;033992.txt;0.088111565
000085.txt;False;006057.txt;0.08761759
000086.txt;False;015622.txt;0.076208904
000087.txt;False;017302.txt;0.10157928
000088.txt;False;069591.txt;0.091135055
000089.txt;False;002460.txt;0.099146724
000090.txt;True;000090.txt;0.098486826
000091.txt;False;057918.txt;0.07967556
000092.txt;False;033992.txt;0.101777375
000093.txt;False;004667.txt;0.11216934
000094.txt;False;047378.txt;0.08392908
000095.txt;False;072596.txt;0.09004347
000096.txt;True;000096.txt;0.07409359
000097.txt;False;078761.txt;0.08077927
000098.txt;False;036861.txt;0.10408111
000099.txt;True;000099.txt;0.09007665
000100.txt;False;016872.txt;0.1077812
000101.txt;False;072539.txt;0.09605715
000102.txt;False;046145.txt;0.106895715
000103.txt;False;004558.txt;0.07421468
000104.txt;False;004931.txt;0.111240864
000105.txt;True;000105.txt;0.09341676
000106.txt;False;045459.txt;0.07643293
000107.txt;True;000107.txt;0.08668207
000108.txt;True;000108.txt;0.067839384
000109.txt;True;000109.txt;0.073963754
000110.txt;False;044057.txt;0.116059646
000111.txt;False;065616.txt;0.099787086
000112.txt;False;039596.txt;0.10724676
000113.txt;False;014236.txt;0.066379875
000114.txt;False;009177.txt;0.089316756
000115.txt;False;005619.txt;0.0977937
000116.txt;False;015904.txt;0.10571566
000117.txt;True;000117.txt;0.10049677
000118.txt;True;000118.txt;0.11923534
000119.txt;False;072557.txt;0.10158794
000120.txt;True;000120.txt;0.056130044
000121.txt;True;000121.txt;0.064972214
000122.txt;True;000122.txt;0.08275205
000123.txt;False;019801.txt;0.09576222
000124.txt;True;000124.txt;0.09120637
000126.txt;False;000130.txt;0.07745103
000127.txt;True;000127.txt;0.07282883
000128.txt;True;000128.txt;0.068193674
