query_file;found;search_result;search_distances
000000.txt;False;007434.txt;0.06989248
000001.txt;True;000001.txt;0.045657292
000002.txt;False;007581.txt;0.045268357
000003.txt;False;066358.txt;0.045684233
000004.txt;True;000004.txt;0.04066844
000005.txt;False;078876.txt;0.051531862
000006.txt;False;031736.txt;0.042334266
000007.txt;True;000007.txt;0.042966276
000008.txt;False;019656.txt;0.06269345
000009.txt;True;000009.txt;0.03961844
000010.txt;False;000453.txt;0.038926177
000011.txt;True;000011.txt;0.05440907
000012.txt;True;000012.txt;0.060135476
000013.txt;False;050537.txt;0.04090394
000014.txt;True;000014.txt;0.043517828
000015.txt;True;000015.txt;0.041348662
000016.txt;False;000015.txt;0.04173503
000017.txt;True;000017.txt;0.034923404
000018.txt;True;000018.txt;0.054905236
000019.txt;False;019656.txt;0.07429345
000020.txt;True;000020.txt;0.044430234
000021.txt;True;000021.txt;0.05960313
000022.txt;True;000022.txt;0.053545725
000023.txt;False;058403.txt;0.05252996
000024.txt;False;041618.txt;0.056168787
000025.txt;True;000025.txt;0.056063797
000026.txt;True;000026.txt;0.061929032
000027.txt;True;000027.txt;0.056598194
000028.txt;True;000028.txt;0.056582958
000029.txt;True;000029.txt;0.059427623
000030.txt;False;040148.txt;0.06675385
000031.txt;False;000029.txt;0.048924096
000032.txt;True;000032.txt;0.03473614
000034.txt;False;033154.txt;0.074185416
000035.txt;False;030137.txt;0.054311134
000036.txt;False;058059.txt;0.06781677
000037.txt;True;000037.txt;0.05537876
000038.txt;True;000038.txt;0.05752053
000039.txt;True;000039.txt;0.05689168
000040.txt;True;000040.txt;0.055355716
000041.txt;True;000041.txt;0.058066428
000042.txt;True;000042.txt;0.057463214
000043.txt;True;000043.txt;0.05641213
000044.txt;False;010500.txt;0.049885467
000045.txt;False;078675.txt;0.048267584
000046.txt;False;000127.txt;0.036830105
000047.txt;True;000047.txt;0.046666108
000048.txt;True;000048.txt;0.045957264
000049.txt;False;030729.txt;0.05045777
000050.txt;False;030729.txt;0.066847935
000051.txt;False;001403.txt;0.047585867
000052.txt;True;000052.txt;0.04282541
000053.txt;False;030729.txt;0.054875452
000054.txt;False;057708.txt;0.042473365
000055.txt;True;000055.txt;0.049411118
000056.txt;False;030729.txt;0.062722
000057.txt;False;004089.txt;0.04620966
000058.txt;True;000058.txt;0.06265386
000059.txt;False;002165.txt;0.054907575
000060.txt;False;030729.txt;0.053174004
000061.txt;False;074678.txt;0.047577105
000062.txt;True;000062.txt;0.07367033
000063.txt;False;074528.txt;0.047219742
000064.txt;False;002787.txt;0.0469732
000065.txt;False;065037.txt;0.053836253
000066.txt;False;070969.txt;0.049404852
000067.txt;True;000067.txt;0.06040819
000068.txt;False;010844.txt;0.07670481
000069.txt;False;031048.txt;0.06364493
000070.txt;False;035059.txt;0.050276678
000071.txt;False;000602.txt;0.039950885
000072.txt;True;000072.txt;0.059345454
000073.txt;False;042364.txt;0.067512095
000074.txt;True;000074.txt;0.033259273
000075.txt;False;037339.txt;0.058335073
000076.txt;True;000076.txt;0.04778142
000077.txt;True;000077.txt;0.052109852
000078.txt;True;000078.txt;0.03191135
000079.txt;False;012380.txt;0.056970462
000080.txt;False;015410.txt;0.044681966
000081.txt;True;000081.txt;0.03371557
000082.txt;False;046269.txt;0.03802716
000083.txt;True;000083.txt;0.0429595
000084.txt;True;000084.txt;0.03806569
000085.txt;False;078837.txt;0.03728129
000086.txt;True;000086.txt;0.05337317
000087.txt;False;018029.txt;0.048407447
000088.txt;False;023069.txt;0.070347205
000089.txt;False;057489.txt;0.05916994
000090.txt;False;074683.txt;0.060138896
000091.txt;False;041618.txt;0.071679376
000092.txt;True;000092.txt;0.06247118
000093.txt;True;000093.txt;0.05756147
000094.txt;False;025506.txt;0.063215554
000095.txt;True;000095.txt;0.06617376
000096.txt;False;075277.txt;0.05626744
000097.txt;False;012380.txt;0.058962326
000098.txt;True;000098.txt;0.075941324
000099.txt;False;053177.txt;0.054576457
000100.txt;True;000100.txt;0.061923962
000101.txt;False;015657.txt;0.034430534
000102.txt;False;018029.txt;0.050053485
000103.txt;True;000103.txt;0.070365585
000104.txt;False;007792.txt;0.043370977
000105.txt;True;000105.txt;0.047970165
000106.txt;True;000106.txt;0.0431069
000107.txt;False;004700.txt;0.034575086
000108.txt;True;000108.txt;0.057386197
000109.txt;True;000109.txt;0.056331582
000110.txt;False;006366.txt;0.060050633
000111.txt;True;000111.txt;0.044587348
000112.txt;False;028222.txt;0.044357438
000113.txt;False;036413.txt;0.05687077
000114.txt;True;000114.txt;0.0476066
000115.txt;False;000982.txt;0.034748532
000116.txt;False;018029.txt;0.04685138
000117.txt;True;000117.txt;0.037091073
000118.txt;False;000121.txt;0.053682722
000119.txt;True;000119.txt;0.048784006
