query_file;found;search_result;search_distances
000000.txt;True;000000.txt;1.1791711
000001.txt;False;077848.txt;2.394986
000002.txt;False;031009.txt;3.6715055
000003.txt;True;000003.txt;3.2072122
000004.txt;False;065727.txt;2.2165053
000005.txt;False;004333.txt;5.2518373
000006.txt;False;004333.txt;4.9665484
000007.txt;False;024615.txt;2.8423061
000008.txt;False;002675.txt;1.1533266
000009.txt;True;000009.txt;1.9441748
000010.txt;False;043874.txt;6.7823696
000011.txt;True;000011.txt;2.8368816
000012.txt;False;021219.txt;3.6223688
000013.txt;True;000013.txt;0.972557
000014.txt;False;019302.txt;4.9656067
000015.txt;True;000015.txt;0.74305165
000016.txt;True;000016.txt;8.4116
000017.txt;False;001039.txt;9.047012
000018.txt;False;031155.txt;4.794707
000019.txt;True;000019.txt;1.2207924
000020.txt;False;070218.txt;1.6030535
000021.txt;False;016509.txt;7.025364
000022.txt;False;016509.txt;7.0245433
000023.txt;False;016509.txt;7.125865
000024.txt;False;014947.txt;6.555357
000025.txt;False;016509.txt;7.159442
000026.txt;False;019213.txt;7.415723
000027.txt;False;016509.txt;7.9574995
000028.txt;False;016509.txt;7.198806
000029.txt;False;016509.txt;7.8897767
000030.txt;False;005413.txt;5.880439
000031.txt;False;000149.txt;7.8931227
000032.txt;True;000032.txt;3.0714817
000034.txt;False;038777.txt;5.616944
000035.txt;False;071942.txt;3.5679345
000036.txt;False;008501.txt;4.2635584
000037.txt;False;016509.txt;7.976329
000038.txt;False;016509.txt;7.399212
000039.txt;False;016509.txt;7.2539625
000040.txt;False;016509.txt;6.2004423
000041.txt;False;016509.txt;6.686285
000042.txt;False;016509.txt;7.02343
000043.txt;False;016509.txt;7.2040267
000044.txt;True;000044.txt;3.9724233
000045.txt;True;000045.txt;3.5604637
000046.txt;True;000046.txt;3.9069252
000047.txt;True;000047.txt;4.194512
000048.txt;True;000048.txt;0.0
000049.txt;False;001815.txt;13.452906
000050.txt;True;000050.txt;2.4776278
000051.txt;True;000051.txt;3.4493346
000052.txt;True;000052.txt;4.7259407
000053.txt;False;033396.txt;1.598597
000054.txt;False;054052.txt;0.93926954
000055.txt;False;018753.txt;3.3447618
000056.txt;False;066636.txt;3.1469717
000057.txt;False;012264.txt;2.3663893
000058.txt;False;064110.txt;1.8922846
000059.txt;False;007609.txt;2.2954807
000060.txt;False;059679.txt;2.7378943
000061.txt;False;042810.txt;7.307432
000062.txt;False;025844.txt;6.7418118
000063.txt;False;057269.txt;0.7850402
000064.txt;False;044752.txt;2.376223
000065.txt;True;000065.txt;2.1438272
000066.txt;True;000066.txt;0.0
000067.txt;False;078153.txt;2.335199
000068.txt;False;036806.txt;6.3548374
000069.txt;False;078461.txt;4.562969
000070.txt;False;027222.txt;3.3033338
000071.txt;False;006888.txt;6.375881
000072.txt;True;000072.txt;0.0
000073.txt;False;003571.txt;2.4258485
000074.txt;False;034893.txt;2.4436674
000075.txt;False;022599.txt;1.088068
000076.txt;False;076084.txt;3.0985618
000077.txt;False;011803.txt;2.142133
000078.txt;False;069515.txt;0.52210385
000079.txt;False;028755.txt;14.418638
000080.txt;False;042658.txt;0.56320375
000081.txt;False;016117.txt;2.7254295
000082.txt;False;052113.txt;2.4166389
000083.txt;False;017163.txt;0.84819615
000084.txt;False;001607.txt;3.6451821
000085.txt;True;000085.txt;3.4629805
000086.txt;False;032424.txt;1.7869948
000087.txt;False;035617.txt;6.07893
000088.txt;False;066737.txt;7.199263
000089.txt;False;053877.txt;4.2157106
000090.txt;False;059861.txt;12.910416
000091.txt;False;010110.txt;4.751996
000092.txt;False;014517.txt;1.3097627
000093.txt;False;046809.txt;1.5053887
000094.txt;False;058927.txt;9.162857
000095.txt;False;065190.txt;4.7385616
000096.txt;True;000096.txt;2.728577
000097.txt;False;051143.txt;10.528482
000098.txt;False;064648.txt;4.7582884
000099.txt;True;000099.txt;4.5901957
000100.txt;False;071035.txt;1.9096756
000101.txt;True;000101.txt;7.518543
000102.txt;False;029295.txt;3.6348176
000103.txt;True;000103.txt;5.1263704
000104.txt;False;057380.txt;4.0762587
000105.txt;False;044886.txt;2.1845272
000106.txt;False;000110.txt;3.9339538
000107.txt;False;007984.txt;2.8474154
000108.txt;False;016509.txt;6.838701
000109.txt;False;016509.txt;6.9961815
000110.txt;True;000110.txt;1.336594
000111.txt;True;000111.txt;9.364745
000112.txt;False;040063.txt;4.7547064
000113.txt;False;017234.txt;1.2784983
000114.txt;False;034828.txt;13.723837
000115.txt;True;000115.txt;5.195721e-12
000116.txt;False;044752.txt;4.36076
