query_file;found;search_result;search_distances
000000.txt;False;042895.txt;0.2680666
000001.txt;True;000001.txt;3.4229477e-13
000002.txt;True;000002.txt;0.13816933
000003.txt;False;078164.txt;0.25383246
000004.txt;False;060658.txt;0.2700605
000005.txt;True;000005.txt;0.26652774
000006.txt;True;000006.txt;0.28370953
000007.txt;False;025584.txt;0.31412902
000008.txt;False;077816.txt;0.28564522
000009.txt;True;000009.txt;0.17991892
000010.txt;True;000010.txt;0.256852
000011.txt;True;000011.txt;0.23360878
000012.txt;True;000012.txt;0.08121276
000013.txt;True;000013.txt;0.0421504
000014.txt;True;000014.txt;0.23341218
000015.txt;True;000015.txt;0.06601156
000016.txt;True;000016.txt;0.29618865
000017.txt;False;051374.txt;0.28555351
000018.txt;True;000018.txt;0.23273414
000019.txt;True;000019.txt;0.22183348
000020.txt;True;000020.txt;0.19927332
000021.txt;True;000021.txt;0.219445
000022.txt;True;000022.txt;0.20505771
000023.txt;True;000023.txt;0.1977348
000024.txt;True;000024.txt;0.22891176
000025.txt;True;000025.txt;0.20213711
000026.txt;False;008825.txt;0.22879107
000027.txt;True;000027.txt;0.19406849
000028.txt;True;000028.txt;0.21161768
000029.txt;True;000029.txt;0.19302753
000030.txt;True;000030.txt;0.22999856
000031.txt;True;000031.txt;0.22170076
000032.txt;True;000032.txt;0.21358135
000034.txt;True;000034.txt;0.27574176
000035.txt;False;029568.txt;0.30915105
000036.txt;True;000036.txt;0.26583326
000037.txt;True;000037.txt;0.19891272
000038.txt;True;000038.txt;0.1981121
000039.txt;True;000039.txt;0.19296615
000040.txt;True;000040.txt;0.20096573
000041.txt;True;000041.txt;0.19302753
000042.txt;True;000042.txt;0.19622774
000043.txt;True;000043.txt;0.1939944
000044.txt;True;000044.txt;0.25565252
000045.txt;True;000045.txt;0.24899359
000046.txt;True;000046.txt;0.23496224
000047.txt;False;078448.txt;0.26385403
000048.txt;True;000048.txt;0.0
000049.txt;True;000049.txt;0.11136694
000050.txt;True;000050.txt;0.145866
000051.txt;True;000051.txt;0.2613697
000052.txt;True;000052.txt;0.26515406
000053.txt;True;000053.txt;0.13436288
000054.txt;False;072419.txt;0.28908226
000055.txt;False;000803.txt;0.23116758
000056.txt;True;000056.txt;0.13092782
000057.txt;True;000057.txt;0.1258579
000058.txt;True;000058.txt;0.116844624
000059.txt;True;000059.txt;0.19136733
000060.txt;True;000060.txt;0.14807975
000061.txt;True;000061.txt;0.22412294
000062.txt;False;050680.txt;0.31516713
000063.txt;False;019991.txt;0.30579698
000064.txt;True;000064.txt;0.12622765
000065.txt;True;000065.txt;0.14486068
000066.txt;True;000066.txt;0.0
000067.txt;True;000067.txt;0.14461038
000068.txt;False;015479.txt;0.27294338
000069.txt;True;000069.txt;0.28106472
000070.txt;False;001597.txt;0.21530911
000071.txt;True;000071.txt;0.23266989
000072.txt;True;000072.txt;0.0
000073.txt;False;008313.txt;0.23695236
000074.txt;False;026540.txt;0.3299245
000075.txt;False;025915.txt;0.25829715
000076.txt;False;023123.txt;0.22304672
000077.txt;True;000077.txt;0.20056021
000078.txt;True;000078.txt;0.28258038
000079.txt;False;028270.txt;0.28150076
000080.txt;False;007566.txt;0.26875272
000081.txt;True;000081.txt;0.130449
000082.txt;True;000082.txt;0.14300466
000083.txt;False;065534.txt;0.20632085
000084.txt;False;023123.txt;0.20525092
000085.txt;False;030681.txt;0.21542378
000086.txt;False;013894.txt;0.25903478
000087.txt;True;000087.txt;0.18800801
000088.txt;False;028875.txt;0.37380338
000089.txt;False;055843.txt;0.3622782
000090.txt;False;076746.txt;0.2736518
000091.txt;True;000091.txt;0.096780114
000092.txt;False;029521.txt;0.23209362
000093.txt;True;000093.txt;0.17397413
000094.txt;False;066785.txt;0.25609797
000095.txt;False;068227.txt;0.27629942
000096.txt;True;000096.txt;0.206866
000097.txt;False;067878.txt;0.32875836
000098.txt;False;018291.txt;0.17904878
000099.txt;True;000099.txt;0.27992785
000100.txt;False;028749.txt;0.26597273
000101.txt;True;000101.txt;0.21135233
000102.txt;True;000102.txt;0.2769404
000103.txt;False;011785.txt;0.31261757
000104.txt;True;000104.txt;0.23059297
000105.txt;False;054126.txt;0.21456203
000106.txt;False;074841.txt;0.24474749
000107.txt;False;018081.txt;0.23348397
000108.txt;True;000108.txt;0.2061187
000109.txt;True;000109.txt;0.19915715
000110.txt;True;000110.txt;0.13537975
000111.txt;True;000111.txt;0.15770808
000112.txt;False;044912.txt;0.31153372
000113.txt;False;017234.txt;0.21193002
000114.txt;False;020605.txt;0.29653293
000115.txt;True;000115.txt;3.56901e-13
000116.txt;False;028750.txt;0.17443025
000117.txt;False;025829.txt;0.3105519
000118.txt;True;000118.txt;0.0
000119.txt;False;031972.txt;0.27447972
000120.txt;True;000120.txt;0.038341247
000121.txt;True;000121.txt;4.8221507e-13
000122.txt;False;011114.txt;0.21746553
000123.txt;True;000123.txt;0.0
000124.txt;True;000124.txt;0.0
000126.txt;True;000126.txt;0.23003832
000127.txt;True;000127.txt;0.27317318
000128.txt;True;000128.txt;0.1862388
000129.txt;False;000112.txt;0.38096046
000130.txt;True;000130.txt;0.2507565
000131.txt;True;000131.txt;0.22280294
000132.txt;True;000132.txt;0.24169794
000133.txt;True;000133.txt;0.2722747
000134.txt;False;027701.txt;0.2380521
000135.txt;False;069588.txt;0.06983973
000136.txt;False;076582.txt;0.27534434
000137.txt;True;000137.txt;0.2552169
000138.txt;True;000138.txt;0.093923405
000139.txt;False;019991.txt;0.31635505
000140.txt;True;000140.txt;0.0
000141.txt;True;000141.txt;0.05136586
000142.txt;True;000142.txt;0.17919758
000143.txt;False;020464.txt;0.29193795
000144.txt;True;000144.txt;0.23494753
