query_file;found;search_result;search_distances
000000.txt;False;075274.txt;0.42447016
000001.txt;True;000001.txt;0.20224884
000002.txt;False;007581.txt;0.23781344
000003.txt;True;000003.txt;0.27177477
000004.txt;True;000004.txt;0.22021839
000005.txt;False;078876.txt;0.35475457
000006.txt;False;032422.txt;0.364497
000007.txt;False;032220.txt;0.44015253
000008.txt;False;078925.txt;0.36914685
000009.txt;True;000009.txt;0.2852668
000010.txt;True;000010.txt;0.29823223
000011.txt;True;000011.txt;0.27884966
000012.txt;True;000012.txt;0.25936094
000013.txt;True;000013.txt;0.24634941
000014.txt;True;000014.txt;0.23994385
000015.txt;True;000015.txt;0.22067603
000016.txt;False;000015.txt;0.31998396
000017.txt;True;000017.txt;0.28736293
000018.txt;True;000018.txt;0.17580536
000019.txt;True;000019.txt;0.29264548
000020.txt;True;000020.txt;0.3420999
000021.txt;True;000021.txt;0.20341806
000022.txt;True;000022.txt;0.19867373
000023.txt;True;000023.txt;0.22731629
000024.txt;True;000024.txt;0.22698148
000025.txt;True;000025.txt;0.16925412
000026.txt;True;000026.txt;0.2739469
000027.txt;True;000027.txt;0.15837559
000028.txt;True;000028.txt;0.17505324
000029.txt;True;000029.txt;0.17768824
000030.txt;True;000030.txt;0.2475108
000031.txt;True;000031.txt;0.24261831
000032.txt;True;000032.txt;0.30604178
000034.txt;True;000034.txt;0.36623886
000035.txt;True;000035.txt;0.4182532
000036.txt;True;000036.txt;0.30193698
000037.txt;True;000037.txt;0.16999428
000038.txt;True;000038.txt;0.15898767
000039.txt;True;000039.txt;0.17452039
000040.txt;True;000040.txt;0.17339289
000041.txt;True;000041.txt;0.16484828
000042.txt;True;000042.txt;0.16482279
000043.txt;True;000043.txt;0.18284103
000044.txt;False;010500.txt;0.34704947
000045.txt;True;000045.txt;0.34655863
000046.txt;False;075527.txt;0.35731792
000047.txt;False;075527.txt;0.29857427
000048.txt;True;000048.txt;0.17889518
000049.txt;True;000049.txt;0.2583885
000050.txt;True;000050.txt;0.25965172
000051.txt;True;000051.txt;0.37294987
000052.txt;True;000052.txt;0.3221802
000053.txt;True;000053.txt;0.2983092
000054.txt;True;000054.txt;0.35366982
000055.txt;True;000055.txt;0.41705018
000056.txt;True;000056.txt;0.33727184
000057.txt;True;000057.txt;0.29364562
000058.txt;True;000058.txt;0.22232431
000059.txt;True;000059.txt;0.32934842
000060.txt;True;000060.txt;0.23797747
000061.txt;True;000061.txt;0.30725646
000062.txt;True;000062.txt;0.27911603
000063.txt;True;000063.txt;0.3417067
000064.txt;True;000064.txt;0.2957525
000065.txt;True;000065.txt;0.27542347
000066.txt;True;000066.txt;0.2894466
000067.txt;True;000067.txt;0.29312176
000068.txt;True;000068.txt;0.2959732
000069.txt;True;000069.txt;0.33889014
000070.txt;True;000070.txt;0.33321655
000071.txt;False;008550.txt;0.3672145
000072.txt;True;000072.txt;0.19493632
000073.txt;True;000073.txt;0.31055394
000074.txt;False;053465.txt;0.45720828
000075.txt;True;000075.txt;0.28756684
000076.txt;False;028863.txt;0.3661589
000077.txt;True;000077.txt;0.25867394
000078.txt;True;000078.txt;0.38924736
000079.txt;True;000079.txt;0.3309921
000080.txt;True;000080.txt;0.24664919
000081.txt;True;000081.txt;0.2919322
000082.txt;True;000082.txt;0.3107465
000083.txt;True;000083.txt;0.38205367
000084.txt;True;000084.txt;0.34410766
000085.txt;True;000085.txt;0.30800727
000086.txt;True;000086.txt;0.26456517
000087.txt;True;000087.txt;0.29077584
000088.txt;False;055768.txt;0.38178647
000089.txt;False;000088.txt;0.42085004
000090.txt;True;000090.txt;0.34888947
000091.txt;True;000091.txt;0.26286966
000092.txt;True;000092.txt;0.31752014
000093.txt;True;000093.txt;0.2520782
000094.txt;True;000094.txt;0.41050148
000095.txt;True;000095.txt;0.3765483
000096.txt;True;000096.txt;0.33511254
000097.txt;True;000097.txt;0.41122118
000098.txt;True;000098.txt;0.21271785
000099.txt;True;000099.txt;0.36226135
000100.txt;True;000100.txt;0.31316316
000101.txt;True;000101.txt;0.35205376
000102.txt;True;000102.txt;0.2954135
000103.txt;False;025675.txt;0.41653126
000104.txt;True;000104.txt;0.39227206
000105.txt;True;000105.txt;0.25533557
000106.txt;True;000106.txt;0.28412384
000107.txt;True;000107.txt;0.2731802
000108.txt;True;000108.txt;0.17465472
000109.txt;True;000109.txt;0.16492204
