query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.46852282
000001.txt;True;000001.txt;0.65983295
000002.txt;True;000002.txt;0.5915294
000003.txt;True;000003.txt;0.42066216
000004.txt;True;000004.txt;0.4343969
000005.txt;False;000061.txt;0.5539219
000006.txt;False;000061.txt;0.48781177
000007.txt;False;034985.txt;0.6234913
000008.txt;False;028869.txt;0.6585541
000009.txt;False;013440.txt;0.90015215
000010.txt;False;013720.txt;0.65484715
000011.txt;True;000011.txt;0.26671863
000012.txt;True;000012.txt;0.67226076
000013.txt;True;000013.txt;0.60291266
000014.txt;True;000014.txt;0.37679657
000015.txt;True;000015.txt;0.3163224
000016.txt;True;000016.txt;0.52175343
000017.txt;True;000017.txt;0.5953994
000018.txt;True;000018.txt;0.733124
000019.txt;True;000019.txt;0.30655783
000020.txt;False;003165.txt;0.50463897
000021.txt;True;000021.txt;0.4256851
000022.txt;True;000022.txt;0.32093185
000023.txt;True;000023.txt;0.55257374
000024.txt;False;000025.txt;0.720842
000025.txt;True;000025.txt;0.24569926
000026.txt;False;044829.txt;0.3796768
000027.txt;True;000027.txt;0.2772352
000028.txt;True;000028.txt;0.2491658
000029.txt;True;000029.txt;0.46471938
000030.txt;True;000030.txt;0.6330786
000031.txt;True;000031.txt;0.5476483
000032.txt;False;063634.txt;0.8301005
000034.txt;True;000034.txt;0.6434808
000035.txt;False;029584.txt;0.98981464
000036.txt;True;000036.txt;0.4461338
000037.txt;True;000037.txt;0.298668
000038.txt;True;000038.txt;0.23695752
000039.txt;True;000039.txt;0.26337063
000040.txt;True;000040.txt;0.23106667
000041.txt;True;000041.txt;0.24379526
000042.txt;True;000042.txt;0.23755923
000043.txt;True;000043.txt;0.30093265
000044.txt;False;010500.txt;0.3654173
000045.txt;True;000045.txt;0.34699538
000046.txt;True;000046.txt;0.57015145
000047.txt;True;000047.txt;0.4418196
000048.txt;False;020456.txt;0.52581275
000049.txt;True;000049.txt;0.6332222
000050.txt;True;000050.txt;0.5928059
000051.txt;False;001403.txt;0.39801097
000052.txt;False;000184.txt;0.4830391
000053.txt;False;015398.txt;0.7941977
000054.txt;True;000054.txt;0.4289857
000055.txt;True;000055.txt;0.54974264
000056.txt;True;000056.txt;0.6939727
000057.txt;False;036801.txt;0.5931085
000058.txt;True;000058.txt;0.7768654
000059.txt;True;000059.txt;0.51060057
000060.txt;False;033671.txt;0.77972305
000061.txt;True;000061.txt;0.57259655
000062.txt;True;000062.txt;0.4776783
000063.txt;True;000063.txt;0.54729337
000064.txt;True;000064.txt;0.8122713
000065.txt;True;000065.txt;0.6366029
000066.txt;False;059767.txt;0.76355267
000067.txt;True;000067.txt;0.5671083
000068.txt;True;000068.txt;0.28915954
000069.txt;True;000069.txt;0.62137127
000070.txt;False;006290.txt;0.8742715
000071.txt;False;000083.txt;0.52440804
000072.txt;True;000072.txt;0.5385201
000073.txt;True;000073.txt;0.66017336
000074.txt;False;053465.txt;0.6535598
000075.txt;False;077672.txt;0.8531305
000076.txt;True;000076.txt;0.62558043
000077.txt;True;000077.txt;0.5501515
000078.txt;True;000078.txt;0.55386627
000079.txt;False;025820.txt;0.6680278
000080.txt;False;002787.txt;0.78222996
000081.txt;False;077769.txt;0.7302247
000082.txt;False;012000.txt;0.8022024
000083.txt;False;026187.txt;0.61767286
000084.txt;True;000084.txt;0.5864438
000085.txt;True;000085.txt;0.44392052
000086.txt;True;000086.txt;0.6625476
000087.txt;False;070140.txt;0.509235
000088.txt;False;000103.txt;0.5205265
000089.txt;False;053877.txt;0.8225645
000090.txt;True;000090.txt;0.5727272
000091.txt;True;000091.txt;0.42076814
000092.txt;False;073546.txt;0.65444726
000093.txt;True;000093.txt;0.48498613
000094.txt;False;019647.txt;0.5366514
000095.txt;False;016377.txt;0.61653143
000096.txt;True;000096.txt;0.5235347
000097.txt;True;000097.txt;0.64942646
000098.txt;True;000098.txt;0.45906553
000099.txt;True;000099.txt;0.45758945
000100.txt;True;000100.txt;0.3939514
000101.txt;True;000101.txt;0.69807065
000102.txt;False;070140.txt;0.70188224
000103.txt;False;000088.txt;0.6034454
000104.txt;False;000112.txt;0.5240334
000105.txt;False;043379.txt;0.69374067
000106.txt;True;000106.txt;0.31009173
000107.txt;True;000107.txt;0.5140659
000108.txt;True;000108.txt;0.2816649
000109.txt;True;000109.txt;0.20891175
000110.txt;True;000110.txt;0.5707301
000111.txt;False;000850.txt;0.72390646
000112.txt;True;000112.txt;0.59476763
000113.txt;True;000113.txt;0.48531014
000114.txt;True;000114.txt;0.44081318
000115.txt;True;000115.txt;0.31580296
000116.txt;False;003909.txt;0.57376444
000117.txt;False;017096.txt;0.5761801
000118.txt;False;000120.txt;0.46292692
000119.txt;True;000119.txt;0.68180925
000120.txt;True;000120.txt;0.32546195
000121.txt;True;000121.txt;0.49217466
000122.txt;False;062216.txt;0.6072353
000123.txt;True;000123.txt;0.57879174
000124.txt;True;000124.txt;0.35562217
000126.txt;True;000126.txt;0.42854315
000127.txt;True;000127.txt;0.3577109
000128.txt;False;001400.txt;0.3081133
000129.txt;False;061932.txt;0.6421322
000130.txt;False;047277.txt;0.44172764
000131.txt;False;000133.txt;0.37722534
000132.txt;False;008721.txt;0.350879
000133.txt;True;000133.txt;0.3031897
000134.txt;True;000134.txt;0.38130504
000135.txt;True;000135.txt;0.5703237
000136.txt;True;000136.txt;0.37593904
000137.txt;False;002135.txt;0.8042214
000138.txt;True;000138.txt;0.5527931
000139.txt;False;047799.txt;0.9546808
000140.txt;True;000140.txt;0.57230586
000141.txt;True;000141.txt;0.53415203
000142.txt;False;070140.txt;0.55497074
000143.txt;True;000143.txt;0.63117707
000144.txt;True;000144.txt;0.9109543
000145.txt;False;016615.txt;0.60033166
000146.txt;False;005453.txt;0.91053224
000147.txt;True;000147.txt;0.5196117
000148.txt;False;007372.txt;0.658589
000149.txt;True;000149.txt;0.26299426
000150.txt;True;000150.txt;0.8322165
000151.txt;False;047059.txt;0.7557006
000152.txt;True;000152.txt;0.59403706
000153.txt;True;000153.txt;0.36062595
000154.txt;False;003909.txt;0.5873361
000155.txt;True;000155.txt;0.68081355
000156.txt;False;042572.txt;0.53976727
000157.txt;False;038932.txt;0.675038
000158.txt;True;000158.txt;0.38543624
000159.txt;False;000163.txt;0.52919614
000160.txt;True;000160.txt;0.38011992
000161.txt;True;000161.txt;0.5901551
000162.txt;False;023945.txt;0.4344197
000163.txt;True;000163.txt;0.33599287
000164.txt;True;000164.txt;0.6761689
000165.txt;True;000165.txt;0.60774726
000166.txt;False;011559.txt;1.2237296
000167.txt;True;000167.txt;0.41092467
000168.txt;True;000168.txt;0.72756183
000169.txt;False;070140.txt;0.6989956
000170.txt;True;000170.txt;0.4937068
000171.txt;True;000171.txt;0.45137572
000172.txt;True;000172.txt;0.4013282
000173.txt;False;008832.txt;0.80237246
000174.txt;False;018245.txt;0.5727572
000175.txt;True;000175.txt;0.7241291
000176.txt;True;000176.txt;0.48266447
000177.txt;False;011954.txt;0.5837631
000178.txt;False;001483.txt;0.43242282
000179.txt;True;000179.txt;0.39675313
000180.txt;True;000180.txt;0.47934029
000181.txt;True;000181.txt;0.3403023
000182.txt;True;000182.txt;0.30627578
000183.txt;True;000183.txt;0.26306814
000184.txt;True;000184.txt;0.2798444
000185.txt;True;000185.txt;0.32096645
000186.txt;False;060108.txt;0.67485666
000187.txt;False;078360.txt;0.43845093
000188.txt;True;000188.txt;0.333683
000189.txt;True;000189.txt;0.2767406
000190.txt;True;000190.txt;0.3108911
000191.txt;True;000191.txt;0.5562193
000192.txt;False;074610.txt;0.7528984
000193.txt;False;040236.txt;0.6067357
000194.txt;True;000194.txt;0.4810739
000195.txt;True;000195.txt;0.6090388
000196.txt;False;049144.txt;0.5803989
000197.txt;False;071759.txt;0.6814663
000198.txt;False;040819.txt;0.79288197
000199.txt;True;000199.txt;0.3778286
000200.txt;True;000200.txt;0.53827286
000201.txt;False;038708.txt;0.72579193
000202.txt;False;003052.txt;0.59995675
000203.txt;True;000203.txt;0.66721314
000204.txt;False;078784.txt;0.5688357
000205.txt;False;078784.txt;0.45942706
000206.txt;True;000206.txt;0.39813226
000207.txt;True;000207.txt;0.67053163
000208.txt;False;068820.txt;0.5691923
000209.txt;True;000209.txt;0.4954025
000210.txt;True;000210.txt;0.84571064
000211.txt;True;000211.txt;0.47018287
000212.txt;True;000212.txt;0.47189707
000213.txt;True;000213.txt;0.35319954
000214.txt;True;000214.txt;0.40917492
000215.txt;True;000215.txt;1.0613835
000216.txt;False;011661.txt;0.7089444
000217.txt;False;000176.txt;0.63099396
000219.txt;True;000219.txt;0.3578388
000220.txt;False;078947.txt;0.42525202
000221.txt;True;000221.txt;0.42984113
000222.txt;True;000222.txt;0.31696892
000223.txt;False;066775.txt;0.87065977
000224.txt;False;029848.txt;0.88389564
000225.txt;True;000225.txt;0.42235282
000226.txt;True;000226.txt;0.62010294
000227.txt;True;000227.txt;0.4477063
000228.txt;True;000228.txt;0.4397537
000229.txt;True;000229.txt;0.9041379
000230.txt;True;000230.txt;0.4746554
000231.txt;True;000231.txt;0.54713595
000232.txt;False;072121.txt;0.8099338
000233.txt;False;003407.txt;0.70511925
000234.txt;False;034574.txt;0.8206614
000235.txt;False;057228.txt;0.9357928
000236.txt;True;000236.txt;0.28808242
000237.txt;True;000237.txt;0.55897045
000238.txt;True;000238.txt;0.6736072
000239.txt;False;000112.txt;0.6105126
000240.txt;False;041672.txt;1.1938016
000241.txt;True;000241.txt;0.20537455
000242.txt;False;022651.txt;0.8725525
000243.txt;True;000243.txt;0.37691927
000244.txt;False;002941.txt;0.7226796
000245.txt;True;000245.txt;0.46650803
000246.txt;True;000246.txt;0.52290064
000247.txt;True;000247.txt;0.636019
000248.txt;False;074577.txt;0.7746285
000249.txt;True;000249.txt;0.51920635
000250.txt;False;075841.txt;0.7209326
000251.txt;True;000251.txt;0.50872386
000252.txt;True;000252.txt;0.45968413
000253.txt;True;000253.txt;0.68010527
000254.txt;False;071035.txt;0.57633245
000255.txt;True;000255.txt;0.38382536
000256.txt;True;000256.txt;0.6050011
000257.txt;False;018360.txt;0.99384344
000258.txt;False;046074.txt;1.0634663
000259.txt;False;001094.txt;0.84269005
000260.txt;False;006538.txt;0.92202103
000261.txt;False;008273.txt;1.0245594
000262.txt;True;000262.txt;0.21157572
000263.txt;False;029583.txt;0.9580375
000264.txt;False;000171.txt;0.67900074
000265.txt;True;000265.txt;0.51429254
000266.txt;True;000266.txt;0.91807634
000267.txt;False;022392.txt;0.5055655
000268.txt;True;000268.txt;0.45406896
000269.txt;False;075005.txt;0.88906354
000270.txt;False;059693.txt;0.8462704
000271.txt;False;001617.txt;0.3917586
000272.txt;True;000272.txt;0.51851475
000273.txt;False;078360.txt;0.53298235
000274.txt;True;000274.txt;0.19021946
000275.txt;True;000275.txt;0.54683197
000276.txt;True;000276.txt;0.43632644
000277.txt;False;000042.txt;0.4382622
000278.txt;False;067422.txt;0.4376986
000279.txt;True;000279.txt;0.42384708
000280.txt;False;000045.txt;0.4187169
000281.txt;True;000281.txt;0.3718874
000282.txt;True;000282.txt;0.36380452
000283.txt;True;000283.txt;0.81297034
000284.txt;False;066982.txt;0.7630618
000285.txt;True;000285.txt;0.4134966
000286.txt;False;000045.txt;0.3224193
000287.txt;False;000184.txt;0.4647152
000288.txt;True;000288.txt;0.46672893
000289.txt;False;009330.txt;0.68926924
000290.txt;False;067422.txt;0.69650406
000291.txt;False;076226.txt;0.4744038
000292.txt;True;000292.txt;0.31850088
000293.txt;False;016752.txt;0.65109944
000294.txt;False;019233.txt;0.7552921
000295.txt;True;000295.txt;0.40027577
000296.txt;True;000296.txt;0.6135622
000297.txt;False;032990.txt;0.7307911
000298.txt;False;076178.txt;0.808151
000299.txt;False;026340.txt;0.5177877
000300.txt;True;000300.txt;0.3845021
000301.txt;False;000362.txt;0.6181021
000302.txt;False;022372.txt;0.664346
000303.txt;False;013668.txt;0.4949429
000304.txt;False;055864.txt;0.69045573
000305.txt;True;000305.txt;0.7231149
000306.txt;True;000306.txt;0.4265474
000308.txt;False;000243.txt;0.63723606
000309.txt;True;000309.txt;0.5122414
000310.txt;True;000310.txt;0.2935118
000311.txt;True;000311.txt;0.68349624
000312.txt;True;000312.txt;0.36105797
000313.txt;True;000313.txt;0.4741156
000314.txt;True;000314.txt;0.63381183
000315.txt;True;000315.txt;0.6725998
000316.txt;True;000316.txt;0.35005644
000317.txt;True;000317.txt;0.39241982
000318.txt;True;000318.txt;0.5970062
000319.txt;False;075555.txt;0.8335919
000320.txt;True;000320.txt;0.39231464
000321.txt;True;000321.txt;0.7592949
000322.txt;True;000322.txt;0.6773274
000323.txt;False;011950.txt;0.58038175
000324.txt;True;000324.txt;0.5644455
000325.txt;True;000325.txt;0.52267975
000326.txt;True;000326.txt;0.623707
000327.txt;True;000327.txt;0.61133647
000328.txt;False;000385.txt;0.5769516
000329.txt;True;000329.txt;0.6618871
000330.txt;True;000330.txt;0.4649975
000331.txt;True;000331.txt;0.69731355
000332.txt;False;057838.txt;0.81994987
000333.txt;False;017677.txt;0.53411764
000334.txt;False;000251.txt;0.49935502
000335.txt;True;000335.txt;0.5979836
000336.txt;False;020025.txt;0.6312828
000337.txt;True;000337.txt;0.4564336
000338.txt;False;057595.txt;0.582106
000339.txt;False;030497.txt;0.80526316
000341.txt;False;048513.txt;0.70000786
000342.txt;True;000342.txt;0.77847266
000343.txt;True;000343.txt;0.7158015
000344.txt;True;000344.txt;0.51980317
000345.txt;False;000371.txt;0.51805717
000346.txt;True;000346.txt;0.6836258
000347.txt;False;000061.txt;0.60062945
000348.txt;True;000348.txt;0.56602657
000349.txt;True;000349.txt;0.5445389
000350.txt;False;078617.txt;0.67469203
000351.txt;True;000351.txt;0.5845486
000352.txt;False;048316.txt;0.6936723
000353.txt;True;000353.txt;0.6260849
000354.txt;False;030070.txt;0.5167308
000355.txt;True;000355.txt;0.6056521
000356.txt;True;000356.txt;0.6766935
000357.txt;True;000357.txt;0.4595092
000358.txt;True;000358.txt;0.71127033
000359.txt;True;000359.txt;0.4820979
000360.txt;True;000360.txt;0.54744405
000361.txt;False;038742.txt;0.6800239
000362.txt;True;000362.txt;0.47265488
000363.txt;False;060748.txt;0.62858534
000364.txt;True;000364.txt;0.43709818
000366.txt;False;000367.txt;0.57342666
000367.txt;False;030402.txt;0.5321127
000368.txt;True;000368.txt;0.4238923
000369.txt;False;032876.txt;0.55726135
000370.txt;False;000392.txt;0.80776054
000371.txt;True;000371.txt;0.46262634
000372.txt;False;000295.txt;0.5471555
000373.txt;True;000373.txt;0.3923691
000374.txt;True;000374.txt;0.5848175
000375.txt;True;000375.txt;0.5330032
000376.txt;True;000376.txt;0.7096034
000377.txt;True;000377.txt;0.56847703
000378.txt;True;000378.txt;0.5875766
000379.txt;False;023189.txt;0.74473774
000380.txt;False;027764.txt;0.77494776
000381.txt;False;011785.txt;0.8609462
000382.txt;False;017231.txt;0.80829895
000383.txt;True;000383.txt;0.7855779
000384.txt;True;000384.txt;0.41848588
000385.txt;True;000385.txt;0.42532766
000386.txt;True;000386.txt;0.47602418
000387.txt;False;073257.txt;0.834487
000388.txt;False;058341.txt;0.89342505
000389.txt;False;013593.txt;0.65829086
000390.txt;True;000390.txt;0.47261035
000391.txt;True;000391.txt;0.6308141
000392.txt;True;000392.txt;0.4882541
000393.txt;True;000393.txt;0.24351953
000394.txt;False;036345.txt;0.7511352
000395.txt;True;000395.txt;0.5135426
000396.txt;True;000396.txt;0.52897584
000397.txt;True;000397.txt;0.6019795
000398.txt;True;000398.txt;0.4931525
000399.txt;True;000399.txt;0.5080074
000400.txt;False;032217.txt;0.36168927
000401.txt;True;000401.txt;0.57490224
000402.txt;True;000402.txt;0.5902009
000403.txt;True;000403.txt;0.71628016
000404.txt;False;002347.txt;0.67508805
000405.txt;True;000405.txt;0.43115914
000406.txt;False;075179.txt;0.8386457
000407.txt;True;000407.txt;0.8241317
000408.txt;True;000408.txt;0.4388908
000409.txt;False;023660.txt;0.62667143
000410.txt;False;067681.txt;0.56108326
000411.txt;False;008036.txt;0.94697887
000412.txt;False;000301.txt;0.67780125
000413.txt;False;000371.txt;0.6651097
000414.txt;False;024598.txt;0.5114677
000415.txt;True;000415.txt;0.66189396
000416.txt;True;000416.txt;0.18358055
000417.txt;True;000417.txt;0.3702352
000418.txt;True;000418.txt;0.44225055
000419.txt;False;050862.txt;0.78923047
000420.txt;True;000420.txt;0.61564887
000421.txt;False;009473.txt;0.69985247
000422.txt;False;019575.txt;0.5857761
000423.txt;False;045310.txt;0.6121794
000424.txt;False;052519.txt;0.6381149
000425.txt;False;000883.txt;0.6334212
