query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.20082748
000001.txt;True;000001.txt;5.017803e-13
000002.txt;True;000002.txt;0.12174244
000003.txt;False;078164.txt;0.22906199
000004.txt;False;017224.txt;0.25472045
000005.txt;False;033701.txt;0.3055388
000006.txt;True;000006.txt;0.30197376
000007.txt;False;077696.txt;0.29309353
000008.txt;False;077816.txt;0.23055889
000009.txt;True;000009.txt;0.13392237
000010.txt;True;000010.txt;0.2234767
000011.txt;True;000011.txt;0.16763337
000012.txt;True;000012.txt;0.10395189
000013.txt;True;000013.txt;0.049498975
000014.txt;True;000014.txt;0.20077714
000015.txt;True;000015.txt;0.0644767
000016.txt;False;069346.txt;0.31886873
000017.txt;True;000017.txt;0.25733376
000018.txt;True;000018.txt;0.20899907
000019.txt;True;000019.txt;0.20583782
000020.txt;True;000020.txt;0.24996069
000021.txt;True;000021.txt;0.18335378
000022.txt;True;000022.txt;0.1799146
000023.txt;True;000023.txt;0.18958962
000024.txt;True;000024.txt;0.17919794
000025.txt;True;000025.txt;0.17040479
000026.txt;False;076209.txt;0.20485172
000027.txt;True;000027.txt;0.17371172
000028.txt;True;000028.txt;0.1822521
000029.txt;True;000029.txt;0.17894086
000030.txt;True;000030.txt;0.19634625
000031.txt;True;000031.txt;0.21192549
000032.txt;True;000032.txt;0.1556376
000034.txt;False;078844.txt;0.25934735
000035.txt;False;000466.txt;0.28880823
000036.txt;False;065574.txt;0.2901792
000037.txt;True;000037.txt;0.17910688
000038.txt;True;000038.txt;0.16622333
000039.txt;True;000039.txt;0.16384682
000040.txt;True;000040.txt;0.18086495
000041.txt;True;000041.txt;0.16687563
000042.txt;True;000042.txt;0.15242149
000043.txt;True;000043.txt;0.15887544
000044.txt;True;000044.txt;0.22216117
000045.txt;False;039066.txt;0.45771712
000046.txt;True;000046.txt;0.22217894
000047.txt;False;075527.txt;0.22849935
000048.txt;True;000048.txt;0.0
000049.txt;True;000049.txt;0.10853067
000050.txt;True;000050.txt;0.13105282
000051.txt;True;000051.txt;0.1925998
000052.txt;True;000052.txt;0.21844673
000053.txt;True;000053.txt;0.106057435
000054.txt;False;011663.txt;0.24845572
000055.txt;False;000575.txt;0.19674131
000056.txt;True;000056.txt;0.11678821
000057.txt;True;000057.txt;0.11954433
000058.txt;True;000058.txt;0.103687316
000059.txt;True;000059.txt;0.24668702
000060.txt;True;000060.txt;0.11600132
000061.txt;True;000061.txt;0.27888212
000062.txt;False;002656.txt;0.3023079
000063.txt;False;034447.txt;0.2744942
000064.txt;True;000064.txt;0.11126878
000065.txt;True;000065.txt;0.129263
000066.txt;True;000066.txt;0.0
000067.txt;True;000067.txt;0.15233484
000068.txt;True;000068.txt;0.25778174
000069.txt;True;000069.txt;0.2647249
000070.txt;False;001597.txt;0.23947893
000071.txt;False;067961.txt;0.24328697
000072.txt;True;000072.txt;0.0
000073.txt;False;001639.txt;0.23085135
000074.txt;False;077690.txt;0.30356908
000075.txt;False;025915.txt;0.25777066
000076.txt;False;023123.txt;0.20190798
000077.txt;True;000077.txt;0.25243366
000078.txt;False;053304.txt;0.25401166
