query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.01502305
000001.txt;True;000001.txt;3.816382e-13
000002.txt;True;000002.txt;0.12835474
000003.txt;True;000003.txt;0.108774014
000004.txt;False;068208.txt;0.18670556
000005.txt;True;000005.txt;0.2337214
000006.txt;True;000006.txt;0.24261636
000007.txt;False;065696.txt;0.11035693
000008.txt;False;077816.txt;0.3367133
000009.txt;True;000009.txt;0.03843564
000010.txt;True;000010.txt;0.20338017
000011.txt;True;000011.txt;0.06927754
000012.txt;True;000012.txt;0.059072793
000013.txt;True;000013.txt;0.09214008
000014.txt;False;077577.txt;0.30223098
000015.txt;True;000015.txt;0.038957942
000016.txt;False;078605.txt;0.3379436
000017.txt;False;054729.txt;0.178825
000018.txt;False;034137.txt;0.54271567
000019.txt;True;000019.txt;0.02014127
000020.txt;False;019214.txt;0.32112584
000021.txt;False;000011.txt;0.2764071
000022.txt;False;000011.txt;0.3224482
000023.txt;False;000011.txt;0.26783675
000024.txt;False;000011.txt;0.2381104
000025.txt;False;000011.txt;0.2800113
000026.txt;False;026601.txt;0.36392492
000027.txt;True;000027.txt;0.2923832
000028.txt;False;000011.txt;0.26950842
000029.txt;True;000029.txt;0.29657304
000030.txt;False;005413.txt;0.23383066
000031.txt;False;005413.txt;0.2721585
000032.txt;True;000032.txt;0.04926794
000034.txt;True;000034.txt;0.24892783
000035.txt;False;072167.txt;0.2925043
000036.txt;False;034154.txt;0.39999774
000037.txt;False;000011.txt;0.29224992
000038.txt;False;000011.txt;0.26887518
000039.txt;False;000011.txt;0.3120485
000040.txt;False;000011.txt;0.26955274
000041.txt;False;000011.txt;0.29452515
000042.txt;False;000011.txt;0.27506822
000043.txt;False;000011.txt;0.26719502
000044.txt;True;000044.txt;0.07136288
000045.txt;True;000045.txt;0.069930896
000046.txt;True;000046.txt;0.055943
000047.txt;True;000047.txt;0.060740065
000048.txt;True;000048.txt;0.0
000049.txt;False;002263.txt;0.5865766
000050.txt;True;000050.txt;0.11760548
000051.txt;True;000051.txt;0.06251701
000052.txt;True;000052.txt;0.06324462
000053.txt;False;043016.txt;0.555498
000054.txt;False;053748.txt;0.18095939
000055.txt;False;000575.txt;0.15451843
000056.txt;False;066636.txt;0.34178534
000057.txt;True;000057.txt;0.11696829
000058.txt;False;064545.txt;0.3079111
000059.txt;False;078640.txt;0.45621365
000060.txt;False;067474.txt;0.3951513
000061.txt;True;000061.txt;0.2610512
000062.txt;False;009237.txt;0.62218356
000063.txt;False;066500.txt;0.26550454
000064.txt;False;068227.txt;0.37261754
000065.txt;True;000065.txt;0.12985696
000066.txt;True;000066.txt;0.0
000067.txt;True;000067.txt;0.16457301
000068.txt;True;000068.txt;0.38893875
000069.txt;True;000069.txt;0.10863618
000070.txt;True;000070.txt;0.33260128
000071.txt;True;000071.txt;0.16194086
000072.txt;True;000072.txt;0.0
000073.txt;False;037173.txt;0.17431101
000074.txt;False;042432.txt;0.26581085
000075.txt;False;015017.txt;0.32129607
000076.txt;False;017325.txt;0.49460286
000077.txt;False;016644.txt;0.176418
000078.txt;False;017277.txt;0.16758946
000079.txt;True;000079.txt;0.43362635
000080.txt;False;019625.txt;0.034798644
000081.txt;False;005606.txt;0.43853116
000082.txt;False;015152.txt;0.6968646
000083.txt;False;003168.txt;0.10312601
000084.txt;False;032269.txt;0.48699158
000085.txt;True;000085.txt;0.102526955
000086.txt;False;020456.txt;0.32650262
000087.txt;False;065513.txt;0.18456385
000088.txt;True;000088.txt;0.19412416
000089.txt;False;053877.txt;0.11848001
000090.txt;False;063210.txt;0.7301887
000091.txt;True;000091.txt;0.09313221
000092.txt;False;025134.txt;0.2303682
000093.txt;False;076361.txt;0.20721248
000094.txt;True;000094.txt;0.14188641
000095.txt;False;065190.txt;0.43554172
000096.txt;True;000096.txt;0.06085916
000097.txt;False;051143.txt;0.44785666
000098.txt;False;060179.txt;0.47977152
000099.txt;True;000099.txt;0.024925549
000100.txt;False;043901.txt;0.22967188
000101.txt;False;077362.txt;0.73878884
000102.txt;False;067057.txt;0.29116702
000103.txt;True;000103.txt;0.0998987
000104.txt;False;000112.txt;0.3038437
000105.txt;False;010706.txt;0.40599382
000106.txt;False;000110.txt;0.063788764
000107.txt;False;034794.txt;0.40573496
000108.txt;True;000108.txt;0.3168838
000109.txt;False;000011.txt;0.28880697
000110.txt;True;000110.txt;0.022797339
000111.txt;False;027180.txt;0.21581188
