query_file;found;search_result;search_distances
000000.txt;False;003653.txt;0.3767026
000001.txt;True;000001.txt;0.21923125
000002.txt;True;000002.txt;0.60405064
000003.txt;True;000003.txt;0.28834644
000004.txt;True;000004.txt;0.19834037
000005.txt;False;030653.txt;0.32260972
000006.txt;False;030652.txt;0.44303656
000007.txt;True;000007.txt;0.4303197
000008.txt;False;065247.txt;0.8347168
000009.txt;True;000009.txt;0.32534224
000010.txt;True;000010.txt;0.35916018
000011.txt;True;000011.txt;0.12966824
000012.txt;True;000012.txt;0.3364969
000013.txt;True;000013.txt;0.40705284
000014.txt;True;000014.txt;0.3409639
000015.txt;True;000015.txt;0.20564815
000016.txt;True;000016.txt;0.40870887
000017.txt;True;000017.txt;0.3269381
000018.txt;True;000018.txt;0.1810925
000019.txt;True;000019.txt;0.12824777
000020.txt;True;000020.txt;0.31089026
000021.txt;True;000021.txt;0.080847055
000022.txt;True;000022.txt;0.048594296
000023.txt;True;000023.txt;0.15483102
000024.txt;True;000024.txt;0.09558785
000025.txt;True;000025.txt;0.05238448
000026.txt;True;000026.txt;0.1395793
000027.txt;True;000027.txt;0.053058967
000028.txt;True;000028.txt;0.042485718
000029.txt;True;000029.txt;0.043790523
000030.txt;True;000030.txt;0.15505812
000031.txt;True;000031.txt;0.19299442
000032.txt;True;000032.txt;0.19342697
000034.txt;False;004823.txt;0.90596306
000035.txt;True;000035.txt;0.41731104
000036.txt;False;061443.txt;0.5664209
000037.txt;True;000037.txt;0.055679277
000038.txt;True;000038.txt;0.0503392
000039.txt;True;000039.txt;0.053283826
000040.txt;True;000040.txt;0.05651231
000041.txt;True;000041.txt;0.053005002
000042.txt;True;000042.txt;0.055108614
000043.txt;True;000043.txt;0.05602181
000044.txt;True;000044.txt;0.21466762
000045.txt;True;000045.txt;0.13908078
000046.txt;True;000046.txt;0.29586554
000047.txt;True;000047.txt;0.22946888
000048.txt;True;000048.txt;0.4742719
000049.txt;True;000049.txt;0.6943003
000050.txt;False;024613.txt;0.29163164
000051.txt;False;001403.txt;0.37043828
000052.txt;True;000052.txt;0.20329124
000053.txt;True;000053.txt;0.39252782
000054.txt;True;000054.txt;0.2615658
000055.txt;True;000055.txt;0.25738293
000056.txt;True;000056.txt;0.28001085
000057.txt;False;060278.txt;0.6124296
000058.txt;True;000058.txt;0.23315796
000059.txt;True;000059.txt;0.46879327
000060.txt;False;033671.txt;0.52834123
000061.txt;True;000061.txt;0.32028311
000062.txt;True;000062.txt;0.39734465
000063.txt;True;000063.txt;0.13910757
000064.txt;True;000064.txt;0.50328934
000065.txt;True;000065.txt;0.54020655
000066.txt;True;000066.txt;0.2932704
000067.txt;True;000067.txt;0.29424536
000068.txt;True;000068.txt;0.1862501
000069.txt;True;000069.txt;0.3480886
000070.txt;False;075545.txt;0.59140164
000071.txt;False;000083.txt;0.6378234
000072.txt;True;000072.txt;0.39602342
000073.txt;True;000073.txt;0.34603027
000074.txt;True;000074.txt;0.40090302
000075.txt;True;000075.txt;0.47655693
000076.txt;True;000076.txt;0.3799888
000077.txt;True;000077.txt;0.13455442
000078.txt;True;000078.txt;0.43278494
000079.txt;True;000079.txt;0.3806451
