query_file;found;search_result;search_distances
000000.txt;False;021927.txt;0.17793107
000001.txt;False;034000.txt;0.13987744
000002.txt;False;057248.txt;0.20493026
000003.txt;False;033842.txt;0.22228193
000004.txt;False;008027.txt;0.17485526
000005.txt;False;054600.txt;0.26087937
000006.txt;False;054600.txt;0.27488694
000007.txt;False;033681.txt;0.121409014
000008.txt;False;059752.txt;0.11147003
000009.txt;False;041983.txt;0.17498761
000010.txt;False;054600.txt;0.27656358
000011.txt;False;008721.txt;0.23271367
000012.txt;False;033842.txt;0.28511027
000013.txt;False;034035.txt;0.27869254
000014.txt;False;046227.txt;0.23491234
000015.txt;False;033842.txt;0.3012473
000016.txt;False;008837.txt;0.24667901
000017.txt;False;033842.txt;0.22973432
000018.txt;False;050659.txt;0.2083002
000019.txt;True;000019.txt;0.2380901
000020.txt;False;033842.txt;0.12211013
000021.txt;False;016153.txt;0.24487041
000022.txt;False;016153.txt;0.24503352
000023.txt;False;038290.txt;0.25309968
000024.txt;False;038290.txt;0.24437961
000025.txt;False;038290.txt;0.25107756
000026.txt;False;019799.txt;0.18799406
000027.txt;False;038290.txt;0.2437246
000028.txt;False;007638.txt;0.2413401
000029.txt;False;016153.txt;0.24292807
000030.txt;False;073457.txt;0.22459053
000031.txt;False;016165.txt;0.2348021
000032.txt;False;029994.txt;0.144929
000034.txt;True;000034.txt;0.15008762
000035.txt;False;033842.txt;0.23093545
000036.txt;False;033842.txt;0.18482657
000037.txt;False;016153.txt;0.24184096
000038.txt;False;016153.txt;0.25021213
000039.txt;False;038290.txt;0.24761531
000040.txt;False;038290.txt;0.2497657
000041.txt;False;038290.txt;0.24277619
000042.txt;False;016153.txt;0.24136126
000043.txt;False;016153.txt;0.24561761
000044.txt;True;000044.txt;0.20844936
000045.txt;False;000286.txt;0.22307085
000046.txt;True;000046.txt;0.21672672
000047.txt;False;078448.txt;0.22636002
000048.txt;True;000048.txt;0.11314021
000049.txt;False;051258.txt;0.22849043
000050.txt;False;033842.txt;0.22380081
000051.txt;True;000051.txt;0.21782342
000052.txt;True;000052.txt;0.21025646
000053.txt;False;057248.txt;0.21151288
000054.txt;False;033887.txt;0.12827277
000055.txt;False;033842.txt;0.1954203
000056.txt;False;057248.txt;0.26744914
000057.txt;False;057248.txt;0.22241426
000058.txt;False;057248.txt;0.17541802
000059.txt;False;034035.txt;0.19466406
000060.txt;False;067453.txt;0.20062788
000061.txt;False;054600.txt;0.2897777
000062.txt;False;000647.txt;0.18347427
000063.txt;False;040630.txt;0.098574
000064.txt;False;057248.txt;0.18371528
000065.txt;False;047933.txt;0.2282953
000066.txt;False;049352.txt;0.1948835
000067.txt;False;033842.txt;0.35441655
000068.txt;False;033747.txt;0.31313246
000069.txt;False;058215.txt;0.32049078
000070.txt;False;034855.txt;0.11286782
000071.txt;False;067536.txt;0.16763002
000072.txt;False;033940.txt;0.3133391
000073.txt;False;033842.txt;0.23543021
000074.txt;False;038478.txt;0.11822367
000075.txt;False;033747.txt;0.2552592
000076.txt;False;066843.txt;0.25791314
000077.txt;False;043138.txt;0.1814369
000078.txt;False;033842.txt;0.21413723
000079.txt;False;075599.txt;0.17358926
000080.txt;False;038558.txt;0.1306341
000081.txt;False;033864.txt;0.20302624
000082.txt;False;057248.txt;0.26013318
000083.txt;False;005756.txt;0.13574108
000084.txt;False;033842.txt;0.2920509
000085.txt;False;033632.txt;0.2548557
000086.txt;False;033842.txt;0.24659094
000087.txt;False;000850.txt;0.13473576
000088.txt;False;022588.txt;0.22937101
000089.txt;False;031431.txt;0.14259373
000090.txt;False;033842.txt;0.2420436
000091.txt;True;000091.txt;0.2647212
000092.txt;False;033842.txt;0.16897652
000093.txt;False;033842.txt;0.3140748
000094.txt;False;040255.txt;0.17305392
000095.txt;False;007354.txt;0.2235565
000096.txt;False;074041.txt;0.11472479
000097.txt;False;046978.txt;0.17634204
000098.txt;False;033887.txt;0.15541364
000099.txt;False;034967.txt;0.12633386
000100.txt;False;052392.txt;0.11128498
000101.txt;False;058181.txt;0.15956526
000102.txt;False;004653.txt;0.10444282
000103.txt;True;000103.txt;0.14344245
000104.txt;False;002658.txt;0.17021519
000105.txt;False;036382.txt;0.17711839
000106.txt;True;000106.txt;0.29264763
000107.txt;False;033842.txt;0.25695166
000108.txt;False;038290.txt;0.25056356
000109.txt;False;038290.txt;0.24419749
000110.txt;False;042942.txt;0.24486263
000111.txt;False;019123.txt;0.18399553
000112.txt;False;004152.txt;0.13596755
000113.txt;False;033842.txt;0.29213342
000114.txt;False;033842.txt;0.27361596
000115.txt;False;007083.txt;0.15938392
000116.txt;False;059752.txt;0.11732897
000117.txt;False;004152.txt;0.14821301
000118.txt;True;000118.txt;0.14885569
000119.txt;False;018822.txt;0.15532732
000120.txt;True;000120.txt;0.20276594
000121.txt;True;000121.txt;0.13280407
000122.txt;False;057248.txt;0.107670225
000123.txt;False;034035.txt;0.17221689
000124.txt;False;033858.txt;0.19880794
000126.txt;True;000126.txt;0.20332453
000127.txt;True;000127.txt;0.20902428
000128.txt;False;060323.txt;0.21061574
000129.txt;False;050468.txt;0.08823396
000130.txt;True;000130.txt;0.2046015
000131.txt;True;000131.txt;0.20775047
000132.txt;True;000132.txt;0.21355307
000133.txt;True;000133.txt;0.19722924
000134.txt;False;016988.txt;0.14830577
000135.txt;False;020442.txt;0.20270854
000136.txt;False;001089.txt;0.2944178
000137.txt;False;034035.txt;0.1733804
000138.txt;False;033842.txt;0.3344772
000139.txt;False;033681.txt;0.12539713
000140.txt;False;033842.txt;0.24753073
000141.txt;True;000141.txt;0.23648083
000142.txt;False;030784.txt;0.102078855
000143.txt;False;033842.txt;0.23044255
000144.txt;False;044640.txt;0.110180125
000145.txt;False;059752.txt;0.119493835
000146.txt;False;052522.txt;0.1242612
000147.txt;False;051721.txt;0.097505525
000148.txt;False;033079.txt;0.15099135
000149.txt;True;000149.txt;0.23051152
000150.txt;True;000150.txt;0.24636605
000151.txt;False;051721.txt;0.10324888
000152.txt;False;049987.txt;0.16015325
000153.txt;False;034035.txt;0.2185725
000154.txt;False;059752.txt;0.11816433
000155.txt;False;036517.txt;0.15859479
000156.txt;False;033842.txt;0.2062492
000157.txt;False;057248.txt;0.15233675
000158.txt;False;000205.txt;0.21713126
000159.txt;False;066939.txt;0.18809292
000160.txt;False;034000.txt;0.13825715
000161.txt;False;033773.txt;0.093745306
000162.txt;False;037382.txt;0.17737114
000163.txt;False;016165.txt;0.23396042
000164.txt;True;000164.txt;0.22847812
000165.txt;True;000165.txt;0.25194293
000166.txt;True;000166.txt;0.21815899
000167.txt;False;011087.txt;0.183321
000168.txt;False;044593.txt;0.10178456
000169.txt;False;059752.txt;0.1112027
000170.txt;False;077979.txt;0.11027166
000171.txt;False;005682.txt;0.18467003
000172.txt;False;033498.txt;0.13184065
000173.txt;False;067415.txt;0.1113372
000174.txt;False;033968.txt;0.15378043
000175.txt;False;069027.txt;0.16032672
000176.txt;False;061899.txt;0.20576113
000177.txt;False;035970.txt;0.14403518
000178.txt;False;026024.txt;0.17156872
000179.txt;True;000179.txt;0.15186642
000180.txt;False;033721.txt;0.21439561
000181.txt;False;073649.txt;0.2117418
000182.txt;True;000182.txt;0.23542953
000183.txt;True;000183.txt;0.22717628
000184.txt;False;060264.txt;0.17469294
000185.txt;False;033632.txt;0.2604502
000186.txt;False;033852.txt;0.1422253
000187.txt;False;002322.txt;0.22348866
000188.txt;False;078448.txt;0.22139546
000189.txt;True;000189.txt;0.20724906
000190.txt;True;000190.txt;0.21203202
000191.txt;False;052808.txt;0.17999569
000192.txt;False;033704.txt;0.17929158
000193.txt;False;054600.txt;0.19456564
000194.txt;False;006015.txt;0.13368738
000195.txt;False;040596.txt;0.11026248
000196.txt;False;033842.txt;0.10851845
000197.txt;False;015360.txt;0.10362193
000198.txt;False;049396.txt;0.13210055
000199.txt;True;000199.txt;0.26337835
000200.txt;False;033842.txt;0.27683425
000201.txt;False;033842.txt;0.11283467
000202.txt;False;002691.txt;0.17066053
000203.txt;False;078395.txt;0.18919164
000204.txt;True;000204.txt;0.26383704
000205.txt;True;000205.txt;0.28033787
000206.txt;False;033499.txt;0.2715204
000207.txt;False;029617.txt;0.1269208
000208.txt;False;051636.txt;0.13407516
000209.txt;False;000411.txt;0.11477363
000210.txt;True;000210.txt;0.17422187
000211.txt;False;060534.txt;0.13494387
000212.txt;True;000212.txt;0.4045605
000213.txt;False;033499.txt;0.2451915
000214.txt;True;000214.txt;0.19105233
000215.txt;False;033842.txt;0.21550596
000216.txt;False;033887.txt;0.13743223
000217.txt;True;000217.txt;0.123636484
000219.txt;False;005029.txt;0.14250563
000220.txt;False;052053.txt;0.12857339
000221.txt;True;000221.txt;0.19645995
000222.txt;False;052665.txt;0.14512935
000223.txt;False;067699.txt;0.12329355
000224.txt;False;000857.txt;0.13413526
000225.txt;False;054600.txt;0.25154373
000226.txt;False;051835.txt;0.14514545
000227.txt;True;000227.txt;0.30632544
000228.txt;False;021734.txt;0.25459212
000229.txt;False;015360.txt;0.09413431
000230.txt;True;000230.txt;0.27388978
000231.txt;False;033499.txt;0.17998224
000232.txt;False;018172.txt;0.09671005
000233.txt;False;035141.txt;0.22785994
000234.txt;False;000232.txt;0.113782294
000235.txt;False;033745.txt;0.2231302
000236.txt;False;078617.txt;0.2045166
000237.txt;False;033842.txt;0.19919142
000238.txt;False;033842.txt;0.34093228
000239.txt;False;071239.txt;0.12695901
000240.txt;True;000240.txt;0.1766527
000241.txt;False;033842.txt;0.14934738
000242.txt;False;034035.txt;0.16725606
000243.txt;True;000243.txt;0.26999116
000244.txt;False;033968.txt;0.18306452
000245.txt;False;033887.txt;0.22346696
000246.txt;False;032156.txt;0.15382445
000247.txt;False;040076.txt;0.17543837
000248.txt;False;061231.txt;0.14833133
000249.txt;False;033842.txt;0.22147089
000250.txt;False;043596.txt;0.121550165
000251.txt;False;057248.txt;0.27117616
000252.txt;True;000252.txt;0.3148774
000253.txt;True;000253.txt;0.20982988
000254.txt;False;033842.txt;0.10794155
000255.txt;False;033968.txt;0.35743842
