query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.74058616
000001.txt;True;000001.txt;0.6705048
000002.txt;True;000002.txt;0.6063861
000003.txt;True;000003.txt;0.76885235
000004.txt;True;000004.txt;0.7340213
000005.txt;False;078876.txt;0.6649978
000006.txt;False;000061.txt;0.6338741
000007.txt;False;017716.txt;0.6316879
000008.txt;False;028869.txt;0.6514883
000009.txt;True;000009.txt;0.5870743
000010.txt;True;000010.txt;0.6895622
000011.txt;True;000011.txt;0.8664447
000012.txt;False;001404.txt;0.66088605
000013.txt;True;000013.txt;0.6398183
000014.txt;True;000014.txt;0.7999288
000015.txt;True;000015.txt;0.77560174
000016.txt;False;000015.txt;0.6968833
000017.txt;True;000017.txt;0.68235195
000018.txt;True;000018.txt;0.71449715
000019.txt;True;000019.txt;0.8438362
000020.txt;False;011704.txt;0.7743829
000021.txt;True;000021.txt;0.77597296
000022.txt;True;000022.txt;0.83474904
000023.txt;True;000023.txt;0.8105454
000024.txt;False;016910.txt;0.6278267
000025.txt;True;000025.txt;0.8608452
000026.txt;False;044829.txt;0.79855764
000027.txt;True;000027.txt;0.84861654
000028.txt;True;000028.txt;0.8577923
000029.txt;True;000029.txt;0.86773026
000030.txt;True;000030.txt;0.6671062
000031.txt;True;000031.txt;0.71840316
000032.txt;True;000032.txt;0.6545826
000034.txt;True;000034.txt;0.66288674
000035.txt;True;000035.txt;0.5982095
000036.txt;True;000036.txt;0.73429596
000037.txt;True;000037.txt;0.84034896
000038.txt;True;000038.txt;0.8765636
000039.txt;True;000039.txt;0.84850514
000040.txt;True;000040.txt;0.86615616
000041.txt;True;000041.txt;0.87171793
000042.txt;True;000042.txt;0.8648777
000043.txt;True;000043.txt;0.8375927
000044.txt;False;010500.txt;0.7910007
000045.txt;True;000045.txt;0.8098501
000046.txt;True;000046.txt;0.82113755
000047.txt;True;000047.txt;0.78938866
000048.txt;True;000048.txt;0.8121331
000049.txt;True;000049.txt;0.73159415
000050.txt;True;000050.txt;0.7459535
000051.txt;False;001403.txt;0.79983276
000052.txt;False;078360.txt;0.8050802
000053.txt;True;000053.txt;0.5864492
000054.txt;True;000054.txt;0.77667415
000055.txt;True;000055.txt;0.7046299
000056.txt;False;076419.txt;0.650452
000057.txt;True;000057.txt;0.7515788
000058.txt;True;000058.txt;0.8421687
000059.txt;True;000059.txt;0.7204188
000060.txt;True;000060.txt;0.6894436
000061.txt;False;032056.txt;0.6415576
000062.txt;True;000062.txt;0.7499285
000063.txt;True;000063.txt;0.6960623
000064.txt;False;000049.txt;0.5949693
000065.txt;True;000065.txt;0.7385602
000066.txt;False;059767.txt;0.61020696
000067.txt;True;000067.txt;0.6950263
000068.txt;True;000068.txt;0.84614277
000069.txt;False;008333.txt;0.6709952
000070.txt;False;006290.txt;0.5382346
000071.txt;False;007346.txt;0.74427146
000072.txt;True;000072.txt;0.69983464
000073.txt;True;000073.txt;0.65058136
000074.txt;False;053465.txt;0.6293403
000075.txt;False;077672.txt;0.5571249
000076.txt;True;000076.txt;0.669983
000077.txt;True;000077.txt;0.7188846
000078.txt;True;000078.txt;0.7214544
000079.txt;True;000079.txt;0.70510805
000080.txt;False;002787.txt;0.5997144
000081.txt;False;077769.txt;0.58629715
000082.txt;False;004077.txt;0.5577337
000083.txt;False;025781.txt;0.6823337
000084.txt;True;000084.txt;0.70377135
000085.txt;True;000085.txt;0.743304
000086.txt;True;000086.txt;0.6632054
000087.txt;False;002447.txt;0.67633617
000088.txt;False;000103.txt;0.73892874
000089.txt;True;000089.txt;0.59949636
000090.txt;True;000090.txt;0.6936652
000091.txt;True;000091.txt;0.78981423
000092.txt;False;037419.txt;0.6346449
000093.txt;True;000093.txt;0.76924086
000094.txt;False;019647.txt;0.7161952
000095.txt;False;016377.txt;0.68574333
000096.txt;True;000096.txt;0.74083185
000097.txt;True;000097.txt;0.6844784
000098.txt;True;000098.txt;0.8759911
000099.txt;True;000099.txt;0.7603355
000100.txt;True;000100.txt;0.80061424
000101.txt;False;015657.txt;0.5709325
000102.txt;False;023116.txt;0.6080919
000103.txt;False;000088.txt;0.67444515
000104.txt;False;000112.txt;0.7129398
000105.txt;False;043379.txt;0.623187
000106.txt;True;000106.txt;0.7113787
000107.txt;True;000107.txt;0.72050273
000108.txt;True;000108.txt;0.84119946
000109.txt;True;000109.txt;0.8802413
000110.txt;False;032745.txt;0.6028064
000111.txt;False;006691.txt;0.5933834
000112.txt;True;000112.txt;0.6733221
000113.txt;True;000113.txt;0.808269
000114.txt;True;000114.txt;0.78122497
000115.txt;True;000115.txt;0.8426743
000116.txt;False;070140.txt;0.65382206
000117.txt;False;017096.txt;0.7027955
000118.txt;False;000120.txt;0.7287627
000119.txt;True;000119.txt;0.615056
000120.txt;True;000120.txt;0.84394646
000121.txt;True;000121.txt;0.78335464
000122.txt;False;012134.txt;0.6590525
000123.txt;True;000123.txt;0.6743994
000124.txt;True;000124.txt;0.82029444
000126.txt;True;000126.txt;0.78374195
000127.txt;True;000127.txt;0.85701025
000128.txt;True;000128.txt;0.88357973
000129.txt;False;061932.txt;0.65475017
000130.txt;True;000130.txt;0.79988605
000131.txt;True;000131.txt;0.83231986
000132.txt;True;000132.txt;0.82364374
000133.txt;True;000133.txt;0.8721771
000134.txt;True;000134.txt;0.8004428
000135.txt;True;000135.txt;0.6811198
000136.txt;True;000136.txt;0.81145835
000137.txt;True;000137.txt;0.56445134
000138.txt;True;000138.txt;0.60994583
000139.txt;False;047799.txt;0.49616522
000140.txt;True;000140.txt;0.72926503
000141.txt;True;000141.txt;0.6979869
000142.txt;False;016180.txt;0.6318587
000143.txt;True;000143.txt;0.663314
000144.txt;True;000144.txt;0.49535656
000145.txt;False;002447.txt;0.64297944
000146.txt;False;076160.txt;0.5076273
000147.txt;True;000147.txt;0.7349446
000148.txt;False;072093.txt;0.6576542
000149.txt;True;000149.txt;0.9027108
000150.txt;True;000150.txt;0.5353272
000151.txt;False;047059.txt;0.5718254
000152.txt;False;001715.txt;0.6782284
000153.txt;True;000153.txt;0.8039307
