query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.81323755
000001.txt;True;000001.txt;0.89136374
000002.txt;True;000002.txt;0.87763906
000003.txt;True;000003.txt;0.8657312
000004.txt;True;000004.txt;0.8881469
000005.txt;False;078876.txt;0.8502258
000006.txt;True;000006.txt;0.8065419
000007.txt;False;008525.txt;0.79952073
000008.txt;False;078925.txt;0.7965028
000009.txt;False;006026.txt;0.8524083
000010.txt;True;000010.txt;0.86006373
000011.txt;False;001560.txt;0.8820461
000012.txt;True;000012.txt;0.8804313
000013.txt;True;000013.txt;0.8934201
000014.txt;True;000014.txt;0.8955276
000015.txt;True;000015.txt;0.8996631
000016.txt;False;000015.txt;0.87244844
000017.txt;True;000017.txt;0.860512
000018.txt;True;000018.txt;0.9133554
000019.txt;True;000019.txt;0.84475636
000020.txt;True;000020.txt;0.83186257
000021.txt;True;000021.txt;0.90659237
000022.txt;True;000022.txt;0.91258967
000023.txt;True;000023.txt;0.8904532
000024.txt;True;000024.txt;0.89819825
000025.txt;True;000025.txt;0.92157614
000026.txt;True;000026.txt;0.8727778
000027.txt;True;000027.txt;0.92034554
000028.txt;True;000028.txt;0.92806995
000029.txt;True;000029.txt;0.9186649
000030.txt;True;000030.txt;0.85786206
000031.txt;True;000031.txt;0.88447565
000032.txt;True;000032.txt;0.872765
000034.txt;True;000034.txt;0.7986039
000035.txt;True;000035.txt;0.7995896
000036.txt;True;000036.txt;0.82618487
000037.txt;True;000037.txt;0.913026
000038.txt;True;000038.txt;0.9222033
000039.txt;True;000039.txt;0.9135895
000040.txt;True;000040.txt;0.9189694
000041.txt;True;000041.txt;0.9176058
000042.txt;True;000042.txt;0.92621386
000043.txt;True;000043.txt;0.9179011
000044.txt;True;000044.txt;0.8509632
000045.txt;True;000045.txt;0.8525953
000046.txt;False;075527.txt;0.8426424
000047.txt;False;000187.txt;0.8625925
000048.txt;True;000048.txt;0.91131294
000049.txt;True;000049.txt;0.88707256
000050.txt;True;000050.txt;0.8543476
000051.txt;True;000051.txt;0.8308518
000052.txt;True;000052.txt;0.8744085
000053.txt;True;000053.txt;0.85358584
000054.txt;True;000054.txt;0.8402208
000055.txt;True;000055.txt;0.7984743
000056.txt;True;000056.txt;0.85527194
000057.txt;True;000057.txt;0.8512721
000058.txt;True;000058.txt;0.90054727
000059.txt;True;000059.txt;0.8280355
000060.txt;True;000060.txt;0.8858171
000061.txt;True;000061.txt;0.84719783
000062.txt;True;000062.txt;0.848077
000063.txt;True;000063.txt;0.82933915
000064.txt;True;000064.txt;0.8413817
000065.txt;True;000065.txt;0.82768166
000066.txt;True;000066.txt;0.8481786
000067.txt;True;000067.txt;0.86862403
000068.txt;True;000068.txt;0.8301089
000069.txt;True;000069.txt;0.84731257
000070.txt;True;000070.txt;0.8222778
000071.txt;False;008550.txt;0.81207967
000072.txt;True;000072.txt;0.89312273
000073.txt;False;029517.txt;0.8206892
000074.txt;False;053465.txt;0.79763246
