query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.18322134
000001.txt;True;000001.txt;1.7816473e-13
000002.txt;True;000002.txt;0.12397304
000003.txt;False;078164.txt;0.14814281
000004.txt;False;065428.txt;0.18773454
000005.txt;True;000005.txt;0.21453735
000006.txt;True;000006.txt;0.22537297
000007.txt;False;073609.txt;0.22835118
000008.txt;False;077816.txt;0.18436562
000009.txt;True;000009.txt;0.13844326
000010.txt;True;000010.txt;0.15431044
000011.txt;True;000011.txt;0.17329341
000012.txt;True;000012.txt;0.044107385
000013.txt;True;000013.txt;0.034441575
000014.txt;False;076637.txt;0.23613846
000015.txt;True;000015.txt;0.054074936
000016.txt;False;078605.txt;0.23520824
000017.txt;True;000017.txt;0.22056162
000018.txt;False;077386.txt;0.2305434
000019.txt;False;009754.txt;0.16948509
000020.txt;True;000020.txt;0.12980384
000021.txt;True;000021.txt;0.18058869
000022.txt;True;000022.txt;0.19523214
000023.txt;True;000023.txt;0.16961639
000024.txt;True;000024.txt;0.18291202
000025.txt;True;000025.txt;0.17102194
000026.txt;False;028285.txt;0.16554257
000027.txt;True;000027.txt;0.18029618
000028.txt;True;000028.txt;0.19396041
000029.txt;True;000029.txt;0.185511
000030.txt;True;000030.txt;0.19515279
000031.txt;True;000031.txt;0.19987236
000032.txt;True;000032.txt;0.12762888
000034.txt;False;020156.txt;0.2468944
000035.txt;False;042805.txt;0.22946736
000036.txt;False;000581.txt;0.20095026
000037.txt;True;000037.txt;0.1890056
000038.txt;True;000038.txt;0.18071114
000039.txt;True;000039.txt;0.18546657
000040.txt;True;000040.txt;0.2003994
000041.txt;True;000041.txt;0.20493126
000042.txt;True;000042.txt;0.19299638
000043.txt;True;000043.txt;0.19920114
000044.txt;True;000044.txt;0.21511412
000045.txt;False;000286.txt;0.18124062
000046.txt;True;000046.txt;0.19251014
000047.txt;False;009754.txt;0.19195628
000048.txt;True;000048.txt;0.0
000049.txt;True;000049.txt;0.085760035
000050.txt;True;000050.txt;0.11743333
000051.txt;True;000051.txt;0.20187034
000052.txt;False;009754.txt;0.16770606
000053.txt;True;000053.txt;0.089657545
000054.txt;False;072419.txt;0.18712094
000055.txt;False;000575.txt;0.16754493
000056.txt;True;000056.txt;0.0965337
000057.txt;True;000057.txt;0.08804553
000058.txt;True;000058.txt;0.074016295
000059.txt;False;039905.txt;0.18278964
000060.txt;True;000060.txt;0.093401924
000061.txt;True;000061.txt;0.23128417
000062.txt;False;000647.txt;0.21520439
000063.txt;False;019991.txt;0.18472855
000064.txt;True;000064.txt;0.076161444
000065.txt;True;000065.txt;0.112768576
000066.txt;True;000066.txt;0.0
000067.txt;True;000067.txt;0.10392275
000068.txt;True;000068.txt;0.20287599
000069.txt;True;000069.txt;0.24298504
000070.txt;False;001597.txt;0.1862839
000071.txt;False;003289.txt;0.19598138
000072.txt;True;000072.txt;0.0
000073.txt;False;008313.txt;0.21684404
000074.txt;False;077690.txt;0.19824025
000075.txt;False;015690.txt;0.20233834
000076.txt;False;023123.txt;0.17526793
