query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.041757327
000001.txt;True;000001.txt;9.220035e-14
000002.txt;True;000002.txt;0.41723582
000003.txt;True;000003.txt;0.15935329
000004.txt;False;018880.txt;0.21517766
000005.txt;False;030656.txt;0.2785653
000006.txt;False;030652.txt;0.3778369
000007.txt;False;039120.txt;0.08150051
000008.txt;False;028757.txt;0.408845
000009.txt;True;000009.txt;0.13578397
000010.txt;True;000010.txt;0.435175
000011.txt;True;000011.txt;0.11672448
000012.txt;True;000012.txt;0.030807786
000013.txt;True;000013.txt;0.04672847
000014.txt;True;000014.txt;0.37171
000015.txt;True;000015.txt;0.019609049
000016.txt;False;078605.txt;0.33034623
000017.txt;False;028950.txt;0.4783408
000018.txt;False;058922.txt;0.48295778
000019.txt;True;000019.txt;0.073123425
000020.txt;False;026414.txt;0.13393652
000021.txt;True;000021.txt;0.28543228
000022.txt;True;000022.txt;0.29772156
000023.txt;True;000023.txt;0.29823926
000024.txt;False;008351.txt;0.31367505
000025.txt;True;000025.txt;0.3160207
000026.txt;False;076209.txt;0.13731106
000027.txt;True;000027.txt;0.3252503
000028.txt;True;000028.txt;0.3124419
000029.txt;True;000029.txt;0.2795292
000030.txt;True;000030.txt;0.32433105
000031.txt;False;016165.txt;0.2939005
000032.txt;True;000032.txt;0.032287687
000034.txt;False;069884.txt;0.4397208
000035.txt;False;069225.txt;0.16074637
000036.txt;False;038120.txt;0.19320282
000037.txt;True;000037.txt;0.32444066
000038.txt;True;000038.txt;0.28980714
000039.txt;True;000039.txt;0.281052
000040.txt;True;000040.txt;0.30156514
000041.txt;True;000041.txt;0.26599234
000042.txt;True;000042.txt;0.28705186
000043.txt;True;000043.txt;0.31908524
000044.txt;True;000044.txt;0.28196323
000045.txt;False;000286.txt;0.43438816
000046.txt;True;000046.txt;0.22034055
000047.txt;True;000047.txt;0.3813865
000048.txt;True;000048.txt;1.3140833e-13
000049.txt;False;016753.txt;0.7898974
000050.txt;True;000050.txt;0.13425499
000051.txt;True;000051.txt;0.258358
000052.txt;False;000011.txt;0.4904421
000053.txt;True;000053.txt;0.37458315
000054.txt;False;066886.txt;0.13008581
000055.txt;False;061404.txt;0.559113
000056.txt;True;000056.txt;0.3783705
000057.txt;True;000057.txt;0.40410745
000058.txt;False;064545.txt;0.56422544
000059.txt;False;014010.txt;0.0907393
000060.txt;True;000060.txt;0.41721517
000061.txt;False;030652.txt;0.4914155
000062.txt;True;000062.txt;0.36463684
000063.txt;False;016544.txt;0.15823276
000064.txt;True;000064.txt;0.4490354
000065.txt;True;000065.txt;0.12917224
000066.txt;True;000066.txt;0.0
000067.txt;False;013688.txt;0.21258302
000068.txt;False;015479.txt;0.45025253
000069.txt;True;000069.txt;0.36801523
000070.txt;False;053766.txt;0.09347476
000071.txt;False;030677.txt;0.13337332
000072.txt;True;000072.txt;0.0
000073.txt;False;062595.txt;0.182374
000074.txt;False;002550.txt;0.26098013
000075.txt;True;000075.txt;0.10431835
000076.txt;False;017325.txt;0.28352627
000077.txt;False;042455.txt;0.3480206
000078.txt;True;000078.txt;0.22977869
000079.txt;True;000079.txt;0.22034948
000080.txt;False;006223.txt;0.023324896
000081.txt;False;012354.txt;0.5944427
000082.txt;False;008097.txt;0.51407486
000083.txt;False;037210.txt;0.11806024
000084.txt;False;023123.txt;0.2521509
000085.txt;True;000085.txt;0.16077496
000086.txt;True;000086.txt;0.23982635
000087.txt;False;035535.txt;0.32191008
000088.txt;False;019282.txt;0.42938858
000089.txt;True;000089.txt;0.15741754
000090.txt;False;076746.txt;0.2327292
000091.txt;True;000091.txt;0.039250813
000092.txt;False;015584.txt;0.35864598
000093.txt;True;000093.txt;0.2941731
000094.txt;False;066785.txt;0.14456327
000095.txt;False;057006.txt;0.21354377
000096.txt;False;000749.txt;0.29523647
000097.txt;False;051143.txt;0.23842248
000098.txt;True;000098.txt;0.30680794
000099.txt;True;000099.txt;0.24666065
000100.txt;False;051098.txt;0.3365465
000101.txt;True;000101.txt;0.12476945
000102.txt;False;062216.txt;0.36924517
000103.txt;True;000103.txt;0.09146482
000104.txt;False;004931.txt;0.124980226
000105.txt;False;013868.txt;0.28027517
000106.txt;False;000110.txt;0.2619146
000107.txt;False;060464.txt;0.30355644
000108.txt;True;000108.txt;0.28515938
000109.txt;True;000109.txt;0.27930105
000110.txt;True;000110.txt;0.022607617
000111.txt;False;023646.txt;0.10534515
000112.txt;False;033185.txt;0.322677
000113.txt;False;076531.txt;0.4054119
000114.txt;True;000114.txt;0.061893463
000115.txt;True;000115.txt;1.5522791e-13
000116.txt;False;035535.txt;0.37089247
000117.txt;False;012154.txt;0.27747148
000118.txt;True;000118.txt;0.0
000119.txt;False;021731.txt;0.2756052
000120.txt;True;000120.txt;0.019717414
000121.txt;True;000121.txt;0.0
000122.txt;False;070883.txt;0.17319249
000123.txt;True;000123.txt;0.0
000124.txt;True;000124.txt;0.0
000126.txt;True;000126.txt;0.29827872
000127.txt;False;062204.txt;1.041516
000128.txt;True;000128.txt;0.295574
000129.txt;False;000762.txt;0.23616256
000130.txt;True;000130.txt;0.24466297
000131.txt;True;000131.txt;0.25863707
000132.txt;True;000132.txt;0.26774377
000133.txt;True;000133.txt;0.25986558
000134.txt;True;000134.txt;0.20920292
000135.txt;False;023369.txt;0.15503624
000136.txt;False;007823.txt;0.58266395
000137.txt;False;012082.txt;0.13784137
000138.txt;True;000138.txt;0.052504312
000139.txt;False;019179.txt;0.13267303
000140.txt;True;000140.txt;0.0
000141.txt;True;000141.txt;0.061132215
000142.txt;False;022706.txt;0.3109325
000143.txt;False;013825.txt;0.24858154
000144.txt;False;000303.txt;0.17014349
000145.txt;False;050226.txt;0.35154048
000146.txt;False;076160.txt;0.15903518
000147.txt;False;066916.txt;0.06045991
000148.txt;False;048951.txt;0.24170521
000149.txt;True;000149.txt;0.1688772
000150.txt;True;000150.txt;0.17397818
000151.txt;False;066916.txt;0.06123767
000152.txt;False;008672.txt;0.09171875
000153.txt;True;000153.txt;1.8071026e-13
000154.txt;False;048698.txt;0.29177845
000155.txt;True;000155.txt;0.37779602
000156.txt;True;000156.txt;0.038978606
000157.txt;False;020909.txt;0.1902968
000158.txt;False;000163.txt;0.09299582
000159.txt;False;045650.txt;0.21139987
000160.txt;False;063458.txt;0.35381693
000161.txt;False;025838.txt;0.16800945
000162.txt;True;000162.txt;0.14149344
000163.txt;True;000163.txt;0.1413739
000164.txt;True;000164.txt;1.1491914e-13
000165.txt;True;000165.txt;0.0
000166.txt;True;000166.txt;0.0
000167.txt;True;000167.txt;0.18542469
000168.txt;False;075807.txt;0.40640444
000169.txt;False;062216.txt;0.33770844
000170.txt;False;052174.txt;0.26952982
000171.txt;True;000171.txt;0.060188837
000172.txt;False;067614.txt;0.16461086
000173.txt;True;000173.txt;0.044696674
000174.txt;True;000174.txt;1.0016482e-13
000175.txt;False;036637.txt;0.14548738
000176.txt;True;000176.txt;0.4503264
000177.txt;False;009219.txt;0.100507915
000178.txt;True;000178.txt;0.32222414
000179.txt;True;000179.txt;9.5458865e-14
000180.txt;False;028149.txt;0.1352895
000181.txt;True;000181.txt;0.0
