query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.97789025
000001.txt;True;000001.txt;1.0000001
000002.txt;True;000002.txt;0.7765993
000003.txt;True;000003.txt;0.9437456
000004.txt;False;017224.txt;0.72916436
000005.txt;True;000005.txt;0.85142124
000006.txt;True;000006.txt;0.8520607
000007.txt;False;009564.txt;0.67195845
000008.txt;False;029512.txt;0.5799517
000009.txt;True;000009.txt;0.92420805
000010.txt;True;000010.txt;0.83556855
000011.txt;True;000011.txt;0.9455435
000012.txt;True;000012.txt;0.9022472
000013.txt;True;000013.txt;0.87427294
000014.txt;True;000014.txt;0.8508929
000015.txt;True;000015.txt;0.9625753
000016.txt;False;069346.txt;0.8097019
000017.txt;True;000017.txt;0.8095468
000018.txt;True;000018.txt;0.89192307
000019.txt;True;000019.txt;0.8996164
000020.txt;True;000020.txt;0.8532007
000021.txt;False;016153.txt;0.79829544
000022.txt;False;053105.txt;0.7791376
000023.txt;False;045783.txt;0.81127125
000024.txt;False;046041.txt;0.79865277
000025.txt;False;045668.txt;0.8054402
000026.txt;False;076209.txt;0.722249
000027.txt;False;062264.txt;0.78261334
000028.txt;False;024473.txt;0.778571
000029.txt;False;045185.txt;0.810186
000030.txt;False;057536.txt;0.829909
000031.txt;False;050272.txt;0.8363743
000032.txt;True;000032.txt;0.9551561
000034.txt;True;000034.txt;0.72615236
000035.txt;False;042806.txt;0.7477986
000036.txt;True;000036.txt;0.8872575
000037.txt;False;044930.txt;0.80932987
000038.txt;False;044750.txt;0.7425981
000039.txt;False;044750.txt;0.7562926
000040.txt;False;043742.txt;0.75582695
000041.txt;True;000041.txt;0.75784224
000042.txt;False;044660.txt;0.818329
000043.txt;False;043969.txt;0.73866034
000044.txt;True;000044.txt;0.90162647
000045.txt;True;000045.txt;0.89131004
000046.txt;True;000046.txt;0.90264
000047.txt;True;000047.txt;0.90551543
000048.txt;True;000048.txt;1.0
000049.txt;True;000049.txt;0.8235347
000050.txt;True;000050.txt;0.9628942
000051.txt;True;000051.txt;0.90581715
000052.txt;True;000052.txt;0.91613317
000053.txt;True;000053.txt;0.75263023
000054.txt;False;056723.txt;0.63944477
000055.txt;False;000575.txt;0.753953
000056.txt;False;070084.txt;0.6151599
000057.txt;True;000057.txt;0.86708164
000058.txt;True;000058.txt;0.71682525
000059.txt;True;000059.txt;0.7976926
000060.txt;True;000060.txt;0.71311796
000061.txt;True;000061.txt;0.8640154
000062.txt;True;000062.txt;0.8725235
000063.txt;False;077793.txt;0.78595376
000064.txt;True;000064.txt;0.769637
000065.txt;True;000065.txt;0.9529877
000066.txt;True;000066.txt;1.0
000067.txt;True;000067.txt;0.95975125
000068.txt;False;015479.txt;0.77181053
000069.txt;True;000069.txt;0.7372372
000070.txt;True;000070.txt;0.84897727
000071.txt;True;000071.txt;0.67672205
000072.txt;True;000072.txt;0.99999994
000073.txt;True;000073.txt;0.9088995
000074.txt;True;000074.txt;0.7795528
000075.txt;True;000075.txt;0.84792215
000076.txt;True;000076.txt;0.8102919
000077.txt;False;041851.txt;0.83431566
000078.txt;True;000078.txt;0.86429906
000079.txt;True;000079.txt;0.8567316
000080.txt;False;002417.txt;0.7012992
000081.txt;True;000081.txt;0.7026789
000082.txt;False;010037.txt;0.6771777
000083.txt;False;011149.txt;0.81809866
000084.txt;False;003500.txt;0.6755347
000085.txt;True;000085.txt;0.9257458
000086.txt;True;000086.txt;0.9499655
000087.txt;True;000087.txt;0.8796638
000088.txt;False;019282.txt;0.78384197
000089.txt;True;000089.txt;0.8761612
000090.txt;False;076746.txt;0.7753422
000091.txt;True;000091.txt;0.9664615
000092.txt;True;000092.txt;0.88772535
000093.txt;True;000093.txt;0.9546664
000094.txt;False;042812.txt;0.7406535
000095.txt;True;000095.txt;0.78751755
000096.txt;False;046785.txt;0.697115
000097.txt;True;000097.txt;0.90276897
000098.txt;True;000098.txt;0.92615414
000099.txt;False;021919.txt;0.7452457
000100.txt;True;000100.txt;0.9297785
000101.txt;True;000101.txt;0.8044976
000102.txt;True;000102.txt;0.89910054
