query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.04329878
000001.txt;True;000001.txt;0.16351381
000002.txt;False;063133.txt;0.36058939
000003.txt;True;000003.txt;0.15340038
000004.txt;False;018880.txt;0.20389518
000005.txt;False;030656.txt;0.267615
000006.txt;False;030652.txt;0.36275843
000007.txt;False;023479.txt;0.23447645
000008.txt;False;060089.txt;0.41113874
000009.txt;True;000009.txt;0.13124612
000010.txt;True;000010.txt;0.42598152
000011.txt;True;000011.txt;0.11720432
000012.txt;True;000012.txt;0.102159336
000013.txt;True;000013.txt;0.046552353
000014.txt;True;000014.txt;0.34276962
000015.txt;True;000015.txt;0.020106975
000016.txt;False;078605.txt;0.32222968
000017.txt;False;028950.txt;0.4235186
000018.txt;False;058922.txt;0.4246808
000019.txt;True;000019.txt;0.0746253
000020.txt;False;026414.txt;0.16908488
000021.txt;True;000021.txt;0.27035853
000022.txt;True;000022.txt;0.28093368
000023.txt;True;000023.txt;0.2812965
000024.txt;False;008351.txt;0.2990026
000025.txt;True;000025.txt;0.3007587
000026.txt;False;076209.txt;0.14661284
000027.txt;True;000027.txt;0.30812562
000028.txt;True;000028.txt;0.29507923
000029.txt;True;000029.txt;0.26555222
000030.txt;True;000030.txt;0.3037652
000031.txt;False;016165.txt;0.2825734
000032.txt;True;000032.txt;0.03793879
000034.txt;False;069884.txt;0.41869763
000035.txt;False;069225.txt;0.19110109
000036.txt;False;038120.txt;0.2191877
000037.txt;True;000037.txt;0.3076666
000038.txt;True;000038.txt;0.27595875
000039.txt;True;000039.txt;0.2673704
000040.txt;True;000040.txt;0.28899574
000041.txt;True;000041.txt;0.2569539
000042.txt;True;000042.txt;0.2751019
000043.txt;True;000043.txt;0.305255
000044.txt;True;000044.txt;0.2892658
000045.txt;False;000286.txt;0.43497705
000046.txt;True;000046.txt;0.22263515
000047.txt;True;000047.txt;0.38946646
000048.txt;True;000048.txt;0.23605989
000049.txt;True;000049.txt;0.2963443
000050.txt;True;000050.txt;0.14041363
000051.txt;True;000051.txt;0.25869656
000052.txt;False;000300.txt;0.46051562
000053.txt;True;000053.txt;0.34002227
000054.txt;False;041763.txt;0.25975847
000055.txt;False;000575.txt;0.3721036
000056.txt;True;000056.txt;0.3653853
000057.txt;True;000057.txt;0.36357448
000058.txt;True;000058.txt;0.32092413
000059.txt;False;014010.txt;0.15979937
000060.txt;True;000060.txt;0.41477776
000061.txt;False;030652.txt;0.4711861
000062.txt;True;000062.txt;0.34257957
000063.txt;False;016544.txt;0.20867425
000064.txt;True;000064.txt;0.40166527
000065.txt;True;000065.txt;0.17935008
000066.txt;True;000066.txt;0.06373674
000067.txt;True;000067.txt;0.2275136
000068.txt;False;015479.txt;0.41269824
000069.txt;True;000069.txt;0.37188202
000070.txt;False;009637.txt;0.18886705
000071.txt;False;007938.txt;0.2319959
000072.txt;True;000072.txt;0.10025141
000073.txt;False;062595.txt;0.17852916
000074.txt;False;002550.txt;0.26474875
000075.txt;True;000075.txt;0.10160586
000076.txt;False;017325.txt;0.2713087
000077.txt;False;042455.txt;0.34665132
