query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.38931894
000001.txt;True;000001.txt;0.53318167
000002.txt;True;000002.txt;0.43456525
000003.txt;True;000003.txt;0.42271826
000004.txt;True;000004.txt;0.44845545
000005.txt;False;036941.txt;0.53420794
000006.txt;False;026102.txt;0.59737086
000007.txt;True;000007.txt;0.47773978
000008.txt;True;000008.txt;0.4576439
000009.txt;False;029558.txt;0.7752608
000010.txt;True;000010.txt;0.38362372
000011.txt;False;001399.txt;0.39062163
000012.txt;True;000012.txt;0.5223864
000013.txt;True;000013.txt;0.51638484
000014.txt;True;000014.txt;0.53324777
000015.txt;True;000015.txt;0.21225761
000016.txt;True;000016.txt;0.35232484
000017.txt;True;000017.txt;0.67872536
000018.txt;False;040841.txt;0.6569072
000019.txt;True;000019.txt;0.46292374
000020.txt;False;042466.txt;0.6589286
000021.txt;True;000021.txt;0.34817913
000022.txt;True;000022.txt;0.17243133
000023.txt;False;000022.txt;0.41405192
000024.txt;False;000042.txt;0.41810274
000025.txt;True;000025.txt;0.15709688
000026.txt;True;000026.txt;0.26956782
000027.txt;True;000027.txt;0.13574162
000028.txt;True;000028.txt;0.15154475
000029.txt;False;000041.txt;0.34789982
000030.txt;True;000030.txt;0.40177304
000031.txt;False;016165.txt;0.42666167
000032.txt;False;015383.txt;0.79321766
000034.txt;True;000034.txt;0.37003425
000035.txt;False;043662.txt;0.5952821
000036.txt;False;009103.txt;0.6036136
000037.txt;True;000037.txt;0.21179348
000038.txt;True;000038.txt;0.13013941
000039.txt;True;000039.txt;0.15442696
000040.txt;True;000040.txt;0.13858777
000041.txt;True;000041.txt;0.1427729
000042.txt;True;000042.txt;0.13934183
000043.txt;True;000043.txt;0.16004995
000044.txt;True;000044.txt;0.41982234
000045.txt;True;000045.txt;0.3985181
000046.txt;False;000126.txt;0.4517144
000047.txt;False;000281.txt;0.38454896
000048.txt;True;000048.txt;0.40811267
000049.txt;True;000049.txt;0.5373659
000050.txt;False;002950.txt;0.3952403
000051.txt;False;001399.txt;0.42682797
000052.txt;True;000052.txt;0.4233687
