query_file;found;search_result;search_distances
000000.txt;False;003653.txt;0.81164885
000001.txt;True;000001.txt;0.88188994
000002.txt;True;000002.txt;0.7386425
000003.txt;True;000003.txt;0.8644956
000004.txt;True;000004.txt;0.9227206
000005.txt;False;030653.txt;0.8363705
000006.txt;False;005363.txt;0.83172727
000007.txt;True;000007.txt;0.7853849
000008.txt;False;025181.txt;0.592293
000009.txt;False;004116.txt;0.7637291
000010.txt;True;000010.txt;0.8880721
000011.txt;True;000011.txt;0.93516594
000012.txt;True;000012.txt;0.83175147
000013.txt;True;000013.txt;0.8581258
000014.txt;True;000014.txt;0.8242647
000015.txt;True;000015.txt;0.90911824
000016.txt;True;000016.txt;0.8156939
000017.txt;True;000017.txt;0.8481419
000018.txt;True;000018.txt;0.8964691
000019.txt;True;000019.txt;0.9358761
000020.txt;True;000020.txt;0.8462583
000021.txt;True;000021.txt;0.9559114
000022.txt;True;000022.txt;0.9744508
000023.txt;True;000023.txt;0.9093874
000024.txt;True;000024.txt;0.9518217
000025.txt;True;000025.txt;0.967333
000026.txt;True;000026.txt;0.93021023
000027.txt;True;000027.txt;0.97499895
000028.txt;True;000028.txt;0.9797367
000029.txt;True;000029.txt;0.96153253
000030.txt;True;000030.txt;0.9224709
000031.txt;True;000031.txt;0.9130783
000032.txt;True;000032.txt;0.9105019
000034.txt;True;000034.txt;0.8606509
000035.txt;True;000035.txt;0.7913444
000036.txt;True;000036.txt;0.7464192
000037.txt;True;000037.txt;0.9747348
000038.txt;True;000038.txt;0.9758895
000039.txt;True;000039.txt;0.9754991
000040.txt;True;000040.txt;0.9730766
000041.txt;True;000041.txt;0.9758082
000042.txt;True;000042.txt;0.97465956
000043.txt;True;000043.txt;0.9741299
000044.txt;True;000044.txt;0.9049975
000045.txt;True;000045.txt;0.9391091
000046.txt;True;000046.txt;0.8069409
000047.txt;True;000047.txt;0.88003135
000048.txt;True;000048.txt;0.7713107
000049.txt;False;006828.txt;0.61203384
000050.txt;False;024613.txt;0.86217475
000051.txt;False;001403.txt;0.8246033
000052.txt;True;000052.txt;0.86499894
000053.txt;True;000053.txt;0.7957803
000054.txt;True;000054.txt;0.86921704
000055.txt;True;000055.txt;0.8713085
000056.txt;True;000056.txt;0.86773133
000057.txt;False;060278.txt;0.6937853
000058.txt;True;000058.txt;0.78794116
000059.txt;True;000059.txt;0.7656034
000060.txt;False;033671.txt;0.76580024
000061.txt;True;000061.txt;0.8356338
000062.txt;True;000062.txt;0.8013276
000063.txt;True;000063.txt;0.9304462
000064.txt;True;000064.txt;0.7337044
000065.txt;True;000065.txt;0.7674025
000066.txt;True;000066.txt;0.8533647
000067.txt;True;000067.txt;0.88207525
000068.txt;True;000068.txt;0.906875
000069.txt;True;000069.txt;0.8259557
000070.txt;False;075545.txt;0.75489336
000071.txt;True;000071.txt;0.6879895
000072.txt;True;000072.txt;0.8308913
000073.txt;True;000073.txt;0.8269848
000074.txt;True;000074.txt;0.7978408
000075.txt;True;000075.txt;0.7655494
000076.txt;True;000076.txt;0.81000555
000077.txt;True;000077.txt;0.9327663
000078.txt;True;000078.txt;0.72290695
000079.txt;True;000079.txt;0.7982348
000080.txt;False;017271.txt;0.7908453
000081.txt;True;000081.txt;0.78185743
000082.txt;False;043920.txt;0.6118455
000083.txt;False;033082.txt;0.6094767
000084.txt;True;000084.txt;0.7740606
000085.txt;True;000085.txt;0.93755805
000086.txt;True;000086.txt;0.8046889
000087.txt;False;001341.txt;0.7173909
000088.txt;True;000088.txt;0.85328984
000089.txt;True;000089.txt;0.88097703
000090.txt;False;056227.txt;0.6664
000091.txt;True;000091.txt;0.8746482
000092.txt;False;037419.txt;0.69864225
000093.txt;True;000093.txt;0.7863767
000094.txt;True;000094.txt;0.82899046
000095.txt;True;000095.txt;0.83673155
000096.txt;True;000096.txt;0.8099866
000097.txt;True;000097.txt;0.69059026
000098.txt;True;000098.txt;0.847069
000099.txt;True;000099.txt;0.92960477
000100.txt;True;000100.txt;0.9281839
000101.txt;True;000101.txt;0.84540737
000102.txt;True;000102.txt;0.7061286
000103.txt;True;000103.txt;0.86510515
000104.txt;True;000104.txt;0.8383341
000105.txt;True;000105.txt;0.69328284
000106.txt;True;000106.txt;0.8796723
000107.txt;True;000107.txt;0.69900966
000108.txt;True;000108.txt;0.9765309
000109.txt;True;000109.txt;0.9765233
000110.txt;True;000110.txt;0.8308234
000111.txt;True;000111.txt;0.86070573
000112.txt;True;000112.txt;0.79094243
000113.txt;True;000113.txt;0.78422606
000114.txt;True;000114.txt;0.8491881
000115.txt;True;000115.txt;0.77487993
000116.txt;False;026286.txt;0.6974535
000117.txt;True;000117.txt;0.85803556
000118.txt;True;000118.txt;0.92522466
000119.txt;True;000119.txt;0.85669935
000120.txt;True;000120.txt;0.93409395
000121.txt;True;000121.txt;0.72193146
000122.txt;False;011411.txt;0.72936606
000123.txt;True;000123.txt;0.8641609
000124.txt;True;000124.txt;0.9287262
000126.txt;True;000126.txt;0.90356463
000127.txt;True;000127.txt;0.9386816
000128.txt;True;000128.txt;0.92802936
000129.txt;False;000117.txt;0.7750218
000130.txt;True;000130.txt;0.8595789
000131.txt;True;000131.txt;0.9145538
000132.txt;True;000132.txt;0.9169258
000133.txt;True;000133.txt;0.92999053
000134.txt;True;000134.txt;0.8790482
000135.txt;True;000135.txt;0.85035187
000136.txt;True;000136.txt;0.94961035
000137.txt;True;000137.txt;0.84045357
000138.txt;True;000138.txt;0.8619188
000139.txt;False;035877.txt;0.6485257
000140.txt;True;000140.txt;0.86413765
000141.txt;True;000141.txt;0.8694407
000142.txt;True;000142.txt;0.6318568
000143.txt;True;000143.txt;0.7580638
000144.txt;True;000144.txt;0.8616842
000145.txt;False;026286.txt;0.7130933
000146.txt;True;000146.txt;0.79187405
000147.txt;True;000147.txt;0.8302684
000148.txt;False;025467.txt;0.8150427
000149.txt;True;000149.txt;0.96479565
000150.txt;True;000150.txt;0.8188732
000151.txt;False;078936.txt;0.7946302
000152.txt;True;000152.txt;0.82653755
000153.txt;True;000153.txt;0.9380238
000154.txt;False;016012.txt;0.69700354
000155.txt;False;073061.txt;0.57958233
000156.txt;True;000156.txt;0.8307554
000157.txt;False;038932.txt;0.82697415
000158.txt;False;000163.txt;0.80758286
000159.txt;False;078616.txt;0.79934597
000160.txt;True;000160.txt;0.86202264
000161.txt;True;000161.txt;0.840775
000162.txt;True;000162.txt;0.7749358
000163.txt;True;000163.txt;0.8153016
000164.txt;True;000164.txt;0.90141237
000165.txt;True;000165.txt;0.9173956
000166.txt;True;000166.txt;0.9351231
000167.txt;True;000167.txt;0.8785194
000168.txt;True;000168.txt;0.8855421
000169.txt;False;001341.txt;0.6985382
000170.txt;True;000170.txt;0.9202707
000171.txt;True;000171.txt;0.80487907
000172.txt;True;000172.txt;0.869913
000173.txt;True;000173.txt;0.8109018
000174.txt;False;028246.txt;0.7433275
000175.txt;True;000175.txt;0.8137685
000176.txt;True;000176.txt;0.94700503
000177.txt;False;076809.txt;0.76380414
000178.txt;True;000178.txt;0.84209996
000179.txt;True;000179.txt;0.844046
000180.txt;False;011274.txt;0.6654611
000181.txt;True;000181.txt;0.900125
000182.txt;True;000182.txt;0.89693344
000183.txt;True;000183.txt;0.8170538
000184.txt;True;000184.txt;0.89167297
000185.txt;True;000185.txt;0.86436725
000186.txt;False;015281.txt;0.7451045
000187.txt;True;000187.txt;0.9217832
000188.txt;True;000188.txt;0.9345263
000189.txt;True;000189.txt;0.93149936
000190.txt;True;000190.txt;0.93425226
000191.txt;True;000191.txt;0.7924913
000192.txt;True;000192.txt;0.8030337
000193.txt;False;007517.txt;0.80336344
000194.txt;True;000194.txt;0.85477334
000195.txt;True;000195.txt;0.85267246
000196.txt;True;000196.txt;0.7742257
000197.txt;True;000197.txt;0.8069085
000198.txt;True;000198.txt;0.80786735
000199.txt;True;000199.txt;0.86545575
000200.txt;True;000200.txt;0.88622344
000201.txt;True;000201.txt;0.7184324
000202.txt;True;000202.txt;0.85168964
000203.txt;False;078032.txt;0.7478298
000204.txt;False;078625.txt;0.846605
000205.txt;False;078625.txt;0.85849136
000206.txt;True;000206.txt;0.81499994
000207.txt;True;000207.txt;0.73727345
000208.txt;False;010009.txt;0.72844505
000209.txt;True;000209.txt;0.8695462
000210.txt;False;007597.txt;0.67123497
000211.txt;True;000211.txt;0.8118518
000212.txt;True;000212.txt;0.8597351
000213.txt;True;000213.txt;0.83111084
000214.txt;True;000214.txt;0.8835636
000215.txt;False;015485.txt;0.74437773
000216.txt;True;000216.txt;0.80142987
000217.txt;True;000217.txt;0.85599077
000219.txt;True;000219.txt;0.7965297
000220.txt;False;078947.txt;0.76866865
000221.txt;True;000221.txt;0.92017496
000222.txt;True;000222.txt;0.92744845
000223.txt;True;000223.txt;0.72808194
000224.txt;True;000224.txt;0.8671657
000225.txt;False;005833.txt;0.77737767
000226.txt;True;000226.txt;0.836187
000227.txt;False;029867.txt;0.8764413
000228.txt;True;000228.txt;0.8828409
000229.txt;False;076113.txt;0.649151
000230.txt;True;000230.txt;0.82040536
000231.txt;False;000216.txt;0.6450728
000232.txt;False;052227.txt;0.47736794
000233.txt;True;000233.txt;0.77068317
000234.txt;False;047799.txt;0.75969625
000235.txt;True;000235.txt;0.71614575
000236.txt;True;000236.txt;0.94632655
000237.txt;True;000237.txt;0.8143475
000238.txt;True;000238.txt;0.79621696
000239.txt;False;000117.txt;0.7203115
000240.txt;False;041789.txt;0.7412416
000241.txt;True;000241.txt;0.9308256
000242.txt;True;000242.txt;0.75875926
000243.txt;True;000243.txt;0.9006476
000244.txt;True;000244.txt;0.7584752
000245.txt;True;000245.txt;0.8253622
000246.txt;True;000246.txt;0.90186536
000247.txt;True;000247.txt;0.7659458
000248.txt;True;000248.txt;0.81761366
000249.txt;True;000249.txt;0.8702576
000250.txt;True;000250.txt;0.907754
000251.txt;True;000251.txt;0.8568872
000252.txt;True;000252.txt;0.9038602
000253.txt;True;000253.txt;0.819921
000254.txt;True;000254.txt;0.8485737
000255.txt;True;000255.txt;0.9485043
000256.txt;True;000256.txt;0.764291
000257.txt;False;000260.txt;0.7730628
000258.txt;True;000258.txt;0.6753496
000259.txt;False;003752.txt;0.7344072
000260.txt;False;003752.txt;0.7375153
000261.txt;True;000261.txt;0.6181527
000262.txt;True;000262.txt;0.945695
000263.txt;False;073084.txt;0.66692156
000264.txt;False;073451.txt;0.68280494
000265.txt;True;000265.txt;0.91242
000266.txt;True;000266.txt;0.7874812
000267.txt;False;022378.txt;0.8139366
000268.txt;True;000268.txt;0.88296604
000269.txt;True;000269.txt;0.7882789
000270.txt;False;011040.txt;0.7805735
000271.txt;True;000271.txt;0.8911077
000272.txt;True;000272.txt;0.8896277
000273.txt;True;000273.txt;0.89857817
000274.txt;True;000274.txt;0.9380084
000275.txt;True;000275.txt;0.6723883
000276.txt;True;000276.txt;0.84616494
000277.txt;True;000277.txt;0.92189854
000278.txt;True;000278.txt;0.91703176
000279.txt;True;000279.txt;0.90402985
000280.txt;True;000280.txt;0.9158984
000281.txt;True;000281.txt;0.94819075
000282.txt;True;000282.txt;0.9170114
000283.txt;True;000283.txt;0.68918407
000284.txt;False;041764.txt;0.8048909
000285.txt;True;000285.txt;0.7419035
000286.txt;False;000045.txt;0.89509535
000287.txt;True;000287.txt;0.8682108
000288.txt;True;000288.txt;0.8565121
000289.txt;True;000289.txt;0.75449675
000290.txt;True;000290.txt;0.78960735
000291.txt;False;005610.txt;0.82984996
000292.txt;True;000292.txt;0.8962933
000293.txt;True;000293.txt;0.79405445
000294.txt;False;014753.txt;0.70856243
000295.txt;True;000295.txt;0.87451684
000296.txt;False;015953.txt;0.724296
000297.txt;False;060446.txt;0.702395
000298.txt;False;015086.txt;0.6437557
000299.txt;True;000299.txt;0.8333308
000300.txt;True;000300.txt;0.9310746
000301.txt;False;000371.txt;0.8332118
000302.txt;True;000302.txt;0.73343295
000303.txt;False;013668.txt;0.7747347
000304.txt;False;065686.txt;0.7227521
000305.txt;True;000305.txt;0.8363475
000306.txt;True;000306.txt;0.8924259
000308.txt;True;000308.txt;0.8996277
000309.txt;True;000309.txt;0.88553596
000310.txt;True;000310.txt;0.8577498
000311.txt;True;000311.txt;0.7286396
000312.txt;True;000312.txt;0.90189505
000313.txt;True;000313.txt;0.8728328
000314.txt;True;000314.txt;0.7556628
000315.txt;True;000315.txt;0.81262374
000316.txt;True;000316.txt;0.8728641
000317.txt;True;000317.txt;0.88590384
000318.txt;True;000318.txt;0.80796254
000319.txt;False;005464.txt;0.77114546
000320.txt;True;000320.txt;0.83409333
000321.txt;True;000321.txt;0.8817394
000322.txt;True;000322.txt;0.76970875
000323.txt;True;000323.txt;0.85943186
000324.txt;True;000324.txt;0.7758435
000325.txt;True;000325.txt;0.9103932
000326.txt;True;000326.txt;0.8051399
000327.txt;True;000327.txt;0.89955854
000328.txt;False;024966.txt;0.8854495
000329.txt;True;000329.txt;0.9264796
000330.txt;True;000330.txt;0.8488865
000331.txt;True;000331.txt;0.79562485
000332.txt;False;051863.txt;0.64468
000333.txt;True;000333.txt;0.87371045
000334.txt;True;000334.txt;0.8958632
000335.txt;True;000335.txt;0.8867097
000336.txt;True;000336.txt;0.7545905
000337.txt;True;000337.txt;0.9182038
000338.txt;True;000338.txt;0.84491134
000339.txt;False;048513.txt;0.8149035
000341.txt;False;048513.txt;0.791342
000342.txt;True;000342.txt;0.8985077
000343.txt;True;000343.txt;0.7803092
000344.txt;False;024683.txt;0.85503525
000345.txt;False;035402.txt;0.84192914
000346.txt;True;000346.txt;0.935343
000347.txt;True;000347.txt;0.8182412
000348.txt;True;000348.txt;0.9122381
000349.txt;True;000349.txt;0.7341349
000350.txt;True;000350.txt;0.73426807
000351.txt;True;000351.txt;0.8304306
000352.txt;True;000352.txt;0.7859026
000353.txt;True;000353.txt;0.653271
000354.txt;False;014203.txt;0.7307731
000355.txt;True;000355.txt;0.81527305
000356.txt;True;000356.txt;0.87602854
000357.txt;True;000357.txt;0.8759742
000358.txt;False;001788.txt;0.66349804
000359.txt;True;000359.txt;0.8422804
000360.txt;True;000360.txt;0.79077935
000361.txt;False;068642.txt;0.7146095
000362.txt;False;031091.txt;0.81978893
000363.txt;True;000363.txt;0.8637084
000364.txt;True;000364.txt;0.875573
000366.txt;False;019629.txt;0.77690625
000367.txt;False;024430.txt;0.74999917
000368.txt;True;000368.txt;0.7741375
000369.txt;False;072451.txt;0.8719579
000370.txt;True;000370.txt;0.727638
000371.txt;True;000371.txt;0.88030237
000372.txt;True;000372.txt;0.7299707
000373.txt;True;000373.txt;0.85957205
000374.txt;False;010911.txt;0.60615087
000375.txt;True;000375.txt;0.8876258
000376.txt;True;000376.txt;0.7418403
000377.txt;False;051733.txt;0.69335127
000378.txt;True;000378.txt;0.8233126
000379.txt;True;000379.txt;0.7588573
000380.txt;False;035594.txt;0.8355418
000381.txt;False;017058.txt;0.6805789
