query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.9791213
000001.txt;True;000001.txt;1.0
000002.txt;False;063133.txt;0.811234
000003.txt;True;000003.txt;0.9203235
000004.txt;False;018880.txt;0.8924112
000005.txt;False;030656.txt;0.8607174
000006.txt;False;030652.txt;0.81108147
000007.txt;False;039120.txt;0.95924985
000008.txt;False;028757.txt;0.7955774
000009.txt;True;000009.txt;0.93210804
000010.txt;True;000010.txt;0.7824126
000011.txt;True;000011.txt;0.94163764
000012.txt;True;000012.txt;0.98459625
000013.txt;True;000013.txt;0.9766357
000014.txt;True;000014.txt;0.81414485
000015.txt;True;000015.txt;0.9901955
000016.txt;False;078605.txt;0.8348267
000017.txt;False;028950.txt;0.76082957
000018.txt;False;058922.txt;0.75852114
000019.txt;True;000019.txt;0.9634383
000020.txt;False;026414.txt;0.9330317
000021.txt;True;000021.txt;0.8572839
000022.txt;True;000022.txt;0.85113937
000023.txt;True;000023.txt;0.8508804
000024.txt;False;008351.txt;0.8431624
000025.txt;True;000025.txt;0.8419897
000026.txt;False;076209.txt;0.9313445
000027.txt;True;000027.txt;0.8373749
000028.txt;True;000028.txt;0.8437791
000029.txt;True;000029.txt;0.86023533
000030.txt;True;000030.txt;0.83783454
000031.txt;False;016165.txt;0.85304976
000032.txt;True;000032.txt;0.9838561
000034.txt;False;069884.txt;0.78013957
000035.txt;False;069225.txt;0.9196268
000036.txt;False;038120.txt;0.9033987
000037.txt;True;000037.txt;0.83777964
000038.txt;True;000038.txt;0.8550964
000039.txt;True;000039.txt;0.8594742
000040.txt;True;000040.txt;0.84921736
000041.txt;True;000041.txt;0.8670037
000042.txt;True;000042.txt;0.85647416
000043.txt;True;000043.txt;0.8404575
000044.txt;True;000044.txt;0.8590182
000045.txt;False;000286.txt;0.78280604
000046.txt;True;000046.txt;0.88982975
000047.txt;True;000047.txt;0.8093068
000048.txt;True;000048.txt;1.0
000049.txt;True;000049.txt;0.8418964
000050.txt;True;000050.txt;0.9328724
000051.txt;True;000051.txt;0.8708209
000052.txt;False;000011.txt;0.7547789
000053.txt;True;000053.txt;0.8127085
000054.txt;False;066886.txt;0.9349572
000055.txt;False;000575.txt;0.8023914
000056.txt;True;000056.txt;0.8108148
000057.txt;True;000057.txt;0.79794633
000058.txt;True;000058.txt;0.82499933
000059.txt;False;014010.txt;0.9546304
000060.txt;True;000060.txt;0.7913923
000061.txt;False;030652.txt;0.75429225
000062.txt;True;000062.txt;0.81768167
000063.txt;False;016544.txt;0.92088354
000064.txt;True;000064.txt;0.7754823
000065.txt;True;000065.txt;0.93541384
000066.txt;True;000066.txt;1.0
000067.txt;False;013688.txt;0.8937084
000068.txt;False;015479.txt;0.77487385
000069.txt;True;000069.txt;0.81599236
000070.txt;False;053766.txt;0.9532625
000071.txt;False;030677.txt;0.93331313
000072.txt;True;000072.txt;1.0
000073.txt;False;062595.txt;0.908813
000074.txt;False;002550.txt;0.8695098
000075.txt;True;000075.txt;0.9478408
000076.txt;False;017325.txt;0.8582369
000077.txt;False;042455.txt;0.8259896
000078.txt;True;000078.txt;0.8851106
000079.txt;True;000079.txt;0.8898253
000080.txt;False;006223.txt;0.9883376
000081.txt;True;000081.txt;0.83926123
000082.txt;True;000082.txt;0.782444
000083.txt;False;037210.txt;0.9409698
000084.txt;False;023123.txt;0.87392455
000085.txt;True;000085.txt;0.9196125
000086.txt;True;000086.txt;0.8800868
000087.txt;False;035535.txt;0.839045
000088.txt;False;019282.txt;0.78530574
000089.txt;True;000089.txt;0.92129123
000090.txt;False;076746.txt;0.8836354
000091.txt;True;000091.txt;0.9803746
000092.txt;False;015584.txt;0.82067704
