query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.37352505
000001.txt;True;000001.txt;0.21727246
000002.txt;True;000002.txt;0.24472195
000003.txt;True;000003.txt;0.26853782
000004.txt;True;000004.txt;0.22370654
000005.txt;False;078876.txt;0.2995487
000006.txt;True;000006.txt;0.38691625
000007.txt;False;008525.txt;0.40095863
000008.txt;False;078925.txt;0.40699452
000009.txt;False;006026.txt;0.2951836
000010.txt;True;000010.txt;0.27987295
000011.txt;False;001560.txt;0.23590782
000012.txt;True;000012.txt;0.23913759
000013.txt;True;000013.txt;0.21316002
000014.txt;True;000014.txt;0.20894504
000015.txt;True;000015.txt;0.20067403
000016.txt;False;000015.txt;0.2551032
000017.txt;True;000017.txt;0.27897584
000018.txt;True;000018.txt;0.17328957
000019.txt;True;000019.txt;0.31048697
000020.txt;True;000020.txt;0.33627516
000021.txt;True;000021.txt;0.18681553
000022.txt;True;000022.txt;0.174821
000023.txt;True;000023.txt;0.2190935
000024.txt;True;000024.txt;0.2036035
000025.txt;True;000025.txt;0.15684775
000026.txt;True;000026.txt;0.25444466
000027.txt;True;000027.txt;0.159309
000028.txt;True;000028.txt;0.14386015
000029.txt;True;000029.txt;0.16267012
000030.txt;True;000030.txt;0.28427634
000031.txt;True;000031.txt;0.23104885
000032.txt;True;000032.txt;0.2544698
000034.txt;True;000034.txt;0.40279245
000035.txt;True;000035.txt;0.4008209
000036.txt;True;000036.txt;0.34763032
000037.txt;True;000037.txt;0.17394808
000038.txt;True;000038.txt;0.1555938
000039.txt;True;000039.txt;0.17282099
000040.txt;True;000040.txt;0.16206118
000041.txt;True;000041.txt;0.16478834
000042.txt;True;000042.txt;0.14757267
000043.txt;True;000043.txt;0.16419774
000044.txt;True;000044.txt;0.29807377
000045.txt;True;000045.txt;0.29480937
000046.txt;False;075527.txt;0.3147154
000047.txt;False;000187.txt;0.27481508
000048.txt;True;000048.txt;0.1773743
000049.txt;True;000049.txt;0.22585511
000050.txt;True;000050.txt;0.29130477
000051.txt;True;000051.txt;0.33829623
000052.txt;True;000052.txt;0.25118273
000053.txt;True;000053.txt;0.2928283
000054.txt;False;007284.txt;0.4237556
000055.txt;True;000055.txt;0.40305144
000056.txt;True;000056.txt;0.28945604
000057.txt;True;000057.txt;0.29745582
000058.txt;True;000058.txt;0.19890565
000059.txt;True;000059.txt;0.34392935
000060.txt;True;000060.txt;0.22836588
000061.txt;True;000061.txt;0.30560446
000062.txt;True;000062.txt;0.30384642
000063.txt;True;000063.txt;0.3413219
000064.txt;True;000064.txt;0.31723642
000065.txt;True;000065.txt;0.34463683
000066.txt;True;000066.txt;0.3036429
000067.txt;True;000067.txt;0.26275206
000068.txt;True;000068.txt;0.33978242
000069.txt;True;000069.txt;0.30537522
000070.txt;True;000070.txt;0.3554445
000071.txt;False;008550.txt;0.3758406
000072.txt;True;000072.txt;0.21375495
000073.txt;False;029517.txt;0.3586215
000074.txt;False;053465.txt;0.40473533
000075.txt;False;027942.txt;0.40335798
000076.txt;False;002151.txt;0.37989408
000077.txt;True;000077.txt;0.22657385
000078.txt;True;000078.txt;0.37706518
000079.txt;True;000079.txt;0.3191194
000080.txt;True;000080.txt;0.25305158
000081.txt;True;000081.txt;0.27214956
000082.txt;True;000082.txt;0.27946824
000083.txt;True;000083.txt;0.38565153
000084.txt;True;000084.txt;0.36805624
000085.txt;False;064703.txt;0.3657189
000086.txt;True;000086.txt;0.25099465
000087.txt;True;000087.txt;0.2994234
000088.txt;True;000088.txt;0.36672133
000089.txt;False;000088.txt;0.42592973
000090.txt;True;000090.txt;0.3384556
000091.txt;True;000091.txt;0.23875305
000092.txt;True;000092.txt;0.29082716
000093.txt;True;000093.txt;0.26530758
000094.txt;False;019647.txt;0.40137544
000095.txt;True;000095.txt;0.31562603
000096.txt;True;000096.txt;0.39273328
000097.txt;True;000097.txt;0.39723098
000098.txt;True;000098.txt;0.23643732
000099.txt;True;000099.txt;0.34838638
000100.txt;True;000100.txt;0.33067515
000101.txt;False;015657.txt;0.34957665
000102.txt;True;000102.txt;0.343806
000103.txt;False;034459.txt;0.39323318
000104.txt;False;004931.txt;0.40218806
000105.txt;True;000105.txt;0.29960704
000106.txt;True;000106.txt;0.31838256
000107.txt;True;000107.txt;0.30586874
000108.txt;True;000108.txt;0.16037503
000109.txt;True;000109.txt;0.14313182
000110.txt;False;044039.txt;0.40733474
000111.txt;True;000111.txt;0.24169269
000112.txt;False;028482.txt;0.3830161
000113.txt;True;000113.txt;0.3589372
000114.txt;False;055978.txt;0.4232806
000115.txt;True;000115.txt;0.3294101
000116.txt;False;063668.txt;0.33657002
000117.txt;True;000117.txt;0.3832532
000118.txt;True;000118.txt;0.22366723
000119.txt;False;005361.txt;0.38882324
000120.txt;True;000120.txt;0.15326858
000121.txt;False;000120.txt;0.30488354
000122.txt;False;004506.txt;0.44680116
000123.txt;True;000123.txt;0.32642514
000124.txt;True;000124.txt;0.29641408
000126.txt;True;000126.txt;0.3235448
000127.txt;True;000127.txt;0.26946577
000128.txt;True;000128.txt;0.19573995
000129.txt;False;000112.txt;0.41738957
000130.txt;True;000130.txt;0.29310137
000131.txt;False;000128.txt;0.34876907
000132.txt;True;000132.txt;0.2992038
000133.txt;True;000133.txt;0.2771811
000134.txt;False;005800.txt;0.4282721
000135.txt;True;000135.txt;0.23469707
000136.txt;True;000136.txt;0.17884326
000137.txt;True;000137.txt;0.36125267
000138.txt;True;000138.txt;0.24057975
000139.txt;False;035877.txt;0.39718756
000140.txt;True;000140.txt;0.2479293
000141.txt;True;000141.txt;0.39229047
000142.txt;True;000142.txt;0.3223234
000143.txt;False;030924.txt;0.39866626
000144.txt;True;000144.txt;0.3133366
000145.txt;True;000145.txt;0.35926002
000146.txt;False;042891.txt;0.42214367
000147.txt;False;020216.txt;0.42483968
000148.txt;False;044213.txt;0.37754732
000149.txt;True;000149.txt;0.2766949
000150.txt;True;000150.txt;0.36740327
000151.txt;False;019628.txt;0.42658618
000152.txt;False;077369.txt;0.40277526
000153.txt;True;000153.txt;0.24061996
000154.txt;True;000154.txt;0.35009983
000155.txt;True;000155.txt;0.405891
000156.txt;True;000156.txt;0.33222008
000157.txt;True;000157.txt;0.31619143
000158.txt;True;000158.txt;0.31201524
000159.txt;False;066177.txt;0.3432765
000160.txt;False;001824.txt;0.2786597
000161.txt;True;000161.txt;0.28916356
000162.txt;False;044213.txt;0.3921285
000163.txt;True;000163.txt;0.3021073
000164.txt;False;018539.txt;0.37601227
000165.txt;True;000165.txt;0.24564806
000166.txt;True;000166.txt;0.211899
000167.txt;True;000167.txt;0.29736653
000168.txt;True;000168.txt;0.37449592
000169.txt;True;000169.txt;0.2612726
000170.txt;True;000170.txt;0.2985443
000171.txt;True;000171.txt;0.22450206
000172.txt;False;065862.txt;0.3879718
000173.txt;True;000173.txt;0.34092295
000174.txt;True;000174.txt;0.29393578
000175.txt;True;000175.txt;0.37104097
000176.txt;True;000176.txt;0.21341345
000177.txt;True;000177.txt;0.36552602
000178.txt;True;000178.txt;0.31047904
000179.txt;True;000179.txt;0.2796502
000180.txt;True;000180.txt;0.3616739
000181.txt;True;000181.txt;0.24178664
000182.txt;True;000182.txt;0.21341828
000183.txt;True;000183.txt;0.19024728
000184.txt;True;000184.txt;0.28913033
000185.txt;True;000185.txt;0.2714037
000186.txt;False;011515.txt;0.40832156
000187.txt;True;000187.txt;0.22951755
000188.txt;True;000188.txt;0.19851205
000189.txt;True;000189.txt;0.2806065
000190.txt;True;000190.txt;0.2557057
000191.txt;True;000191.txt;0.23093873
000192.txt;True;000192.txt;0.30385402
000193.txt;True;000193.txt;0.26449353
000194.txt;True;000194.txt;0.35298553
000195.txt;False;006972.txt;0.34228835
000196.txt;True;000196.txt;0.3743469
000197.txt;False;000702.txt;0.39581883
000198.txt;True;000198.txt;0.414163
000199.txt;True;000199.txt;0.2780202
000200.txt;False;008343.txt;0.38711798
000201.txt;True;000201.txt;0.38336998
000202.txt;True;000202.txt;0.33133787
000203.txt;True;000203.txt;0.25632697
000204.txt;False;078785.txt;0.28380552
000205.txt;True;000205.txt;0.2807424
000206.txt;True;000206.txt;0.23604679
000207.txt;True;000207.txt;0.39248395
000208.txt;False;068333.txt;0.4377743
000209.txt;False;018280.txt;0.40483725
000210.txt;True;000210.txt;0.2563066
000211.txt;False;020703.txt;0.37924403
000212.txt;False;029360.txt;0.33606616
000213.txt;True;000213.txt;0.33157727
000214.txt;True;000214.txt;0.18174388
000215.txt;True;000215.txt;0.32739627
000216.txt;False;038492.txt;0.4407309
000217.txt;True;000217.txt;0.2724212
000219.txt;True;000219.txt;0.33856866
000220.txt;True;000220.txt;0.349223
000221.txt;True;000221.txt;0.22616163
000222.txt;True;000222.txt;0.37082365
000223.txt;False;009321.txt;0.41122848
000224.txt;True;000224.txt;0.34344095
000225.txt;True;000225.txt;0.24368875
000226.txt;True;000226.txt;0.38903272
000227.txt;True;000227.txt;0.2470735
000228.txt;True;000228.txt;0.31127205
000229.txt;False;000519.txt;0.44151127
000230.txt;True;000230.txt;0.3680765
000231.txt;False;004097.txt;0.4529845
000232.txt;False;074339.txt;0.45590085
000233.txt;False;015888.txt;0.40350044
000234.txt;False;020224.txt;0.43744585
000235.txt;True;000235.txt;0.31540108
000236.txt;True;000236.txt;0.27398527
000237.txt;True;000237.txt;0.33567557
000238.txt;True;000238.txt;0.21992525
000239.txt;False;038300.txt;0.42773077
000240.txt;True;000240.txt;0.3902666
000241.txt;True;000241.txt;0.21320811
000242.txt;True;000242.txt;0.41851854
000243.txt;True;000243.txt;0.23917305
000244.txt;False;024903.txt;0.39453387
000245.txt;True;000245.txt;0.3083912
000246.txt;True;000246.txt;0.321419
000247.txt;False;076627.txt;0.39309675
000248.txt;True;000248.txt;0.35126048
000249.txt;True;000249.txt;0.2395334
000250.txt;True;000250.txt;0.26072168
000251.txt;True;000251.txt;0.28895295
000252.txt;True;000252.txt;0.23500977
000253.txt;True;000253.txt;0.29273096
000254.txt;True;000254.txt;0.300835
000255.txt;True;000255.txt;0.27129522
000256.txt;True;000256.txt;0.35434115
000257.txt;False;078867.txt;0.35132095
000258.txt;False;002438.txt;0.4213208
000259.txt;False;078813.txt;0.35631755
000260.txt;False;078796.txt;0.35740095
000261.txt;False;047085.txt;0.4373473
000262.txt;True;000262.txt;0.19516727
000263.txt;False;051950.txt;0.3860483
000264.txt;False;044777.txt;0.37727213
000265.txt;True;000265.txt;0.24504477
000266.txt;True;000266.txt;0.39037204
000267.txt;True;000267.txt;0.32228804
000268.txt;True;000268.txt;0.38198376
000269.txt;True;000269.txt;0.277691
000270.txt;False;006069.txt;0.28653657
000271.txt;True;000271.txt;0.2608828
000272.txt;True;000272.txt;0.28861105
000273.txt;False;075527.txt;0.32661068
000274.txt;False;075527.txt;0.29148936
000275.txt;True;000275.txt;0.18276668
000276.txt;False;020470.txt;0.4235283
000277.txt;True;000277.txt;0.16967618
000278.txt;True;000278.txt;0.27645123
000279.txt;True;000279.txt;0.2538166
000280.txt;False;067422.txt;0.2976884
000281.txt;True;000281.txt;0.2907447
000282.txt;True;000282.txt;0.31504965
000283.txt;True;000283.txt;0.37334275
000284.txt;False;078813.txt;0.3409786
000285.txt;True;000285.txt;0.31216645
000286.txt;False;000045.txt;0.31089577
000287.txt;True;000287.txt;0.31737533
000288.txt;True;000288.txt;0.27093738
000289.txt;False;056567.txt;0.3709819
000290.txt;False;056567.txt;0.35414135
000291.txt;True;000291.txt;0.30059662
000292.txt;True;000292.txt;0.3253911
000293.txt;True;000293.txt;0.26991054
000294.txt;False;036465.txt;0.40289408
000295.txt;True;000295.txt;0.2791171
000296.txt;False;029341.txt;0.42346615
000297.txt;True;000297.txt;0.40703583
000298.txt;False;010579.txt;0.4026976
000299.txt;True;000299.txt;0.24350655
000300.txt;True;000300.txt;0.23328327
000301.txt;True;000301.txt;0.25551063
000302.txt;True;000302.txt;0.27512425
000303.txt;True;000303.txt;0.31645378
000304.txt;True;000304.txt;0.36364493
000305.txt;True;000305.txt;0.24906465
000306.txt;True;000306.txt;0.38235557
000308.txt;True;000308.txt;0.21811387
000309.txt;False;006915.txt;0.30910212
000310.txt;True;000310.txt;0.27007008
000311.txt;False;068557.txt;0.40261543
000312.txt;True;000312.txt;0.20045695
000313.txt;True;000313.txt;0.23231232
000314.txt;True;000314.txt;0.29613733
000315.txt;True;000315.txt;0.29521745
000316.txt;False;056213.txt;0.32683054
000317.txt;True;000317.txt;0.22900227
000318.txt;True;000318.txt;0.31580853
000319.txt;True;000319.txt;0.2536183
000320.txt;True;000320.txt;0.21404886
000321.txt;True;000321.txt;0.24100785
000322.txt;True;000322.txt;0.26779664
000323.txt;True;000323.txt;0.37440306
000324.txt;True;000324.txt;0.23531204
000325.txt;False;056911.txt;0.28570038
000326.txt;False;042825.txt;0.39406562
000327.txt;True;000327.txt;0.22924092
000328.txt;True;000328.txt;0.2835062
000329.txt;True;000329.txt;0.2111848
000330.txt;False;076627.txt;0.39762658
000331.txt;True;000331.txt;0.2996189
000332.txt;False;010268.txt;0.40391833
000333.txt;True;000333.txt;0.29542327
000334.txt;True;000334.txt;0.22740856
000335.txt;True;000335.txt;0.2930397
000336.txt;False;020025.txt;0.39542598
000337.txt;True;000337.txt;0.31528163
000338.txt;True;000338.txt;0.3444927
000339.txt;False;012323.txt;0.38941845
000341.txt;False;048513.txt;0.42182267
000342.txt;True;000342.txt;0.39490113
000343.txt;True;000343.txt;0.36515796
000344.txt;True;000344.txt;0.31520364
000345.txt;True;000345.txt;0.35053802
000346.txt;True;000346.txt;0.2617694
000347.txt;True;000347.txt;0.24496771
000348.txt;True;000348.txt;0.3206808
000349.txt;True;000349.txt;0.3892464
000350.txt;True;000350.txt;0.30921265
000351.txt;True;000351.txt;0.25670713
000352.txt;False;035244.txt;0.3663375
000353.txt;True;000353.txt;0.25432467
000354.txt;False;068333.txt;0.3943022
000355.txt;True;000355.txt;0.3384174
000356.txt;True;000356.txt;0.41670537
000357.txt;True;000357.txt;0.26264465
000358.txt;True;000358.txt;0.25231206
000359.txt;True;000359.txt;0.3477069
000360.txt;True;000360.txt;0.27712452
000361.txt;True;000361.txt;0.43155378
000362.txt;True;000362.txt;0.2510599
000363.txt;True;000363.txt;0.3581754
000364.txt;True;000364.txt;0.22489375
