query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.87262595
000001.txt;True;000001.txt;0.88424563
000002.txt;True;000002.txt;0.68998426
000003.txt;True;000003.txt;0.82865
000004.txt;False;017224.txt;0.7338971
000005.txt;True;000005.txt;0.643555
000006.txt;True;000006.txt;0.6302446
000007.txt;True;000007.txt;0.7844841
000008.txt;False;042529.txt;0.5633304
000009.txt;True;000009.txt;0.81358373
000010.txt;True;000010.txt;0.72839326
000011.txt;True;000011.txt;0.8451798
000012.txt;True;000012.txt;0.80271196
000013.txt;True;000013.txt;0.85869086
000014.txt;False;075313.txt;0.72156405
000015.txt;True;000015.txt;0.73075175
000016.txt;False;078605.txt;0.63606274
000017.txt;True;000017.txt;0.7646299
000018.txt;True;000018.txt;0.8173708
000019.txt;True;000019.txt;0.9139136
000020.txt;True;000020.txt;0.7490615
000021.txt;True;000021.txt;0.6900317
000022.txt;True;000022.txt;0.6952666
000023.txt;True;000023.txt;0.68843156
000024.txt;True;000024.txt;0.6946567
000025.txt;True;000025.txt;0.69904107
000026.txt;False;076209.txt;0.72252893
000027.txt;True;000027.txt;0.7011337
000028.txt;True;000028.txt;0.70004654
000029.txt;True;000029.txt;0.6940478
000030.txt;True;000030.txt;0.6925417
000031.txt;False;050272.txt;0.6869097
000032.txt;True;000032.txt;0.88273764
000034.txt;True;000034.txt;0.81811136
000035.txt;False;042806.txt;0.695904
000036.txt;True;000036.txt;0.85118234
000037.txt;False;024472.txt;0.6996304
000038.txt;True;000038.txt;0.69624615
000039.txt;True;000039.txt;0.7007489
000040.txt;True;000040.txt;0.69161755
000041.txt;True;000041.txt;0.6909785
000042.txt;True;000042.txt;0.69846535
000043.txt;True;000043.txt;0.69143116
000044.txt;True;000044.txt;0.8005384
000045.txt;True;000045.txt;0.81493515
000046.txt;True;000046.txt;0.8234345
000047.txt;True;000047.txt;0.7915168
000048.txt;True;000048.txt;0.6461686
000049.txt;False;008528.txt;0.6149394
000050.txt;True;000050.txt;0.67850643
