query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.41806465
000001.txt;True;000001.txt;0.24265926
000002.txt;True;000002.txt;0.23653646
000003.txt;False;031947.txt;0.35605794
000004.txt;False;004745.txt;0.4621775
000005.txt;True;000005.txt;0.30315802
000006.txt;False;026102.txt;0.33098036
000007.txt;False;048133.txt;0.40272012
000008.txt;False;073256.txt;0.44747174
000009.txt;True;000009.txt;0.44627863
000010.txt;True;000010.txt;0.25392208
000011.txt;False;001399.txt;0.31161416
000012.txt;True;000012.txt;0.28274
000013.txt;True;000013.txt;0.21900502
000014.txt;True;000014.txt;0.31328848
000015.txt;True;000015.txt;0.17870158
000016.txt;False;000015.txt;0.2867331
000017.txt;True;000017.txt;0.33474547
000018.txt;True;000018.txt;0.30962205
000019.txt;True;000019.txt;0.2894992
000020.txt;True;000020.txt;0.35279965
000021.txt;True;000021.txt;0.2487508
000022.txt;True;000022.txt;0.18447989
000023.txt;True;000023.txt;0.25951514
000024.txt;False;000042.txt;0.27745342
000025.txt;True;000025.txt;0.16107675
000026.txt;False;039968.txt;0.39702892
000027.txt;True;000027.txt;0.14522779
000028.txt;True;000028.txt;0.16415292
000029.txt;True;000029.txt;0.183124
000030.txt;True;000030.txt;0.30160415
000031.txt;False;016165.txt;0.24654153
000032.txt;False;007529.txt;0.36686876
000034.txt;True;000034.txt;0.35351568
000035.txt;False;009853.txt;0.445688
000036.txt;True;000036.txt;0.316418
000037.txt;True;000037.txt;0.16119777
000038.txt;True;000038.txt;0.14992568
000039.txt;True;000039.txt;0.16114807
000040.txt;True;000040.txt;0.16370086
000041.txt;True;000041.txt;0.15426926
000042.txt;True;000042.txt;0.15414402
000043.txt;True;000043.txt;0.17864831
000044.txt;False;000205.txt;0.3745141
000045.txt;True;000045.txt;0.35410565
000046.txt;False;000126.txt;0.34698412
000047.txt;False;075527.txt;0.35770434
000048.txt;True;000048.txt;0.25373468
000049.txt;True;000049.txt;0.22251785
000050.txt;False;019552.txt;0.33256003
000051.txt;False;001399.txt;0.33992827
000052.txt;True;000052.txt;0.34604952
000053.txt;True;000053.txt;0.28079155
000054.txt;False;030013.txt;0.41846752
000055.txt;True;000055.txt;0.40780813
000056.txt;True;000056.txt;0.31586242
000057.txt;True;000057.txt;0.32090527
000058.txt;False;064545.txt;0.3329607
000059.txt;True;000059.txt;0.31413332
000060.txt;True;000060.txt;0.23168412
000061.txt;False;030658.txt;0.33199602
000062.txt;True;000062.txt;0.28435698
000063.txt;True;000063.txt;0.31889516
000064.txt;True;000064.txt;0.27901947
000065.txt;True;000065.txt;0.22101234
000066.txt;True;000066.txt;0.27429724
000067.txt;True;000067.txt;0.3168109
000068.txt;True;000068.txt;0.29818007
000069.txt;True;000069.txt;0.34647313
000070.txt;False;075548.txt;0.33756548
000071.txt;False;003584.txt;0.33108452
000072.txt;True;000072.txt;0.2716694
000073.txt;True;000073.txt;0.30853808
000074.txt;False;053465.txt;0.45643407
000075.txt;True;000075.txt;0.3302942
000076.txt;False;025299.txt;0.41658658
000077.txt;True;000077.txt;0.31679335
000078.txt;False;026475.txt;0.4117729
000079.txt;True;000079.txt;0.32271582
000080.txt;True;000080.txt;0.2655804
