query_file;found;search_result;search_distances
000000.txt;False;077749.txt;0.66342306
000001.txt;False;042458.txt;0.86071527
000002.txt;True;000002.txt;0.79838645
000003.txt;False;044744.txt;0.7144202
000004.txt;True;000004.txt;0.78612566
000005.txt;False;040566.txt;0.724177
000006.txt;False;032051.txt;0.8105512
000007.txt;True;000007.txt;0.65258974
000008.txt;True;000008.txt;0.6759458
000009.txt;False;009949.txt;0.73077536
000010.txt;False;005307.txt;0.6681682
000011.txt;False;001399.txt;0.74456334
000012.txt;False;055534.txt;0.7210865
000013.txt;False;016495.txt;0.7028915
000014.txt;False;001406.txt;0.68701136
000015.txt;False;078643.txt;0.7694758
000016.txt;False;001905.txt;0.7114037
000017.txt;False;001364.txt;0.83524525
000018.txt;True;000018.txt;0.7550407
000019.txt;True;000019.txt;0.6209357
000020.txt;False;018915.txt;0.65829617
000021.txt;False;078678.txt;0.6941463
000022.txt;True;000022.txt;0.72953665
000023.txt;False;000025.txt;0.72844416
000024.txt;False;039058.txt;0.6778729
000025.txt;True;000025.txt;0.6581574
000026.txt;True;000026.txt;0.62626964
000027.txt;True;000027.txt;0.6776812
000028.txt;True;000028.txt;0.68401635
000029.txt;True;000029.txt;0.67811406
000030.txt;False;076862.txt;0.646811
000031.txt;False;016165.txt;0.67871815
000032.txt;True;000032.txt;0.6987065
000034.txt;True;000034.txt;0.6567596
000035.txt;False;043662.txt;0.70558345
000036.txt;False;048078.txt;0.68118316
000037.txt;True;000037.txt;0.6939759
000038.txt;True;000038.txt;0.68622524
000039.txt;True;000039.txt;0.6890115
000040.txt;True;000040.txt;0.69259536
000041.txt;True;000041.txt;0.6913934
000042.txt;True;000042.txt;0.69268507
000043.txt;True;000043.txt;0.6852784
000044.txt;False;001368.txt;0.72833395
000045.txt;True;000045.txt;0.72407115
000046.txt;False;000282.txt;0.6995992
000047.txt;False;000282.txt;0.66430044
000048.txt;True;000048.txt;0.63464427
000049.txt;False;046257.txt;0.663081
000050.txt;False;015410.txt;0.6557696
000051.txt;False;001403.txt;0.7023839
000052.txt;False;000282.txt;0.72611856
000053.txt;False;062284.txt;0.641961
000054.txt;True;000054.txt;0.6733897
000055.txt;False;007960.txt;0.7945338
000056.txt;False;066636.txt;0.68821895
000057.txt;False;017782.txt;0.64526796
000058.txt;False;053021.txt;0.6522261
000059.txt;False;005859.txt;0.60229325
000060.txt;False;046179.txt;0.6630039
000061.txt;False;030462.txt;0.8050747
000062.txt;False;011375.txt;0.6719136
000063.txt;True;000063.txt;0.6368009
000064.txt;False;064681.txt;0.6392603
000065.txt;True;000065.txt;0.61640203
000066.txt;False;070969.txt;0.7852757
000067.txt;True;000067.txt;0.5895446
000068.txt;True;000068.txt;0.65891004
000069.txt;False;031936.txt;0.6733581
000070.txt;False;077690.txt;0.652931
000071.txt;True;000071.txt;0.6219884
000072.txt;False;059210.txt;0.6331774
000073.txt;False;035015.txt;0.67765534
000074.txt;False;053465.txt;0.6564001
000075.txt;True;000075.txt;0.60515344
000076.txt;True;000076.txt;0.7750671
000077.txt;False;076857.txt;0.8470937
000078.txt;False;026465.txt;0.6507038
000079.txt;False;051811.txt;0.683409
000080.txt;False;042764.txt;0.71003425
000081.txt;False;071788.txt;0.75463974
000082.txt;False;071705.txt;0.7387749
000083.txt;True;000083.txt;0.61952585
000084.txt;False;000085.txt;0.79649144
000085.txt;True;000085.txt;0.6628626
000086.txt;True;000086.txt;0.72740674
000087.txt;False;021193.txt;0.61366427
000088.txt;False;069591.txt;0.61562324
000089.txt;False;015340.txt;0.64144874
000090.txt;False;075781.txt;0.67654383
000091.txt;False;041618.txt;0.6474482
000092.txt;False;071063.txt;0.6648353
000093.txt;True;000093.txt;0.7262235
000094.txt;True;000094.txt;0.68230766
000095.txt;False;058361.txt;0.627136
000096.txt;False;076879.txt;0.6470635
000097.txt;False;078946.txt;0.6732621
000098.txt;True;000098.txt;0.5943302
000099.txt;False;064747.txt;0.640767
000100.txt;True;000100.txt;0.6127418
000101.txt;True;000101.txt;0.7414356
000102.txt;False;034114.txt;0.6126081
000103.txt;False;015340.txt;0.602196
000104.txt;False;042073.txt;0.76805764
000105.txt;True;000105.txt;0.79583985
000106.txt;True;000106.txt;0.5895555
000107.txt;True;000107.txt;0.8018222
000108.txt;False;002524.txt;0.6889282
000109.txt;False;002524.txt;0.6867642
000110.txt;False;041440.txt;0.7730324
000111.txt;False;040038.txt;0.6599452
000112.txt;False;042920.txt;0.87574595
000113.txt;True;000113.txt;0.70105016
000114.txt;True;000114.txt;0.65773606
000115.txt;False;018604.txt;0.66209733
000116.txt;False;002447.txt;0.60880584
000117.txt;True;000117.txt;0.7996766
000118.txt;False;000121.txt;0.7186476
000119.txt;False;005361.txt;0.768276
000120.txt;True;000120.txt;0.7789388
000121.txt;True;000121.txt;0.7613008
000122.txt;True;000122.txt;0.77551496
000123.txt;False;039731.txt;0.68711805
000124.txt;True;000124.txt;0.6170929
000126.txt;False;000282.txt;0.6477262
000127.txt;False;000271.txt;0.7934164
000128.txt;True;000128.txt;0.75588274
000129.txt;True;000129.txt;0.6648371
000130.txt;False;000281.txt;0.72448266
000131.txt;False;000281.txt;0.79083824
000132.txt;False;000127.txt;0.7605586
000133.txt;False;000047.txt;0.7449893
000134.txt;False;061674.txt;0.7089131
000135.txt;True;000135.txt;0.687854
000136.txt;True;000136.txt;0.6993316
000137.txt;False;017720.txt;0.6696271
000138.txt;True;000138.txt;0.6754836
000139.txt;False;005663.txt;0.7548336
000140.txt;False;059210.txt;0.6604202
000141.txt;True;000141.txt;0.66711557
000142.txt;False;055419.txt;0.6233468
000143.txt;False;015340.txt;0.5855519
000144.txt;True;000144.txt;0.66476595
000145.txt;False;055419.txt;0.62734497
000146.txt;False;021600.txt;0.6559399
000147.txt;True;000147.txt;0.65656817
000148.txt;False;026465.txt;0.65056425
000149.txt;True;000149.txt;0.6407981
000150.txt;False;040915.txt;0.87964374
000151.txt;False;000147.txt;0.69525766
000152.txt;False;031622.txt;0.697554
000153.txt;True;000153.txt;0.58209074
000154.txt;False;053525.txt;0.6309522
000155.txt;False;002540.txt;0.67638946
000156.txt;True;000156.txt;0.632935
000157.txt;True;000157.txt;0.66714877
000158.txt;True;000158.txt;0.7015174
000159.txt;False;078564.txt;0.82228994
000160.txt;True;000160.txt;0.71814287
000161.txt;True;000161.txt;0.74977994
000162.txt;False;047411.txt;0.64751583
000163.txt;False;078623.txt;0.7887331
000164.txt;True;000164.txt;0.6251825
000165.txt;False;067355.txt;0.6898982
000166.txt;True;000166.txt;0.72726405
000167.txt;True;000167.txt;0.74952465
000168.txt;False;061674.txt;0.70657635
000169.txt;False;055419.txt;0.6020873
000170.txt;True;000170.txt;0.6691308
000171.txt;False;011258.txt;0.6290028
000172.txt;False;027043.txt;0.6666628
000173.txt;False;008948.txt;0.78702253
000174.txt;False;064681.txt;0.6186043
000175.txt;False;064747.txt;0.66915834
000176.txt;False;000214.txt;0.7064688
000177.txt;False;015869.txt;0.69938195
000178.txt;False;058543.txt;0.67329913
000179.txt;False;002872.txt;0.6678857
000180.txt;True;000180.txt;0.7832972
000181.txt;True;000181.txt;0.6911725
000182.txt;False;000181.txt;0.6929563
000183.txt;False;000181.txt;0.7754792
000184.txt;True;000184.txt;0.74514467
000185.txt;False;000181.txt;0.69126433
000186.txt;False;014497.txt;0.66692835
000187.txt;False;000282.txt;0.6951792
000188.txt;False;007502.txt;0.7606031
000189.txt;False;000282.txt;0.70718455
000190.txt;False;000271.txt;0.7446045
000191.txt;False;052890.txt;0.6931678
000192.txt;False;066321.txt;0.62926924
000193.txt;False;019891.txt;0.72335696
000194.txt;True;000194.txt;0.6494001
000195.txt;False;040745.txt;0.5895544
000196.txt;True;000196.txt;0.6573603
000197.txt;True;000197.txt;0.7539461
000198.txt;False;040819.txt;0.61993086
000199.txt;True;000199.txt;0.6447989
000200.txt;False;054141.txt;0.860072
000201.txt;False;001019.txt;0.66996557
000202.txt;True;000202.txt;0.6508558
000203.txt;False;040541.txt;0.7523612
000204.txt;False;008718.txt;0.7794303
000205.txt;False;008718.txt;0.78965783
000206.txt;True;000206.txt;0.7291708
000207.txt;False;005278.txt;0.6576045
000208.txt;False;073608.txt;0.7015258
000209.txt;False;064747.txt;0.6898315
000210.txt;False;046123.txt;0.71823907
000211.txt;True;000211.txt;0.66800934
000212.txt;False;029677.txt;0.6138722
000213.txt;False;048808.txt;0.6746278
000214.txt;True;000214.txt;0.608093
000215.txt;True;000215.txt;0.6682191
000216.txt;False;010533.txt;0.7667275
000217.txt;False;000243.txt;0.7137109
000219.txt;False;063815.txt;0.6539215
000220.txt;False;020965.txt;0.70743525
000221.txt;True;000221.txt;0.6519358
000222.txt;False;010069.txt;0.67300576
000223.txt;False;031814.txt;0.69403505
000224.txt;False;008950.txt;0.69069344
000225.txt;True;000225.txt;0.748352
000226.txt;True;000226.txt;0.64307916
000227.txt;False;016855.txt;0.6640868
000228.txt;True;000228.txt;0.65459734
000229.txt;False;051160.txt;0.68331695
000230.txt;True;000230.txt;0.66140604
000231.txt;True;000231.txt;0.86140054
000232.txt;False;029018.txt;0.7170087
000233.txt;False;041754.txt;0.6849463
000234.txt;False;034574.txt;0.6905811
000235.txt;True;000235.txt;0.62954974
000236.txt;False;001617.txt;0.7204579
000237.txt;False;018828.txt;0.9493093
000238.txt;True;000238.txt;0.767743
000239.txt;False;038807.txt;0.8265965
000240.txt;False;053058.txt;0.6851449
000241.txt;True;000241.txt;0.54535025
000242.txt;False;019664.txt;0.7694075
000243.txt;True;000243.txt;0.6166074
000244.txt;False;002941.txt;0.67404926
000245.txt;True;000245.txt;0.6846032
000246.txt;True;000246.txt;0.5839586
000247.txt;False;004153.txt;0.61183214
000248.txt;False;011306.txt;0.66762984
000249.txt;False;024926.txt;0.6532663
000250.txt;True;000250.txt;0.6946852
000251.txt;True;000251.txt;0.6848966
000252.txt;True;000252.txt;0.7291538
000253.txt;True;000253.txt;0.6123241
000254.txt;False;024310.txt;0.62224835
000255.txt;False;034546.txt;0.6867322
000256.txt;False;073608.txt;0.66574615
000257.txt;False;022158.txt;0.8481221
000258.txt;False;076571.txt;0.67902166
000259.txt;False;061350.txt;0.87290794
000260.txt;False;050489.txt;0.8752367
000261.txt;False;043840.txt;0.6817236
000262.txt;True;000262.txt;0.6464912
000263.txt;False;012172.txt;0.6750085
000264.txt;False;073451.txt;0.70447385
000265.txt;True;000265.txt;0.6731272
000266.txt;True;000266.txt;0.651338
000267.txt;True;000267.txt;0.62173116
000268.txt;True;000268.txt;0.6758041
000269.txt;False;001669.txt;0.7350446
000270.txt;False;006304.txt;0.6583772
000271.txt;False;001617.txt;0.70598954
000272.txt;False;078368.txt;0.81145895
000273.txt;False;000282.txt;0.77815056
000274.txt;False;000271.txt;0.71787834
000275.txt;True;000275.txt;0.6254992
000276.txt;True;000276.txt;0.68587875
000277.txt;False;000041.txt;0.7428538
000278.txt;False;000188.txt;0.76441205
000279.txt;True;000279.txt;0.6930685
000280.txt;False;000282.txt;0.6919086
000281.txt;True;000281.txt;0.7106117
000282.txt;True;000282.txt;0.68934005
