query_file;found;search_result;search_distances
000000.txt;False;003653.txt;0.46199453
000001.txt;True;000001.txt;0.33066958
000002.txt;False;007581.txt;0.61697435
000003.txt;True;000003.txt;0.25095817
000004.txt;True;000004.txt;0.21955642
000005.txt;False;078876.txt;0.47850206
000006.txt;False;030660.txt;0.40831542
000007.txt;True;000007.txt;0.41496432
000008.txt;False;000701.txt;0.6441675
000009.txt;False;004901.txt;0.5352205
000010.txt;True;000010.txt;0.45518878
000011.txt;True;000011.txt;0.08844446
000012.txt;True;000012.txt;0.35187298
000013.txt;True;000013.txt;0.25292885
000014.txt;True;000014.txt;0.35442528
000015.txt;True;000015.txt;0.21279359
000016.txt;True;000016.txt;0.25430822
000017.txt;True;000017.txt;0.3876202
000018.txt;True;000018.txt;0.35547107
000019.txt;True;000019.txt;0.17058109
000020.txt;True;000020.txt;0.5541359
000021.txt;True;000021.txt;0.17807998
000022.txt;True;000022.txt;0.088527806
000023.txt;False;000025.txt;0.24981008
000024.txt;True;000024.txt;0.17853726
000025.txt;True;000025.txt;0.106006004
000026.txt;True;000026.txt;0.23486327
000027.txt;True;000027.txt;0.10900064
000028.txt;True;000028.txt;0.099253744
000029.txt;True;000029.txt;0.13435517
000030.txt;False;000031.txt;0.25245154
000031.txt;True;000031.txt;0.23584765
000032.txt;True;000032.txt;0.33688542
000034.txt;True;000034.txt;0.4297086
000035.txt;False;042806.txt;0.6559893
000036.txt;True;000036.txt;0.4300377
000037.txt;True;000037.txt;0.083438516
000038.txt;True;000038.txt;0.10173454
000039.txt;True;000039.txt;0.102392584
000040.txt;True;000040.txt;0.099054486
000041.txt;True;000041.txt;0.11230652
000042.txt;True;000042.txt;0.09872215
000043.txt;True;000043.txt;0.096339084
000044.txt;True;000044.txt;0.2519135
000045.txt;True;000045.txt;0.24913609
000046.txt;True;000046.txt;0.51427877
000047.txt;True;000047.txt;0.24513832
000048.txt;True;000048.txt;0.37544188
000049.txt;False;006828.txt;0.73441505
000050.txt;False;024613.txt;0.49058455
000051.txt;False;001403.txt;0.3650901
000052.txt;True;000052.txt;0.42997926
000053.txt;True;000053.txt;0.5731236
000054.txt;True;000054.txt;0.20326445
000055.txt;True;000055.txt;0.38426453
000056.txt;True;000056.txt;0.40886378
000057.txt;True;000057.txt;0.3096856
000058.txt;True;000058.txt;0.69166464
000059.txt;True;000059.txt;0.46174896
000060.txt;True;000060.txt;0.738904
000061.txt;True;000061.txt;0.5371982
000062.txt;True;000062.txt;0.48114562
000063.txt;True;000063.txt;0.12982601
000064.txt;False;008515.txt;0.62912977
000065.txt;True;000065.txt;0.3524
000066.txt;True;000066.txt;0.37941366
000067.txt;True;000067.txt;0.38335565
000068.txt;True;000068.txt;0.21848108
000069.txt;False;078461.txt;0.4519803
000070.txt;True;000070.txt;0.52390903
000071.txt;True;000071.txt;0.3791604
000072.txt;True;000072.txt;0.47675624
000073.txt;True;000073.txt;0.32559514
000074.txt;True;000074.txt;0.39892283
000075.txt;True;000075.txt;0.36439693
000076.txt;False;028863.txt;0.31054652
000077.txt;True;000077.txt;0.5169618
000078.txt;True;000078.txt;0.46685678
000079.txt;True;000079.txt;0.6599947
000080.txt;False;002787.txt;0.5718367
000081.txt;False;008515.txt;0.4888919
000082.txt;False;012000.txt;0.66645616
000083.txt;False;034611.txt;0.7172673
000084.txt;True;000084.txt;0.40254462
000085.txt;True;000085.txt;0.20239016
000086.txt;True;000086.txt;0.33979148
000087.txt;False;029698.txt;0.75059855
000088.txt;False;070328.txt;0.45647544
000089.txt;True;000089.txt;0.4060277
000090.txt;False;076746.txt;0.68073344
000091.txt;True;000091.txt;0.25108117
000092.txt;False;009346.txt;0.49332535
000093.txt;False;053030.txt;0.3793993
000094.txt;False;019647.txt;0.26948223
000095.txt;True;000095.txt;0.3478804
000096.txt;True;000096.txt;0.29046023
000097.txt;False;037449.txt;0.6784431
000098.txt;True;000098.txt;0.33497936
000099.txt;True;000099.txt;0.14943154
000100.txt;True;000100.txt;0.21380398
000101.txt;True;000101.txt;0.2806407
000102.txt;False;048883.txt;0.8076631
000103.txt;True;000103.txt;0.31178552
000104.txt;True;000104.txt;0.59480435
000105.txt;True;000105.txt;0.500296
000106.txt;True;000106.txt;0.25173283
000107.txt;True;000107.txt;0.6233621
000108.txt;True;000108.txt;0.10278182
000109.txt;True;000109.txt;0.11835545
000110.txt;True;000110.txt;0.3539464
000111.txt;True;000111.txt;0.28582418
000112.txt;False;000117.txt;0.6715262
000113.txt;True;000113.txt;0.37326533
000114.txt;True;000114.txt;0.32300702
000115.txt;True;000115.txt;0.25234333
000116.txt;False;078710.txt;0.89131445
000117.txt;True;000117.txt;0.26950163
000118.txt;True;000118.txt;0.2283073
000119.txt;True;000119.txt;0.42066944
000120.txt;True;000120.txt;0.1834329
000121.txt;True;000121.txt;0.80889773
000122.txt;False;068854.txt;0.7303431
000123.txt;True;000123.txt;0.44074875
000124.txt;True;000124.txt;0.13506098
000126.txt;True;000126.txt;0.23464863
000127.txt;True;000127.txt;0.24022824
000128.txt;True;000128.txt;0.18215391
