query_file;found;search_result;search_distances
000000.txt;False;003653.txt;5.793895
000001.txt;False;014541.txt;6.683917
000002.txt;False;017288.txt;5.571869
000003.txt;False;055994.txt;5.5772743
000004.txt;False;067341.txt;7.102304
000005.txt;False;051959.txt;5.1103683
000006.txt;False;051959.txt;5.6275706
000007.txt;False;075365.txt;5.587648
000008.txt;False;025181.txt;5.4197044
000009.txt;False;008405.txt;5.7072277
000010.txt;False;051959.txt;5.3099637
000011.txt;False;051959.txt;6.404901
000012.txt;False;007594.txt;5.344556
000013.txt;False;034670.txt;5.6116943
000014.txt;False;017288.txt;6.469295
000015.txt;False;027667.txt;5.5157843
000016.txt;False;002478.txt;7.0691633
000017.txt;False;063415.txt;7.835244
000018.txt;False;032154.txt;7.036831
000019.txt;False;010724.txt;7.5257874
000020.txt;False;059468.txt;5.8168163
000021.txt;False;051959.txt;5.926468
000022.txt;False;051959.txt;6.2532215
000023.txt;False;007594.txt;6.223318
000024.txt;False;051959.txt;5.648687
000025.txt;False;051959.txt;6.066158
000026.txt;False;048899.txt;6.250084
000027.txt;False;051959.txt;6.033209
000028.txt;False;051959.txt;5.8316803
000029.txt;False;051959.txt;6.293565
000030.txt;False;007594.txt;5.754855
000031.txt;False;051959.txt;6.156651
000032.txt;False;004411.txt;6.9789505
000034.txt;False;004411.txt;6.015024
000035.txt;False;065700.txt;7.6516905
000036.txt;False;052790.txt;5.1735
000037.txt;False;007594.txt;6.1635237
000038.txt;False;007594.txt;6.217357
000039.txt;False;007594.txt;6.178076
000040.txt;False;007594.txt;6.1329894
000041.txt;False;051959.txt;6.210552
000042.txt;False;051959.txt;6.0531464
000043.txt;False;051959.txt;6.123926
000044.txt;False;056213.txt;6.923906
000045.txt;False;051959.txt;5.995844
000046.txt;False;041583.txt;6.8658075
000047.txt;False;051959.txt;5.8964505
000048.txt;False;000318.txt;5.105694
000049.txt;False;017288.txt;6.045036
000050.txt;False;046282.txt;5.347274
000051.txt;False;054407.txt;6.894697
000052.txt;False;041583.txt;6.7185216
000053.txt;False;017288.txt;5.295066
000054.txt;False;035916.txt;7.933788
000055.txt;False;030556.txt;7.4507704
000056.txt;False;016172.txt;5.592049
000057.txt;False;017579.txt;5.0896406
000058.txt;False;017288.txt;6.4749975
000059.txt;False;036932.txt;5.6122456
000060.txt;False;011780.txt;6.033309
000061.txt;False;022201.txt;6.703079
000062.txt;False;051959.txt;5.212613
000063.txt;False;042740.txt;8.2765665
000064.txt;False;017579.txt;5.30723
000065.txt;False;017579.txt;6.091741
000066.txt;False;045855.txt;6.6272974
000067.txt;False;051959.txt;5.8317275
000068.txt;False;033046.txt;6.483597
000069.txt;False;030290.txt;6.000008
000070.txt;False;014076.txt;5.9578123
000071.txt;False;037151.txt;6.5549455
000072.txt;False;032234.txt;4.9002476
000073.txt;False;051654.txt;6.194186
000074.txt;False;000637.txt;6.84705
000075.txt;False;046831.txt;5.4557276
000076.txt;False;055994.txt;6.3386974
000077.txt;False;013153.txt;5.284635
000078.txt;False;063367.txt;5.9373736
000079.txt;False;039770.txt;5.3025293
000080.txt;False;011780.txt;5.8253956
000081.txt;False;008515.txt;5.7768035
000082.txt;False;017288.txt;6.301779
000083.txt;False;037151.txt;6.877426
000084.txt;False;016822.txt;6.567674
000085.txt;False;037985.txt;6.41861
000086.txt;True;000086.txt;6.0436153
000087.txt;False;016172.txt;4.7345514
000088.txt;False;000757.txt;6.108445
000089.txt;False;009510.txt;6.5200896
000090.txt;False;039770.txt;5.702533
000091.txt;False;046831.txt;5.1472096
000092.txt;False;032234.txt;4.8983145
000093.txt;False;017288.txt;5.1733875
000094.txt;False;037251.txt;5.970475
000095.txt;False;068075.txt;5.4772835
000096.txt;False;070759.txt;6.5040917
000097.txt;False;037444.txt;5.611146
000098.txt;False;051959.txt;5.5695
000099.txt;False;021778.txt;7.5684576
000100.txt;False;016172.txt;4.992554
000101.txt;False;036932.txt;5.3227587
000102.txt;False;017288.txt;5.348957
000103.txt;False;009510.txt;6.6818748
000104.txt;False;003653.txt;6.536826
000105.txt;False;029188.txt;5.107274
000106.txt;False;050808.txt;6.05455
000107.txt;False;030179.txt;5.6199694
000108.txt;False;051959.txt;6.053954
000109.txt;False;051959.txt;6.117261
000110.txt;False;051959.txt;5.3882957
000111.txt;False;030179.txt;4.9984303
000112.txt;False;033403.txt;7.010872
000113.txt;False;029188.txt;5.6378365
000114.txt;False;067341.txt;6.183641
000115.txt;False;070495.txt;6.480817
000116.txt;False;072416.txt;6.103902
000117.txt;False;016529.txt;7.161031
000118.txt;False;077162.txt;5.639139
000119.txt;False;077448.txt;7.257159
000120.txt;False;077162.txt;5.8414907
000121.txt;False;077162.txt;5.9105883
000122.txt;False;074075.txt;5.5290394
000123.txt;False;030179.txt;5.156625
000124.txt;False;009573.txt;6.034172
000126.txt;False;051959.txt;6.2937098
000127.txt;False;054407.txt;7.208859
000128.txt;False;041583.txt;6.9194546
000129.txt;False;016529.txt;7.3225355
000130.txt;False;051959.txt;6.0069127
000131.txt;False;046945.txt;7.4117913
000132.txt;False;054407.txt;6.7370296
000133.txt;False;001940.txt;7.211487
000134.txt;False;036932.txt;5.715749
000135.txt;False;051959.txt;6.138357
000136.txt;False;040417.txt;7.475928
000137.txt;False;020216.txt;6.843149
000138.txt;False;046831.txt;5.2577114
000139.txt;False;008779.txt;6.8065906
000140.txt;False;046831.txt;4.8905125
000141.txt;False;025181.txt;6.190028
000142.txt;False;016721.txt;6.2949553
000143.txt;False;016172.txt;5.2443733
000144.txt;False;021741.txt;6.873106
000145.txt;False;046282.txt;4.5566874
000146.txt;False;030122.txt;6.313484
000147.txt;False;070759.txt;5.390012
