query_file;found;search_result;search_distances
000000.txt;False;003653.txt;0.3767026
000001.txt;True;000001.txt;0.23621978
000002.txt;True;000002.txt;0.5227151
000003.txt;True;000003.txt;0.2710089
000004.txt;True;000004.txt;0.15455867
000005.txt;False;030653.txt;0.32725897
000006.txt;False;005363.txt;0.33654535
000007.txt;True;000007.txt;0.42923027
000008.txt;False;068680.txt;0.8295809
000009.txt;False;004116.txt;0.4725418
000010.txt;True;000010.txt;0.22385547
000011.txt;True;000011.txt;0.12966824
000012.txt;True;000012.txt;0.3364969
000013.txt;True;000013.txt;0.28374857
000014.txt;True;000014.txt;0.3514706
000015.txt;True;000015.txt;0.18176329
000016.txt;True;000016.txt;0.3686121
000017.txt;True;000017.txt;0.30371636
000018.txt;True;000018.txt;0.20706177
000019.txt;True;000019.txt;0.12824777
000020.txt;True;000020.txt;0.30748364
000021.txt;True;000021.txt;0.0881768
000022.txt;True;000022.txt;0.051098168
000023.txt;True;000023.txt;0.18122523
000024.txt;True;000024.txt;0.09635675
000025.txt;True;000025.txt;0.0653342
000026.txt;True;000026.txt;0.1395793
000027.txt;True;000027.txt;0.050002027
000028.txt;True;000028.txt;0.0405267
000029.txt;True;000029.txt;0.076934636
000030.txt;True;000030.txt;0.15505812
000031.txt;True;000031.txt;0.17384325
000032.txt;True;000032.txt;0.17899609
000034.txt;False;004823.txt;0.90596306
000035.txt;True;000035.txt;0.41731104
000036.txt;True;000036.txt;0.5071616
000037.txt;True;000037.txt;0.050530452
000038.txt;True;000038.txt;0.04822115
000039.txt;True;000039.txt;0.049001645
000040.txt;True;000040.txt;0.05384685
000041.txt;True;000041.txt;0.048383906
000042.txt;True;000042.txt;0.050680812
000043.txt;True;000043.txt;0.051740028
000044.txt;True;000044.txt;0.19000494
000045.txt;True;000045.txt;0.12178184
000046.txt;True;000046.txt;0.38611817
000047.txt;True;000047.txt;0.23993763
000048.txt;True;000048.txt;0.45737883
000049.txt;False;006828.txt;0.7759323
000050.txt;False;024613.txt;0.2756502
000051.txt;False;001403.txt;0.3507935
000052.txt;True;000052.txt;0.2700023
000053.txt;True;000053.txt;0.40843958
000054.txt;True;000054.txt;0.2615658
000055.txt;True;000055.txt;0.25738293
