query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.8995863
000001.txt;True;000001.txt;1.0000001
000002.txt;True;000002.txt;0.93912876
000003.txt;False;078164.txt;0.88546926
000004.txt;False;017224.txt;0.87263983
000005.txt;False;033701.txt;0.8472307
000006.txt;True;000006.txt;0.8490131
000007.txt;False;077696.txt;0.8534535
000008.txt;False;077816.txt;0.8847206
000009.txt;True;000009.txt;0.93303895
000010.txt;True;000010.txt;0.8882619
000011.txt;True;000011.txt;0.91618335
000012.txt;True;000012.txt;0.94802403
000013.txt;True;000013.txt;0.9752506
000014.txt;True;000014.txt;0.8996115
000015.txt;True;000015.txt;0.9677617
000016.txt;False;069346.txt;0.84056574
000017.txt;True;000017.txt;0.8713332
000018.txt;True;000018.txt;0.8955006
000019.txt;True;000019.txt;0.89708114
000020.txt;True;000020.txt;0.8750197
000021.txt;True;000021.txt;0.90832305
000022.txt;True;000022.txt;0.91004276
000023.txt;True;000023.txt;0.90520525
000024.txt;True;000024.txt;0.9104011
000025.txt;True;000025.txt;0.91479784
000026.txt;False;076209.txt;0.89757425
000027.txt;True;000027.txt;0.91314423
000028.txt;True;000028.txt;0.9088739
000029.txt;True;000029.txt;0.9105295
000030.txt;True;000030.txt;0.9018269
000031.txt;True;000031.txt;0.89403737
000032.txt;True;000032.txt;0.92218137
000034.txt;True;000034.txt;0.8749901
000035.txt;False;000466.txt;0.85559595
000036.txt;False;065574.txt;0.85491025
000037.txt;True;000037.txt;0.9104467
000038.txt;True;000038.txt;0.91688836
000039.txt;True;000039.txt;0.9180767
000040.txt;True;000040.txt;0.9095675
000041.txt;True;000041.txt;0.9165622
000042.txt;True;000042.txt;0.92378926
000043.txt;True;000043.txt;0.92056227
000044.txt;True;000044.txt;0.8889194
000045.txt;True;000045.txt;0.8972764
000046.txt;True;000046.txt;0.88891065
000047.txt;False;075527.txt;0.8857504
000048.txt;True;000048.txt;1.0000001
000049.txt;True;000049.txt;0.9457348
000050.txt;True;000050.txt;0.9344737
000051.txt;True;000051.txt;0.9037002
000052.txt;True;000052.txt;0.89077675
000053.txt;True;000053.txt;0.9469713
000054.txt;False;011663.txt;0.8757723
000055.txt;False;000575.txt;0.90162957
000056.txt;True;000056.txt;0.9416058
000057.txt;True;000057.txt;0.94022787
000058.txt;True;000058.txt;0.9481565
000059.txt;True;000059.txt;0.8766565
000060.txt;True;000060.txt;0.9419992
000061.txt;True;000061.txt;0.860559
000062.txt;False;073824.txt;0.85789686
000063.txt;False;034447.txt;0.86275303
000064.txt;True;000064.txt;0.9443657
000065.txt;True;000065.txt;0.93536854
000066.txt;True;000066.txt;1.0
000067.txt;True;000067.txt;0.9238327
000068.txt;True;000068.txt;0.8711091
000069.txt;True;000069.txt;0.86763746
000070.txt;False;001597.txt;0.8802606
000071.txt;False;067961.txt;0.8783566
000072.txt;True;000072.txt;1.0
000073.txt;False;001639.txt;0.8845744
000074.txt;False;077690.txt;0.8482156
000075.txt;False;025915.txt;0.8711147
000076.txt;False;023123.txt;0.89904606
000077.txt;True;000077.txt;0.87378323
000078.txt;False;053304.txt;0.87299424
000079.txt;True;000079.txt;0.8836398
000080.txt;True;000080.txt;0.9214102
000081.txt;True;000081.txt;0.9347667
000082.txt;True;000082.txt;0.9370005
000083.txt;False;031381.txt;0.89076346
000084.txt;False;023123.txt;0.8956195
000085.txt;False;030681.txt;0.90024006
000086.txt;True;000086.txt;0.9171303
000087.txt;True;000087.txt;0.91326344
000088.txt;False;021736.txt;0.8479008
000089.txt;False;037887.txt;0.8741354
000090.txt;False;076746.txt;0.886691
000091.txt;True;000091.txt;0.9418211
000092.txt;True;000092.txt;0.90189785
000093.txt;False;008701.txt;0.90131193
000094.txt;False;066785.txt;0.8793305
000095.txt;False;072038.txt;0.8480171
000096.txt;False;039022.txt;0.8723149
000097.txt;True;000097.txt;0.86499685
000098.txt;False;018291.txt;0.9149662
000099.txt;True;000099.txt;0.8985715
000100.txt;False;028750.txt;0.86199045
000101.txt;True;000101.txt;0.89988816
000102.txt;True;000102.txt;0.86641026
000103.txt;False;069963.txt;0.86129725
000104.txt;True;000104.txt;0.85914505
000105.txt;False;022690.txt;0.8961611
000106.txt;False;074841.txt;0.8834162
000107.txt;False;016291.txt;0.8969333
000108.txt;True;000108.txt;0.91369545
000109.txt;True;000109.txt;0.9094819
000110.txt;True;000110.txt;0.9649269
000111.txt;True;000111.txt;0.92881215
000112.txt;True;000112.txt;0.84815276
000113.txt;False;035344.txt;0.8631129
000114.txt;True;000114.txt;0.9117887
000115.txt;True;000115.txt;1.0000001
000116.txt;False;028750.txt;0.9246681
000117.txt;True;000117.txt;0.85436654
000118.txt;True;000118.txt;1.0000002
000119.txt;False;076154.txt;0.8762879
000120.txt;True;000120.txt;0.98387414
000121.txt;True;000121.txt;1.0
000122.txt;False;011114.txt;0.90063107
000123.txt;True;000123.txt;1.0000002
000124.txt;True;000124.txt;1.0000001
000126.txt;True;000126.txt;0.8912848
000127.txt;True;000127.txt;0.88033134
000128.txt;True;000128.txt;0.9246315
000129.txt;False;015250.txt;0.8627247
000130.txt;True;000130.txt;0.8978784
000131.txt;True;000131.txt;0.88805044
000132.txt;True;000132.txt;0.8991647
000133.txt;True;000133.txt;0.8716315
000134.txt;False;027248.txt;0.87421685
000135.txt;False;069588.txt;0.9706145
000136.txt;False;007823.txt;0.88255095
000137.txt;True;000137.txt;0.89349353
