query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.38931903
000001.txt;True;000001.txt;0.53318167
000002.txt;True;000002.txt;0.43456528
000003.txt;True;000003.txt;0.4227183
000004.txt;True;000004.txt;0.44845545
000005.txt;False;036941.txt;0.53420794
000006.txt;False;026102.txt;0.597371
000007.txt;True;000007.txt;0.47773987
000008.txt;True;000008.txt;0.45764402
000009.txt;False;029558.txt;0.7752608
000010.txt;True;000010.txt;0.3836238
000011.txt;False;001399.txt;0.39062163
000012.txt;True;000012.txt;0.5223865
000013.txt;True;000013.txt;0.5163849
000014.txt;True;000014.txt;0.5332477
000015.txt;True;000015.txt;0.21225768
000016.txt;True;000016.txt;0.35232484
000017.txt;True;000017.txt;0.67872536
000018.txt;False;040841.txt;0.6569072
000019.txt;True;000019.txt;0.46292374
000020.txt;False;042466.txt;0.65892863
000021.txt;True;000021.txt;0.34817916
000022.txt;True;000022.txt;0.17243133
000023.txt;False;000022.txt;0.41405192
000024.txt;False;000042.txt;0.41810274
000025.txt;True;000025.txt;0.1570969
000026.txt;True;000026.txt;0.26956782
000027.txt;True;000027.txt;0.13574162
000028.txt;True;000028.txt;0.15154475
000029.txt;False;000041.txt;0.34789985
000030.txt;True;000030.txt;0.40177304
000031.txt;False;016165.txt;0.42666176
000032.txt;False;023667.txt;0.8177521
000034.txt;True;000034.txt;0.37003425
000035.txt;False;043662.txt;0.5952821
000036.txt;False;009103.txt;0.60361373
000037.txt;True;000037.txt;0.21179351
000038.txt;True;000038.txt;0.13013941
000039.txt;True;000039.txt;0.15442698
000040.txt;True;000040.txt;0.13858779
000041.txt;True;000041.txt;0.14277287
000042.txt;True;000042.txt;0.13934186
000043.txt;True;000043.txt;0.16004995
000044.txt;True;000044.txt;0.4198224
000045.txt;True;000045.txt;0.39851812
000046.txt;False;000126.txt;0.4517144
000047.txt;False;000281.txt;0.38454902
000048.txt;True;000048.txt;0.4081127
000049.txt;True;000049.txt;0.5373659
000050.txt;False;002950.txt;0.39524037
000051.txt;False;001399.txt;0.42682797
000052.txt;True;000052.txt;0.4233687
000053.txt;False;002787.txt;0.52265054
000054.txt;True;000054.txt;0.4342932
000055.txt;False;020197.txt;0.56382954
000056.txt;True;000056.txt;0.41081372
000057.txt;True;000057.txt;0.5193659
000058.txt;False;002787.txt;0.5531405
000059.txt;False;058264.txt;0.5611622
000060.txt;False;030729.txt;0.5461217
000061.txt;False;026204.txt;0.485109
000062.txt;True;000062.txt;0.30072194
000063.txt;True;000063.txt;0.46800232
000064.txt;True;000064.txt;0.54113
000065.txt;True;000065.txt;0.26705572
000066.txt;True;000066.txt;0.55197
000067.txt;True;000067.txt;0.2970897
000068.txt;True;000068.txt;0.24765171
000069.txt;True;000069.txt;0.48759437
000070.txt;False;075548.txt;0.58783937
000071.txt;False;003584.txt;0.48425543
000072.txt;False;001451.txt;0.46601874
000073.txt;True;000073.txt;0.44165367
000074.txt;True;000074.txt;0.72588366
000075.txt;True;000075.txt;0.4987939
000076.txt;True;000076.txt;0.5931514
000077.txt;True;000077.txt;0.56590664
000078.txt;True;000078.txt;0.51070434
000079.txt;True;000079.txt;0.4710369
000080.txt;False;002787.txt;0.5521555
000081.txt;False;002787.txt;0.5694903
000082.txt;False;004112.txt;0.5789932
000083.txt;False;049976.txt;0.53074086
000084.txt;True;000084.txt;0.63588625
000085.txt;True;000085.txt;0.38378865
000086.txt;True;000086.txt;0.44040555
000087.txt;False;016921.txt;0.43520784
000088.txt;False;069591.txt;0.46531314
000089.txt;True;000089.txt;0.44200915
000090.txt;False;001042.txt;0.68239
000091.txt;True;000091.txt;0.41364434
000092.txt;False;000210.txt;0.5048475
000093.txt;True;000093.txt;0.4939394
000094.txt;False;019647.txt;0.4715556
000095.txt;True;000095.txt;0.42289376
000096.txt;True;000096.txt;0.4462008
000097.txt;True;000097.txt;0.53263855
000098.txt;False;007634.txt;0.38248542
000099.txt;False;035363.txt;0.6921377
000100.txt;True;000100.txt;0.3979682
000101.txt;True;000101.txt;0.6304264
000102.txt;False;000145.txt;0.49496585
000103.txt;False;000089.txt;0.4763701
000104.txt;False;004931.txt;0.65936756
000105.txt;True;000105.txt;0.49532902
000106.txt;True;000106.txt;0.2880428
000107.txt;True;000107.txt;0.6005469
000108.txt;True;000108.txt;0.15134567
000109.txt;True;000109.txt;0.12900409
000110.txt;False;000106.txt;0.6440574
000111.txt;True;000111.txt;0.50160944
000112.txt;True;000112.txt;0.621516
000113.txt;True;000113.txt;0.52110785
000114.txt;True;000114.txt;0.4594528
000115.txt;True;000115.txt;0.4058147
000116.txt;False;046230.txt;0.5232322
000117.txt;True;000117.txt;0.64681566
000118.txt;False;000121.txt;0.4556868
000119.txt;False;003521.txt;0.69933516
000120.txt;True;000120.txt;0.3755833
000121.txt;True;000121.txt;0.54992366
000122.txt;True;000122.txt;0.6414487
000123.txt;True;000123.txt;0.54724646
000124.txt;True;000124.txt;0.55643237
000126.txt;True;000126.txt;0.25848937
000127.txt;True;000127.txt;0.39693242
000128.txt;True;000128.txt;0.5946892
000129.txt;False;007831.txt;0.6626646
000130.txt;False;001399.txt;0.40845063
000131.txt;False;000183.txt;0.5059725
000132.txt;False;000188.txt;0.45909217
000133.txt;False;000183.txt;0.472035
000134.txt;False;012897.txt;0.69477236
000135.txt;True;000135.txt;0.61964375
000136.txt;True;000136.txt;0.44238442
000137.txt;True;000137.txt;0.54736555
000138.txt;True;000138.txt;0.4749673
000139.txt;False;035877.txt;0.72977984
000140.txt;True;000140.txt;0.53889614
000141.txt;True;000141.txt;0.43845809
000142.txt;False;000145.txt;0.55557203
000143.txt;True;000143.txt;0.47660968
000144.txt;True;000144.txt;0.50706935
000145.txt;True;000145.txt;0.37873423
000146.txt;False;042891.txt;0.61193776
000147.txt;False;075312.txt;0.6192428
000148.txt;True;000148.txt;0.44193298
000149.txt;True;000149.txt;0.18127257
