query_file;found;search_result;search_distances
000000.txt;False;077749.txt;0.64239657
000001.txt;True;000001.txt;0.525006
000002.txt;False;007581.txt;0.4274178
000003.txt;True;000003.txt;0.5346111
000004.txt;True;000004.txt;0.4122646
000005.txt;False;078876.txt;0.49663392
000006.txt;False;031736.txt;0.48407012
000007.txt;True;000007.txt;0.45548207
000008.txt;False;075238.txt;0.5432416
000009.txt;False;006473.txt;0.40193596
000010.txt;False;000453.txt;0.44106314
000011.txt;True;000011.txt;0.57894254
000012.txt;True;000012.txt;0.6321428
000013.txt;True;000013.txt;0.440242
000014.txt;False;040097.txt;0.51893055
000015.txt;True;000015.txt;0.47192633
000016.txt;False;000015.txt;0.4513492
000017.txt;True;000017.txt;0.38011995
000018.txt;True;000018.txt;0.6115166
000019.txt;True;000019.txt;0.6786751
000020.txt;True;000020.txt;0.46411687
000021.txt;True;000021.txt;0.60571194
000022.txt;True;000022.txt;0.56611454
000023.txt;True;000023.txt;0.5835004
000024.txt;True;000024.txt;0.5751725
000025.txt;True;000025.txt;0.607103
000026.txt;True;000026.txt;0.67264557
000027.txt;True;000027.txt;0.6154268
000028.txt;True;000028.txt;0.6030551
000029.txt;True;000029.txt;0.62959266
000030.txt;False;078473.txt;0.64455175
000031.txt;True;000031.txt;0.57107955
000032.txt;True;000032.txt;0.40901947
000034.txt;True;000034.txt;0.71329117
000035.txt;False;069783.txt;0.49768257
000036.txt;False;035473.txt;0.55002296
000037.txt;True;000037.txt;0.59555113
000038.txt;True;000038.txt;0.61315227
000039.txt;True;000039.txt;0.62268496
000040.txt;True;000040.txt;0.6006383
000041.txt;True;000041.txt;0.6150348
000042.txt;True;000042.txt;0.62164533
000043.txt;True;000043.txt;0.6026193
000044.txt;False;003340.txt;0.52808267
000045.txt;False;078675.txt;0.5210142
000046.txt;False;000127.txt;0.5793693
000047.txt;True;000047.txt;0.534837
000048.txt;True;000048.txt;0.47483665
000049.txt;True;000049.txt;0.45967945
000050.txt;False;030729.txt;0.5464953
000051.txt;False;003352.txt;0.5301362
000052.txt;False;000189.txt;0.51177037
000053.txt;False;030729.txt;0.46931297
000054.txt;True;000054.txt;0.4556927
000055.txt;False;020197.txt;0.4813781
000056.txt;False;030729.txt;0.55416405
