model;type;kNN;successful_finds;recall;recall_percentage;recall_percentage_rounded
distiluse-base;open;1NN;55552;0.7146238550993105;71.46238550993105;71.46
distiluse-base;open;5NN;66396;0.8541216424822476;85.41216424822477;85.41
distiluse-base;open;10NN;69054;0.8883142945353504;88.83142945353504;88.83
distiluse-base;open;20NN;71162;0.9154317176083153;91.54317176083153;91.54
distiluse-base;source;1NN;54937;0.7067124626942471;70.67124626942471;70.67
distiluse-base;source;5NN;65742;0.845708552022229;84.5708552022229;84.57
distiluse-base;source;10NN;68519;0.8814320263455799;88.143202634558;88.14
distiluse-base;source;20NN;70688;0.9093341566327056;90.93341566327055;90.93
distiluse-base;title;1NN;35321;0.4543712051044561;45.43712051044561;45.44
distiluse-base;title;5NN;43464;0.5591231861685706;55.91231861685706;55.91
distiluse-base;title;10NN;46347;0.5962102500771843;59.62102500771843;59.62
distiluse-base;title;20NN;49171;0.6325383348770196;63.25383348770196;63.25
distiluse-base-v2;open;1NN;55552;0.7146238550993105;71.46238550993105;71.46
distiluse-base-v2;open;5NN;66396;0.8541216424822476;85.41216424822477;85.41
distiluse-base-v2;open;10NN;69054;0.8883142945353504;88.83142945353504;88.83
distiluse-base-v2;open;20NN;71162;0.9154317176083153;91.54317176083153;91.54
distiluse-base-v2;source;1NN;54937;0.7067124626942471;70.67124626942471;70.67
distiluse-base-v2;source;5NN;65742;0.845708552022229;84.5708552022229;84.57
distiluse-base-v2;source;10NN;68519;0.8814320263455799;88.143202634558;88.14
distiluse-base-v2;source;20NN;70688;0.9093341566327056;90.93341566327055;90.93
distiluse-base-v2;title;1NN;35321;0.4543712051044561;45.43712051044561;45.44
distiluse-base-v2;title;5NN;43464;0.5591231861685706;55.91231861685706;55.91
distiluse-base-v2;title;10NN;46347;0.5962102500771843;59.62102500771843;59.62
distiluse-base-v2;title;20NN;49171;0.6325383348770196;63.25383348770196;63.25
E5_base;open;1NN;63553;0.8175491406812803;81.75491406812803;81.75
