query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.20082743
000001.txt;True;000001.txt;5.017803e-13
000002.txt;True;000002.txt;0.12174246
000003.txt;False;078164.txt;0.22906196
000004.txt;False;017224.txt;0.25472045
000005.txt;False;033701.txt;0.3055388
000006.txt;True;000006.txt;0.30197376
000007.txt;False;077696.txt;0.29309338
000008.txt;False;077816.txt;0.23055887
000009.txt;True;000009.txt;0.13392237
000010.txt;True;000010.txt;0.22347668
000011.txt;True;000011.txt;0.16763337
000012.txt;True;000012.txt;0.10395187
000013.txt;True;000013.txt;0.049498968
000014.txt;True;000014.txt;0.2007771
000015.txt;True;000015.txt;0.0644767
000016.txt;False;069346.txt;0.3188687
000017.txt;True;000017.txt;0.25733376
000018.txt;True;000018.txt;0.20899907
000019.txt;True;000019.txt;0.20583785
000020.txt;True;000020.txt;0.24996072
000021.txt;True;000021.txt;0.18335378
000022.txt;True;000022.txt;0.17991456
000023.txt;True;000023.txt;0.18958962
000024.txt;True;000024.txt;0.1791979
000025.txt;True;000025.txt;0.17040476
000026.txt;False;026601.txt;0.27684027
000027.txt;True;000027.txt;0.1737117
000028.txt;True;000028.txt;0.18225206
000029.txt;True;000029.txt;0.17894086
000030.txt;True;000030.txt;0.19634625
000031.txt;True;000031.txt;0.21192546
000032.txt;True;000032.txt;0.15563759
000034.txt;False;078844.txt;0.25934732
000035.txt;False;000466.txt;0.28880823
000036.txt;False;065574.txt;0.2901792
000037.txt;True;000037.txt;0.17910686
000038.txt;True;000038.txt;0.16622333
000039.txt;True;000039.txt;0.16384679
000040.txt;True;000040.txt;0.18086496
000041.txt;True;000041.txt;0.16687563
000042.txt;True;000042.txt;0.15242149
000043.txt;True;000043.txt;0.15887544
000044.txt;True;000044.txt;0.22216114
000045.txt;True;000045.txt;0.2054472
000046.txt;True;000046.txt;0.22217894
000047.txt;False;075527.txt;0.22849932
000048.txt;True;000048.txt;0.0
000049.txt;True;000049.txt;0.108530656
000050.txt;True;000050.txt;0.13105282
000051.txt;True;000051.txt;0.19259977
000052.txt;True;000052.txt;0.21844673
000053.txt;True;000053.txt;0.10605743
000054.txt;False;011663.txt;0.24845566
000055.txt;False;000575.txt;0.19674128
000056.txt;True;000056.txt;0.11678821
000057.txt;True;000057.txt;0.11954431
000058.txt;True;000058.txt;0.10368729
000059.txt;True;000059.txt;0.24668702
000060.txt;True;000060.txt;0.11600132
000061.txt;True;000061.txt;0.27888212
000062.txt;False;002656.txt;0.3023079
000063.txt;False;034447.txt;0.27449417
000064.txt;True;000064.txt;0.11126877
000065.txt;True;000065.txt;0.129263
000066.txt;True;000066.txt;0.0
000067.txt;False;078153.txt;0.20480809
000068.txt;True;000068.txt;0.25778174
000069.txt;True;000069.txt;0.2647249
000070.txt;False;001597.txt;0.23947892
000071.txt;False;067961.txt;0.24328697
000072.txt;True;000072.txt;0.0
000073.txt;False;001639.txt;0.23085131
000074.txt;False;077690.txt;0.30356902
000075.txt;False;025915.txt;0.2577706
000076.txt;False;023123.txt;0.20190795
000077.txt;True;000077.txt;0.25243366
000078.txt;False;053304.txt;0.2540116
000079.txt;True;000079.txt;0.23272058
000080.txt;False;014460.txt;0.22147273
000081.txt;True;000081.txt;0.13046686
000082.txt;True;000082.txt;0.12599917
000083.txt;False;031381.txt;0.21847332
000084.txt;False;023123.txt;0.20876102
000085.txt;False;030681.txt;0.19952022
000086.txt;False;020456.txt;0.25168735
000087.txt;True;000087.txt;0.17347333
000088.txt;False;004333.txt;0.31285423
000089.txt;False;024937.txt;0.2910496
000090.txt;False;064212.txt;0.31453714
000091.txt;True;000091.txt;0.11635792
000092.txt;False;008701.txt;0.26146752
000093.txt;False;008701.txt;0.19737607
000094.txt;False;066785.txt;0.241339
000095.txt;False;072038.txt;0.30396587
000096.txt;False;039022.txt;0.25537035
000097.txt;True;000097.txt;0.27000642
000098.txt;False;018291.txt;0.17006776
000099.txt;True;000099.txt;0.20285702
000100.txt;False;028750.txt;0.27601922
000101.txt;False;052121.txt;0.3335664
000102.txt;True;000102.txt;0.26717958
000103.txt;False;069963.txt;0.27740586
000104.txt;True;000104.txt;0.2817102
000105.txt;False;022690.txt;0.20767805
000106.txt;False;046272.txt;0.24650832
000107.txt;False;016291.txt;0.20613366
000108.txt;True;000108.txt;0.17260915
000109.txt;True;000109.txt;0.18103623
000110.txt;True;000110.txt;0.07014646
000111.txt;True;000111.txt;0.14237568
000112.txt;True;000112.txt;0.30369455
000113.txt;False;035344.txt;0.2737741
000114.txt;False;071148.txt;0.27330214
000115.txt;True;000115.txt;7.67037e-13
000116.txt;False;028750.txt;0.15066418
000117.txt;True;000117.txt;0.2912671
000118.txt;True;000118.txt;0.0
000119.txt;False;076154.txt;0.24742433
000120.txt;True;000120.txt;0.032251935
000121.txt;True;000121.txt;6.2413117e-13
000122.txt;False;011114.txt;0.19873792
000123.txt;True;000123.txt;0.0
000124.txt;True;000124.txt;0.0
000126.txt;True;000126.txt;0.2174305
000127.txt;True;000127.txt;0.23933743
000128.txt;True;000128.txt;0.15073714
000129.txt;False;015250.txt;0.27455083
000130.txt;True;000130.txt;0.20424294
000131.txt;True;000131.txt;0.22389922
000132.txt;True;000132.txt;0.20167068
000133.txt;True;000133.txt;0.2567374
000134.txt;False;027248.txt;0.25156617
000135.txt;False;069588.txt;0.05877097
000136.txt;False;007823.txt;0.23489816
000137.txt;True;000137.txt;0.21301323
000138.txt;True;000138.txt;0.09089796
000139.txt;False;069038.txt;0.265774
000140.txt;True;000140.txt;0.0
000141.txt;True;000141.txt;0.04529247
000142.txt;True;000142.txt;0.17346741
000143.txt;False;026550.txt;0.2923826
000144.txt;True;000144.txt;0.2166409
000145.txt;True;000145.txt;0.2240741
000146.txt;False;050127.txt;0.31117857
000147.txt;False;011785.txt;0.28806165
000148.txt;True;000148.txt;0.23439232
000149.txt;False;009754.txt;0.21375556
000150.txt;True;000150.txt;0.21275845
000151.txt;False;066853.txt;0.24110998
000152.txt;False;015003.txt;0.26677403
000153.txt;True;000153.txt;0.0
000154.txt;True;000154.txt;0.23109457
000155.txt;False;031758.txt;0.27016315
000156.txt;True;000156.txt;0.049758673
000157.txt;False;009754.txt;0.25124392
