query_file;found;search_result;search_distances
000000.txt;False;028222.txt;1.6297786
000001.txt;False;028222.txt;1.7625968
000002.txt;False;028222.txt;1.6757786
000003.txt;False;028222.txt;2.0607061
000004.txt;False;028222.txt;1.9692205
000005.txt;False;028222.txt;1.7785692
000006.txt;False;028222.txt;1.4821064
000007.txt;False;028222.txt;1.7315502
000008.txt;False;028222.txt;1.9201648
000009.txt;False;028222.txt;1.5109042
000010.txt;False;028222.txt;1.7909393
000011.txt;False;028222.txt;1.6328442
000012.txt;False;028222.txt;1.9628605
000013.txt;False;028222.txt;1.7185134
000014.txt;False;028222.txt;1.6851047
000015.txt;False;028222.txt;1.6644217
000016.txt;False;028222.txt;1.7365775
000017.txt;False;028222.txt;1.8219132
000018.txt;False;028222.txt;1.5547149
000019.txt;False;028222.txt;2.067509
000020.txt;False;028222.txt;1.4970624
000021.txt;False;028222.txt;1.8202307
000022.txt;False;028222.txt;1.7528743
000023.txt;False;028222.txt;1.7420113
000024.txt;False;028222.txt;1.8291204
000025.txt;False;028222.txt;1.6862891
000026.txt;False;028222.txt;2.1215203
000027.txt;False;028222.txt;1.6599092
000028.txt;False;028222.txt;1.7255569
000029.txt;False;028222.txt;1.7459338
000030.txt;False;028222.txt;1.9361159
000031.txt;False;028222.txt;1.6748228
000032.txt;False;028222.txt;1.5761571
000034.txt;False;028222.txt;2.1602535
000035.txt;False;028222.txt;1.8915292
000036.txt;False;028222.txt;1.859231
000037.txt;False;028222.txt;1.6683733
000038.txt;False;028222.txt;1.727411
000039.txt;False;028222.txt;1.6897566
000040.txt;False;028222.txt;1.7201197
000041.txt;False;028222.txt;1.665104
000042.txt;False;028222.txt;1.6753974
000043.txt;False;028222.txt;1.6803558
000044.txt;False;028222.txt;1.7345016
000045.txt;False;028222.txt;1.7478485
000046.txt;False;028222.txt;1.4161446
000047.txt;False;028222.txt;1.6705778
000048.txt;False;028222.txt;1.9944601
000049.txt;False;028222.txt;1.6810427
000050.txt;False;028222.txt;1.8329575
000051.txt;False;028222.txt;1.7487588
000052.txt;False;028222.txt;1.686114
000053.txt;False;028222.txt;1.6641743
000054.txt;False;028222.txt;2.1050487
000055.txt;False;028222.txt;1.9720542
000056.txt;False;028222.txt;1.7003351
000057.txt;False;028222.txt;1.6863518
000058.txt;False;028222.txt;1.1322997
000059.txt;False;028222.txt;1.9079273
000060.txt;False;028222.txt;1.7698327
000061.txt;False;028222.txt;1.7057741
000062.txt;False;028222.txt;2.0754044
000063.txt;False;028222.txt;2.1259918
000064.txt;False;028222.txt;1.542843
000065.txt;False;028222.txt;1.881493
000066.txt;False;028222.txt;1.8854885
000067.txt;False;028222.txt;1.8478609
000068.txt;False;028222.txt;2.1886225
000069.txt;False;028222.txt;1.9253614
000070.txt;False;028222.txt;2.1134522
000071.txt;False;028222.txt;1.709957
000072.txt;False;028222.txt;1.7227466
000073.txt;False;028222.txt;2.1143723
000074.txt;False;028222.txt;1.9458177
000075.txt;False;028222.txt;1.9868006
000076.txt;False;028222.txt;2.0144367
000077.txt;False;028222.txt;1.89716
000078.txt;False;028222.txt;1.6039732
000079.txt;False;028222.txt;1.6783638
000080.txt;False;028222.txt;1.7307578
000081.txt;False;028222.txt;1.5273254
000082.txt;False;028222.txt;1.7219931
000083.txt;False;028222.txt;1.846682
000084.txt;False;028222.txt;1.94114
000085.txt;False;028222.txt;1.8235695
000086.txt;False;028222.txt;2.1440878
000087.txt;False;028222.txt;1.4750885
000088.txt;False;028222.txt;2.0227318
000089.txt;False;028222.txt;2.0775616
000090.txt;False;028222.txt;1.666081
000091.txt;False;028222.txt;1.9111118
000092.txt;False;028222.txt;1.7335967
000093.txt;False;028222.txt;1.889741
000094.txt;False;028222.txt;2.0435066
000095.txt;False;028222.txt;2.0047922
000096.txt;False;028222.txt;1.8877269
000097.txt;False;028222.txt;1.9756893
000098.txt;False;028222.txt;1.7200522
000099.txt;False;028222.txt;1.9669605
000100.txt;False;028222.txt;1.7175788
000101.txt;False;028222.txt;1.6482297
000102.txt;False;028222.txt;1.5393763
000103.txt;False;028222.txt;1.91793
000104.txt;False;028222.txt;1.8465178
000105.txt;False;028222.txt;1.974492
000106.txt;False;028222.txt;1.5737499
000107.txt;False;028222.txt;1.9636104
000108.txt;False;028222.txt;1.7116644
000109.txt;False;028222.txt;1.7031446
000110.txt;False;028222.txt;2.010582
000111.txt;False;028222.txt;1.9875109
000112.txt;False;028222.txt;1.9140958
000113.txt;False;028222.txt;2.054539
000114.txt;False;028222.txt;1.9643774
000115.txt;False;028222.txt;1.8146291
000116.txt;False;028222.txt;1.5776792
000117.txt;False;028222.txt;1.9166031
000118.txt;False;028222.txt;1.7324301
000119.txt;False;028222.txt;1.9368124
000120.txt;False;028222.txt;1.5984838
000121.txt;False;028222.txt;1.5329227
000122.txt;False;028222.txt;1.6562631
000123.txt;False;028222.txt;1.9777912
000124.txt;False;028222.txt;1.8972518
000126.txt;False;028222.txt;1.6662557
000127.txt;False;028222.txt;1.6616998
000128.txt;False;028222.txt;1.6548647
000129.txt;False;028222.txt;1.9239634
000130.txt;False;028222.txt;1.6867437
000131.txt;False;028222.txt;1.6659653
000132.txt;False;028222.txt;1.6515585
000133.txt;False;028222.txt;1.6989788
000134.txt;False;028222.txt;1.8267916
000135.txt;False;028222.txt;1.881653
000136.txt;False;028222.txt;1.8522264
000137.txt;False;028222.txt;1.8575449
000138.txt;False;028222.txt;2.0567174
000139.txt;False;028222.txt;2.0202246
000140.txt;False;028222.txt;1.8736815
000141.txt;False;028222.txt;1.4334867
000142.txt;False;028222.txt;1.4365487
000143.txt;False;028222.txt;1.7653573
000144.txt;False;028222.txt;2.0787106
000145.txt;False;028222.txt;1.5713809
000146.txt;False;028222.txt;1.912324
000147.txt;False;028222.txt;1.7845881
000148.txt;False;028222.txt;1.6784544
000149.txt;False;028222.txt;2.0479624
000150.txt;False;028222.txt;1.3902895
000151.txt;False;028222.txt;1.8836855
000152.txt;False;028222.txt;1.9247423
000153.txt;False;028222.txt;2.247994
000154.txt;False;028222.txt;1.6765153
000155.txt;False;028222.txt;1.8078527
000156.txt;False;028222.txt;1.781774
000157.txt;False;028222.txt;1.7811105
000158.txt;False;028222.txt;1.8328551
000159.txt;False;028222.txt;1.7686219
000160.txt;False;028222.txt;1.8428718
000161.txt;False;028222.txt;1.8780453
000162.txt;False;028222.txt;1.7360988
000163.txt;False;028222.txt;1.7014692
000164.txt;False;028222.txt;1.9118878
000165.txt;False;028222.txt;1.9737211
000166.txt;False;028222.txt;1.5711896
000167.txt;False;028222.txt;1.9446005
000168.txt;False;028222.txt;2.0393229
000169.txt;False;028222.txt;1.6419399
000170.txt;False;028222.txt;1.6387429
000171.txt;False;028222.txt;1.9384592
000172.txt;False;028222.txt;1.8215847
000173.txt;False;028222.txt;1.6381614
000174.txt;False;028222.txt;1.8569587
000175.txt;False;028222.txt;2.1367936
000176.txt;False;028222.txt;1.9068428
000177.txt;False;028222.txt;1.900708
000178.txt;False;028222.txt;1.7441137
000179.txt;False;028222.txt;1.5566406
000180.txt;False;028222.txt;2.015129
000181.txt;False;028222.txt;1.5636595
000182.txt;False;028222.txt;1.5342416
000183.txt;False;028222.txt;1.5110376
000184.txt;False;028222.txt;1.5810249
000185.txt;False;028222.txt;1.5152986
000186.txt;False;028222.txt;1.769661
000187.txt;False;028222.txt;1.6923466
000188.txt;False;028222.txt;1.6574255
000189.txt;False;028222.txt;1.7400264
000190.txt;False;028222.txt;1.7230257
000191.txt;False;028222.txt;1.8574445
000192.txt;False;028222.txt;1.9372936
000193.txt;False;028222.txt;1.7355547
000194.txt;False;028222.txt;1.7886744
000195.txt;False;028222.txt;1.8398592
000196.txt;False;028222.txt;1.760219
000197.txt;False;028222.txt;1.49768
000198.txt;False;028222.txt;1.8110911
000199.txt;False;028222.txt;2.0937011
000200.txt;False;028222.txt;1.8218681
000201.txt;False;028222.txt;2.0831404
000202.txt;False;028222.txt;1.6349632
000203.txt;False;028222.txt;2.0780337
000204.txt;False;028222.txt;1.6396723
000205.txt;False;028222.txt;1.6570513
000206.txt;False;028222.txt;1.9410968
000207.txt;False;028222.txt;1.968568
000208.txt;False;028222.txt;1.6491008
000209.txt;False;028222.txt;1.8939974
000210.txt;False;028222.txt;1.3567252
000211.txt;False;028222.txt;1.610513
000212.txt;False;028222.txt;2.2201695
000213.txt;False;028222.txt;1.7747976
000214.txt;False;028222.txt;1.8516288
000215.txt;False;028222.txt;2.2319245
000216.txt;False;028222.txt;1.9089694
000217.txt;False;028222.txt;1.694809
000219.txt;False;028222.txt;1.951214
000220.txt;False;028222.txt;1.8668878
000221.txt;False;028222.txt;2.2649655
000222.txt;False;028222.txt;2.1494274
000223.txt;False;028222.txt;2.0501184
000224.txt;False;028222.txt;1.9836948
000225.txt;False;028222.txt;1.5892072
000226.txt;False;028222.txt;2.0135043
000227.txt;False;028222.txt;1.4437413
000228.txt;False;028222.txt;1.7995646
000229.txt;False;028222.txt;1.8395089
000230.txt;False;028222.txt;1.9418982
000231.txt;False;028222.txt;1.5894878
000232.txt;False;028222.txt;1.8198893
000233.txt;False;028222.txt;1.8809955
000234.txt;False;028222.txt;1.828275
000235.txt;False;028222.txt;1.3433979
000236.txt;False;028222.txt;1.7235477
000237.txt;False;028222.txt;1.7850991
000238.txt;False;028222.txt;1.8939106
000239.txt;False;028222.txt;1.7628682
000240.txt;False;028222.txt;1.9864799
000241.txt;False;028222.txt;1.8514004
000242.txt;False;028222.txt;1.9623388
000243.txt;False;028222.txt;2.0124516
000244.txt;False;028222.txt;2.0092487
000245.txt;False;028222.txt;1.9877453
000246.txt;False;028222.txt;1.9262047
000247.txt;False;028222.txt;1.9432282
000248.txt;False;028222.txt;2.0079656
000249.txt;False;028222.txt;2.2050612
000250.txt;False;028222.txt;1.6860917
000251.txt;False;028222.txt;1.7827314
000252.txt;False;028222.txt;1.8580229
000253.txt;False;028222.txt;2.0170808
000254.txt;False;028222.txt;1.8673478
000255.txt;False;028222.txt;1.7119064
000256.txt;False;028222.txt;1.8307264
000257.txt;False;028222.txt;1.3175881
000258.txt;False;028222.txt;1.7470536
000259.txt;False;028222.txt;1.3664128
000260.txt;False;028222.txt;1.3323267
000261.txt;False;028222.txt;1.9120779
000262.txt;False;028222.txt;2.2574558
000263.txt;False;028222.txt;1.8127862
000264.txt;False;028222.txt;2.1588664
000265.txt;False;028222.txt;1.7366136
000266.txt;False;028222.txt;1.4065771
000267.txt;False;028222.txt;1.8974702
000268.txt;False;028222.txt;1.783109
000269.txt;False;028222.txt;1.5593427
000270.txt;False;028222.txt;1.490588
000271.txt;False;028222.txt;1.6645663
000272.txt;False;028222.txt;1.6497551
000273.txt;False;028222.txt;1.6102281
000274.txt;False;028222.txt;1.665637
000275.txt;False;028222.txt;1.8030324
