query_file;found;search_result;search_distances
000000.txt;False;003653.txt;0.5765607
000001.txt;True;000001.txt;0.47468126
000002.txt;True;000002.txt;0.45148963
000003.txt;True;000003.txt;0.6884093
000004.txt;True;000004.txt;0.65391016
000005.txt;False;008066.txt;0.5299038
000006.txt;False;000061.txt;0.5202448
000007.txt;False;034985.txt;0.46700147
000008.txt;False;036102.txt;0.46743068
000009.txt;False;013440.txt;0.3650941
000010.txt;False;013720.txt;0.49445158
000011.txt;True;000011.txt;0.7910439
000012.txt;False;001404.txt;0.59251666
000013.txt;True;000013.txt;0.48746127
000014.txt;True;000014.txt;0.7564557
000015.txt;True;000015.txt;0.7136098
000016.txt;True;000016.txt;0.6019537
000017.txt;True;000017.txt;0.5538566
000018.txt;True;000018.txt;0.5087513
000019.txt;True;000019.txt;0.7796916
000020.txt;False;011704.txt;0.6463513
000021.txt;True;000021.txt;0.6526815
000022.txt;True;000022.txt;0.7385168
000023.txt;True;000023.txt;0.61890036
000024.txt;False;000025.txt;0.5703085
000025.txt;True;000025.txt;0.801485
000026.txt;True;000026.txt;0.6728837
000027.txt;True;000027.txt;0.74557495
000028.txt;True;000028.txt;0.71351486
000029.txt;True;000029.txt;0.67596495
000030.txt;True;000030.txt;0.5543647
000031.txt;False;003352.txt;0.57029855
000032.txt;True;000032.txt;0.5853044
000034.txt;True;000034.txt;0.53885245
000035.txt;True;000035.txt;0.42915282
000036.txt;True;000036.txt;0.6629352
000037.txt;True;000037.txt;0.71118355
000038.txt;True;000038.txt;0.7435888
000039.txt;True;000039.txt;0.7243298
000040.txt;True;000040.txt;0.74951243
000041.txt;True;000041.txt;0.7656579
000042.txt;True;000042.txt;0.7151635
000043.txt;True;000043.txt;0.70961106
000044.txt;False;008721.txt;0.7468349
000045.txt;True;000045.txt;0.75995576
000046.txt;True;000046.txt;0.6993916
000047.txt;False;078744.txt;0.7217987
000048.txt;False;020456.txt;0.53657687
000049.txt;True;000049.txt;0.5635837
000050.txt;True;000050.txt;0.5421685
000051.txt;False;001399.txt;0.72984195
000052.txt;False;008720.txt;0.68425417
000053.txt;False;002787.txt;0.34383404
000054.txt;True;000054.txt;0.6156633
000055.txt;True;000055.txt;0.53004205
000056.txt;True;000056.txt;0.47255683
000057.txt;True;000057.txt;0.48440045
000058.txt;True;000058.txt;0.4706993
000059.txt;False;002446.txt;0.49239653
000060.txt;False;033671.txt;0.40395823
000061.txt;False;032056.txt;0.4999407
000062.txt;True;000062.txt;0.61170506
000063.txt;True;000063.txt;0.5195059
000064.txt;False;008515.txt;0.42982984
000065.txt;True;000065.txt;0.5761987
000066.txt;False;059767.txt;0.48649144
000067.txt;True;000067.txt;0.6204721
000068.txt;True;000068.txt;0.6771092
000069.txt;False;008333.txt;0.5017202
000070.txt;False;006290.txt;0.38848543
000071.txt;False;000083.txt;0.57201636
000072.txt;True;000072.txt;0.58724445
000073.txt;True;000073.txt;0.54229194
000074.txt;True;000074.txt;0.42569947
000075.txt;False;077672.txt;0.43470392
000076.txt;True;000076.txt;0.538616
000077.txt;True;000077.txt;0.6477549
000078.txt;False;026522.txt;0.57090795
000079.txt;False;025820.txt;0.5444603
000080.txt;False;002787.txt;0.42084527
000081.txt;False;077767.txt;0.4610879
000082.txt;False;012000.txt;0.42505434
