query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.99010503
000001.txt;True;000001.txt;1.0
000002.txt;True;000002.txt;0.90245944
000003.txt;True;000003.txt;0.95847857
000004.txt;False;065727.txt;0.92698455
000005.txt;False;051374.txt;0.7678978
000006.txt;False;042810.txt;0.79193854
000007.txt;False;032220.txt;0.8922976
000008.txt;False;002675.txt;0.90908253
000009.txt;True;000009.txt;0.964592
000010.txt;False;007900.txt;0.78495944
000011.txt;True;000011.txt;0.9534683
000012.txt;True;000012.txt;0.90581435
000013.txt;True;000013.txt;0.97888297
000014.txt;False;072906.txt;0.762167
000015.txt;True;000015.txt;0.97887516
000016.txt;False;014164.txt;0.8269454
000017.txt;False;054729.txt;0.9063201
000018.txt;False;076282.txt;0.7576326
000019.txt;True;000019.txt;0.98552036
000020.txt;True;000020.txt;0.92579794
000021.txt;False;016509.txt;0.8673648
000022.txt;False;016509.txt;0.8680048
000023.txt;False;016509.txt;0.86581326
000024.txt;False;014947.txt;0.87480867
000025.txt;False;016509.txt;0.8654403
000026.txt;False;019213.txt;0.81294787
000027.txt;False;016509.txt;0.84872735
000028.txt;False;016509.txt;0.8651762
000029.txt;False;016509.txt;0.8525094
000030.txt;False;005413.txt;0.88245213
000031.txt;False;000149.txt;0.8624775
000032.txt;True;000032.txt;0.9682604
000034.txt;False;038777.txt;0.7655275
000035.txt;False;071942.txt;0.81102
000036.txt;False;008501.txt;0.8699655
000037.txt;False;016509.txt;0.853038
000038.txt;False;016509.txt;0.86783636
000039.txt;False;016509.txt;0.86906916
000040.txt;False;016509.txt;0.8869332
000041.txt;False;016509.txt;0.8795594
000042.txt;False;016509.txt;0.87260973
000043.txt;False;016509.txt;0.8704265
000044.txt;True;000044.txt;0.93095523
000045.txt;True;000045.txt;0.9359212
000046.txt;True;000046.txt;0.93551654
000047.txt;True;000047.txt;0.9271227
000048.txt;True;000048.txt;1.0000001
000049.txt;False;077687.txt;0.7318003
000050.txt;True;000050.txt;0.91591084
000051.txt;True;000051.txt;0.94806856
000052.txt;True;000052.txt;0.9182036
000053.txt;False;065336.txt;0.8801494
000054.txt;False;027565.txt;0.9373518
000055.txt;False;018753.txt;0.8764988
000056.txt;False;066636.txt;0.9346989
000057.txt;False;012264.txt;0.8841649
000058.txt;False;064110.txt;0.88791597
000059.txt;False;026423.txt;0.9055475
000060.txt;False;059679.txt;0.83527833
000061.txt;False;042810.txt;0.74299943
000062.txt;False;025844.txt;0.74797094
000063.txt;False;053446.txt;0.9327791
000064.txt;False;060069.txt;0.83798224
000065.txt;True;000065.txt;0.9172613
000066.txt;True;000066.txt;1.0
000067.txt;False;078153.txt;0.90642613
000068.txt;False;023607.txt;0.8191531
000069.txt;True;000069.txt;0.94335705
000070.txt;False;027222.txt;0.8530545
000071.txt;True;000071.txt;0.96563536
000072.txt;True;000072.txt;1.0
000073.txt;False;003571.txt;0.89202195
000074.txt;False;034893.txt;0.8882062
