query_file;found;search_result;search_distances
000000.txt;False;003653.txt;0.7690027
000001.txt;True;000001.txt;0.8291249
000002.txt;False;007581.txt;0.69253695
000003.txt;True;000003.txt;0.8649231
000004.txt;True;000004.txt;0.8841791
000005.txt;False;078876.txt;0.7556576
000006.txt;False;030652.txt;0.74659246
000007.txt;True;000007.txt;0.7881147
000008.txt;False;000701.txt;0.67791617
000009.txt;True;000009.txt;0.7661823
000010.txt;True;000010.txt;0.7688167
000011.txt;True;000011.txt;0.9557778
000012.txt;True;000012.txt;0.8240634
000013.txt;True;000013.txt;0.7116612
000014.txt;True;000014.txt;0.77525073
000015.txt;True;000015.txt;0.83827275
000016.txt;True;000016.txt;0.8229606
000017.txt;True;000017.txt;0.7946592
000018.txt;True;000018.txt;0.8437533
000019.txt;True;000019.txt;0.91470945
000020.txt;True;000020.txt;0.7188683
000021.txt;True;000021.txt;0.9141956
000022.txt;True;000022.txt;0.95299244
000023.txt;True;000023.txt;0.8662425
000024.txt;True;000024.txt;0.9109358
000025.txt;True;000025.txt;0.95868057
000026.txt;True;000026.txt;0.8825684
000027.txt;True;000027.txt;0.9583361
000028.txt;True;000028.txt;0.9580697
000029.txt;True;000029.txt;0.9539449
000030.txt;False;000031.txt;0.85466075
000031.txt;True;000031.txt;0.88118494
000032.txt;True;000032.txt;0.8558547
000034.txt;True;000034.txt;0.7851458
000035.txt;False;042806.txt;0.6720053
000036.txt;False;035403.txt;0.7475219
000037.txt;True;000037.txt;0.95078075
000038.txt;True;000038.txt;0.95508385
000039.txt;True;000039.txt;0.94662404
000040.txt;True;000040.txt;0.95147526
000041.txt;True;000041.txt;0.95051193
000042.txt;True;000042.txt;0.9508083
000043.txt;True;000043.txt;0.9464812
000044.txt;True;000044.txt;0.8639599
000045.txt;True;000045.txt;0.8616909
000046.txt;True;000046.txt;0.7764367
000047.txt;True;000047.txt;0.88497365
000048.txt;True;000048.txt;0.81476784
000049.txt;False;006828.txt;0.65058005
000050.txt;False;024613.txt;0.75234795
000051.txt;False;001403.txt;0.79344654
000052.txt;True;000052.txt;0.82541513
000053.txt;False;032613.txt;0.65661204
000054.txt;True;000054.txt;0.89836776
000055.txt;True;000055.txt;0.80786765
000056.txt;True;000056.txt;0.7192367
000057.txt;True;000057.txt;0.77531886
000058.txt;True;000058.txt;0.8395421
000059.txt;True;000059.txt;0.7691255
000060.txt;False;002787.txt;0.58680177
000061.txt;True;000061.txt;0.68002146
000062.txt;True;000062.txt;0.7594272
000063.txt;True;000063.txt;0.93508685
000064.txt;False;030729.txt;0.68632907
000065.txt;True;000065.txt;0.7286617
000066.txt;True;000066.txt;0.8102931
000067.txt;True;000067.txt;0.7849411
000068.txt;True;000068.txt;0.89075947
000069.txt;False;078461.txt;0.7740098
000070.txt;True;000070.txt;0.6763692
000071.txt;True;000071.txt;0.78327346
000072.txt;False;019371.txt;0.69683516
000073.txt;True;000073.txt;0.8372024
000074.txt;True;000074.txt;0.7980078
000075.txt;True;000075.txt;0.8090041
000076.txt;False;028863.txt;0.8447268
000077.txt;True;000077.txt;0.7658396
000078.txt;True;000078.txt;0.7282512
000079.txt;True;000079.txt;0.6452315
000080.txt;False;002787.txt;0.6992496
000081.txt;True;000081.txt;0.6828912
000082.txt;False;024613.txt;0.599274
000083.txt;False;034611.txt;0.64136636
000084.txt;True;000084.txt;0.7658726
000085.txt;True;000085.txt;0.85137475
000086.txt;True;000086.txt;0.83010435
000087.txt;False;003052.txt;0.5782358
000088.txt;False;070328.txt;0.7717624
000089.txt;True;000089.txt;0.7609942
000090.txt;False;076746.txt;0.65963316
000091.txt;True;000091.txt;0.87907284
000092.txt;False;030915.txt;0.7181524
000093.txt;True;000093.txt;0.75539064
000094.txt;False;019647.txt;0.86525905
000095.txt;True;000095.txt;0.82606
000096.txt;True;000096.txt;0.8547698
000097.txt;False;078946.txt;0.6270555
000098.txt;True;000098.txt;0.8672768
000099.txt;True;000099.txt;0.92528427
000100.txt;True;000100.txt;0.88782966
000101.txt;True;000101.txt;0.8300203
000102.txt;False;038737.txt;0.5078052
000103.txt;True;000103.txt;0.8441072
000104.txt;True;000104.txt;0.70259786
000105.txt;True;000105.txt;0.74985206
000106.txt;True;000106.txt;0.824736
000107.txt;True;000107.txt;0.70249796
000108.txt;True;000108.txt;0.94621205
000109.txt;True;000109.txt;0.9401185
000110.txt;True;000110.txt;0.7271081
000111.txt;True;000111.txt;0.8826635
000112.txt;False;000117.txt;0.66423684
000113.txt;True;000113.txt;0.76766515
000114.txt;True;000114.txt;0.83849657
000115.txt;True;000115.txt;0.8738283
000116.txt;False;030716.txt;0.46619076
000117.txt;True;000117.txt;0.8563414
000118.txt;False;000120.txt;0.893511
000119.txt;True;000119.txt;0.7896652
000120.txt;True;000120.txt;0.91891396
000121.txt;True;000121.txt;0.8602639
000122.txt;False;063123.txt;0.6333779
000123.txt;True;000123.txt;0.7568359
000124.txt;True;000124.txt;0.9324695
000126.txt;True;000126.txt;0.76036
000127.txt;True;000127.txt;0.84897506
000128.txt;True;000128.txt;0.91350174
000129.txt;False;000117.txt;0.7768136
000130.txt;True;000130.txt;0.79505527
000131.txt;True;000131.txt;0.8263172
000132.txt;True;000132.txt;0.91393137
000133.txt;True;000133.txt;0.8942276
000134.txt;True;000134.txt;0.91429836
000135.txt;True;000135.txt;0.8538176
000136.txt;True;000136.txt;0.9583124
000137.txt;True;000137.txt;0.61030495
000138.txt;True;000138.txt;0.71605194
000139.txt;False;049934.txt;0.65256506
000140.txt;True;000140.txt;0.6785285
000141.txt;True;000141.txt;0.7946447
000142.txt;False;063592.txt;0.48677862
000143.txt;False;029696.txt;0.68759227
000144.txt;False;014751.txt;0.6701168
000145.txt;False;030716.txt;0.49338016
000146.txt;True;000146.txt;0.7981582
000147.txt;True;000147.txt;0.76622427
000148.txt;True;000148.txt;0.8051384
000149.txt;True;000149.txt;0.935868
000150.txt;True;000150.txt;0.69369197
000151.txt;False;039733.txt;0.6258736
000152.txt;True;000152.txt;0.8051405
000153.txt;True;000153.txt;0.9011142
000154.txt;False;075759.txt;0.5494523
000155.txt;False;078946.txt;0.6513784
000156.txt;True;000156.txt;0.7160634
000157.txt;False;038932.txt;0.7399683
000158.txt;False;004272.txt;0.84937465
000159.txt;False;038932.txt;0.7141018
000160.txt;True;000160.txt;0.7082162
000161.txt;True;000161.txt;0.79065496
000162.txt;True;000162.txt;0.796391
000163.txt;False;012865.txt;0.81226003
000164.txt;True;000164.txt;0.8275831
000165.txt;True;000165.txt;0.85081804
000166.txt;True;000166.txt;0.9321177
000167.txt;True;000167.txt;0.85644984
000168.txt;True;000168.txt;0.84809077
000169.txt;True;000169.txt;0.6438204
000170.txt;True;000170.txt;0.9058598
000171.txt;True;000171.txt;0.840392
000172.txt;True;000172.txt;0.7959119
000173.txt;True;000173.txt;0.75867045
000174.txt;False;076554.txt;0.7327199
000175.txt;True;000175.txt;0.8057811
000176.txt;True;000176.txt;0.89891535
000177.txt;False;075017.txt;0.7854804
000178.txt;False;003735.txt;0.73246634
000179.txt;True;000179.txt;0.81537217
000180.txt;True;000180.txt;0.5729517
000181.txt;True;000181.txt;0.8760927
000182.txt;True;000182.txt;0.88374853
000183.txt;True;000183.txt;0.86075765
000184.txt;True;000184.txt;0.8455858
000185.txt;True;000185.txt;0.86812925
000186.txt;True;000186.txt;0.7549168
000187.txt;True;000187.txt;0.9114004
000188.txt;True;000188.txt;0.9194828
000189.txt;True;000189.txt;0.86255157
000190.txt;True;000190.txt;0.8841573
000191.txt;True;000191.txt;0.8153361
000192.txt;True;000192.txt;0.7826703
000193.txt;False;007517.txt;0.8100957
000194.txt;True;000194.txt;0.8431118
000195.txt;True;000195.txt;0.7834821
000196.txt;False;066871.txt;0.68516636
000197.txt;False;011640.txt;0.6877903
000198.txt;True;000198.txt;0.8358656
000199.txt;True;000199.txt;0.86852247
000200.txt;True;000200.txt;0.8001145
000201.txt;False;028735.txt;0.67095697
000202.txt;True;000202.txt;0.78105223
000203.txt;False;048285.txt;0.68344057
000204.txt;False;078785.txt;0.81567657
000205.txt;True;000205.txt;0.84961975
000206.txt;True;000206.txt;0.72472185
000207.txt;False;005278.txt;0.70318425
000208.txt;True;000208.txt;0.7308436
000209.txt;True;000209.txt;0.81994545
000210.txt;False;020804.txt;0.6984623
000211.txt;True;000211.txt;0.8699031
000212.txt;True;000212.txt;0.7751577
000213.txt;True;000213.txt;0.78038085
000214.txt;True;000214.txt;0.89210486
000215.txt;True;000215.txt;0.64276356
000216.txt;True;000216.txt;0.7991534
000217.txt;True;000217.txt;0.7547331
000219.txt;True;000219.txt;0.84246445
000220.txt;False;078947.txt;0.747327
000221.txt;True;000221.txt;0.8660264
000222.txt;True;000222.txt;0.9063527
000223.txt;True;000223.txt;0.5998691
000224.txt;True;000224.txt;0.7436942
000225.txt;False;042828.txt;0.56764716
000226.txt;True;000226.txt;0.7031176
000227.txt;True;000227.txt;0.84609365
000228.txt;True;000228.txt;0.8621832
000229.txt;False;076113.txt;0.66671336
000230.txt;True;000230.txt;0.80247855
000231.txt;False;031299.txt;0.7082205
000232.txt;False;070911.txt;0.45334125
000233.txt;True;000233.txt;0.70552427
000234.txt;False;034574.txt;0.77498215
000235.txt;True;000235.txt;0.56788003
000236.txt;True;000236.txt;0.92162573
000237.txt;True;000237.txt;0.80436385
000238.txt;True;000238.txt;0.71783525
000239.txt;False;000117.txt;0.7450578
000240.txt;False;041789.txt;0.70983315
000241.txt;True;000241.txt;0.8593576
000242.txt;True;000242.txt;0.7029009
000243.txt;True;000243.txt;0.8957701
000244.txt;True;000244.txt;0.70236075
000245.txt;True;000245.txt;0.7407044
000246.txt;True;000246.txt;0.84243363
000247.txt;True;000247.txt;0.69358045
000248.txt;True;000248.txt;0.78813756
000249.txt;True;000249.txt;0.8363565
