query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.27218843
000001.txt;True;000001.txt;9.556711e-13
000002.txt;True;000002.txt;0.9170057
000003.txt;True;000003.txt;1.026745
000004.txt;False;068208.txt;0.6783881
000005.txt;True;000005.txt;2.2459283
000006.txt;True;000006.txt;2.1862726
000007.txt;False;065696.txt;0.47713074
000008.txt;False;077816.txt;0.94305277
000009.txt;True;000009.txt;0.37331176
000010.txt;False;005307.txt;1.9071062
000011.txt;True;000011.txt;0.6006497
000012.txt;True;000012.txt;0.49883503
000013.txt;True;000013.txt;0.7764807
000014.txt;False;077577.txt;1.5970488
000015.txt;True;000015.txt;0.2705174
000016.txt;False;078605.txt;2.595063
000017.txt;False;054729.txt;1.5521554
000018.txt;False;034151.txt;3.4406886
000019.txt;True;000019.txt;0.21290728
000020.txt;False;019214.txt;0.7647271
000021.txt;False;000011.txt;2.3529763
000022.txt;False;000011.txt;2.7754703
000023.txt;False;000011.txt;2.338987
000024.txt;False;000011.txt;2.0585258
000025.txt;False;000011.txt;2.4481158
000026.txt;False;026601.txt;2.2608197
000027.txt;True;000027.txt;2.5874696
000028.txt;False;000011.txt;2.356826
000029.txt;True;000029.txt;2.5849648
000030.txt;False;005413.txt;2.014167
000031.txt;False;005413.txt;2.3505416
000032.txt;True;000032.txt;0.39929304
000034.txt;True;000034.txt;2.0677128
000035.txt;False;072167.txt;0.9420735
000036.txt;False;034154.txt;1.2358902
000037.txt;False;000011.txt;2.5857496
000038.txt;False;000011.txt;2.3972213
000039.txt;True;000039.txt;2.7846994
000040.txt;False;000011.txt;2.3669362
000041.txt;False;000011.txt;2.6061158
000042.txt;False;000011.txt;2.4412274
000043.txt;False;000011.txt;2.3696902
000044.txt;True;000044.txt;0.66254807
000045.txt;True;000045.txt;0.66676855
000046.txt;True;000046.txt;0.51488173
000047.txt;True;000047.txt;0.5776055
000048.txt;True;000048.txt;0.0
000049.txt;False;026592.txt;4.3110423
000050.txt;True;000050.txt;0.86246955
000051.txt;True;000051.txt;0.57712674
000052.txt;True;000052.txt;0.5775548
000053.txt;True;000053.txt;1.9209776
000054.txt;False;053748.txt;0.8346518
000055.txt;False;000575.txt;1.2020799
000056.txt;True;000056.txt;1.3640474
000057.txt;True;000057.txt;0.75686705
000058.txt;False;064545.txt;1.3736027
000059.txt;False;078640.txt;1.4481922
000060.txt;False;067474.txt;2.0580752
000061.txt;True;000061.txt;2.2670472
000062.txt;False;009237.txt;3.2984486
000063.txt;False;011594.txt;1.0136375
000064.txt;False;072246.txt;0.9433054
000065.txt;True;000065.txt;0.93442595
000066.txt;True;000066.txt;0.0
000067.txt;True;000067.txt;1.3529387
000068.txt;True;000068.txt;3.713656
000069.txt;True;000069.txt;1.2070568
000070.txt;False;000618.txt;1.371989
000071.txt;False;061981.txt;2.1684098
000072.txt;True;000072.txt;0.0
000073.txt;False;037173.txt;0.9453705
000074.txt;False;034355.txt;1.0699098
000075.txt;False;015017.txt;1.5899974
000076.txt;False;023123.txt;3.1053188
000077.txt;False;016644.txt;1.6874332
000078.txt;False;017277.txt;0.33460343
000079.txt;False;028679.txt;2.729518
000080.txt;False;019625.txt;0.14995879
000081.txt;True;000081.txt;0.7107115
000082.txt;False;034424.txt;3.7648542
000083.txt;False;003168.txt;0.2264983
000084.txt;False;031335.txt;3.0666177
000085.txt;True;000085.txt;0.9816488
000086.txt;False;020456.txt;2.0943723
000087.txt;False;008471.txt;0.93403864
000088.txt;True;000088.txt;1.953875
000089.txt;False;053877.txt;1.3199035
000090.txt;False;070825.txt;3.851986
000091.txt;True;000091.txt;0.7536212
000092.txt;False;029666.txt;1.2343012
000093.txt;False;076361.txt;1.3410056
000094.txt;True;000094.txt;1.3176796
000095.txt;False;065190.txt;2.3156247
000096.txt;True;000096.txt;1.0128953
000097.txt;False;051143.txt;2.5364099
000098.txt;False;060179.txt;3.0580616
000099.txt;True;000099.txt;0.34359038
000100.txt;False;043901.txt;0.5592078
000101.txt;False;063668.txt;4.2712135
000102.txt;False;030629.txt;0.9451473
000103.txt;True;000103.txt;1.0800755
000104.txt;False;034327.txt;1.515302
000105.txt;False;010706.txt;2.0454073
000106.txt;False;000110.txt;0.5563836
000107.txt;False;038970.txt;2.4871352
000108.txt;True;000108.txt;2.8273253
000109.txt;False;000011.txt;2.580481
000110.txt;True;000110.txt;0.18344745
000111.txt;False;027180.txt;2.004681
000112.txt;True;000112.txt;2.0383105
000113.txt;False;078525.txt;1.1141291
000114.txt;True;000114.txt;1.3305986
000115.txt;True;000115.txt;1.8469902e-12
000116.txt;False;069838.txt;0.61257017
000117.txt;False;042658.txt;1.0754205
000118.txt;True;000118.txt;0.0
000119.txt;True;000119.txt;1.8998052
000120.txt;True;000120.txt;0.11389086
000121.txt;True;000121.txt;3.7722267e-13
000122.txt;False;018131.txt;0.22016777
000123.txt;True;000123.txt;0.0
000124.txt;True;000124.txt;0.0
000126.txt;True;000126.txt;0.64278316
000127.txt;True;000127.txt;0.7768413
000128.txt;True;000128.txt;0.5584092
000129.txt;False;034327.txt;2.0079687
000130.txt;True;000130.txt;0.5928696
000131.txt;True;000131.txt;0.44628668
000132.txt;True;000132.txt;0.47672665
000133.txt;True;000133.txt;0.67830163
000134.txt;False;027248.txt;0.43129185
000135.txt;False;028955.txt;2.3545575
000136.txt;False;007823.txt;3.2502089
000137.txt;True;000137.txt;1.10155
000138.txt;True;000138.txt;0.8466022
000139.txt;False;042901.txt;0.117238134
000140.txt;True;000140.txt;0.0
000141.txt;True;000141.txt;0.23256461
000142.txt;False;063644.txt;1.1729372
000143.txt;False;044886.txt;1.702568
000144.txt;True;000144.txt;2.4840326
000145.txt;False;043901.txt;0.7436477
000146.txt;False;056769.txt;1.4197886
000147.txt;False;077187.txt;2.6893864
000148.txt;False;076327.txt;3.7791526
000149.txt;True;000149.txt;0.7483398
000150.txt;True;000150.txt;0.83505315
000151.txt;False;065424.txt;0.38620532
000152.txt;False;006957.txt;0.8554348
000153.txt;True;000153.txt;0.0
000154.txt;False;072246.txt;0.34010857
000155.txt;False;004677.txt;1.5027434
000156.txt;True;000156.txt;0.10192559
000157.txt;False;000159.txt;2.3623857
000158.txt;False;078616.txt;2.5495696
000159.txt;False;029559.txt;2.0146236
000160.txt;False;052748.txt;0.50589925
000161.txt;False;030677.txt;0.090875216
000162.txt;False;078750.txt;0.54723847
000163.txt;False;078616.txt;2.0491705
000164.txt;True;000164.txt;1.13511e-12
000165.txt;True;000165.txt;0.0
000166.txt;True;000166.txt;0.0
000167.txt;False;026403.txt;3.5620303
000168.txt;False;011428.txt;2.478758
000169.txt;False;069328.txt;1.1800847
000170.txt;False;064709.txt;1.0984937
000171.txt;True;000171.txt;0.26802576
000172.txt;False;017002.txt;0.96484995
000173.txt;True;000173.txt;0.49925417
000174.txt;True;000174.txt;0.0
000175.txt;False;011816.txt;0.70337856
000176.txt;False;000221.txt;4.156582
000177.txt;False;072164.txt;0.7522505
000178.txt;True;000178.txt;1.4828289
000179.txt;True;000179.txt;0.0
000180.txt;False;018766.txt;0.21704262
000181.txt;True;000181.txt;1.1154441e-12
000182.txt;True;000182.txt;0.0
000183.txt;True;000183.txt;1.5067275e-12
000184.txt;True;000184.txt;0.85476816
000185.txt;True;000185.txt;1.2220629e-12
000186.txt;False;056207.txt;0.14513484
000187.txt;True;000187.txt;0.57177114
000188.txt;True;000188.txt;0.60077727
000189.txt;True;000189.txt;0.5749834
000190.txt;True;000190.txt;0.57049096
000191.txt;True;000191.txt;0.2982015
000192.txt;False;021718.txt;0.5836082
000193.txt;False;007517.txt;1.8116913
000194.txt;True;000194.txt;1.171208
000195.txt;False;068227.txt;1.9389532
000196.txt;False;012137.txt;0.75651634
000197.txt;False;076658.txt;1.8931527
000198.txt;False;040718.txt;4.41666
000199.txt;True;000199.txt;0.0
000200.txt;False;039066.txt;1.5629462
000201.txt;False;017820.txt;0.21419594
000202.txt;True;000202.txt;1.4862826
000203.txt;False;007799.txt;2.1645184
000204.txt;True;000204.txt;1.4650307
000205.txt;True;000205.txt;1.5127224
000206.txt;True;000206.txt;1.1884198
000207.txt;True;000207.txt;2.7339737
000208.txt;False;069419.txt;1.1235964
000209.txt;False;054195.txt;0.2807912
000210.txt;False;074427.txt;0.34815866
000211.txt;False;048305.txt;0.42353934
000212.txt;True;000212.txt;1.913497
000213.txt;False;072676.txt;1.3111504
000214.txt;True;000214.txt;0.0
000215.txt;True;000215.txt;0.20534582
000216.txt;False;034327.txt;2.2855282
000217.txt;False;001592.txt;6.4131517
000219.txt;True;000219.txt;0.14907458
000220.txt;False;068557.txt;1.0475944
000221.txt;True;000221.txt;4.527067
000222.txt;True;000222.txt;0.698956
000223.txt;False;029125.txt;4.003255
000224.txt;True;000224.txt;0.47752422
000225.txt;False;008794.txt;1.4771812
000226.txt;False;069515.txt;2.5770848
000227.txt;False;007117.txt;3.058611
000228.txt;True;000228.txt;1.6390802
000229.txt;False;008173.txt;0.05159257
000230.txt;True;000230.txt;1.097465
000231.txt;False;075531.txt;2.016941
000232.txt;False;042562.txt;0.7246201
000233.txt;True;000233.txt;0.94407773
000234.txt;False;034574.txt;2.067715
000235.txt;False;028394.txt;0.84485435
000236.txt;True;000236.txt;0.57353497
000237.txt;False;056538.txt;0.609406
000238.txt;True;000238.txt;0.6211256
000239.txt;False;035617.txt;1.0250175
000240.txt;True;000240.txt;2.1940231
000241.txt;True;000241.txt;9.766406e-13
000242.txt;False;016435.txt;0.21720332
000243.txt;True;000243.txt;0.7889627
000244.txt;False;006166.txt;1.3059738
000245.txt;False;012871.txt;1.7569327
000246.txt;False;048358.txt;0.7531986
000247.txt;False;010570.txt;3.4099693
000248.txt;False;028736.txt;2.6303096
000249.txt;True;000249.txt;0.0
000250.txt;True;000250.txt;1.3405343e-12
000251.txt;False;024408.txt;1.5335823
000252.txt;True;000252.txt;0.52488434
