query_file;found;search_result;search_distances
000000.txt;False;055457.txt;0.83498216
000001.txt;True;000001.txt;0.8760919
000002.txt;True;000002.txt;0.87529707
000003.txt;False;077552.txt;0.85832167
000004.txt;True;000004.txt;0.8579538
000005.txt;False;002663.txt;0.8536055
000006.txt;True;000006.txt;0.842316
000007.txt;False;001341.txt;0.82985115
000008.txt;True;000008.txt;0.8488096
000009.txt;False;041594.txt;0.8272683
000010.txt;True;000010.txt;0.90365344
000011.txt;True;000011.txt;0.8757774
000012.txt;True;000012.txt;0.87651026
000013.txt;True;000013.txt;0.8978809
000014.txt;True;000014.txt;0.8764522
000015.txt;True;000015.txt;0.90434337
000016.txt;False;000015.txt;0.86433655
000017.txt;True;000017.txt;0.8602299
000018.txt;True;000018.txt;0.8584839
000019.txt;False;009754.txt;0.86930615
000020.txt;True;000020.txt;0.8404715
000021.txt;True;000021.txt;0.8967628
000022.txt;True;000022.txt;0.909248
000023.txt;True;000023.txt;0.89002967
000024.txt;False;076862.txt;0.87215483
000025.txt;True;000025.txt;0.9122243
000026.txt;True;000026.txt;0.88649523
000027.txt;True;000027.txt;0.91787827
000028.txt;True;000028.txt;0.91347903
000029.txt;True;000029.txt;0.9085621
000030.txt;False;075527.txt;0.8664857
000031.txt;False;016165.txt;0.860843
000032.txt;False;010693.txt;0.83349484
000034.txt;True;000034.txt;0.8485603
000035.txt;False;050179.txt;0.8282685
000036.txt;True;000036.txt;0.86964256
000037.txt;True;000037.txt;0.9142258
000038.txt;True;000038.txt;0.923519
000039.txt;True;000039.txt;0.9052737
000040.txt;True;000040.txt;0.91166836
000041.txt;True;000041.txt;0.91263664
000042.txt;True;000042.txt;0.91929066
000043.txt;True;000043.txt;0.9087173
000044.txt;True;000044.txt;0.8599974
000045.txt;True;000045.txt;0.85549283
000046.txt;True;000046.txt;0.833395
000047.txt;False;015597.txt;0.8570682
000048.txt;True;000048.txt;0.89816666
000049.txt;True;000049.txt;0.8963208
000050.txt;False;030729.txt;0.8449737
000051.txt;False;006345.txt;0.85793734
000052.txt;False;006572.txt;0.82986724
000053.txt;True;000053.txt;0.88451326
000054.txt;True;000054.txt;0.83418894
000055.txt;False;055457.txt;0.81499064
000056.txt;True;000056.txt;0.8651363
000057.txt;True;000057.txt;0.8503969
000058.txt;True;000058.txt;0.8796492
000059.txt;True;000059.txt;0.8412283
000060.txt;True;000060.txt;0.87568736
000061.txt;True;000061.txt;0.84046876
000062.txt;True;000062.txt;0.8686336
000063.txt;True;000063.txt;0.8510686
000064.txt;True;000064.txt;0.8711227
000065.txt;True;000065.txt;0.886328
000066.txt;True;000066.txt;0.8390143
000067.txt;True;000067.txt;0.8534279
000068.txt;True;000068.txt;0.8556275
000069.txt;True;000069.txt;0.853312
000070.txt;False;075545.txt;0.84260553
000071.txt;False;048283.txt;0.8336002
000072.txt;True;000072.txt;0.88059694
000073.txt;True;000073.txt;0.82401514
000074.txt;False;063791.txt;0.8210656
000075.txt;True;000075.txt;0.85256433
000076.txt;False;008313.txt;0.83844984
000077.txt;False;045193.txt;0.8674637
000078.txt;True;000078.txt;0.8262063
000079.txt;False;078946.txt;0.8241043
000080.txt;True;000080.txt;0.8868925
000081.txt;True;000081.txt;0.85993195
000082.txt;True;000082.txt;0.8733447
000083.txt;False;007739.txt;0.8301006
000084.txt;True;000084.txt;0.8404958
