query_file;found;search_result;search_distances
000000.txt;False;007739.txt;0.8111602
000001.txt;True;000001.txt;0.8769285
000002.txt;True;000002.txt;0.87402624
000003.txt;True;000003.txt;0.8707676
000004.txt;True;000004.txt;0.9049564
000005.txt;False;058488.txt;0.8297621
000006.txt;True;000006.txt;0.82952225
000007.txt;True;000007.txt;0.8134423
000008.txt;False;036119.txt;0.8146324
000009.txt;True;000009.txt;0.8777838
000010.txt;True;000010.txt;0.8826697
000011.txt;True;000011.txt;0.88661
000012.txt;True;000012.txt;0.9015877
000013.txt;True;000013.txt;0.8975872
000014.txt;True;000014.txt;0.9074824
000015.txt;True;000015.txt;0.8877217
000016.txt;True;000016.txt;0.86201537
000017.txt;True;000017.txt;0.8738541
000018.txt;True;000018.txt;0.8917717
000019.txt;False;072796.txt;0.8482154
000020.txt;True;000020.txt;0.8283019
000021.txt;True;000021.txt;0.8980055
000022.txt;True;000022.txt;0.90590227
000023.txt;True;000023.txt;0.89831537
000024.txt;True;000024.txt;0.8835045
000025.txt;True;000025.txt;0.902136
000026.txt;True;000026.txt;0.8871706
000027.txt;True;000027.txt;0.91443163
000028.txt;True;000028.txt;0.9098002
000029.txt;True;000029.txt;0.9075553
000030.txt;True;000030.txt;0.86690795
000031.txt;True;000031.txt;0.8827473
000032.txt;True;000032.txt;0.8678722
000034.txt;True;000034.txt;0.8447685
000035.txt;False;029127.txt;0.81879187
000036.txt;True;000036.txt;0.84758824
000037.txt;True;000037.txt;0.9096011
000038.txt;True;000038.txt;0.91935706
000039.txt;True;000039.txt;0.90130407
000040.txt;True;000040.txt;0.90703833
000041.txt;True;000041.txt;0.9083946
000042.txt;True;000042.txt;0.91413486
000043.txt;True;000043.txt;0.9045633
000044.txt;False;010500.txt;0.83548635
000045.txt;False;078368.txt;0.83521825
000046.txt;False;075527.txt;0.8584174
000047.txt;False;075527.txt;0.85568607
000048.txt;True;000048.txt;0.9194387
000049.txt;True;000049.txt;0.90337205
000050.txt;False;006828.txt;0.85839784
000051.txt;False;075527.txt;0.8334915
000052.txt;False;075527.txt;0.8364245
000053.txt;True;000053.txt;0.8649541
000054.txt;True;000054.txt;0.85662377
000055.txt;False;049045.txt;0.7959508
000056.txt;True;000056.txt;0.8529897
000057.txt;True;000057.txt;0.8606023
000058.txt;True;000058.txt;0.89651567
000059.txt;True;000059.txt;0.825421
000060.txt;True;000060.txt;0.87374604
000061.txt;True;000061.txt;0.8602252
000062.txt;True;000062.txt;0.84916687
000063.txt;True;000063.txt;0.83983266
000064.txt;True;000064.txt;0.8554018
000065.txt;True;000065.txt;0.8358336
000066.txt;True;000066.txt;0.8476033
000067.txt;True;000067.txt;0.8725215
000068.txt;True;000068.txt;0.86078984
000069.txt;True;000069.txt;0.84990156
000070.txt;True;000070.txt;0.83441424
000071.txt;False;008550.txt;0.826289
000072.txt;True;000072.txt;0.9186328
000073.txt;True;000073.txt;0.82002676
000074.txt;False;008794.txt;0.7871715
000075.txt;True;000075.txt;0.85249496
000076.txt;False;062557.txt;0.8388567
000077.txt;True;000077.txt;0.87720877
000078.txt;True;000078.txt;0.8370049
000079.txt;True;000079.txt;0.8508198
000080.txt;True;000080.txt;0.86851674
000081.txt;True;000081.txt;0.8584158
000082.txt;True;000082.txt;0.86932606
000083.txt;True;000083.txt;0.8221398
000084.txt;True;000084.txt;0.8557653
000085.txt;True;000085.txt;0.87600446
000086.txt;True;000086.txt;0.8929553
000087.txt;True;000087.txt;0.84725845
000088.txt;False;034459.txt;0.82444763
000089.txt;False;072828.txt;0.8175614
000090.txt;True;000090.txt;0.8218454
000091.txt;True;000091.txt;0.87917817
000092.txt;False;029521.txt;0.83595
000093.txt;True;000093.txt;0.9011458
