query_file;found;search_result;search_distances
000000.txt;False;003653.txt;5.9273205
000001.txt;True;000001.txt;6.278871
000002.txt;True;000002.txt;4.1778774
000003.txt;True;000003.txt;6.09185
000004.txt;True;000004.txt;6.9887547
000005.txt;False;030653.txt;5.282704
000006.txt;False;005363.txt;5.610919
000007.txt;True;000007.txt;5.11193
000008.txt;False;078419.txt;3.4584036
000009.txt;False;001687.txt;4.666484
000010.txt;True;000010.txt;5.936671
000011.txt;True;000011.txt;7.6045504
000012.txt;True;000012.txt;5.4568634
000013.txt;True;000013.txt;5.851272
000014.txt;True;000014.txt;5.514642
000015.txt;True;000015.txt;6.051768
000016.txt;True;000016.txt;5.186492
000017.txt;True;000017.txt;6.4311304
000018.txt;True;000018.txt;6.9731417
000019.txt;True;000019.txt;7.5060267
000020.txt;True;000020.txt;5.9505663
000021.txt;True;000021.txt;7.0854383
000022.txt;True;000022.txt;8.096453
000023.txt;True;000023.txt;7.3401556
000024.txt;True;000024.txt;8.037211
000025.txt;True;000025.txt;8.031928
000026.txt;True;000026.txt;7.33333
000027.txt;True;000027.txt;8.58576
000028.txt;True;000028.txt;7.9501867
000029.txt;True;000029.txt;7.8884406
000030.txt;True;000030.txt;7.381222
000031.txt;True;000031.txt;7.475566
000032.txt;True;000032.txt;7.398688
000034.txt;True;000034.txt;6.0905166
000035.txt;True;000035.txt;6.446002
000036.txt;False;001929.txt;5.018754
000037.txt;True;000037.txt;7.9298363
000038.txt;True;000038.txt;8.309881
000039.txt;True;000039.txt;7.9414716
000040.txt;True;000040.txt;7.785557
000041.txt;True;000041.txt;8.216651
000042.txt;True;000042.txt;7.8981347
000043.txt;True;000043.txt;7.945948
000044.txt;True;000044.txt;6.7287607
000045.txt;True;000045.txt;7.4210315
000046.txt;False;000132.txt;5.7843485
000047.txt;True;000047.txt;7.169298
000048.txt;True;000048.txt;4.494151
000049.txt;False;076413.txt;4.0066934
000050.txt;True;000050.txt;5.538331
000051.txt;False;001403.txt;6.206396
000052.txt;True;000052.txt;6.5782933
000053.txt;True;000053.txt;4.397765
000054.txt;True;000054.txt;6.635167
000055.txt;True;000055.txt;6.8254895
000056.txt;True;000056.txt;5.972219
000057.txt;False;060278.txt;4.5424557
000058.txt;True;000058.txt;4.593982
000059.txt;True;000059.txt;4.3753777
000060.txt;False;033671.txt;4.202174
000061.txt;True;000061.txt;5.4411535
000062.txt;True;000062.txt;5.0256314
000063.txt;True;000063.txt;8.032785
000064.txt;False;030729.txt;4.511566
000065.txt;False;023913.txt;4.5529637
000066.txt;True;000066.txt;6.384099
000067.txt;True;000067.txt;5.76705
000068.txt;True;000068.txt;7.98959
000069.txt;True;000069.txt;6.5099773
000070.txt;False;075545.txt;5.5984244
000071.txt;False;020502.txt;4.8735747
000072.txt;True;000072.txt;5.2253313
000073.txt;True;000073.txt;5.985633
000074.txt;True;000074.txt;5.65085
000075.txt;True;000075.txt;4.689518
000076.txt;True;000076.txt;5.3259153
000077.txt;True;000077.txt;7.771966
000078.txt;True;000078.txt;4.4810205
000079.txt;True;000079.txt;5.6338725
000080.txt;False;002681.txt;4.296419
000081.txt;True;000081.txt;4.48386
000082.txt;False;043920.txt;3.853341
000083.txt;False;015541.txt;4.2921906
000084.txt;True;000084.txt;5.4947753
000085.txt;True;000085.txt;6.759474
000086.txt;True;000086.txt;5.569368
000087.txt;False;025427.txt;3.95793
000088.txt;False;066737.txt;6.410161
000089.txt;True;000089.txt;7.2129383
000090.txt;False;076746.txt;4.318424
000091.txt;True;000091.txt;5.5362277
000092.txt;False;041203.txt;3.9940963
000093.txt;True;000093.txt;4.711038
000094.txt;True;000094.txt;5.301654
000095.txt;True;000095.txt;6.743294
000096.txt;True;000096.txt;5.1858625
000097.txt;True;000097.txt;3.7877944
000098.txt;True;000098.txt;6.4631147
000099.txt;True;000099.txt;6.8066072
000100.txt;True;000100.txt;6.871087
000101.txt;True;000101.txt;5.524455
000102.txt;False;025427.txt;3.8142455
000103.txt;True;000103.txt;6.5398026
000104.txt;True;000104.txt;5.601387
000105.txt;True;000105.txt;4.3134747
000106.txt;True;000106.txt;5.9263296
000107.txt;True;000107.txt;4.5327773
000108.txt;True;000108.txt;7.8603067
000109.txt;True;000109.txt;8.050022
000110.txt;True;000110.txt;6.2468476
000111.txt;True;000111.txt;6.130793
000112.txt;True;000112.txt;5.1332636
000113.txt;True;000113.txt;4.74463
000114.txt;True;000114.txt;6.7293825
000115.txt;True;000115.txt;5.038805
000116.txt;False;018764.txt;3.7191563
000117.txt;False;000112.txt;5.691739
000118.txt;True;000118.txt;7.015273
000119.txt;True;000119.txt;6.1952543
000120.txt;True;000120.txt;7.554015
000121.txt;True;000121.txt;4.494979
000122.txt;False;046330.txt;3.9089441
000123.txt;True;000123.txt;4.9964147
000124.txt;True;000124.txt;7.1321735
000126.txt;True;000126.txt;6.6034517
000127.txt;True;000127.txt;7.926969
000128.txt;True;000128.txt;7.5322876
000129.txt;True;000129.txt;4.7059193
000130.txt;True;000130.txt;6.854104
000131.txt;True;000131.txt;7.0126724
000132.txt;True;000132.txt;6.828624
000133.txt;True;000133.txt;6.7938232
000134.txt;True;000134.txt;6.894194
000135.txt;True;000135.txt;5.797879
000136.txt;True;000136.txt;7.539747
