query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.51882756
000001.txt;True;000001.txt;0.65899014
000002.txt;True;000002.txt;0.7872275
000003.txt;True;000003.txt;0.4622953
000004.txt;True;000004.txt;0.5319574
000005.txt;False;078876.txt;0.67000425
000006.txt;False;000061.txt;0.73225176
000007.txt;False;017716.txt;0.7366241
000008.txt;False;028869.txt;0.6970234
000009.txt;True;000009.txt;0.8258515
000010.txt;True;000010.txt;0.62087554
000011.txt;True;000011.txt;0.2671105
000012.txt;False;001404.txt;0.67822796
000013.txt;True;000013.txt;0.72036314
000014.txt;True;000014.txt;0.40014255
000015.txt;True;000015.txt;0.44879657
000016.txt;False;000015.txt;0.60623384
000017.txt;True;000017.txt;0.635296
000018.txt;True;000018.txt;0.571006
000019.txt;True;000019.txt;0.31232724
000020.txt;False;011704.txt;0.45123443
000021.txt;True;000021.txt;0.44805402
000022.txt;True;000022.txt;0.3305018
000023.txt;True;000023.txt;0.37890923
000024.txt;False;016910.txt;0.7443466
000025.txt;True;000025.txt;0.27830955
000026.txt;False;044829.txt;0.40288436
000027.txt;True;000027.txt;0.30276668
000028.txt;True;000028.txt;0.28441527
000029.txt;True;000029.txt;0.26453966
000030.txt;True;000030.txt;0.6657874
000031.txt;True;000031.txt;0.5631938
000032.txt;True;000032.txt;0.69083464
000034.txt;True;000034.txt;0.6742264
000035.txt;True;000035.txt;0.8035809
000036.txt;True;000036.txt;0.53140795
000037.txt;True;000037.txt;0.3193022
000038.txt;True;000038.txt;0.2468727
000039.txt;True;000039.txt;0.30298987
000040.txt;True;000040.txt;0.26768762
000041.txt;True;000041.txt;0.25656402
000042.txt;True;000042.txt;0.2702446
000043.txt;True;000043.txt;0.3248148
000044.txt;False;010500.txt;0.41799894
000045.txt;True;000045.txt;0.38029957
000046.txt;True;000046.txt;0.35772502
000047.txt;True;000047.txt;0.42122248
000048.txt;True;000048.txt;0.3757341
000049.txt;True;000049.txt;0.5368117
000050.txt;True;000050.txt;0.5080929
000051.txt;False;001403.txt;0.40033445
000052.txt;False;078360.txt;0.3898396
000053.txt;True;000053.txt;0.82710147
000054.txt;True;000054.txt;0.44665182
000055.txt;True;000055.txt;0.59074044
