query_file;found;search_result;search_distances
000000.txt;False;067119.txt;2.9905534
000001.txt;False;017852.txt;2.611766
000002.txt;False;036160.txt;2.9676938
000003.txt;False;067119.txt;2.8090363
000004.txt;False;067119.txt;2.3690677
000005.txt;False;067119.txt;2.7232835
000006.txt;False;067119.txt;2.7900002
000007.txt;False;056228.txt;2.219288
000008.txt;False;059462.txt;1.6885989
000009.txt;False;067119.txt;2.8166893
000010.txt;False;002040.txt;4.061221
000011.txt;False;020909.txt;8.137866
000012.txt;False;059462.txt;2.3025231
000013.txt;False;037085.txt;2.6392188
000014.txt;False;055960.txt;3.6170156
000015.txt;False;002040.txt;3.8485236
000016.txt;False;002040.txt;4.4658046
000017.txt;False;067119.txt;2.8904765
000018.txt;False;067119.txt;2.1406646
000019.txt;False;000687.txt;6.7850485
000020.txt;False;067119.txt;1.6548681
000021.txt;False;000687.txt;7.3030806
000022.txt;False;000687.txt;7.2656517
000023.txt;False;020755.txt;7.0931907
000024.txt;False;000687.txt;7.1986465
000025.txt;False;020755.txt;7.1495333
000026.txt;False;059462.txt;2.700729
000027.txt;False;020755.txt;7.0808954
000028.txt;False;000687.txt;7.055578
000029.txt;False;000687.txt;7.0464697
000030.txt;False;001962.txt;5.9828024
000031.txt;False;001962.txt;6.076844
000032.txt;False;002935.txt;2.849789
000034.txt;False;067119.txt;2.6217313
000035.txt;False;059462.txt;1.8683085
000036.txt;False;002935.txt;2.1316562
000037.txt;False;000687.txt;7.1535206
000038.txt;False;020755.txt;7.0250354
000039.txt;False;000687.txt;7.0880327
000040.txt;False;000687.txt;7.091416
000041.txt;False;000687.txt;7.0918036
000042.txt;False;000687.txt;7.112042
000043.txt;False;000687.txt;7.0556374
000044.txt;False;020755.txt;7.1942625
000045.txt;False;030227.txt;5.4718924
000046.txt;False;031190.txt;5.6989746
000047.txt;False;076322.txt;6.771396
000048.txt;False;067119.txt;2.464799
000049.txt;False;026962.txt;3.470837
000050.txt;False;002040.txt;3.9831338
000051.txt;False;000687.txt;7.110276
000052.txt;False;030227.txt;5.436592
000053.txt;False;026962.txt;1.6041131
000054.txt;False;067119.txt;1.7240193
000055.txt;False;026962.txt;2.4597197
000056.txt;False;056228.txt;2.8065047
000057.txt;False;002040.txt;3.2145443
000058.txt;False;026962.txt;1.6211406
000059.txt;False;067119.txt;1.7406337
000060.txt;False;056228.txt;2.2754388
000061.txt;False;067119.txt;3.0762465
000062.txt;False;062387.txt;4.573185
000063.txt;False;067119.txt;1.235671
000064.txt;False;056228.txt;1.9675984
000065.txt;False;026962.txt;3.0867171
000066.txt;False;059462.txt;2.6871114
000067.txt;False;067119.txt;1.9718235
000068.txt;False;067119.txt;2.9291635
000069.txt;False;067119.txt;3.3339558
000070.txt;False;059462.txt;2.2159102
000071.txt;False;067119.txt;2.3898659
000072.txt;False;002040.txt;3.1126246
000073.txt;False;067119.txt;2.416303
000074.txt;False;062217.txt;1.7074716
000075.txt;False;067119.txt;2.153528
000076.txt;False;078210.txt;3.129387
000077.txt;False;002040.txt;3.7006168
000078.txt;False;067119.txt;1.3317492
000079.txt;False;056228.txt;2.9790337
000080.txt;False;056228.txt;2.4036348
000081.txt;False;026962.txt;1.8882123
000082.txt;False;026962.txt;1.7912536
000083.txt;False;067119.txt;1.620573
000084.txt;False;059462.txt;2.3582969
000085.txt;False;002935.txt;2.8964343
000086.txt;False;026962.txt;2.5070262
000087.txt;False;059462.txt;2.4605162
000088.txt;False;002935.txt;2.9142203
000089.txt;False;002935.txt;2.9468842
000090.txt;False;063145.txt;3.5753126
000091.txt;False;002040.txt;3.7979045
000092.txt;False;078210.txt;2.558937
000093.txt;False;078210.txt;2.6008146
000094.txt;False;056228.txt;2.9063272
000095.txt;False;031190.txt;3.4408572
000096.txt;False;067119.txt;3.323058
000097.txt;False;056228.txt;2.7769551
000098.txt;False;078210.txt;2.964222
000099.txt;False;010289.txt;4.613171
000100.txt;False;026962.txt;1.8556331
000101.txt;False;059462.txt;3.5877306
000102.txt;False;026962.txt;1.9782205
000103.txt;False;037085.txt;3.2165122
000104.txt;False;067119.txt;2.5410557
000105.txt;False;059462.txt;1.8140953
000106.txt;False;078210.txt;3.560871
000107.txt;False;078210.txt;3.200083
000108.txt;False;000687.txt;7.089904
000109.txt;False;000687.txt;7.099257
000110.txt;False;059462.txt;2.6187806
000111.txt;False;059462.txt;3.011567
000112.txt;False;026962.txt;2.376977
000113.txt;False;067119.txt;1.9320536
000114.txt;False;041241.txt;4.000037
000115.txt;False;056228.txt;3.343616
000116.txt;False;044752.txt;2.5558028
000117.txt;False;037085.txt;1.3058202
000118.txt;False;002040.txt;3.928167
000119.txt;False;062387.txt;4.415245
000120.txt;False;002040.txt;3.9505649
000121.txt;False;062217.txt;2.2810116
000122.txt;False;063145.txt;3.679595
000123.txt;False;067119.txt;2.525883
000124.txt;False;059462.txt;3.1882753
000126.txt;False;031190.txt;5.9085793
000127.txt;False;000687.txt;7.2331605
000128.txt;False;078087.txt;5.901668
000129.txt;False;037085.txt;2.1404707
000130.txt;False;077716.txt;4.9562407
000131.txt;False;000687.txt;7.3456364
000132.txt;False;018957.txt;6.353762
000133.txt;False;000687.txt;7.143976
000134.txt;False;067119.txt;2.9550338
000135.txt;False;059462.txt;2.4501934
000136.txt;False;048038.txt;6.3062377
000137.txt;False;026962.txt;1.826659
000138.txt;False;041241.txt;3.572753
000139.txt;False;062217.txt;1.70751
000140.txt;False;059462.txt;2.5184422
000141.txt;False;067119.txt;3.0521376
000142.txt;False;067119.txt;1.5923395
000143.txt;False;026962.txt;1.7905794
000144.txt;False;067119.txt;2.1046174
