query_file;found;search_result;search_distances
000000.txt;False;003653.txt;0.46199453
000001.txt;True;000001.txt;0.34175014
000002.txt;False;007581.txt;0.61492616
000003.txt;True;000003.txt;0.2701538
000004.txt;True;000004.txt;0.23164178
000005.txt;False;078876.txt;0.4886849
000006.txt;False;030652.txt;0.506815
000007.txt;True;000007.txt;0.42377067
000008.txt;False;000701.txt;0.6441675
000009.txt;True;000009.txt;0.4676353
000010.txt;True;000010.txt;0.46236655
000011.txt;True;000011.txt;0.08844446
000012.txt;True;000012.txt;0.35187298
000013.txt;True;000013.txt;0.5766777
000014.txt;True;000014.txt;0.4494987
000015.txt;True;000015.txt;0.32345444
000016.txt;True;000016.txt;0.3540789
000017.txt;True;000017.txt;0.41068166
000018.txt;True;000018.txt;0.31249335
000019.txt;True;000019.txt;0.17058109
000020.txt;True;000020.txt;0.56226325
000021.txt;True;000021.txt;0.17160909
000022.txt;True;000022.txt;0.09401489
000023.txt;True;000023.txt;0.26751482
000024.txt;True;000024.txt;0.17812803
000025.txt;True;000025.txt;0.08263896
000026.txt;True;000026.txt;0.23486327
000027.txt;True;000027.txt;0.08332789
000028.txt;True;000028.txt;0.08386052
000029.txt;True;000029.txt;0.0921104
000030.txt;False;000031.txt;0.29067844
000031.txt;True;000031.txt;0.23763016
000032.txt;True;000032.txt;0.2882907
000034.txt;True;000034.txt;0.4297086
000035.txt;False;042806.txt;0.6559893
000036.txt;False;035403.txt;0.50495625
000037.txt;True;000037.txt;0.09843854
000038.txt;True;000038.txt;0.089831874
000039.txt;True;000039.txt;0.10675174
000040.txt;True;000040.txt;0.09704939
000041.txt;True;000041.txt;0.09897602
000042.txt;True;000042.txt;0.098383315
000043.txt;True;000043.txt;0.107037455
000044.txt;True;000044.txt;0.27208015
000045.txt;True;000045.txt;0.27661783
000046.txt;True;000046.txt;0.44712672
000047.txt;True;000047.txt;0.23005277
000048.txt;True;000048.txt;0.37046432
000049.txt;False;006828.txt;0.69883955
000050.txt;False;024613.txt;0.49530408
000051.txt;False;001403.txt;0.4131071
000052.txt;True;000052.txt;0.34916967
000053.txt;False;032613.txt;0.6867757
000054.txt;True;000054.txt;0.20326445
000055.txt;True;000055.txt;0.38426453
000056.txt;True;000056.txt;0.5615268
000057.txt;True;000057.txt;0.44936246
000058.txt;True;000058.txt;0.32091567
000059.txt;True;000059.txt;0.46174896
000060.txt;False;002787.txt;0.82639635
000061.txt;True;000061.txt;0.63995713
000062.txt;True;000062.txt;0.48114562
000063.txt;True;000063.txt;0.12982601
000064.txt;False;030729.txt;0.62734187
000065.txt;True;000065.txt;0.5426767
000066.txt;True;000066.txt;0.37941366
000067.txt;True;000067.txt;0.4301179
000068.txt;True;000068.txt;0.21848108
000069.txt;False;078461.txt;0.4519803
000070.txt;True;000070.txt;0.64726174
000071.txt;True;000071.txt;0.43345308
000072.txt;False;017948.txt;0.6168415
000073.txt;True;000073.txt;0.32559514
000074.txt;True;000074.txt;0.4039846
000075.txt;True;000075.txt;0.38199168
000076.txt;False;028863.txt;0.31054652
000077.txt;True;000077.txt;0.46832094
000078.txt;True;000078.txt;0.5434977
000079.txt;True;000079.txt;0.70953715
000080.txt;False;002787.txt;0.60150105
000081.txt;True;000081.txt;0.6342175
000082.txt;False;024613.txt;0.8014522
000083.txt;False;034611.txt;0.7172673
000084.txt;True;000084.txt;0.4682548
000085.txt;True;000085.txt;0.29725057
000086.txt;True;000086.txt;0.33979148
000087.txt;False;003052.txt;0.8435284
