query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.34552413
000001.txt;True;000001.txt;0.22581741
000002.txt;True;000002.txt;0.2276606
000003.txt;False;078573.txt;0.32042968
000004.txt;False;076913.txt;0.41913664
000005.txt;False;036941.txt;0.2956747
000006.txt;False;078880.txt;0.3591021
000007.txt;False;001198.txt;0.36678636
000008.txt;True;000008.txt;0.32594422
000009.txt;False;078559.txt;0.39457768
000010.txt;False;005307.txt;0.28130287
000011.txt;True;000011.txt;0.23289768
000012.txt;True;000012.txt;0.26967525
000013.txt;True;000013.txt;0.19819245
000014.txt;True;000014.txt;0.28308645
000015.txt;False;067383.txt;0.37734106
000016.txt;False;000015.txt;0.24013382
000017.txt;True;000017.txt;0.30510134
000018.txt;True;000018.txt;0.30571744
000019.txt;False;009754.txt;0.3057081
000020.txt;False;017463.txt;0.35279024
000021.txt;True;000021.txt;0.17263925
000022.txt;True;000022.txt;0.17185146
000023.txt;True;000023.txt;0.22079128
000024.txt;True;000024.txt;0.228145
000025.txt;True;000025.txt;0.14941815
000026.txt;True;000026.txt;0.2831009
000027.txt;True;000027.txt;0.15583917
000028.txt;True;000028.txt;0.1398062
000029.txt;True;000029.txt;0.18987203
000030.txt;False;007571.txt;0.28214723
000031.txt;False;016165.txt;0.23095244
000032.txt;False;063963.txt;0.3561502
000034.txt;False;008872.txt;0.38587666
000035.txt;False;027736.txt;0.38772377
000036.txt;False;027263.txt;0.32830194
000037.txt;True;000037.txt;0.16922966
000038.txt;True;000038.txt;0.15024054
000039.txt;True;000039.txt;0.16875611
000040.txt;True;000040.txt;0.15573272
000041.txt;True;000041.txt;0.16084886
000042.txt;True;000042.txt;0.13989395
000043.txt;True;000043.txt;0.15843585
000044.txt;True;000044.txt;0.26997024
000045.txt;True;000045.txt;0.24919637
000046.txt;False;000126.txt;0.30342978
000047.txt;False;075527.txt;0.27552873
000048.txt;True;000048.txt;0.23979244
000049.txt;True;000049.txt;0.21852317
000050.txt;False;076413.txt;0.32735094
000051.txt;False;000272.txt;0.3089349
000052.txt;True;000052.txt;0.24641538
000053.txt;True;000053.txt;0.2502304
000054.txt;False;077916.txt;0.3854337
000055.txt;False;078270.txt;0.39080906
000056.txt;True;000056.txt;0.2645512
000057.txt;False;004089.txt;0.30723724
000058.txt;True;000058.txt;0.2949705
000059.txt;True;000059.txt;0.35778368
000060.txt;True;000060.txt;0.24697816
000061.txt;True;000061.txt;0.32460767
000062.txt;False;077552.txt;0.36434877
000063.txt;False;078583.txt;0.37678686
000064.txt;True;000064.txt;0.28941533
000065.txt;True;000065.txt;0.24149185
000066.txt;False;078270.txt;0.31554422
000067.txt;True;000067.txt;0.28043824
000068.txt;True;000068.txt;0.3417217
000069.txt;True;000069.txt;0.3118325
000070.txt;False;075548.txt;0.347917
000071.txt;True;000071.txt;0.35409302
000072.txt;True;000072.txt;0.22827852
000073.txt;False;076966.txt;0.3351138
000074.txt;False;001581.txt;0.37689602
000075.txt;True;000075.txt;0.34630787
000076.txt;False;028440.txt;0.3628891
000077.txt;False;041097.txt;0.30854568
000078.txt;False;076146.txt;0.37429544
000079.txt;True;000079.txt;0.3180061
000080.txt;True;000080.txt;0.23019272
000081.txt;True;000081.txt;0.2665645
000082.txt;True;000082.txt;0.2410985
000083.txt;False;044213.txt;0.35245335
000084.txt;False;046613.txt;0.36894184
000085.txt;False;063802.txt;0.34758672
000086.txt;False;016896.txt;0.36764356
000087.txt;True;000087.txt;0.23980366
000088.txt;False;000089.txt;0.3696938
000089.txt;True;000089.txt;0.36966047
000090.txt;False;001325.txt;0.36852324
000091.txt;False;076436.txt;0.28763947
000092.txt;False;009054.txt;0.27052876
000093.txt;False;053129.txt;0.35898143
000094.txt;False;019599.txt;0.37927908
000095.txt;False;001695.txt;0.36034203
000096.txt;False;078583.txt;0.37217623
000097.txt;False;078945.txt;0.39661616
000098.txt;True;000098.txt;0.31340274
000099.txt;False;045044.txt;0.3571663
000100.txt;False;002447.txt;0.34986582
000101.txt;True;000101.txt;0.33264583
000102.txt;True;000102.txt;0.26516396
000103.txt;False;009886.txt;0.36331385
000104.txt;False;016725.txt;0.3664741
000105.txt;True;000105.txt;0.30963618
000106.txt;True;000106.txt;0.27703327
000107.txt;False;012621.txt;0.39755198
000108.txt;True;000108.txt;0.15604801
000109.txt;True;000109.txt;0.13853031
000110.txt;False;064754.txt;0.4089044
000111.txt;False;047130.txt;0.36763734
000112.txt;False;015750.txt;0.40806037
000113.txt;False;020378.txt;0.3536334
000114.txt;True;000114.txt;0.29953343
000115.txt;True;000115.txt;0.32422647
000116.txt;False;072310.txt;0.26922646
000117.txt;True;000117.txt;0.39916825
000118.txt;True;000118.txt;0.22809744
000119.txt;False;075588.txt;0.38011214
000120.txt;True;000120.txt;0.19606689
000121.txt;False;018785.txt;0.34855866
000122.txt;False;078583.txt;0.39399993
000123.txt;False;074427.txt;0.31299865
000124.txt;False;055978.txt;0.33011895
000126.txt;True;000126.txt;0.23772334
000127.txt;True;000127.txt;0.2856852
000128.txt;True;000128.txt;0.23540726
000129.txt;False;078583.txt;0.37870207
000130.txt;True;000130.txt;0.28469932
000131.txt;False;000126.txt;0.34099293
000132.txt;True;000132.txt;0.2914191
000133.txt;False;000271.txt;0.31340623
000134.txt;False;017801.txt;0.39738333
000135.txt;False;074684.txt;0.32872823
000136.txt;True;000136.txt;0.26570982
000137.txt;False;001189.txt;0.40363938
000138.txt;False;013925.txt;0.30936524
000139.txt;False;009373.txt;0.3732661
000140.txt;True;000140.txt;0.2867838
