query_file;found;search_result;search_distances
000000.txt;True;000000.txt;9.36517
000001.txt;True;000001.txt;9.150059
000002.txt;False;074394.txt;6.483295
000003.txt;True;000003.txt;9.03517
000004.txt;True;000004.txt;12.606504
000005.txt;True;000005.txt;7.651024
000006.txt;False;030652.txt;10.55077
000007.txt;True;000007.txt;9.154205
000008.txt;False;000701.txt;6.2920523
000009.txt;False;078504.txt;9.085751
000010.txt;False;077442.txt;8.252943
000011.txt;False;078565.txt;14.200098
000012.txt;True;000012.txt;8.441925
000013.txt;False;000047.txt;8.513908
000014.txt;True;000014.txt;9.605129
000015.txt;True;000015.txt;11.514699
000016.txt;False;017586.txt;12.091978
000017.txt;True;000017.txt;11.410154
000018.txt;True;000018.txt;11.380785
000019.txt;True;000019.txt;12.252201
000020.txt;False;073916.txt;7.128487
000021.txt;True;000021.txt;13.238386
000022.txt;True;000022.txt;14.351347
000023.txt;True;000023.txt;13.986101
000024.txt;True;000024.txt;13.387121
000025.txt;True;000025.txt;15.432223
000026.txt;True;000026.txt;11.161156
000027.txt;True;000027.txt;15.5665
000028.txt;True;000028.txt;15.787328
000029.txt;True;000029.txt;14.871204
000030.txt;False;016442.txt;11.589169
000031.txt;False;016442.txt;13.956921
000032.txt;False;077511.txt;12.759686
000034.txt;True;000034.txt;7.5261393
000035.txt;False;042806.txt;8.742302
000036.txt;False;008482.txt;9.695571
000037.txt;True;000037.txt;15.228907
000038.txt;True;000038.txt;16.076078
000039.txt;True;000039.txt;15.018101
000040.txt;True;000040.txt;14.325305
000041.txt;True;000041.txt;15.045019
000042.txt;True;000042.txt;15.034136
000043.txt;True;000043.txt;15.477083
000044.txt;False;000300.txt;12.088955
000045.txt;True;000045.txt;13.285703
000046.txt;True;000046.txt;13.845273
000047.txt;True;000047.txt;17.235487
000048.txt;False;024724.txt;9.209007
000049.txt;False;056732.txt;8.402257
000050.txt;False;035564.txt;5.8664722
000051.txt;False;001403.txt;11.675041
000052.txt;False;078565.txt;14.597975
000053.txt;False;054411.txt;6.178471
000054.txt;True;000054.txt;12.745846
000055.txt;True;000055.txt;10.120302
000056.txt;True;000056.txt;7.340023
000057.txt;True;000057.txt;9.576506
000058.txt;True;000058.txt;9.474996
000059.txt;True;000059.txt;7.2967544
000060.txt;False;002806.txt;5.9355097
000061.txt;False;026103.txt;9.300544
000062.txt;True;000062.txt;8.035294
000063.txt;True;000063.txt;14.818635
000064.txt;False;030729.txt;7.2385125
000065.txt;False;023330.txt;7.22268
000066.txt;True;000066.txt;9.862058
000067.txt;False;054456.txt;7.9931097
000068.txt;True;000068.txt;10.584019
000069.txt;False;038865.txt;8.690422
000070.txt;True;000070.txt;7.28252
000071.txt;False;024606.txt;10.204817
000072.txt;False;019371.txt;7.6240873
000073.txt;True;000073.txt;9.821632
000074.txt;False;053465.txt;9.122959
000075.txt;False;029677.txt;8.425723
000076.txt;True;000076.txt;8.767658
000077.txt;True;000077.txt;9.7827835
000078.txt;True;000078.txt;9.302343
000079.txt;True;000079.txt;8.142457
000080.txt;False;054411.txt;6.3496494
000081.txt;True;000081.txt;7.7931995
000082.txt;True;000082.txt;5.6940174
000083.txt;False;024606.txt;7.114257
000084.txt;True;000084.txt;10.653299
000085.txt;True;000085.txt;10.324031
000086.txt;True;000086.txt;7.742853
000087.txt;False;008070.txt;5.824641
000088.txt;False;070328.txt;10.6518
000089.txt;True;000089.txt;9.850905
000090.txt;False;076746.txt;6.9357395
000091.txt;True;000091.txt;10.456523
000092.txt;False;037283.txt;7.9185457
000093.txt;True;000093.txt;9.944466
000094.txt;True;000094.txt;10.525077
000095.txt;True;000095.txt;10.502901
000096.txt;True;000096.txt;12.200406
000097.txt;False;030891.txt;6.1354647
000098.txt;True;000098.txt;12.950905
000099.txt;True;000099.txt;12.688563
000100.txt;True;000100.txt;9.2186575
000101.txt;True;000101.txt;11.533247
000102.txt;False;061437.txt;4.603099
000103.txt;True;000103.txt;10.180925
000104.txt;False;000112.txt;7.867155
000105.txt;True;000105.txt;7.1510177
000106.txt;True;000106.txt;9.197102
000107.txt;True;000107.txt;7.669727
000108.txt;True;000108.txt;14.449207
000109.txt;True;000109.txt;14.433744
000110.txt;True;000110.txt;11.925573
000111.txt;True;000111.txt;10.361311
000112.txt;True;000112.txt;10.005668
000113.txt;True;000113.txt;7.2570543
000114.txt;True;000114.txt;10.892641
000115.txt;True;000115.txt;10.513733
000116.txt;False;035564.txt;4.6241465
000117.txt;False;000112.txt;11.271145
000118.txt;False;000120.txt;13.040806
000119.txt;True;000119.txt;7.957572
000120.txt;True;000120.txt;14.783988
000121.txt;False;000120.txt;11.941526
000122.txt;False;071029.txt;5.2870407
000123.txt;True;000123.txt;5.6112947
000124.txt;True;000124.txt;10.964184
000126.txt;False;046653.txt;14.051537
000127.txt;True;000127.txt;16.371778
000128.txt;True;000128.txt;14.547035
000129.txt;False;000112.txt;9.249189
000130.txt;True;000130.txt;13.30862
000131.txt;True;000131.txt;13.962124
000132.txt;True;000132.txt;14.312001
000133.txt;True;000133.txt;13.516134
000134.txt;True;000134.txt;9.983633
000135.txt;True;000135.txt;10.964519
000136.txt;True;000136.txt;14.904404
000137.txt;True;000137.txt;6.914194
000138.txt;True;000138.txt;7.633667
000139.txt;False;049934.txt;8.380766
000140.txt;False;008070.txt;7.2092223
000141.txt;True;000141.txt;9.8753395
000142.txt;False;014173.txt;4.327935
000143.txt;False;014674.txt;6.254469
000144.txt;False;014751.txt;7.4651027
000145.txt;False;006414.txt;4.355154
000146.txt;True;000146.txt;9.607431
000147.txt;False;000094.txt;8.228991
000148.txt;True;000148.txt;11.035696
000149.txt;True;000149.txt;12.301781
000150.txt;False;051369.txt;12.700483
000151.txt;False;040985.txt;5.4712477
000152.txt;True;000152.txt;10.839752
000153.txt;True;000153.txt;8.666382
000154.txt;False;023320.txt;4.257859
000155.txt;False;078946.txt;6.242534
000156.txt;False;026473.txt;8.703616
000157.txt;False;078624.txt;9.833028
000158.txt;False;016401.txt;12.055395
000159.txt;False;016401.txt;8.773003
000160.txt;False;016412.txt;7.968586
000161.txt;False;016401.txt;9.2083235
000162.txt;True;000162.txt;10.8907585
000163.txt;False;016401.txt;13.096221
000164.txt;True;000164.txt;9.911234
000165.txt;True;000165.txt;8.518961
000166.txt;True;000166.txt;12.248001
000167.txt;True;000167.txt;9.22077
000168.txt;True;000168.txt;11.44953
000169.txt;False;046255.txt;7.382942
000170.txt;True;000170.txt;12.889076
000171.txt;True;000171.txt;8.65221
000172.txt;True;000172.txt;9.937759
000173.txt;True;000173.txt;6.413534
000174.txt;False;037034.txt;8.313865
000175.txt;True;000175.txt;7.4827623
000176.txt;True;000176.txt;10.74995
000177.txt;False;071712.txt;9.444369
000178.txt;False;021886.txt;12.666157
000179.txt;False;072902.txt;8.984531
000180.txt;False;005585.txt;7.7028165
000181.txt;True;000181.txt;17.226124
000182.txt;True;000182.txt;15.734369
000183.txt;False;000181.txt;14.654001
000184.txt;True;000184.txt;12.651403
000185.txt;False;000181.txt;17.056017
000186.txt;False;011515.txt;10.862768
000187.txt;True;000187.txt;14.763166
000188.txt;True;000188.txt;16.141516
000189.txt;True;000189.txt;12.927418
000190.txt;True;000190.txt;14.6344185
000191.txt;True;000191.txt;8.075089
000192.txt;True;000192.txt;7.970954
000193.txt;False;007519.txt;13.255796
000194.txt;True;000194.txt;12.353132
000195.txt;True;000195.txt;7.1189837
000196.txt;False;071857.txt;5.813897
000197.txt;False;011640.txt;9.923075
000198.txt;True;000198.txt;12.637842
000199.txt;True;000199.txt;9.237359
000200.txt;True;000200.txt;9.487528
000201.txt;False;034024.txt;7.5426207
000202.txt;True;000202.txt;7.160779
000203.txt;False;077442.txt;8.238725
000204.txt;False;008720.txt;13.5714655
000205.txt;True;000205.txt;14.181629
000206.txt;True;000206.txt;7.109766
000207.txt;True;000207.txt;7.55552
000208.txt;True;000208.txt;6.9462557
000209.txt;True;000209.txt;10.185455
000210.txt;False;076704.txt;9.175374
000211.txt;True;000211.txt;13.769437
000212.txt;False;029677.txt;9.767138
000213.txt;False;057595.txt;9.19515
000214.txt;True;000214.txt;8.33688
000215.txt;True;000215.txt;6.1331434
000216.txt;False;049092.txt;9.65701
000217.txt;False;000176.txt;7.843567
000219.txt;False;029692.txt;9.878705
000220.txt;False;050374.txt;7.8348494
000221.txt;True;000221.txt;9.400448
000222.txt;True;000222.txt;13.949526
000223.txt;False;063482.txt;8.234964
000224.txt;True;000224.txt;6.813415
000225.txt;False;042828.txt;9.460248
000226.txt;True;000226.txt;8.955637
000227.txt;True;000227.txt;11.598859
000228.txt;True;000228.txt;9.763077
000229.txt;False;070034.txt;7.029707
000230.txt;True;000230.txt;8.431165
000231.txt;False;031299.txt;9.026608
000232.txt;False;003290.txt;5.133028
000233.txt;False;052901.txt;7.230254
000234.txt;False;034574.txt;10.676329
000235.txt;False;028470.txt;6.748512
000236.txt;True;000236.txt;15.395916
000237.txt;True;000237.txt;10.19974
000238.txt;False;052901.txt;6.405896
000239.txt;False;030292.txt;8.28077
000240.txt;False;041789.txt;7.8603754
000241.txt;True;000241.txt;9.573923
000242.txt;True;000242.txt;7.211404
000243.txt;True;000243.txt;8.350768
000244.txt;False;006799.txt;7.9408617
000245.txt;True;000245.txt;7.599243
000246.txt;False;040164.txt;8.186066
