query_file;found;search_result;search_distances
000000.txt;False;055457.txt;0.33003566
000001.txt;True;000001.txt;0.24781647
000002.txt;True;000002.txt;0.24940602
000003.txt;False;077552.txt;0.28335696
000004.txt;True;000004.txt;0.28409237
000005.txt;False;002663.txt;0.29278925
000006.txt;True;000006.txt;0.31536806
000007.txt;False;046020.txt;0.35250074
000008.txt;False;063791.txt;0.33040467
000009.txt;False;041594.txt;0.34546348
000010.txt;True;000010.txt;0.19269305
000011.txt;True;000011.txt;0.24844499
000012.txt;True;000012.txt;0.2469798
000013.txt;True;000013.txt;0.20423815
000014.txt;True;000014.txt;0.24709545
000015.txt;True;000015.txt;0.19131342
000016.txt;False;000015.txt;0.27132726
000017.txt;True;000017.txt;0.27954054
000018.txt;True;000018.txt;0.28303218
000019.txt;False;009754.txt;0.26138794
000020.txt;True;000020.txt;0.319057
000021.txt;True;000021.txt;0.20647427
000022.txt;True;000022.txt;0.18150428
000023.txt;True;000023.txt;0.21994111
000024.txt;False;076862.txt;0.2556904
000025.txt;True;000025.txt;0.17555144
000026.txt;False;055457.txt;0.32818478
000027.txt;True;000027.txt;0.16424383
000028.txt;True;000028.txt;0.17304233
000029.txt;True;000029.txt;0.18287599
000030.txt;False;075527.txt;0.2670286
000031.txt;False;016165.txt;0.27831435
000032.txt;False;010693.txt;0.3330105
000034.txt;False;037394.txt;0.35450965
000035.txt;False;050179.txt;0.34346312
000036.txt;True;000036.txt;0.2607151
000037.txt;True;000037.txt;0.1715489
000038.txt;True;000038.txt;0.1529621
000039.txt;True;000039.txt;0.18945289
000040.txt;True;000040.txt;0.17666337
000041.txt;True;000041.txt;0.17472655
000042.txt;True;000042.txt;0.16141886
000043.txt;True;000043.txt;0.18256536
000044.txt;True;000044.txt;0.28000522
000045.txt;True;000045.txt;0.28901458
000046.txt;True;000046.txt;0.33321005
000047.txt;False;015597.txt;0.2858637
000048.txt;True;000048.txt;0.20366687
000049.txt;True;000049.txt;0.2073585
000050.txt;False;030729.txt;0.31005257
000051.txt;False;006345.txt;0.28412545
000052.txt;False;006572.txt;0.34026563
000053.txt;True;000053.txt;0.2309735
000054.txt;False;037595.txt;0.36423057
000055.txt;False;055457.txt;0.37001908
000056.txt;True;000056.txt;0.26972747
000057.txt;True;000057.txt;0.29920655
000058.txt;True;000058.txt;0.24070151
000059.txt;False;063791.txt;0.33015084
000060.txt;True;000060.txt;0.24862541
000061.txt;True;000061.txt;0.31906265
000062.txt;False;077552.txt;0.31614178
000063.txt;True;000063.txt;0.2978629
000064.txt;True;000064.txt;0.25775474
000065.txt;True;000065.txt;0.22734421
000066.txt;False;003091.txt;0.32932675
000067.txt;True;000067.txt;0.2931444
000068.txt;True;000068.txt;0.28874508
000069.txt;True;000069.txt;0.29337612
000070.txt;False;075545.txt;0.31478915
000071.txt;False;048283.txt;0.33279976
000072.txt;True;000072.txt;0.23880625
000073.txt;False;015120.txt;0.36039424
000074.txt;False;063791.txt;0.35786885
000075.txt;True;000075.txt;0.29487157
000076.txt;False;008313.txt;0.32310075
