query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.34552404
000001.txt;True;000001.txt;0.22581738
000002.txt;True;000002.txt;0.22766057
000003.txt;False;078573.txt;0.32042968
000004.txt;True;000004.txt;0.28749734
000005.txt;False;036941.txt;0.2956747
000006.txt;False;078880.txt;0.35910207
000007.txt;False;001198.txt;0.36678636
000008.txt;True;000008.txt;0.32594422
000009.txt;False;078559.txt;0.39457774
000010.txt;False;005307.txt;0.2813028
000011.txt;True;000011.txt;0.23289768
000012.txt;True;000012.txt;0.26967525
000013.txt;True;000013.txt;0.19819242
000014.txt;True;000014.txt;0.28308645
000015.txt;True;000015.txt;0.17828465
000016.txt;False;000015.txt;0.24013382
000017.txt;True;000017.txt;0.3051013
000018.txt;True;000018.txt;0.30571744
000019.txt;True;000019.txt;0.29181987
000020.txt;True;000020.txt;0.34195662
000021.txt;True;000021.txt;0.17263925
000022.txt;True;000022.txt;0.17185146
000023.txt;True;000023.txt;0.22079128
000024.txt;True;000024.txt;0.228145
000025.txt;True;000025.txt;0.14941815
000026.txt;True;000026.txt;0.2831009
000027.txt;True;000027.txt;0.15583917
000028.txt;True;000028.txt;0.13980617
000029.txt;True;000029.txt;0.189872
000030.txt;False;007571.txt;0.28214723
000031.txt;False;016165.txt;0.23095238
000032.txt;False;063963.txt;0.3561502
000034.txt;False;008872.txt;0.3858766
000035.txt;False;027736.txt;0.38772377
000036.txt;False;027263.txt;0.32830194
000037.txt;True;000037.txt;0.16922966
000038.txt;True;000038.txt;0.15024051
000039.txt;True;000039.txt;0.16875607
000040.txt;True;000040.txt;0.15573269
000041.txt;True;000041.txt;0.16084884
000042.txt;True;000042.txt;0.13989395
000043.txt;True;000043.txt;0.15843588
000044.txt;True;000044.txt;0.2699702
000045.txt;True;000045.txt;0.24919637
000046.txt;False;000126.txt;0.30342978
000047.txt;False;075527.txt;0.27552873
000048.txt;True;000048.txt;0.2397924
000049.txt;True;000049.txt;0.21852314
000050.txt;False;076413.txt;0.32735088
000051.txt;False;000272.txt;0.3089349
000052.txt;True;000052.txt;0.24641533
000053.txt;True;000053.txt;0.2502304
000054.txt;True;000054.txt;0.3441771
000055.txt;True;000055.txt;0.38916075
000056.txt;True;000056.txt;0.26455113
000057.txt;False;004089.txt;0.3072372
000058.txt;True;000058.txt;0.29497048
000059.txt;True;000059.txt;0.3577836
000060.txt;True;000060.txt;0.24697815
000061.txt;True;000061.txt;0.32460767
000062.txt;True;000062.txt;0.28202426
000063.txt;True;000063.txt;0.3146965
000064.txt;True;000064.txt;0.28941533
000065.txt;True;000065.txt;0.24149185
000066.txt;True;000066.txt;0.28896222
000067.txt;True;000067.txt;0.2804382
000068.txt;True;000068.txt;0.34172165
000069.txt;True;000069.txt;0.31183243
000070.txt;False;075548.txt;0.34791696
000071.txt;True;000071.txt;0.35409293
000072.txt;True;000072.txt;0.22827852
000073.txt;False;076966.txt;0.33511373
000074.txt;False;001581.txt;0.37689602
000075.txt;True;000075.txt;0.34630787
000076.txt;False;028440.txt;0.36288908
000077.txt;False;041097.txt;0.30854562
000078.txt;False;076146.txt;0.3742955
000079.txt;True;000079.txt;0.3180061
000080.txt;True;000080.txt;0.23019272
000081.txt;True;000081.txt;0.2665645
000082.txt;True;000082.txt;0.2410985
000083.txt;False;044213.txt;0.35245338
000084.txt;False;046613.txt;0.36894175
000085.txt;False;063802.txt;0.34758663
000086.txt;True;000086.txt;0.2925436
000087.txt;True;000087.txt;0.23980366
000088.txt;False;000089.txt;0.3696937
000089.txt;True;000089.txt;0.3696605
000090.txt;False;062219.txt;0.36781555
000091.txt;False;076436.txt;0.28763944
000092.txt;False;009054.txt;0.27052876
000093.txt;False;053129.txt;0.3589814
000094.txt;False;028990.txt;0.377647
000095.txt;True;000095.txt;0.33612883
000096.txt;False;078583.txt;0.37217623
000097.txt;False;001198.txt;0.3915685
000098.txt;True;000098.txt;0.31340265
000099.txt;True;000099.txt;0.30783972
000100.txt;False;002447.txt;0.3498658
000101.txt;True;000101.txt;0.33264583
000102.txt;True;000102.txt;0.26516396
000103.txt;False;009886.txt;0.36331385
000104.txt;False;078583.txt;0.36036777
000105.txt;True;000105.txt;0.3096361
000106.txt;True;000106.txt;0.27703327
000107.txt;True;000107.txt;0.33711052
000108.txt;True;000108.txt;0.15604801
000109.txt;True;000109.txt;0.13853034
000110.txt;True;000110.txt;0.39715523
000111.txt;True;000111.txt;0.26471108
000112.txt;True;000112.txt;0.39684516
000113.txt;True;000113.txt;0.29054368
000114.txt;True;000114.txt;0.29953343
000115.txt;True;000115.txt;0.32422644
000116.txt;False;072310.txt;0.2692264
000117.txt;True;000117.txt;0.39916816
000118.txt;True;000118.txt;0.22809741
000119.txt;False;078583.txt;0.35131323
000120.txt;True;000120.txt;0.19606683
000121.txt;True;000121.txt;0.2443367
000122.txt;False;078583.txt;0.39399993
000123.txt;False;074427.txt;0.31299862
000124.txt;False;055978.txt;0.33011895
000126.txt;True;000126.txt;0.23772337
000127.txt;True;000127.txt;0.28568512
000128.txt;True;000128.txt;0.23540722
000129.txt;False;078583.txt;0.37870204
000130.txt;True;000130.txt;0.28469932
000131.txt;False;000126.txt;0.3409929
000132.txt;True;000132.txt;0.29141903
000133.txt;False;000271.txt;0.31340623
000134.txt;False;017801.txt;0.39738327
000135.txt;True;000135.txt;0.27903876
000136.txt;True;000136.txt;0.26570976
000137.txt;False;001189.txt;0.40363932
000138.txt;True;000138.txt;0.22877148
