query_file;found;search_result;search_distances
000000.txt;True;000000.txt;9.36517
000001.txt;True;000001.txt;8.763872
000002.txt;False;074394.txt;6.767795
000003.txt;True;000003.txt;9.152709
000004.txt;True;000004.txt;13.098595
000005.txt;True;000005.txt;6.8847117
000006.txt;False;030652.txt;9.78145
000007.txt;True;000007.txt;8.683561
000008.txt;False;000701.txt;6.2920523
000009.txt;False;002500.txt;6.234329
000010.txt;True;000010.txt;7.0781274
000011.txt;True;000011.txt;13.953278
000012.txt;True;000012.txt;8.441925
000013.txt;True;000013.txt;9.559893
000014.txt;True;000014.txt;10.323885
000015.txt;True;000015.txt;11.411458
000016.txt;False;069346.txt;11.596998
000017.txt;True;000017.txt;11.2579775
000018.txt;True;000018.txt;9.784041
000019.txt;True;000019.txt;12.252201
000020.txt;False;073916.txt;7.0448103
000021.txt;True;000021.txt;13.039869
000022.txt;True;000022.txt;14.161422
000023.txt;False;000025.txt;12.819359
000024.txt;True;000024.txt;13.383854
000025.txt;True;000025.txt;14.531324
000026.txt;True;000026.txt;11.161156
000027.txt;True;000027.txt;14.861553
000028.txt;True;000028.txt;15.138113
000029.txt;False;000028.txt;13.672947
000030.txt;False;057225.txt;11.452378
000031.txt;False;016442.txt;12.345003
000032.txt;False;077511.txt;11.386018
000034.txt;True;000034.txt;7.5261393
000035.txt;False;042806.txt;8.742302
000036.txt;False;001929.txt;9.734432
000037.txt;True;000037.txt;14.705692
000038.txt;True;000038.txt;15.322559
000039.txt;True;000039.txt;14.729204
000040.txt;True;000040.txt;14.131743
000041.txt;True;000041.txt;14.610441
000042.txt;True;000042.txt;14.59457
000043.txt;True;000043.txt;15.036247
000044.txt;False;067286.txt;11.302048
000045.txt;True;000045.txt;13.029921
000046.txt;False;000126.txt;10.248983
000047.txt;True;000047.txt;13.141092
000048.txt;True;000048.txt;8.147298
000049.txt;False;056732.txt;7.429163
000050.txt;True;000050.txt;5.6181574
000051.txt;False;001403.txt;11.724527
000052.txt;True;000052.txt;10.874096
000053.txt;False;054411.txt;6.827937
000054.txt;True;000054.txt;12.745846
000055.txt;True;000055.txt;10.120302
000056.txt;True;000056.txt;7.9333177
000057.txt;True;000057.txt;8.267911
000058.txt;True;000058.txt;6.4069915
000059.txt;True;000059.txt;7.2967544
000060.txt;False;054411.txt;6.448963
000061.txt;False;026104.txt;8.126492
000062.txt;True;000062.txt;8.035294
000063.txt;True;000063.txt;14.818635
000064.txt;False;054411.txt;6.93836
000065.txt;True;000065.txt;7.4182835
000066.txt;True;000066.txt;9.862058
000067.txt;False;042704.txt;8.991402
000068.txt;True;000068.txt;10.584019
000069.txt;False;038911.txt;8.897761
000070.txt;True;000070.txt;7.752364
