query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.012047626
000001.txt;True;000001.txt;0.011003289
000002.txt;False;051693.txt;0.024502747
000003.txt;True;000003.txt;0.013634555
000004.txt;False;006351.txt;0.027466191
000005.txt;True;000005.txt;0.03808552
000006.txt;True;000006.txt;0.037389785
000007.txt;False;025584.txt;0.022869546
000008.txt;False;039536.txt;0.045887373
000009.txt;True;000009.txt;0.018310059
000010.txt;True;000010.txt;0.023719043
000011.txt;True;000011.txt;0.013610359
000012.txt;False;033399.txt;0.033088543
000013.txt;True;000013.txt;0.013336201
000014.txt;False;075313.txt;0.024204101
000015.txt;True;000015.txt;0.021783756
000016.txt;False;069346.txt;0.025621135
000017.txt;False;039089.txt;0.029925834
000018.txt;True;000018.txt;0.019639129
000019.txt;True;000019.txt;0.006298201
000020.txt;False;016168.txt;0.023371402
000021.txt;False;000019.txt;0.027509427
000022.txt;False;024468.txt;0.027775105
000023.txt;False;000019.txt;0.028449647
000024.txt;False;058403.txt;0.026320143
000025.txt;False;049638.txt;0.025660463
000026.txt;False;008825.txt;0.029005628
000027.txt;False;049638.txt;0.028737295
000028.txt;False;024473.txt;0.026710702
000029.txt;False;000019.txt;0.028852848
000030.txt;True;000030.txt;0.022644974
000031.txt;True;000031.txt;0.02204754
000032.txt;False;044919.txt;0.023406867
000034.txt;False;006174.txt;0.044293024
000035.txt;False;042806.txt;0.02633187
000036.txt;True;000036.txt;0.015678827
000037.txt;False;024472.txt;0.027570343
000038.txt;False;000019.txt;0.028611332
000039.txt;False;000019.txt;0.028869692
000040.txt;False;000019.txt;0.028304502
000041.txt;False;000019.txt;0.029550722
000042.txt;False;000019.txt;0.029329224
000043.txt;False;000019.txt;0.029638227
000044.txt;True;000044.txt;0.017219827
000045.txt;True;000045.txt;0.018447185
000046.txt;True;000046.txt;0.016190521
000047.txt;True;000047.txt;0.02055807
000048.txt;False;009470.txt;0.027659439
000049.txt;False;008528.txt;0.027348328
000050.txt;True;000050.txt;0.030102886
000051.txt;True;000051.txt;0.016487552
000052.txt;True;000052.txt;0.016560482
000053.txt;False;037827.txt;0.031551193
000054.txt;False;069899.txt;0.022806562
000055.txt;False;000575.txt;0.021876672
000056.txt;True;000056.txt;0.020653374
000057.txt;False;002808.txt;0.027418569
000058.txt;False;070333.txt;0.021894291
000059.txt;True;000059.txt;0.018005464
000060.txt;False;056864.txt;0.020986106
000061.txt;True;000061.txt;0.042640597
000062.txt;True;000062.txt;0.028660066
000063.txt;False;017265.txt;0.022967728
