query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.80534065
000001.txt;True;000001.txt;0.73340917
000002.txt;True;000002.txt;0.7827176
000003.txt;True;000003.txt;0.7886409
000004.txt;True;000004.txt;0.7757723
000005.txt;False;036941.txt;0.7328961
000006.txt;False;026102.txt;0.7013147
000007.txt;True;000007.txt;0.7611301
000008.txt;True;000008.txt;0.7711782
000009.txt;False;029558.txt;0.61236954
000010.txt;True;000010.txt;0.8081882
000011.txt;False;001399.txt;0.8046891
000012.txt;True;000012.txt;0.73880684
000013.txt;True;000013.txt;0.7418077
000014.txt;True;000014.txt;0.73337615
000015.txt;True;000015.txt;0.89387155
000016.txt;True;000016.txt;0.8238375
000017.txt;True;000017.txt;0.6606374
000018.txt;False;040841.txt;0.6715464
000019.txt;True;000019.txt;0.7685381
000020.txt;False;042466.txt;0.6705359
000021.txt;True;000021.txt;0.8259105
000022.txt;True;000022.txt;0.91378427
000023.txt;False;000022.txt;0.79297405
000024.txt;False;000042.txt;0.7909486
000025.txt;True;000025.txt;0.9214517
000026.txt;True;000026.txt;0.86521614
000027.txt;True;000027.txt;0.93212914
000028.txt;True;000028.txt;0.9242277
000029.txt;False;000041.txt;0.82605016
000030.txt;True;000030.txt;0.7991135
000031.txt;False;016165.txt;0.78666925
000032.txt;False;015383.txt;0.6033912
000034.txt;True;000034.txt;0.8149829
000035.txt;False;043662.txt;0.702359
000036.txt;False;009103.txt;0.6981932
000037.txt;True;000037.txt;0.8941034
000038.txt;True;000038.txt;0.9349303
000039.txt;True;000039.txt;0.9227866
000040.txt;True;000040.txt;0.93070626
000041.txt;True;000041.txt;0.9286135
000042.txt;True;000042.txt;0.93032914
000043.txt;True;000043.txt;0.91997504
000044.txt;True;000044.txt;0.7900889
000045.txt;True;000045.txt;0.8007411
000046.txt;False;000126.txt;0.77414274
000047.txt;False;000281.txt;0.80772567
000048.txt;True;000048.txt;0.79594374
000049.txt;True;000049.txt;0.731317
000050.txt;False;002950.txt;0.80237997
000051.txt;False;001399.txt;0.78658605
000052.txt;True;000052.txt;0.7883157
000053.txt;False;002787.txt;0.738675
000054.txt;True;000054.txt;0.7828535
000055.txt;False;020197.txt;0.7180853
000056.txt;True;000056.txt;0.794593
000057.txt;True;000057.txt;0.74031717
000058.txt;False;002787.txt;0.7234299
000059.txt;False;058264.txt;0.71941894
000060.txt;False;030729.txt;0.72693914
000061.txt;False;026204.txt;0.7574456
000062.txt;True;000062.txt;0.84963924
000063.txt;True;000063.txt;0.76599896
000064.txt;True;000064.txt;0.7294349
000065.txt;True;000065.txt;0.866472
000066.txt;True;000066.txt;0.7240151
000067.txt;True;000067.txt;0.8514552
000068.txt;True;000068.txt;0.8761743
000069.txt;True;000069.txt;0.75620294
000070.txt;False;075548.txt;0.70608026
000071.txt;False;003584.txt;0.75787246
000072.txt;False;001451.txt;0.76699084
000073.txt;True;000073.txt;0.77917325
000074.txt;True;000074.txt;0.63705814
000075.txt;True;000075.txt;0.7506032
000076.txt;True;000076.txt;0.70342433
000077.txt;True;000077.txt;0.71704686
000078.txt;True;000078.txt;0.7446479
000079.txt;True;000079.txt;0.7644815
000080.txt;False;002787.txt;0.7239224
000081.txt;False;002787.txt;0.71525496
000082.txt;False;004112.txt;0.71050346
000083.txt;False;049976.txt;0.73462963
000084.txt;True;000084.txt;0.6820569
000085.txt;True;000085.txt;0.8081058
000086.txt;True;000086.txt;0.7797973
000087.txt;False;016921.txt;0.7823962
000088.txt;False;069591.txt;0.76734364
000089.txt;True;000089.txt;0.7789956
000090.txt;False;001042.txt;0.65880513
000091.txt;True;000091.txt;0.79317796
000092.txt;False;000210.txt;0.74757636
000093.txt;True;000093.txt;0.7530304
000094.txt;False;019647.txt;0.7642223
000095.txt;True;000095.txt;0.788553
000096.txt;True;000096.txt;0.7768997
000097.txt;True;000097.txt;0.7336808
000098.txt;False;007634.txt;0.8087574
000099.txt;False;035363.txt;0.65393114
000100.txt;True;000100.txt;0.8010162
000101.txt;True;000101.txt;0.6847868
000102.txt;False;000145.txt;0.7525171
000103.txt;False;000089.txt;0.76181513
000104.txt;False;004931.txt;0.6703163
000105.txt;True;000105.txt;0.7523356
000106.txt;True;000106.txt;0.85597867
000107.txt;True;000107.txt;0.6997266
000108.txt;True;000108.txt;0.92432725
000109.txt;True;000109.txt;0.9354978
000110.txt;True;000110.txt;0.7303843
000111.txt;True;000111.txt;0.74919534
000112.txt;True;000112.txt;0.6892421
000113.txt;True;000113.txt;0.73944616
000114.txt;True;000114.txt;0.7702737
000115.txt;True;000115.txt;0.7970929
000116.txt;False;046230.txt;0.7383839
000117.txt;True;000117.txt;0.67659223
000118.txt;False;000121.txt;0.7721568
000119.txt;False;003521.txt;0.65033245
000120.txt;True;000120.txt;0.81220824
000121.txt;True;000121.txt;0.7250383
000122.txt;True;000122.txt;0.6792758
000123.txt;True;000123.txt;0.72637665
000124.txt;True;000124.txt;0.72178394
000126.txt;True;000126.txt;0.8707553
000127.txt;True;000127.txt;0.8015338
000128.txt;True;000128.txt;0.7026555
000129.txt;False;007831.txt;0.6686677
000130.txt;False;001399.txt;0.7957746
000131.txt;False;000183.txt;0.7470138
000132.txt;False;000188.txt;0.770454
000133.txt;False;000183.txt;0.76398265
000134.txt;False;012897.txt;0.6526139
000135.txt;True;000135.txt;0.6901779
000136.txt;True;000136.txt;0.7788079
000137.txt;True;000137.txt;0.72631717
000138.txt;True;000138.txt;0.7625164
000139.txt;False;035877.txt;0.63511014
000140.txt;True;000140.txt;0.730552
000141.txt;True;000141.txt;0.78077114
000142.txt;False;000145.txt;0.722214
000143.txt;True;000143.txt;0.76169515
000144.txt;True;000144.txt;0.7464653
000145.txt;True;000145.txt;0.81063294
000146.txt;False;042891.txt;0.69403106
000147.txt;False;075312.txt;0.6903787
000148.txt;True;000148.txt;0.77903366
000149.txt;True;000149.txt;0.90936375
000150.txt;True;000150.txt;0.5827139
000151.txt;False;051953.txt;0.69102407
000152.txt;True;000152.txt;0.65887904
000153.txt;True;000153.txt;0.8588064
000154.txt;False;072310.txt;0.69871414
000155.txt;False;076700.txt;0.70403767
000156.txt;True;000156.txt;0.79615
000157.txt;True;000157.txt;0.74588096
000158.txt;True;000158.txt;0.7550109
000159.txt;False;078625.txt;0.70295876
000160.txt;True;000160.txt;0.82563365
000161.txt;True;000161.txt;0.72826713
000162.txt;False;049976.txt;0.71572435
000163.txt;False;000022.txt;0.6887889
000164.txt;True;000164.txt;0.77752984
000165.txt;True;000165.txt;0.7640503
000166.txt;True;000166.txt;0.8044784
000167.txt;True;000167.txt;0.7322829
000168.txt;True;000168.txt;0.72629845
000169.txt;False;021420.txt;0.6535662
000170.txt;True;000170.txt;0.8333941
000171.txt;True;000171.txt;0.82173365
000172.txt;True;000172.txt;0.77061343
000173.txt;False;072939.txt;0.6252909
000174.txt;True;000174.txt;0.7699116
000175.txt;True;000175.txt;0.7976461
000176.txt;True;000176.txt;0.8457844
000177.txt;True;000177.txt;0.7898867
000178.txt;True;000178.txt;0.7204257
000179.txt;False;013368.txt;0.6699226
000180.txt;True;000180.txt;0.61821747
000181.txt;False;001399.txt;0.77768433
000182.txt;True;000182.txt;0.81431127
000183.txt;True;000183.txt;0.8302314
000184.txt;True;000184.txt;0.78712094
000185.txt;False;008719.txt;0.7739935
000186.txt;True;000186.txt;0.6729916
000187.txt;False;000282.txt;0.7587817
000188.txt;True;000188.txt;0.7851887
000189.txt;False;000281.txt;0.7358378
000190.txt;False;000271.txt;0.7348248
000191.txt;False;052781.txt;0.7481668
000192.txt;False;074614.txt;0.6554615
000193.txt;True;000193.txt;0.7092799
000194.txt;True;000194.txt;0.68549293
000195.txt;True;000195.txt;0.7713349
000196.txt;True;000196.txt;0.81045264
000197.txt;False;048775.txt;0.68378925
000198.txt;True;000198.txt;0.65935564
000199.txt;True;000199.txt;0.7484023
000200.txt;True;000200.txt;0.64564764
000201.txt;False;078312.txt;0.73629487
000202.txt;True;000202.txt;0.82334125
000203.txt;False;000347.txt;0.7039276
000204.txt;False;000028.txt;0.7100922
000205.txt;False;000109.txt;0.72880846
000206.txt;True;000206.txt;0.8156718
000207.txt;True;000207.txt;0.67711616
000208.txt;False;071946.txt;0.6732363
