query_file;found;search_result;search_distances
000000.txt;False;031325.txt;0.06997977
000001.txt;True;000001.txt;0.052825555
000002.txt;False;017782.txt;0.0516449
000003.txt;False;020801.txt;0.06640539
000004.txt;True;000004.txt;0.048195437
000005.txt;False;005307.txt;0.060585395
000006.txt;False;032051.txt;0.035625055
000007.txt;False;074081.txt;0.06879458
000008.txt;True;000008.txt;0.067677
000009.txt;False;009949.txt;0.070535585
000010.txt;False;005307.txt;0.07764934
000011.txt;False;001399.txt;0.05395923
000012.txt;False;034861.txt;0.06112897
000013.txt;False;064825.txt;0.07734652
000014.txt;False;001406.txt;0.06436528
000015.txt;False;070371.txt;0.058135733
000016.txt;False;048714.txt;0.06844862
000017.txt;False;001364.txt;0.046324067
000018.txt;True;000018.txt;0.056786753
000019.txt;True;000019.txt;0.07869394
000020.txt;False;047411.txt;0.07264671
000021.txt;False;016298.txt;0.06760678
000022.txt;True;000022.txt;0.054372963
000023.txt;False;000025.txt;0.05730729
000024.txt;False;051482.txt;0.07099933
000025.txt;True;000025.txt;0.068824485
000026.txt;False;034522.txt;0.07006931
000027.txt;True;000027.txt;0.06506306
000028.txt;True;000028.txt;0.06368438
000029.txt;True;000029.txt;0.06471121
000030.txt;False;005307.txt;0.085266456
000031.txt;False;005307.txt;0.06639536
000032.txt;False;030154.txt;0.06538077
000034.txt;False;030791.txt;0.07587649
000035.txt;False;001840.txt;0.07467484
000036.txt;False;034522.txt;0.07897698
000037.txt;True;000037.txt;0.06353532
000038.txt;True;000038.txt;0.06481002
000039.txt;True;000039.txt;0.062644154
000040.txt;True;000040.txt;0.06276175
000041.txt;True;000041.txt;0.063379794
000042.txt;False;002524.txt;0.06309295
000043.txt;True;000043.txt;0.06436633
000044.txt;True;000044.txt;0.061255753
000045.txt;True;000045.txt;0.060958955
000046.txt;False;000126.txt;0.07659771
000047.txt;False;000126.txt;0.075601816
000048.txt;True;000048.txt;0.06837176
000049.txt;False;046257.txt;0.079879045
000050.txt;False;033154.txt;0.07837118
000051.txt;False;000181.txt;0.06287233
000052.txt;False;000126.txt;0.063861445
000053.txt;False;028596.txt;0.09194851
000054.txt;False;001840.txt;0.079130635
000055.txt;True;000055.txt;0.05011596
000056.txt;False;005307.txt;0.07888906
000057.txt;False;019656.txt;0.08639521
000058.txt;False;031005.txt;0.08439124
000059.txt;False;004983.txt;0.08900885
000060.txt;False;028596.txt;0.081957325
000061.txt;False;058488.txt;0.03976744
000062.txt;True;000062.txt;0.07573326
000063.txt;False;064747.txt;0.08393005
000064.txt;False;001840.txt;0.098272204
000065.txt;True;000065.txt;0.082790375
000066.txt;False;024151.txt;0.053200994
000067.txt;True;000067.txt;0.08118154
000068.txt;False;021666.txt;0.07406837
000069.txt;False;031936.txt;0.07435308
000070.txt;False;074609.txt;0.08009973
000071.txt;True;000071.txt;0.08535079
000072.txt;False;005307.txt;0.07646724
000073.txt;False;042364.txt;0.070676185
000074.txt;False;034522.txt;0.080994986
000075.txt;False;004153.txt;0.08513648
000076.txt;True;000076.txt;0.052004024
000077.txt;True;000077.txt;0.05275612
000078.txt;False;026465.txt;0.07656993
000079.txt;False;037002.txt;0.067558914
000080.txt;False;066317.txt;0.07145152
000081.txt;False;001840.txt;0.06664759
000082.txt;False;033154.txt;0.05816409
000083.txt;False;001840.txt;0.08935473
000084.txt;False;069722.txt;0.04735217
000085.txt;False;042364.txt;0.061743412
000086.txt;False;042364.txt;0.054287698
000087.txt;False;019656.txt;0.096136004
000088.txt;False;028889.txt;0.09272825
000089.txt;False;005528.txt;0.08290243
000090.txt;False;050934.txt;0.07393175
000091.txt;False;034861.txt;0.07665205
000092.txt;False;046227.txt;0.081391335
000093.txt;False;031273.txt;0.06580804
000094.txt;False;019656.txt;0.084011
000095.txt;False;033154.txt;0.08434641
000096.txt;False;004983.txt;0.078633495
000097.txt;False;019656.txt;0.07332642
000098.txt;True;000098.txt;0.088645905
000099.txt;False;034522.txt;0.08928278
000100.txt;False;054900.txt;0.08354251
000101.txt;False;073608.txt;0.07058217
000102.txt;False;033154.txt;0.093591064
000103.txt;False;015340.txt;0.08322907
000104.txt;False;001840.txt;0.059313554
000105.txt;False;000854.txt;0.0506671
000106.txt;True;000106.txt;0.07268421
000107.txt;True;000107.txt;0.04495959
000108.txt;False;019548.txt;0.064682834
000109.txt;False;002524.txt;0.064790696
000110.txt;False;041440.txt;0.056742556
000111.txt;False;034522.txt;0.09974538
000112.txt;False;028222.txt;0.04724668
000113.txt;False;003246.txt;0.05559429
000114.txt;False;033154.txt;0.068828024
000115.txt;False;034522.txt;0.08564716
000116.txt;False;033154.txt;0.10107674
000117.txt;True;000117.txt;0.04705336
000118.txt;False;046159.txt;0.05846117
000119.txt;False;016480.txt;0.05728756
000120.txt;True;000120.txt;0.051759828
000121.txt;False;005307.txt;0.059284046
000122.txt;False;019656.txt;0.051855437
000123.txt;False;033154.txt;0.08139904
000124.txt;True;000124.txt;0.0653276
000126.txt;True;000126.txt;0.086358145
000127.txt;False;000126.txt;0.059532568
000128.txt;True;000128.txt;0.052639715
000129.txt;False;006244.txt;0.06663861
000130.txt;False;000281.txt;0.061157715
000131.txt;False;000281.txt;0.048678502
000132.txt;False;000281.txt;0.05213766
000133.txt;False;000281.txt;0.055971306
000134.txt;False;073608.txt;0.07076783
000135.txt;False;019656.txt;0.07409249
000136.txt;True;000136.txt;0.07454306
000137.txt;False;011542.txt;0.07237257
000138.txt;True;000138.txt;0.07257518
000139.txt;False;019656.txt;0.06286149
000140.txt;False;034861.txt;0.07132664
000141.txt;False;001840.txt;0.08048761
000142.txt;False;019656.txt;0.090983436
000143.txt;False;015340.txt;0.090554275
000144.txt;False;007773.txt;0.07827826
000145.txt;False;033154.txt;0.089332506
000146.txt;False;037002.txt;0.07714465
000147.txt;False;073608.txt;0.06766554
000148.txt;False;026465.txt;0.075469285
000149.txt;False;001840.txt;0.08228162
000150.txt;True;000150.txt;0.033455122
000151.txt;False;019656.txt;0.06841436
000152.txt;False;025855.txt;0.065487474
000153.txt;True;000153.txt;0.07769793
000154.txt;False;019656.txt;0.0831884
000155.txt;False;037002.txt;0.069045335
000156.txt;False;011542.txt;0.08206847
000157.txt;False;042636.txt;0.07982953
000158.txt;True;000158.txt;0.06481952
000159.txt;False;078564.txt;0.04438412
000160.txt;True;000160.txt;0.060651377
000161.txt;True;000161.txt;0.061668746
000162.txt;False;047411.txt;0.077710256
000163.txt;False;000158.txt;0.04295115
000164.txt;False;011542.txt;0.08350075
000165.txt;False;011542.txt;0.08581675
000166.txt;True;000166.txt;0.06575749
000167.txt;True;000167.txt;0.05384089
000168.txt;False;064747.txt;0.059355147
000169.txt;False;019656.txt;0.09641744
000170.txt;False;064747.txt;0.06726465
000171.txt;False;028222.txt;0.1199749
000172.txt;False;028889.txt;0.071378455
000173.txt;False;072939.txt;0.054085933
000174.txt;False;028889.txt;0.0926567
000175.txt;False;064747.txt;0.083400086
000176.txt;False;019656.txt;0.07693723
000177.txt;False;019656.txt;0.08483607
000178.txt;False;010912.txt;0.08721089
000179.txt;False;000982.txt;0.07998452
000180.txt;False;001840.txt;0.06638679
000181.txt;True;000181.txt;0.07474946
000182.txt;False;000181.txt;0.07211098
000183.txt;False;000181.txt;0.05378308
000184.txt;True;000184.txt;0.059308004
000185.txt;False;000181.txt;0.066317454
000186.txt;False;033154.txt;0.07397927
000187.txt;False;000126.txt;0.07633765
000188.txt;False;000126.txt;0.060875654
000189.txt;False;000126.txt;0.071774825
000190.txt;False;000271.txt;0.06000664
000191.txt;False;052890.txt;0.07084392
000192.txt;False;019819.txt;0.08831758
000193.txt;False;008230.txt;0.06205
000194.txt;False;011542.txt;0.08016303
000195.txt;False;019656.txt;0.10353997
000196.txt;False;013929.txt;0.073129445
000197.txt;False;041988.txt;0.046496235
000198.txt;False;001840.txt;0.09401158
000199.txt;False;011542.txt;0.084331945
000200.txt;True;000200.txt;0.039419435
000201.txt;False;011542.txt;0.06764262
000202.txt;False;028889.txt;0.07648969
000203.txt;False;019091.txt;0.058677055
000204.txt;False;008718.txt;0.046771213
000205.txt;False;078625.txt;0.04651781
000206.txt;True;000206.txt;0.06034272
000207.txt;False;001840.txt;0.082739025
000208.txt;False;019656.txt;0.07897067
000209.txt;False;064747.txt;0.06909332
000210.txt;False;033154.txt;0.07746812
000211.txt;False;033154.txt;0.07539265
000212.txt;False;046227.txt;0.086813465
000213.txt;False;019656.txt;0.0726625
000214.txt;True;000214.txt;0.06482293
000215.txt;False;011542.txt;0.079750046
000216.txt;False;007033.txt;0.051921383
000217.txt;False;000243.txt;0.057309084
000219.txt;False;011542.txt;0.08779088
000220.txt;False;019656.txt;0.074208476
000221.txt;False;053280.txt;0.07652013
000222.txt;False;001840.txt;0.07459673
000223.txt;False;001840.txt;0.076108724
000224.txt;False;019656.txt;0.073227644
000225.txt;True;000225.txt;0.054155074
000226.txt;False;064747.txt;0.081255585
000227.txt;False;005307.txt;0.08064059
000228.txt;False;005307.txt;0.077344984
000229.txt;False;019656.txt;0.08770921
000230.txt;False;034522.txt;0.074780524
000231.txt;True;000231.txt;0.036891673
000232.txt;False;001840.txt;0.060393084
000233.txt;False;019656.txt;0.0671553
000234.txt;False;042636.txt;0.060453378
000235.txt;False;033154.txt;0.09421909
000236.txt;False;000126.txt;0.06701305
000237.txt;True;000237.txt;0.030173503
000238.txt;False;007792.txt;0.05273419
000239.txt;True;000239.txt;0.043381162
000240.txt;False;053058.txt;0.07963358
000241.txt;True;000241.txt;0.08525872
000242.txt;False;019656.txt;0.055860855
000243.txt;False;019656.txt;0.07391168
000244.txt;False;033154.txt;0.07638144
000245.txt;False;033154.txt;0.068583906
000246.txt;True;000246.txt;0.089233495
000247.txt;False;046227.txt;0.09128285
000248.txt;False;029873.txt;0.07222289
000249.txt;False;034522.txt;0.0881177
000250.txt;False;034522.txt;0.0737048
000251.txt;False;051794.txt;0.069038585
000252.txt;False;000243.txt;0.055645145
000253.txt;True;000253.txt;0.069660574
000254.txt;False;034522.txt;0.09131035
000255.txt;False;034546.txt;0.07674124
000256.txt;False;073608.txt;0.09637673
000257.txt;False;022158.txt;0.03828844
000258.txt;False;076571.txt;0.080707915
000259.txt;True;000259.txt;0.031800523
000260.txt;True;000260.txt;0.03690645
000261.txt;False;034522.txt;0.08106362
000262.txt;False;019656.txt;0.074728444
000263.txt;False;019656.txt;0.077916734
000264.txt;False;019656.txt;0.07523849
000265.txt;True;000265.txt;0.066651344
000266.txt;True;000266.txt;0.08120357
000267.txt;True;000267.txt;0.07931937
000268.txt;False;028596.txt;0.08105962
000269.txt;False;001669.txt;0.0680709
000270.txt;False;006304.txt;0.07819945
000271.txt;False;000126.txt;0.067756616
000272.txt;False;000126.txt;0.050320767
000273.txt;False;000126.txt;0.060814716
000274.txt;False;000271.txt;0.060821865
000275.txt;False;055419.txt;0.082757026
000276.txt;False;019656.txt;0.079727344
000277.txt;False;000025.txt;0.05771346
000278.txt;False;000271.txt;0.051189248
000279.txt;False;000132.txt;0.070155546
000280.txt;False;000126.txt;0.07485585
000281.txt;False;000126.txt;0.0677305
000282.txt;True;000282.txt;0.06870634
000283.txt;False;019656.txt;0.06351879
000284.txt;False;052782.txt;0.053509034
000285.txt;False;001905.txt;0.06548443
000286.txt;False;000126.txt;0.055159017
000287.txt;False;000126.txt;0.058314204
000288.txt;False;033154.txt;0.06843864
000289.txt;True;000289.txt;0.056030445
000290.txt;True;000290.txt;0.047594965
000291.txt;True;000291.txt;0.049719583
000292.txt;False;001840.txt;0.07361972
000293.txt;False;051084.txt;0.072127484
000294.txt;False;011542.txt;0.08438989
000295.txt;False;019656.txt;0.07335363
000296.txt;False;011542.txt;0.07488075
000297.txt;False;019819.txt;0.0985169
000298.txt;False;019667.txt;0.022641998
000299.txt;False;077195.txt;0.070310704
000300.txt;False;014164.txt;0.051122937
000301.txt;False;077305.txt;0.07077327
000302.txt;False;038296.txt;0.08348018
000303.txt;False;063188.txt;0.07087934
000304.txt;False;019656.txt;0.033358254
000305.txt;False;046159.txt;0.054487076
000306.txt;False;031273.txt;0.09152618
000308.txt;False;034522.txt;0.08714801
000309.txt;False;028596.txt;0.08050576
000310.txt;False;005687.txt;0.081079066
000311.txt;False;062785.txt;0.080714226
000312.txt;False;046227.txt;0.07339339
000313.txt;False;043840.txt;0.06812255
000314.txt;False;070371.txt;0.047561593
000315.txt;False;005307.txt;0.06456999
000316.txt;False;033154.txt;0.05565524
000317.txt;False;070371.txt;0.057016775
000318.txt;False;058059.txt;0.07710524
000319.txt;False;028596.txt;0.0816295
000320.txt;False;050934.txt;0.086597815
000321.txt;False;019485.txt;0.034010623
000322.txt;True;000322.txt;0.08342542
000323.txt;False;019656.txt;0.090618074
000324.txt;False;018496.txt;0.029795904
000325.txt;False;031487.txt;0.0779448
000326.txt;True;000326.txt;0.06768535
000327.txt;True;000327.txt;0.100854054
000328.txt;False;077195.txt;0.074955136
000329.txt;False;000320.txt;0.0749491
000330.txt;False;046227.txt;0.08142117
000331.txt;False;001840.txt;0.06933659
000332.txt;False;013929.txt;0.08820766
000333.txt;False;048733.txt;0.07561565
000334.txt;False;048733.txt;0.07667342
000335.txt;False;005687.txt;0.07235214
000336.txt;False;000341.txt;0.053156465
000337.txt;False;005307.txt;0.0680156
000338.txt;False;020760.txt;0.08131397
000339.txt;False;019656.txt;0.07149758
000341.txt;False;073608.txt;0.07170198
000342.txt;False;019656.txt;0.074381955
000343.txt;True;000343.txt;0.095123224
000344.txt;True;000344.txt;0.069246605
000345.txt;False;038296.txt;0.06576196
000346.txt;False;034522.txt;0.06296119
000347.txt;False;002712.txt;0.07899641
000348.txt;False;001840.txt;0.08219194
000349.txt;False;019656.txt;0.08015151
000350.txt;False;077195.txt;0.06370043
000351.txt;False;019656.txt;0.09556629
000352.txt;False;028596.txt;0.0554599
000353.txt;False;028889.txt;0.091177784
000354.txt;False;073608.txt;0.09283949
000355.txt;False;033247.txt;0.053012837
000356.txt;False;073608.txt;0.071951784
000357.txt;True;000357.txt;0.053600565
000358.txt;False;046159.txt;0.0655811
000359.txt;False;019656.txt;0.09752774
000360.txt;False;003246.txt;0.058273055
000361.txt;False;019656.txt;0.08915584
000362.txt;False;005687.txt;0.079505414
000363.txt;False;073608.txt;0.06438552
000364.txt;False;000295.txt;0.05163312
000366.txt;False;029544.txt;0.06626415
000367.txt;False;077195.txt;0.06831717
000368.txt;True;000368.txt;0.08634706
000369.txt;False;032876.txt;0.08831008
000370.txt;False;011542.txt;0.07850044
000371.txt;True;000371.txt;0.06738054
000372.txt;False;034522.txt;0.0895655
000373.txt;True;000373.txt;0.06401095
000374.txt;False;028596.txt;0.07151495
000375.txt;False;003526.txt;0.046238363
000376.txt;False;033154.txt;0.06672472
000377.txt;False;037002.txt;0.076863825
000378.txt;False;062785.txt;0.082999356
000379.txt;False;022382.txt;0.06917285
000380.txt;False;051794.txt;0.070181265
000381.txt;False;034522.txt;0.08981192
000382.txt;False;001840.txt;0.08015145
000383.txt;False;073608.txt;0.07089457
000384.txt;False;033154.txt;0.07538745
000385.txt;False;005687.txt;0.080703884
000386.txt;False;077195.txt;0.07697911
000387.txt;False;001840.txt;0.09405756
000388.txt;False;028596.txt;0.089597166
000389.txt;False;034522.txt;0.057867117
000390.txt;True;000390.txt;0.05677488
000391.txt;False;024151.txt;0.08555461
000392.txt;True;000392.txt;0.06686287
000393.txt;False;036450.txt;0.07623153
000394.txt;False;033154.txt;0.08107571
000395.txt;False;028889.txt;0.0782071
000396.txt;False;040038.txt;0.053072523
000397.txt;False;074677.txt;0.05380422
000398.txt;False;031400.txt;0.07711276
000399.txt;False;033154.txt;0.09077245
000400.txt;False;032208.txt;0.07490164
000401.txt;True;000401.txt;0.050095618
000402.txt;True;000402.txt;0.05686222
000403.txt;False;051084.txt;0.05668813
000404.txt;True;000404.txt;0.08144535
000405.txt;False;033154.txt;0.07700749
000406.txt;False;004157.txt;0.09039928
000407.txt;False;001840.txt;0.080426276
000408.txt;False;078149.txt;0.07814236
000409.txt;False;077195.txt;0.060545273
000410.txt;False;029544.txt;0.06551984
000411.txt;False;023426.txt;0.0455159
000412.txt;False;029408.txt;0.059213713
000413.txt;False;060822.txt;0.0707773
000414.txt;False;051084.txt;0.06923021
000415.txt;True;000415.txt;0.06791684
000416.txt;True;000416.txt;0.06936869
000417.txt;False;034522.txt;0.06477986
000418.txt;False;019656.txt;0.063528925
000419.txt;False;052330.txt;0.07350967
000420.txt;False;028672.txt;0.079024814
000421.txt;False;030791.txt;0.07498583
000422.txt;False;019656.txt;0.075504825
000423.txt;False;077195.txt;0.07871002
000424.txt;False;038296.txt;0.070674956
000425.txt;False;012839.txt;0.047025874
000426.txt;False;062785.txt;0.0802726
000427.txt;False;033154.txt;0.09239512
000428.txt;False;054900.txt;0.07913286
000429.txt;True;000429.txt;0.07119089
000430.txt;False;033154.txt;0.089601204
000431.txt;True;000431.txt;0.0481964
000432.txt;False;019656.txt;0.063206226
000433.txt;False;028889.txt;0.09794809
000434.txt;True;000434.txt;0.06579456
000435.txt;False;033154.txt;0.07776215
000436.txt;False;036413.txt;0.0761867
000437.txt;False;042710.txt;0.04920245
000438.txt;False;033154.txt;0.08838324
000439.txt;False;065364.txt;0.050073877
000440.txt;False;062956.txt;0.08282794
000441.txt;False;034522.txt;0.07041534
000442.txt;False;033154.txt;0.09747037
000443.txt;False;033154.txt;0.087061316
000444.txt;False;003664.txt;0.07856035
000445.txt;False;019656.txt;0.077377856
000446.txt;False;011542.txt;0.091005936
000447.txt;False;000243.txt;0.0679279
000448.txt;False;001840.txt;0.06616488
000449.txt;False;031487.txt;0.08792144
000450.txt;False;028596.txt;0.090302385
000453.txt;False;052586.txt;0.0682607
000454.txt;False;033154.txt;0.098463945
000455.txt;False;043840.txt;0.08396853
000456.txt;False;034522.txt;0.062702775
000457.txt;False;034522.txt;0.090976246
000458.txt;False;050556.txt;0.056427702
000459.txt;False;033154.txt;0.0922468
000461.txt;False;050806.txt;0.032778062
000462.txt;False;019656.txt;0.06114987
000463.txt;False;019656.txt;0.082825705
000464.txt;False;011542.txt;0.08762412
000465.txt;False;075427.txt;0.030321997
000466.txt;True;000466.txt;0.06095922
000467.txt;False;028596.txt;0.07730935
000468.txt;False;033154.txt;0.06457887
000469.txt;False;033874.txt;0.075927734
000470.txt;False;075654.txt;0.060498066
000471.txt;False;056254.txt;0.06491844
000472.txt;False;058629.txt;0.0667249
000473.txt;False;019656.txt;0.073008046
000474.txt;False;062785.txt;0.07846754
000475.txt;False;028596.txt;0.052291498
000476.txt;True;000476.txt;0.038886704
000477.txt;False;001840.txt;0.08303011
000478.txt;True;000478.txt;0.040135995
000479.txt;False;033154.txt;0.07974744
000480.txt;False;000854.txt;0.09130562
000481.txt;False;033154.txt;0.07487266
000482.txt;False;033154.txt;0.08134538
000483.txt;False;001840.txt;0.08817789
000485.txt;False;075437.txt;0.08112843
000486.txt;False;031273.txt;0.08272879
000487.txt;False;025456.txt;0.04276515
000488.txt;False;046258.txt;0.05510124
000490.txt;False;019656.txt;0.07219982
000491.txt;False;001840.txt;0.07518932
000492.txt;False;073608.txt;0.075575545
000493.txt;False;001840.txt;0.08669655
000494.txt;False;042710.txt;0.13114178
000495.txt;False;028889.txt;0.08255875
000496.txt;False;028596.txt;0.08586909
000497.txt;False;019656.txt;0.07043664
000498.txt;False;033154.txt;0.08443867
000499.txt;False;019656.txt;0.0625134
000500.txt;False;073608.txt;0.073841795
000501.txt;False;058341.txt;0.082000814
000502.txt;False;005307.txt;0.0759728
000503.txt;False;034861.txt;0.050106924
000504.txt;False;001840.txt;0.07549712
000505.txt;False;033154.txt;0.078370504
000506.txt;False;034861.txt;0.0719285
000507.txt;False;058341.txt;0.09078017
000508.txt;False;011542.txt;0.08746231
000509.txt;False;033154.txt;0.088401556
000510.txt;False;058341.txt;0.08906776
000511.txt;False;005307.txt;0.07662855
000512.txt;False;033154.txt;0.08733559
000513.txt;False;019656.txt;0.07419656
000514.txt;False;011542.txt;0.079905435
000515.txt;False;000505.txt;0.07415964
000516.txt;False;005687.txt;0.06382537
000517.txt;False;034522.txt;0.10848211
000518.txt;False;033154.txt;0.07674204
000519.txt;False;028596.txt;0.09429127
000520.txt;False;000509.txt;0.0719261
000521.txt;False;033154.txt;0.09311375
000522.txt;True;000522.txt;0.04658236
000523.txt;False;073608.txt;0.06931581
000525.txt;False;067466.txt;0.08084434
000526.txt;True;000526.txt;0.07912204
000527.txt;False;033154.txt;0.069536716
000528.txt;True;000528.txt;0.06403302
000529.txt;False;012380.txt;0.058921922
000530.txt;False;028889.txt;0.085157804
000531.txt;True;000531.txt;0.050766617
000532.txt;False;019656.txt;0.07472269
000533.txt;True;000533.txt;0.063608885
000534.txt;False;028889.txt;0.09406027
000535.txt;False;019656.txt;0.07517106
000537.txt;False;010198.txt;0.06679177
000538.txt;False;001840.txt;0.0633136
000539.txt;False;034522.txt;0.07076954
000540.txt;True;000540.txt;0.067352876
000541.txt;False;000540.txt;0.061260417
000542.txt;False;034522.txt;0.09297304
000543.txt;False;001840.txt;0.07640032
000544.txt;False;033154.txt;0.08244182
000545.txt;False;034861.txt;0.058582094
000546.txt;True;000546.txt;0.050823055
000547.txt;True;000547.txt;0.06974574
000548.txt;False;038141.txt;0.02454355
000549.txt;False;006600.txt;0.041048102
000550.txt;False;043840.txt;0.06061153
000551.txt;True;000551.txt;0.049953014
000553.txt;True;000553.txt;0.076291256
